siteId,location,week_group,dt_year,dt_date,dt_month,total_flow
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-02,8,1033
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-03,8,1073
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-04,8,1150
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-09,8,1029
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-10,8,1108
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-11,8,1198
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-16,8,1038
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-17,8,1082
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-18,8,1206
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-23,8,1045
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-24,8,1110
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-25,8,1166
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-30,8,985
GA1571_Q,Hope St,Core Weekdays,2022,2022-08-31,8,1078
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-01,9,1161
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-06,9,1012
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-07,9,1044
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-08,9,1152
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-13,9,992
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-14,9,1073
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-15,9,1147
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-20,9,1008
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-21,9,1059
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-22,9,1169
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-27,9,1016
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-28,9,1092
GA1571_Q,Hope St,Core Weekdays,2022,2022-09-29,9,1158
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-01,8,1026
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-02,8,1074
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-03,8,1172
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-08,8,946
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-09,8,1011
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-10,8,1065
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-15,8,772
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-16,8,1100
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-17,8,1201
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-22,8,1003
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-23,8,1113
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-24,8,1166
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-29,8,1010
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-30,8,1026
GA1571_Q,Hope St,Core Weekdays,2023,2023-08-31,8,1188
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-05,9,982
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-06,9,1077
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-07,9,1139
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-12,9,1041
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-13,9,1090
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-14,9,1205
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-19,9,996
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-20,9,1101
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-21,9,1168
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-26,9,1009
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-27,9,1077
GA1571_Q,Hope St,Core Weekdays,2023,2023-09-28,9,1232
GA1571_Q,Hope St,Other Weekdays,2022,2022-08-01,8,1018
GA1571_Q,Hope St,Other Weekdays,2022,2022-08-05,8,1407
GA1571_Q,Hope St,Other Weekdays,2022,2022-08-08,8,1026
GA1571_Q,Hope St,Other Weekdays,2022,2022-08-12,8,1414
