date,time,flow
2022-03-01,0,0
2022-03-01,1,0
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,0
2022-03-01,6,4
2022-03-01,7,21
2022-03-01,8,49
2022-03-01,9,40
2022-03-01,10,40
2022-03-01,11,31
2022-03-01,12,36
2022-03-01,13,48
2022-03-01,14,40
2022-03-01,15,58
2022-03-01,16,67
2022-03-01,17,71
2022-03-01,18,58
2022-03-01,19,21
2022-03-01,20,21
2022-03-01,21,16
2022-03-01,22,16
2022-03-01,23,17
2022-03-02,0,0
2022-03-02,1,0
2022-03-02,2,0
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,0
2022-03-02,6,8
2022-03-02,7,21
2022-03-02,8,48
2022-03-02,9,44
2022-03-02,10,44
2022-03-02,11,40
2022-03-02,12,36
2022-03-02,13,40
2022-03-02,14,40
2022-03-02,15,48
2022-03-02,16,62
2022-03-02,17,77
2022-03-02,18,57
2022-03-02,19,31
2022-03-02,20,26
2022-03-02,21,16
2022-03-02,22,16
2022-03-02,23,8
2022-03-03,0,0
2022-03-03,1,0
2022-03-03,2,0
2022-03-03,3,0
2022-03-03,4,0
2022-03-03,5,0
2022-03-03,6,8
2022-03-03,7,26
2022-03-03,8,44
2022-03-03,9,49
2022-03-03,10,31
2022-03-03,11,36
2022-03-03,12,36
2022-03-03,13,36
2022-03-03,14,48
2022-03-03,15,44
2022-03-03,16,62
2022-03-03,17,75
2022-03-03,18,44
2022-03-03,19,26
2022-03-03,20,16
2022-03-03,21,16
2022-03-03,22,26
2022-03-03,23,8
2022-03-04,0,0
2022-03-04,1,0
2022-03-04,2,0
2022-03-04,3,0
2022-03-04,4,0
2022-03-04,5,4
2022-03-04,6,4
2022-03-04,7,21
2022-03-04,8,48
2022-03-04,9,44
2022-03-04,10,36
2022-03-04,11,36
2022-03-04,12,44
2022-03-04,13,48
2022-03-04,14,40
2022-03-04,15,40
2022-03-04,16,57
2022-03-04,17,57
2022-03-04,18,40
2022-03-04,19,31
2022-03-04,20,16
2022-03-04,21,16
2022-03-04,22,21
2022-03-04,23,16
2022-03-05,0,4
2022-03-05,1,0
2022-03-05,2,0
2022-03-05,3,0
2022-03-05,4,0
2022-03-05,5,0
2022-03-05,6,0
2022-03-05,7,12
2022-03-05,8,21
2022-03-05,9,16
2022-03-05,10,21
2022-03-05,11,26
2022-03-05,12,31
2022-03-05,13,31
2022-03-05,14,31
2022-03-05,15,31
2022-03-05,16,31
2022-03-05,17,26
2022-03-05,18,21
2022-03-05,19,16
2022-03-05,20,16
2022-03-05,21,16
2022-03-05,22,16
2022-03-05,23,12
2022-03-06,0,0
2022-03-06,1,17
2022-03-06,2,0
2022-03-06,3,0
2022-03-06,4,0
2022-03-06,5,0
2022-03-06,6,0
2022-03-06,7,26
2022-03-06,8,16
2022-03-06,9,31
2022-03-06,10,26
2022-03-06,11,21
2022-03-06,12,26
2022-03-06,13,21
2022-03-06,14,21
2022-03-06,15,21
2022-03-06,16,31
2022-03-06,17,21
2022-03-06,18,16
2022-03-06,19,16
2022-03-06,20,21
2022-03-06,21,16
2022-03-06,22,16
2022-03-06,23,8
2022-03-07,0,0
2022-03-07,1,0
2022-03-07,2,0
2022-03-07,3,0
2022-03-07,4,0
2022-03-07,5,0
2022-03-07,6,8
2022-03-07,7,21
2022-03-07,8,40
2022-03-07,9,36
2022-03-07,10,58
2022-03-07,11,31
2022-03-07,12,31
2022-03-07,13,36
2022-03-07,14,36
2022-03-07,15,40
2022-03-07,16,53
2022-03-07,17,57
2022-03-07,18,40
2022-03-07,19,21
2022-03-07,20,16
2022-03-07,21,16
2022-03-07,22,16
2022-03-07,23,8
2022-03-08,0,0
2022-03-08,1,0
2022-03-08,2,0
2022-03-08,3,0
2022-03-08,4,0
2022-03-08,5,0
2022-03-08,6,8
2022-03-08,7,26
2022-03-08,8,47
2022-03-08,9,40
2022-03-08,10,35
2022-03-08,11,36
2022-03-08,12,40
2022-03-08,13,48
2022-03-08,14,40
2022-03-08,15,53
2022-03-08,16,66
2022-03-08,17,87
2022-03-08,18,62
2022-03-08,19,21
2022-03-08,20,21
2022-03-08,21,16
2022-03-08,22,16
2022-03-08,23,17
2022-03-09,0,0
2022-03-09,1,0
2022-03-09,2,0
2022-03-09,3,0
2022-03-09,4,0
2022-03-09,5,0
2022-03-09,6,12
2022-03-09,7,26
2022-03-09,8,48
2022-03-09,9,44
2022-03-09,10,40
2022-03-09,11,36
2022-03-09,12,38
2022-03-09,13,36
2022-03-09,14,44
2022-03-09,15,48
2022-03-09,16,57
2022-03-09,17,84
2022-03-09,18,57
2022-03-09,19,35
2022-03-09,20,26
2022-03-09,21,16
2022-03-09,22,16
2022-03-09,23,8
2022-03-10,0,0
2022-03-10,1,0
2022-03-10,2,0
2022-03-10,3,0
2022-03-10,4,0
2022-03-10,5,0
2022-03-10,6,8
2022-03-10,7,21
2022-03-10,8,48
2022-03-10,9,49
2022-03-10,10,31
2022-03-10,11,36
2022-03-10,12,36
2022-03-10,13,36
2022-03-10,14,36
2022-03-10,15,40
2022-03-10,16,62
2022-03-10,17,76
2022-03-10,18,44
2022-03-10,19,16
2022-03-10,20,16
2022-03-10,21,16
2022-03-10,22,26
2022-03-10,23,17
2022-03-11,0,0
2022-03-11,1,0
2022-03-11,2,0
2022-03-11,3,0
2022-03-11,4,0
2022-03-11,5,4
2022-03-11,6,4
2022-03-11,7,21
2022-03-11,8,44
2022-03-11,9,44
2022-03-11,10,31
2022-03-11,11,36
2022-03-11,12,44
2022-03-11,13,57
2022-03-11,14,40
2022-03-11,15,40
2022-03-11,16,52
2022-03-11,17,52
2022-03-11,18,31
2022-03-11,19,21
2022-03-11,20,16
2022-03-11,21,16
2022-03-11,22,16
2022-03-11,23,12
2022-03-12,0,4
2022-03-12,1,0
2022-03-12,2,0
2022-03-12,3,0
2022-03-12,4,0
2022-03-12,5,0
2022-03-12,6,0
2022-03-12,7,12
2022-03-12,8,21
2022-03-12,9,16
2022-03-12,10,16
2022-03-12,11,26
2022-03-12,12,21
2022-03-12,13,36
2022-03-12,14,26
2022-03-12,15,21
2022-03-12,16,26
2022-03-12,17,21
2022-03-12,18,21
2022-03-12,19,16
2022-03-12,20,16
2022-03-12,21,16
2022-03-12,22,16
2022-03-12,23,8
2022-03-13,0,4
2022-03-13,1,9
2022-03-13,2,0
2022-03-13,3,0
2022-03-13,4,0
2022-03-13,5,0
2022-03-13,6,0
2022-03-13,7,26
2022-03-13,8,16
2022-03-13,9,31
2022-03-13,10,26
2022-03-13,11,21
2022-03-13,12,26
2022-03-13,13,21
2022-03-13,14,26
2022-03-13,15,21
2022-03-13,16,26
2022-03-13,17,16
2022-03-13,18,16
2022-03-13,19,16
2022-03-13,20,16
2022-03-13,21,16
2022-03-13,22,16
2022-03-13,23,8
2022-03-14,0,0
2022-03-14,1,0
2022-03-14,2,0
2022-03-14,3,0
2022-03-14,4,0
2022-03-14,5,0
2022-03-14,6,8
2022-03-14,7,21
2022-03-14,8,44
2022-03-14,9,36
2022-03-14,10,58
2022-03-14,11,36
2022-03-14,12,36
2022-03-14,13,36
2022-03-14,14,36
2022-03-14,15,40
2022-03-14,16,52
2022-03-14,17,57
2022-03-14,18,36
2022-03-14,19,26
2022-03-14,20,16
2022-03-14,21,16
2022-03-14,22,16
2022-03-14,23,8
2022-03-15,0,0
2022-03-15,1,0
2022-03-15,2,0
2022-03-15,3,0
2022-03-15,4,0
2022-03-15,5,0
2022-03-15,6,8
2022-03-15,7,26
2022-03-15,8,49
2022-03-15,9,40
2022-03-15,10,40
2022-03-15,11,36
2022-03-15,12,40
2022-03-15,13,44
2022-03-15,14,40
2022-03-15,15,62
2022-03-15,16,67
2022-03-15,17,75
2022-03-15,18,58
2022-03-15,19,21
2022-03-15,20,26
2022-03-15,21,16
2022-03-15,22,16
2022-03-15,23,17
2022-03-16,0,0
2022-03-16,1,0
2022-03-16,2,0
2022-03-16,3,0
2022-03-16,4,0
2022-03-16,5,0
2022-03-16,6,8
2022-03-16,7,26
2022-03-16,8,48
2022-03-16,9,44
2022-03-16,10,36
2022-03-16,11,40
2022-03-16,12,36
2022-03-16,13,40
2022-03-16,14,43
2022-03-16,15,39
2022-03-16,16,52
2022-03-16,17,80
2022-03-16,18,53
2022-03-16,19,40
2022-03-16,20,26
2022-03-16,21,16
2022-03-16,22,16
2022-03-16,23,8
2022-03-17,0,0
2022-03-17,1,0
2022-03-17,2,0
2022-03-17,3,0
2022-03-17,4,0
2022-03-17,5,0
2022-03-17,6,8
2022-03-17,7,26
2022-03-17,8,40
2022-03-17,9,53
2022-03-17,10,31
2022-03-17,11,36
2022-03-17,12,36
2022-03-17,13,36
2022-03-17,14,36
2022-03-17,15,40
2022-03-17,16,57
2022-03-17,17,71
2022-03-17,18,44
2022-03-17,19,16
2022-03-17,20,16
2022-03-17,21,16
2022-03-17,22,21
2022-03-17,23,8
2022-03-18,0,0
2022-03-18,1,0
2022-03-18,2,0
2022-03-18,3,0
2022-03-18,4,0
2022-03-18,5,4
2022-03-18,6,4
2022-03-18,7,21
2022-03-18,8,40
2022-03-18,9,49
2022-03-18,10,26
2022-03-18,11,36
2022-03-18,12,45
2022-03-18,13,48
2022-03-18,14,40
2022-03-18,15,44
2022-03-18,16,52
2022-03-18,17,48
2022-03-18,18,31
2022-03-18,19,16
2022-03-18,20,16
2022-03-18,21,21
2022-03-18,22,16
2022-03-18,23,12
2022-03-19,0,4
2022-03-19,1,0
2022-03-19,2,0
2022-03-19,3,0
2022-03-19,4,0
2022-03-19,5,0
2022-03-19,6,0
2022-03-19,7,12
2022-03-19,8,21
2022-03-19,9,16
2022-03-19,10,16
2022-03-19,11,26
2022-03-19,12,36
2022-03-19,13,36
2022-03-19,14,26
2022-03-19,15,31
2022-03-19,16,31
2022-03-19,17,21
2022-03-19,18,23
2022-03-19,19,16
2022-03-19,20,16
2022-03-19,21,16
2022-03-19,22,16
2022-03-19,23,12
2022-03-20,0,0
2022-03-20,1,13
2022-03-20,2,0
2022-03-20,3,0
2022-03-20,4,0
2022-03-20,5,0
2022-03-20,6,0
2022-03-20,7,26
2022-03-20,8,16
2022-03-20,9,31
2022-03-20,10,26
2022-03-20,11,21
2022-03-20,12,26
2022-03-20,13,21
2022-03-20,14,16
2022-03-20,15,21
2022-03-20,16,26
2022-03-20,17,16
2022-03-20,18,16
2022-03-20,19,16
2022-03-20,20,16
2022-03-20,21,16
2022-03-20,22,16
2022-03-20,23,12
2022-03-21,0,0
2022-03-21,1,0
2022-03-21,2,0
2022-03-21,3,0
2022-03-21,4,0
2022-03-21,5,0
2022-03-21,6,8
2022-03-21,7,21
2022-03-21,8,40
2022-03-21,9,36
2022-03-21,10,62
2022-03-21,11,36
2022-03-21,12,36
2022-03-21,13,36
2022-03-21,14,36
2022-03-21,15,48
2022-03-21,16,53
2022-03-21,17,57
2022-03-21,18,36
2022-03-21,19,21
2022-03-21,20,16
2022-03-21,21,21
2022-03-21,22,16
2022-03-21,23,8
2022-03-22,0,0
2022-03-22,1,0
2022-03-22,2,0
2022-03-22,3,0
2022-03-22,4,0
2022-03-22,5,0
2022-03-22,6,8
2022-03-22,7,21
2022-03-22,8,49
2022-03-22,9,40
2022-03-22,10,48
2022-03-22,11,36
2022-03-22,12,40
2022-03-22,13,48
2022-03-22,14,40
2022-03-22,15,58
2022-03-22,16,71
2022-03-22,17,84
2022-03-22,18,53
2022-03-22,19,21
2022-03-22,20,31
2022-03-22,21,16
2022-03-22,22,16
2022-03-22,23,17
2022-03-23,0,0
2022-03-23,1,0
2022-03-23,2,0
2022-03-23,3,0
2022-03-23,4,0
2022-03-23,5,0
2022-03-23,6,12
2022-03-23,7,26
2022-03-23,8,48
2022-03-23,9,48
2022-03-23,10,44
2022-03-23,11,44
2022-03-23,12,36
2022-03-23,13,40
2022-03-23,14,44
2022-03-23,15,48
2022-03-23,16,60
2022-03-23,17,80
2022-03-23,18,53
2022-03-23,19,35
2022-03-23,20,26
2022-03-23,21,21
2022-03-23,22,16
2022-03-23,23,8
2022-03-24,0,0
2022-03-24,1,0
2022-03-24,2,0
2022-03-24,3,0
2022-03-24,4,0
2022-03-24,5,0
2022-03-24,6,8
2022-03-24,7,31
2022-03-24,8,48
2022-03-24,9,53
2022-03-24,10,35
2022-03-24,11,36
2022-03-24,12,38
2022-03-24,13,36
2022-03-24,14,40
2022-03-24,15,48
2022-03-24,16,57
2022-03-24,17,75
2022-03-24,18,44
2022-03-24,19,21
2022-03-24,20,16
2022-03-24,21,21
2022-03-24,22,26
2022-03-24,23,12
2022-03-25,0,0
2022-03-25,1,0
2022-03-25,2,0
2022-03-25,3,0
2022-03-25,4,0
2022-03-25,5,4
2022-03-25,6,4
2022-03-25,7,21
2022-03-25,8,44
2022-03-25,9,44
2022-03-25,10,31
2022-03-25,11,36
2022-03-25,12,40
2022-03-25,13,52
2022-03-25,14,40
2022-03-25,15,44
2022-03-25,16,52
2022-03-25,17,52
2022-03-25,18,36
2022-03-25,19,26
2022-03-25,20,16
2022-03-25,21,26
2022-03-25,22,21
2022-03-25,23,16
2022-03-26,0,4
2022-03-26,1,0
2022-03-26,2,0
2022-03-26,3,0
2022-03-26,4,0
2022-03-26,5,0
2022-03-26,6,0
2022-03-26,7,16
2022-03-26,8,21
2022-03-26,9,16
2022-03-26,10,21
2022-03-26,11,26
2022-03-26,12,26
2022-03-26,13,36
2022-03-26,14,31
2022-03-26,15,26
2022-03-26,16,31
2022-03-26,17,21
2022-03-26,18,21
2022-03-26,19,16
2022-03-26,20,16
2022-03-26,21,16
2022-03-26,22,16
2022-03-26,23,12
2022-03-27,0,4
2022-03-27,1,9
2022-03-27,2,0
2022-03-27,3,0
2022-03-27,4,0
2022-03-27,5,0
2022-03-27,6,26
2022-03-27,7,16
2022-03-27,8,31
2022-03-27,9,26
2022-03-27,10,21
2022-03-27,11,26
2022-03-27,12,21
2022-03-27,13,21
2022-03-27,14,21
2022-03-27,15,26
2022-03-27,16,21
2022-03-27,17,16
2022-03-27,18,16
2022-03-27,19,21
2022-03-27,20,16
2022-03-27,21,16
2022-03-27,22,8
2022-03-27,23,0
2022-03-28,0,0
2022-03-28,1,0
2022-03-28,2,0
2022-03-28,3,0
2022-03-28,4,0
2022-03-28,5,8
2022-03-28,6,21
2022-03-28,7,44
2022-03-28,8,36
2022-03-28,9,58
2022-03-28,10,36
2022-03-28,11,36
2022-03-28,12,31
2022-03-28,13,36
2022-03-28,14,40
2022-03-28,15,53
2022-03-28,16,52
2022-03-28,17,40
2022-03-28,18,21
2022-03-28,19,16
2022-03-28,20,16
2022-03-28,21,16
2022-03-28,22,8
2022-03-28,23,0
2022-03-29,0,0
2022-03-29,1,0
2022-03-29,2,0
2022-03-29,3,0
2022-03-29,4,0
2022-03-29,5,8
2022-03-29,6,21
2022-03-29,7,49
2022-03-29,8,40
2022-03-29,9,40
2022-03-29,10,31
2022-03-29,11,40
2022-03-29,12,44
2022-03-29,13,40
2022-03-29,14,58
2022-03-29,15,76
2022-03-29,16,75
2022-03-29,17,53
2022-03-29,18,21
2022-03-29,19,21
2022-03-29,20,21
2022-03-29,21,16
2022-03-29,22,17
2022-03-29,23,0
2022-03-30,0,0
2022-03-30,1,0
2022-03-30,2,0
2022-03-30,3,0
2022-03-30,4,0
2022-03-30,5,8
2022-03-30,6,25
2022-03-30,7,48
2022-03-30,8,49
2022-03-30,9,36
2022-03-30,10,36
2022-03-30,11,31
2022-03-30,12,40
2022-03-30,13,44
2022-03-30,14,44
2022-03-30,15,52
2022-03-30,16,84
2022-03-30,17,57
2022-03-30,18,35
2022-03-30,19,26
2022-03-30,20,16
2022-03-30,21,16
2022-03-30,22,8
2022-03-30,23,0
2022-03-31,0,0
2022-03-31,1,0
2022-03-31,2,0
2022-03-31,3,0
2022-03-31,4,0
2022-03-31,5,8
2022-03-31,6,21
2022-03-31,7,44
2022-03-31,8,53
2022-03-31,9,31
2022-03-31,10,36
2022-03-31,11,36
2022-03-31,12,36
2022-03-31,13,36
2022-03-31,14,40
2022-03-31,15,57
2022-03-31,16,67
2022-03-31,17,44
2022-03-31,18,16
2022-03-31,19,16
2022-03-31,20,16
2022-03-31,21,21
2022-03-31,22,8
2022-03-31,23,0
2022-04-01,0,0
2022-04-01,1,0
2022-04-01,2,0
2022-04-01,3,0
2022-04-01,4,4
2022-04-01,5,4
2022-04-01,6,21
2022-04-01,7,44
2022-04-01,8,49
2022-04-01,9,36
2022-04-01,10,36
2022-04-01,11,45
2022-04-01,12,53
2022-04-01,13,40
2022-04-01,14,44
2022-04-01,15,48
2022-04-01,16,57
2022-04-01,17,31
2022-04-01,18,21
2022-04-01,19,16
2022-04-01,20,26
2022-04-01,21,21
2022-04-01,22,16
2022-04-01,23,8
2022-04-02,0,0
2022-04-02,1,0
2022-04-02,2,0
2022-04-02,3,0
2022-04-02,4,0
2022-04-02,5,0
2022-04-02,6,16
2022-04-02,7,21
2022-04-02,8,21
2022-04-02,9,16
2022-04-02,10,26
2022-04-02,11,31
2022-04-02,12,36
2022-04-02,13,31
2022-04-02,14,26
2022-04-02,15,31
2022-04-02,16,26
2022-04-02,17,21
2022-04-02,18,16
2022-04-02,19,16
2022-04-02,20,16
2022-04-02,21,16
2022-04-02,22,12
2022-04-02,23,0
2022-04-03,0,13
2022-04-03,1,0
2022-04-03,2,0
2022-04-03,3,0
2022-04-03,4,0
2022-04-03,5,0
2022-04-03,6,26
2022-04-03,7,16
2022-04-03,8,31
2022-04-03,9,26
2022-04-03,10,21
2022-04-03,11,26
2022-04-03,12,21
2022-04-03,13,21
2022-04-03,14,21
2022-04-03,15,26
2022-04-03,16,16
2022-04-03,17,16
2022-04-03,18,16
2022-04-03,19,21
2022-04-03,20,16
2022-04-03,21,16
2022-04-03,22,8
2022-04-03,23,0
2022-04-04,0,0
2022-04-04,1,0
2022-04-04,2,0
2022-04-04,3,0
2022-04-04,4,0
2022-04-04,5,8
2022-04-04,6,21
2022-04-04,7,40
2022-04-04,8,36
2022-04-04,9,58
2022-04-04,10,36
2022-04-04,11,31
2022-04-04,12,36
2022-04-04,13,36
2022-04-04,14,40
2022-04-04,15,52
2022-04-04,16,52
2022-04-04,17,40
2022-04-04,18,21
2022-04-04,19,16
2022-04-04,20,16
2022-04-04,21,16
2022-04-04,22,8
2022-04-04,23,0
2022-04-05,0,0
2022-04-05,1,0
2022-04-05,2,0
2022-04-05,3,0
2022-04-05,4,0
2022-04-05,5,8
2022-04-05,6,21
2022-04-05,7,49
2022-04-05,8,40
2022-04-05,9,44
2022-04-05,10,36
2022-04-05,11,40
2022-04-05,12,44
2022-04-05,13,40
2022-04-05,14,58
2022-04-05,15,67
2022-04-05,16,70
2022-04-05,17,48
2022-04-05,18,21
2022-04-05,19,21
2022-04-05,20,16
2022-04-05,21,16
2022-04-05,22,13
2022-04-05,23,0
2022-04-06,0,0
2022-04-06,1,0
2022-04-06,2,0
2022-04-06,3,0
2022-04-06,4,0
2022-04-06,5,8
2022-04-06,6,26
2022-04-06,7,48
2022-04-06,8,44
2022-04-06,9,31
2022-04-06,10,34
2022-04-06,11,31
2022-04-06,12,36
2022-04-06,13,44
2022-04-06,14,48
2022-04-06,15,39
2022-04-06,16,79
2022-04-06,17,57
2022-04-06,18,35
2022-04-06,19,21
2022-04-06,20,16
2022-04-06,21,16
2022-04-06,22,12
2022-04-06,23,0
2022-04-07,0,0
2022-04-07,1,0
2022-04-07,2,0
2022-04-07,3,0
2022-04-07,4,0
2022-04-07,5,8
2022-04-07,6,21
2022-04-07,7,40
2022-04-07,8,44
2022-04-07,9,31
2022-04-07,10,36
2022-04-07,11,36
2022-04-07,12,36
2022-04-07,13,40
2022-04-07,14,40
2022-04-07,15,57
2022-04-07,16,66
2022-04-07,17,39
2022-04-07,18,16
2022-04-07,19,16
2022-04-07,20,16
2022-04-07,21,16
2022-04-07,22,12
2022-04-07,23,0
2022-04-08,0,0
2022-04-08,1,0
2022-04-08,2,0
2022-04-08,3,0
2022-04-08,4,4
2022-04-08,5,4
2022-04-08,6,21
2022-04-08,7,40
2022-04-08,8,49
2022-04-08,9,31
2022-04-08,10,36
2022-04-08,11,40
2022-04-08,12,52
2022-04-08,13,40
2022-04-08,14,52
2022-04-11,7,40
2022-04-11,8,31
2022-04-11,9,53
2022-04-11,10,36
2022-04-11,11,36
2022-04-11,12,36
2022-04-11,13,31
2022-04-11,14,40
2022-04-11,15,57
2022-04-11,16,57
2022-04-11,17,36
2022-04-11,18,21
2022-04-11,19,16
2022-04-11,20,16
2022-04-11,21,16
2022-04-11,22,8
2022-04-11,23,0
2022-04-12,0,0
2022-04-12,1,0
2022-04-12,2,0
2022-04-12,3,0
2022-04-12,4,0
2022-04-12,5,8
2022-04-12,6,21
2022-04-12,7,49
2022-04-12,8,40
2022-04-12,9,36
2022-04-12,10,31
2022-04-12,11,40
2022-04-12,12,44
2022-04-12,13,44
2022-04-12,14,62
2022-04-12,15,67
2022-04-12,16,89
2022-04-12,17,58
2022-04-12,18,26
2022-04-12,19,21
2022-04-12,20,16
2022-04-12,21,16
2022-04-12,22,17
2022-04-12,23,0
2022-04-13,0,0
2022-04-13,1,0
2022-04-13,2,0
2022-04-13,3,0
2022-04-13,4,0
2022-04-13,5,8
2022-04-13,6,26
2022-04-13,7,48
2022-04-13,8,44
2022-04-13,9,31
2022-04-13,10,39
2022-04-13,11,36
2022-04-13,12,31
2022-04-13,13,44
2022-04-13,14,44
2022-04-13,15,62
2022-04-13,16,85
2022-04-13,17,57
2022-04-13,18,31
2022-04-13,19,26
2022-04-13,20,16
2022-04-13,21,16
2022-04-13,22,8
2022-04-13,23,0
2022-04-14,0,0
2022-04-14,1,0
2022-04-14,2,0
2022-04-14,3,0
2022-04-14,4,0
2022-04-14,5,4
2022-04-14,6,21
2022-04-14,7,44
2022-04-14,8,44
2022-04-14,9,31
2022-04-14,10,36
2022-04-14,11,36
2022-04-14,12,36
2022-04-14,13,40
2022-04-14,14,40
2022-04-14,15,71
2022-04-14,16,80
2022-04-14,17,44
2022-04-14,18,26
2022-04-14,19,16
2022-04-14,20,16
2022-04-14,21,16
2022-04-14,22,14
2022-04-14,23,4
2022-04-15,0,0
2022-04-15,1,0
2022-04-15,2,0
2022-04-15,3,0
2022-04-15,4,4
2022-04-15,5,4
2022-04-15,6,21
2022-04-15,7,36
2022-04-15,8,44
2022-04-15,9,26
2022-04-15,10,31
2022-04-15,11,40
2022-04-15,12,52
2022-04-15,13,40
2022-04-15,14,40
2022-04-15,15,44
2022-04-15,16,49
2022-04-15,17,31
2022-04-15,18,16
2022-04-15,19,16
2022-04-15,20,16
2022-04-15,21,16
2022-04-15,22,12
2022-04-15,23,4
2022-04-16,0,0
2022-04-16,1,0
2022-04-16,2,0
2022-04-16,3,0
2022-04-16,4,0
2022-04-16,5,0
2022-04-16,6,12
2022-04-16,7,16
2022-04-16,8,16
2022-04-16,9,16
2022-04-16,10,26
2022-04-16,11,31
2022-04-16,12,34
2022-04-16,13,26
2022-04-16,14,21
2022-04-16,15,31
2022-04-16,16,21
2022-04-16,17,21
2022-04-16,18,16
2022-04-16,19,16
2022-04-16,20,16
2022-04-16,21,16
2022-04-16,22,12
2022-04-16,23,0
2022-04-17,0,13
2022-04-17,1,0
2022-04-17,2,0
2022-04-17,3,0
2022-04-17,4,0
2022-04-17,5,0
2022-04-17,6,26
2022-04-17,7,16
2022-04-17,8,31
2022-04-17,9,26
2022-04-17,10,21
2022-04-17,11,26
2022-04-17,12,21
2022-04-17,13,21
2022-04-17,14,21
2022-04-17,15,16
2022-04-17,16,16
2022-04-17,17,16
2022-04-17,18,16
2022-04-17,19,21
2022-04-17,20,16
2022-04-17,21,16
2022-04-17,22,8
2022-04-17,23,4
2022-04-18,0,1
2022-04-18,1,0
2022-04-18,2,0
2022-04-18,3,0
2022-04-18,4,4
2022-04-18,5,16
2022-04-18,6,16
2022-04-18,7,26
2022-04-18,8,26
2022-04-18,9,48
2022-04-18,10,26
2022-04-18,11,36
2022-04-18,12,36
2022-04-18,13,31
2022-04-18,14,40
2022-04-18,15,48
2022-04-18,16,48
2022-04-18,17,36
2022-04-18,18,21
2022-04-18,19,16
2022-04-18,20,21
2022-04-18,21,16
2022-04-18,22,8
2022-04-18,23,0
2022-04-19,0,1
2022-04-19,1,0
2022-04-19,2,0
2022-04-19,3,0
2022-04-19,4,4
2022-04-19,5,12
2022-04-19,6,31
2022-04-19,7,43
2022-04-19,8,40
2022-04-19,9,31
2022-04-19,10,36
2022-04-19,11,40
2022-04-19,12,48
2022-04-19,13,40
2022-04-19,14,58
2022-04-19,15,71
2022-04-19,16,75
2022-04-19,17,53
2022-04-19,18,26
2022-04-19,19,26
2022-04-19,20,21
2022-04-19,21,16
2022-04-19,22,13
2022-04-19,23,0
2022-04-20,0,0
2022-04-20,1,0
2022-04-20,2,0
2022-04-20,3,0
2022-04-20,4,0
2022-04-20,5,9
2022-04-20,6,31
2022-04-20,7,52
2022-04-20,8,44
2022-04-20,9,31
2022-04-20,10,36
2022-04-20,11,31
2022-04-20,12,36
2022-04-20,13,44
2022-04-20,14,44
2022-04-20,15,57
2022-04-20,16,84
2022-04-20,17,57
2022-04-20,18,31
2022-04-20,19,26
2022-04-20,20,16
2022-04-20,21,16
2022-04-20,22,12
2022-04-20,23,0
2022-04-21,0,0
2022-04-21,1,0
2022-04-21,2,0
2022-04-21,3,0
2022-04-21,4,0
2022-04-21,5,8
2022-04-21,6,21
2022-04-21,7,44
2022-04-21,8,49
2022-04-21,9,35
2022-04-21,10,36
2022-04-21,11,36
2022-04-21,12,36
2022-04-21,13,36
2022-04-21,14,41
2022-04-21,15,52
2022-04-21,16,66
2022-04-21,17,44
2022-04-21,18,16
2022-04-21,19,16
