date,time,flow
2022-03-01,0,25
2022-03-01,1,8
2022-03-01,2,16
2022-03-01,3,12
2022-03-01,4,16
2022-03-01,5,21
2022-03-01,6,26
2022-03-01,7,57
2022-03-01,8,76
2022-03-01,9,84
2022-03-01,10,62
2022-03-01,11,62
2022-03-01,12,78
2022-03-01,13,76
2022-03-01,14,88
2022-03-01,15,80
2022-03-01,16,84
2022-03-01,17,97
2022-03-01,18,106
2022-03-01,19,80
2022-03-01,20,57
2022-03-01,21,48
2022-03-01,22,40
2022-03-01,23,49
2022-03-02,0,36
2022-03-02,1,21
2022-03-02,2,16
2022-03-02,3,16
2022-03-02,4,12
2022-03-02,5,16
2022-03-02,6,16
2022-03-02,7,48
2022-03-02,8,84
2022-03-02,9,84
2022-03-02,10,67
2022-03-02,11,71
2022-03-02,12,76
2022-03-02,13,80
2022-03-02,14,79
2022-03-02,15,76
2022-03-02,16,94
2022-03-02,17,105
2022-03-02,18,84
2022-03-02,19,75
2022-03-02,20,56
2022-03-02,21,48
2022-03-02,22,66
2022-03-02,23,44
2022-03-03,0,35
2022-03-03,1,12
2022-03-03,2,12
2022-03-03,3,12
2022-03-03,4,12
2022-03-03,5,16
2022-03-03,6,21
2022-03-03,7,48
2022-03-03,8,85
2022-03-03,9,80
2022-03-03,10,67
2022-03-03,11,71
2022-03-03,12,72
2022-03-03,13,76
2022-03-03,14,92
2022-03-03,15,76
2022-03-03,16,84
2022-03-03,17,88
2022-03-03,18,88
2022-03-03,19,84
2022-03-03,20,76
2022-03-03,21,52
2022-03-03,22,43
2022-03-03,23,40
2022-03-04,0,31
2022-03-04,1,16
2022-03-04,2,12
2022-03-04,3,12
2022-03-04,4,16
2022-03-04,5,21
2022-03-04,6,21
2022-03-04,7,53
2022-03-04,8,100
2022-03-04,9,66
2022-03-04,10,67
2022-03-04,11,76
2022-03-04,12,84
2022-03-04,13,92
2022-03-04,14,70
2022-03-04,15,100
2022-03-04,16,79
2022-03-04,17,102
2022-03-04,18,100
2022-03-04,19,72
2022-03-04,20,64
2022-03-04,21,44
2022-03-04,22,52
2022-03-04,23,52
2022-03-05,0,22
2022-03-05,1,16
2022-03-05,2,21
2022-03-05,3,16
2022-03-05,4,16
2022-03-05,5,16
2022-03-05,6,16
2022-03-05,7,40
2022-03-05,8,36
2022-03-05,9,55
2022-03-05,10,57
2022-03-05,11,71
2022-03-05,12,58
2022-03-05,13,101
2022-03-05,14,105
2022-03-05,15,93
2022-03-05,16,92
2022-03-05,17,88
2022-03-05,18,88
2022-03-05,19,67
2022-03-05,20,62
2022-03-05,21,58
2022-03-05,22,48
2022-03-05,23,48
2022-03-06,0,40
2022-03-06,1,32
2022-03-06,2,26
2022-03-06,3,21
2022-03-06,4,21
2022-03-06,5,16
2022-03-06,6,16
2022-03-06,7,31
2022-03-06,8,21
2022-03-06,9,44
2022-03-06,10,44
2022-03-06,11,52
2022-03-06,12,67
2022-03-06,13,92
2022-03-06,14,84
2022-03-06,15,101
2022-03-06,16,96
2022-03-06,17,80
2022-03-06,18,62
2022-03-06,19,52
2022-03-06,20,44
2022-03-06,21,36
2022-03-06,22,41
2022-03-06,23,21
2022-03-07,0,21
2022-03-07,1,21
2022-03-07,2,26
2022-03-07,3,12
2022-03-07,4,12
2022-03-07,5,17
2022-03-07,6,21
2022-03-07,7,48
2022-03-07,8,83
2022-03-07,9,85
2022-03-07,10,75
2022-03-07,11,87
2022-03-07,12,84
2022-03-07,13,84
2022-03-07,14,80
2022-03-07,15,92
2022-03-07,16,92
2022-03-07,17,93
2022-03-07,18,58
2022-03-07,19,53
2022-03-07,20,36
2022-03-07,21,57
2022-03-07,22,75
2022-03-07,23,58
2022-03-08,0,30
2022-03-08,1,12
2022-03-08,2,16
2022-03-08,3,16
2022-03-08,4,21
2022-03-08,5,21
2022-03-08,6,16
2022-03-08,7,53
2022-03-08,8,87
2022-03-08,9,88
2022-03-08,10,67
2022-03-08,11,72
2022-03-08,12,75
2022-03-08,13,80
2022-03-08,14,88
2022-03-08,15,79
2022-03-08,16,84
2022-03-08,17,116
2022-03-08,18,90
2022-03-08,19,67
2022-03-08,20,44
2022-03-08,21,71
2022-03-08,22,58
2022-03-08,23,53
2022-03-09,0,36
2022-03-09,1,26
2022-03-09,2,16
2022-03-09,3,16
2022-03-09,4,18
2022-03-09,5,16
2022-03-09,6,17
2022-03-09,7,58
2022-03-09,8,80
2022-03-09,9,88
2022-03-09,10,66
2022-03-09,11,71
2022-03-09,12,78
2022-03-09,13,80
2022-03-09,14,84
2022-03-09,15,77
2022-03-09,16,91
2022-03-09,17,110
2022-03-09,18,92
2022-03-09,19,71
2022-03-09,20,52
2022-03-09,21,79
2022-03-09,22,67
2022-03-09,23,53
2022-03-10,0,36
2022-03-10,1,12
2022-03-10,2,16
2022-03-10,3,16
2022-03-10,4,16
2022-03-10,5,21
2022-03-10,6,26
2022-03-10,7,52
2022-03-10,8,85
2022-03-10,9,92
2022-03-10,10,72
2022-03-10,11,71
2022-03-10,12,72
2022-03-10,13,76
2022-03-10,14,84
2022-03-10,15,79
2022-03-10,16,88
2022-03-10,17,101
2022-03-10,18,96
2022-03-10,19,62
2022-03-10,20,52
2022-03-10,21,96
2022-03-10,22,85
2022-03-10,23,53
2022-03-11,0,48
2022-03-11,1,16
2022-03-11,2,31
2022-03-11,3,21
2022-03-11,4,21
2022-03-11,5,16
2022-03-11,6,26
2022-03-11,7,53
2022-03-11,8,88
2022-03-11,9,74
2022-03-11,10,76
2022-03-11,11,80
2022-03-11,12,88
2022-03-11,13,96
2022-03-11,14,105
2022-03-11,15,100
2022-03-11,16,92
