date,time,flow
2022-03-01,0,20
2022-03-01,1,8
2022-03-01,2,11
2022-03-01,3,3
2022-03-01,4,4
2022-03-01,5,7
2022-03-01,6,26
2022-03-01,7,40
2022-03-01,8,40
2022-03-01,9,69
2022-03-01,10,87
2022-03-01,11,85
2022-03-01,12,60
2022-03-01,13,82
2022-03-01,14,67
2022-03-01,15,73
2022-03-01,16,82
2022-03-01,17,110
2022-03-01,18,74
2022-03-01,19,52
2022-03-01,20,45
2022-03-01,21,28
2022-03-01,22,32
2022-03-01,23,28
2022-03-02,0,33
2022-03-02,1,9
2022-03-02,2,10
2022-03-02,3,8
2022-03-02,4,8
2022-03-02,5,12
2022-03-02,6,22
2022-03-02,7,47
2022-03-02,8,63
2022-03-02,9,54
2022-03-02,10,76
2022-03-02,11,90
2022-03-02,12,93
2022-03-02,13,58
2022-03-02,14,63
2022-03-02,15,69
2022-03-02,16,83
2022-03-02,17,92
2022-03-02,18,81
2022-03-02,19,50
2022-03-02,20,52
2022-03-02,21,31
2022-03-02,22,66
2022-03-02,23,32
2022-03-03,0,31
2022-03-03,1,21
2022-03-03,2,10
2022-03-03,3,14
2022-03-03,4,9
2022-03-03,5,14
2022-03-03,6,28
2022-03-03,7,23
2022-03-03,8,62
2022-03-03,9,81
2022-03-03,10,81
2022-03-03,11,64
2022-03-03,12,86
2022-03-03,13,75
2022-03-03,14,70
2022-03-03,15,72
2022-03-03,16,86
2022-03-03,17,90
2022-03-03,18,76
2022-03-03,19,63
2022-03-03,20,48
2022-03-03,21,36
2022-03-03,22,35
2022-03-03,23,24
2022-03-04,0,17
2022-03-04,1,12
2022-03-04,2,8
2022-03-04,3,12
2022-03-04,4,13
2022-03-04,5,17
2022-03-04,6,30
2022-03-04,7,42
2022-03-04,8,57
2022-03-04,9,68
2022-03-04,10,58
2022-03-04,11,85
2022-03-04,12,72
2022-03-04,13,87
2022-03-04,14,73
2022-03-04,15,61
2022-03-04,16,92
2022-03-04,17,109
2022-03-04,18,107
2022-03-04,19,91
2022-03-04,20,70
2022-03-04,21,41
2022-03-04,22,57
2022-03-04,23,44
2022-03-05,0,37
2022-03-05,1,33
2022-03-05,2,23
2022-03-05,3,27
2022-03-05,4,29
2022-03-05,5,16
2022-03-05,6,24
2022-03-05,7,29
2022-03-05,8,37
2022-03-05,9,69
2022-03-05,10,70
2022-03-05,11,75
2022-03-05,12,85
2022-03-05,13,109
2022-03-05,14,117
2022-03-05,15,105
2022-03-05,16,81
2022-03-05,17,70
2022-03-05,18,104
2022-03-05,19,77
2022-03-05,20,85
2022-03-05,21,70
2022-03-05,22,76
2022-03-05,23,53
2022-03-06,0,67
2022-03-06,1,37
2022-03-06,2,35
2022-03-06,3,25
2022-03-06,4,29
2022-03-06,5,22
2022-03-06,6,16
2022-03-06,7,25
2022-03-06,8,31
2022-03-06,9,32
2022-03-06,10,43
2022-03-06,11,46
2022-03-06,12,70
2022-03-06,13,62
2022-03-06,14,71
2022-03-06,15,79
2022-03-06,16,65
2022-03-06,17,51
2022-03-06,18,54
2022-03-06,19,42
2022-03-06,20,31
2022-03-06,21,37
2022-03-06,22,27
2022-03-06,23,38
2022-03-07,0,28
2022-03-07,1,14
2022-03-07,2,11
2022-03-07,3,4
2022-03-07,4,5
2022-03-07,5,11
2022-03-07,6,26
2022-03-07,7,28
2022-03-07,8,44
2022-03-07,9,58
2022-03-07,10,74
2022-03-07,11,88
2022-03-07,12,94
2022-03-07,13,71
2022-03-07,14,90
2022-03-07,15,54
2022-03-07,16,89
2022-03-07,17,87
2022-03-07,18,77
2022-03-07,19,57
2022-03-07,20,32
2022-03-07,21,33
2022-03-07,22,38
2022-03-07,23,25
2022-03-08,0,22
2022-03-08,1,16
2022-03-08,2,11
2022-03-08,3,15
2022-03-08,4,9
2022-03-08,5,13
2022-03-08,6,22
2022-03-08,7,38
