date,time,flow
2022-03-01,0,16
2022-03-01,1,16
2022-03-01,2,5
2022-03-01,3,0
2022-03-01,4,2
2022-03-01,5,0
2022-03-01,6,7
2022-03-01,7,16
2022-03-01,8,22
2022-03-01,9,26
2022-03-01,10,26
2022-03-01,11,44
2022-03-01,12,28
2022-03-01,13,35
2022-03-01,14,21
2022-03-01,15,28
2022-03-01,16,36
2022-03-01,17,34
2022-03-01,18,35
2022-03-01,19,36
2022-03-01,20,27
2022-03-01,21,12
2022-03-01,22,22
2022-03-01,23,25
2022-03-02,0,6
2022-03-02,1,12
2022-03-02,2,3
2022-03-02,3,3
2022-03-02,4,4
2022-03-02,5,0
2022-03-02,6,5
2022-03-02,7,21
2022-03-02,8,30
2022-03-02,9,24
2022-03-02,10,24
2022-03-02,11,27
2022-03-02,12,30
2022-03-02,13,35
2022-03-02,14,29
2022-03-02,15,36
2022-03-02,16,33
2022-03-02,17,59
2022-03-02,18,44
2022-03-02,19,30
2022-03-02,20,27
2022-03-02,21,21
2022-03-02,22,44
2022-03-02,23,14
2022-03-03,0,12
2022-03-03,1,8
2022-03-03,2,12
2022-03-03,3,2
2022-03-03,4,0
2022-03-03,5,3
2022-03-03,6,7
2022-03-03,7,26
2022-03-03,8,29
2022-03-03,9,32
2022-03-03,10,23
2022-03-03,11,33
2022-03-03,12,32
2022-03-03,13,22
2022-03-03,14,30
2022-03-03,15,38
2022-03-03,16,38
2022-03-03,17,42
2022-03-03,18,36
2022-03-03,19,40
2022-03-03,20,33
2022-03-03,21,22
2022-03-03,22,22
2022-03-03,23,10
2022-03-04,0,16
2022-03-04,1,16
2022-03-04,2,8
2022-03-04,3,2
2022-03-04,4,6
2022-03-04,5,3
2022-03-04,6,10
2022-03-04,7,21
2022-03-04,8,36
2022-03-04,9,41
2022-03-04,10,35
2022-03-04,11,23
2022-03-04,12,35
2022-03-04,13,27
2022-03-04,14,40
2022-03-04,15,28
2022-03-04,16,42
2022-03-04,17,34
2022-03-04,18,32
2022-03-04,19,29
2022-03-04,20,34
2022-03-04,21,27
2022-03-04,22,21
2022-03-04,23,19
2022-03-05,0,21
2022-03-05,1,14
2022-03-05,2,10
2022-03-05,3,7
2022-03-05,4,2
2022-03-05,5,9
2022-03-05,6,1
2022-03-05,7,16
2022-03-05,8,26
2022-03-05,9,22
2022-03-05,10,26
2022-03-05,11,30
2022-03-05,12,27
