date,time,flow
2022-03-01,0,16
2022-03-01,1,21
2022-03-01,2,44
2022-03-01,3,70
2022-03-01,4,101
2022-03-01,5,84
2022-03-01,6,57
2022-03-01,7,92
2022-03-01,8,110
2022-03-01,9,127
2022-03-01,10,89
2022-03-01,11,93
2022-03-01,12,86
2022-03-01,13,92
2022-03-01,14,96
2022-03-01,15,92
2022-03-01,16,84
2022-03-01,17,109
2022-03-01,18,115
2022-03-01,19,66
2022-03-01,20,53
2022-03-01,21,36
2022-03-01,22,44
2022-03-01,23,75
2022-03-02,0,43
2022-03-02,1,34
2022-03-02,2,76
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,4
2022-03-02,6,21
2022-03-02,7,62
2022-03-02,8,97
2022-03-02,9,123
2022-03-02,10,88
2022-03-02,11,80
2022-03-02,12,96
2022-03-02,13,92
2022-03-02,14,84
2022-03-02,15,84
2022-03-02,16,114
2022-03-02,17,115
2022-03-02,18,93
2022-03-02,19,96
2022-03-02,20,53
2022-03-02,21,31
2022-03-02,22,66
2022-03-02,23,16
2022-03-03,0,17
2022-03-03,1,26
2022-03-03,2,18
2022-03-03,3,0
2022-03-03,4,0
2022-03-03,5,8
2022-03-03,6,21
2022-03-03,7,76
2022-03-03,8,78
2022-03-03,9,128
2022-03-03,10,53
2022-03-03,11,0
2022-03-03,12,0
2022-03-03,13,0
2022-03-03,14,0
2022-03-03,15,0
2022-03-03,16,0
2022-03-03,17,0
2022-03-03,18,0
2022-03-03,19,13
2022-03-03,20,53
2022-03-03,21,35
2022-03-03,22,26
2022-03-03,23,16
2022-03-04,0,13
2022-03-04,1,57
2022-03-04,2,0
2022-03-04,3,0
2022-03-04,4,0
2022-03-04,5,8
2022-03-04,6,21
2022-03-04,7,66
2022-03-04,8,84
2022-03-04,9,114
2022-03-04,10,84
2022-03-04,11,88
2022-03-04,12,110
2022-03-04,13,145
2022-03-04,14,132
2022-03-04,15,123
2022-03-04,16,92
2022-03-04,17,118
2022-03-04,18,96
2022-03-04,19,88
2022-03-04,20,53
2022-03-04,21,36
2022-03-04,22,21
2022-03-04,23,16
