date,time,flow
2022-03-01,0,27
2022-03-01,1,15
2022-03-01,2,7
2022-03-01,3,7
2022-03-01,4,5
2022-03-01,5,10
2022-03-01,6,21
2022-03-01,7,83
2022-03-01,8,155
2022-03-01,9,119
2022-03-01,10,114
2022-03-01,11,78
2022-03-01,12,99
2022-03-01,13,97
2022-03-01,14,107
2022-03-01,15,105
2022-03-01,16,112
2022-03-01,17,157
2022-03-01,18,106
2022-03-01,19,80
2022-03-01,20,64
2022-03-01,21,48
2022-03-01,22,39
2022-03-01,23,37
2022-03-02,0,32
2022-03-02,1,17
2022-03-02,2,7
2022-03-02,3,2
2022-03-02,4,6
2022-03-02,5,14
2022-03-02,6,23
2022-03-02,7,112
2022-03-02,8,160
2022-03-02,9,129
2022-03-02,10,99
2022-03-02,11,107
2022-03-02,12,90
2022-03-02,13,105
2022-03-02,14,129
2022-03-02,15,103
2022-03-02,16,126
2022-03-02,17,151
2022-03-02,18,97
2022-03-02,19,86
2022-03-02,20,64
2022-03-02,21,53
2022-03-02,22,53
2022-03-02,23,49
2022-03-03,0,19
2022-03-03,1,11
2022-03-03,2,10
2022-03-03,3,7
2022-03-03,4,11
2022-03-03,5,12
2022-03-03,6,29
2022-03-03,7,105
2022-03-03,8,173
2022-03-03,9,136
2022-03-03,10,102
2022-03-03,11,111
2022-03-03,12,108
2022-03-03,13,105
2022-03-03,14,107
2022-03-03,15,104
2022-03-03,16,110
2022-03-03,17,122
2022-03-03,18,99
2022-03-03,19,95
2022-03-03,20,56
2022-03-03,21,57
2022-03-03,22,52
2022-03-03,23,47
2022-03-04,0,29
2022-03-04,1,14
2022-03-04,2,12
2022-03-04,3,11
2022-03-04,4,10
2022-03-04,5,12
2022-03-04,6,31
2022-03-04,7,84
2022-03-04,8,156
2022-03-04,9,93
2022-03-04,10,114
2022-03-04,11,95
2022-03-04,12,115
2022-03-04,13,118
2022-03-04,14,116
2022-03-04,15,125
2022-03-04,16,129
2022-03-04,17,132
2022-03-04,18,134
2022-03-04,19,127
2022-03-04,20,69
2022-03-04,21,77
2022-03-04,22,69
2022-03-04,23,79
2022-03-05,0,60
2022-03-05,1,48
2022-03-05,2,34
2022-03-05,3,24
2022-03-05,4,14
2022-03-05,5,11
2022-03-05,6,10
2022-03-05,7,41
2022-03-05,8,50
2022-03-05,9,78
2022-03-05,10,90
2022-03-05,11,75
2022-03-05,12,103
2022-03-05,13,129
2022-03-05,14,115
2022-03-05,15,132
2022-03-05,16,80
2022-03-05,17,112
2022-03-05,18,92
2022-03-05,19,111
2022-03-05,20,76
2022-03-05,21,67
2022-03-05,22,66
2022-03-05,23,72
2022-03-06,0,37
2022-03-06,1,35
2022-03-06,2,35
2022-03-06,3,27
2022-03-06,4,21
2022-03-06,5,11
2022-03-06,6,14
2022-03-06,7,20
2022-03-06,8,31
2022-03-06,9,45
2022-03-06,10,78
2022-03-06,11,80
2022-03-06,12,94
2022-03-06,13,92
2022-03-06,14,91
2022-03-06,15,89
2022-03-06,16,89
2022-03-06,17,92
2022-03-06,18,78
2022-03-06,19,73
2022-03-06,20,58
2022-03-06,21,64
2022-03-06,22,43
2022-03-06,23,39
2022-03-07,0,29
2022-03-07,1,9
2022-03-07,2,8
2022-03-07,3,8
2022-03-07,4,8
2022-03-07,5,17
2022-03-07,6,23
2022-03-07,7,93
2022-03-07,8,146
2022-03-07,9,125
2022-03-07,10,114
2022-03-07,11,104
2022-03-07,12,98
2022-03-07,13,102
2022-03-07,14,103
2022-03-07,15,106
2022-03-07,16,120
2022-03-07,17,131
2022-03-07,18,95
2022-03-07,19,65
2022-03-07,20,72
2022-03-07,21,54
2022-03-07,22,48
2022-03-07,23,41
2022-03-08,0,35
2022-03-08,1,13
2022-03-08,2,9
2022-03-08,3,11
2022-03-08,4,9
2022-03-08,5,21
2022-03-08,6,31
2022-03-08,7,106
2022-03-08,8,155
2022-03-08,9,122
2022-03-08,10,108
2022-03-08,11,81
2022-03-08,12,107
2022-03-08,13,92
2022-03-08,14,120
2022-03-08,15,120
2022-03-08,16,113
2022-03-08,17,112
2022-03-08,18,84
2022-03-08,19,99
2022-03-08,20,74
2022-03-08,21,54
2022-03-08,22,37
2022-03-08,23,30
2022-03-09,0,27
2022-03-09,1,11
2022-03-09,2,8
2022-03-09,3,8
2022-03-09,4,8
2022-03-09,5,19
2022-03-09,6,18
2022-03-09,7,111
2022-03-09,8,159
2022-03-09,9,113
2022-03-09,10,95
