date,time,flow
2022-03-01,0,52
2022-03-01,1,39
2022-03-01,2,16
2022-03-01,3,16
2022-03-01,4,12
2022-03-01,5,21
2022-03-01,6,58
2022-03-01,7,114
2022-03-01,8,168
2022-03-01,9,167
2022-03-01,10,189
2022-03-01,11,155
2022-03-01,12,181
2022-03-01,13,188
2022-03-01,14,185
2022-03-01,15,199
2022-03-01,16,206
2022-03-01,17,220
2022-03-01,18,216
2022-03-01,19,164
2022-03-01,20,145
2022-03-01,21,110
2022-03-01,22,100
2022-03-01,23,80
2022-03-02,0,62
2022-03-02,1,31
2022-03-02,2,16
2022-03-02,3,16
2022-03-02,4,16
2022-03-02,5,21
2022-03-02,6,48
2022-03-02,7,110
2022-03-02,8,168
2022-03-02,9,180
2022-03-02,10,160
2022-03-02,11,176
2022-03-02,12,194
2022-03-02,13,194
2022-03-02,14,220
2022-03-02,15,215
2022-03-02,16,212
2022-03-02,17,203
2022-03-02,18,207
2022-03-02,19,190
2022-03-02,20,150
2022-03-02,21,120
2022-03-02,22,154
2022-03-02,23,96
2022-03-03,0,88
2022-03-03,1,26
2022-03-03,2,16
2022-03-03,3,21
2022-03-03,4,16
2022-03-03,5,21
2022-03-03,6,53
2022-03-03,7,110
2022-03-03,8,163
2022-03-03,9,171
2022-03-03,10,133
2022-03-03,11,168
2022-03-03,12,168
2022-03-03,13,177
2022-03-03,14,181
2022-03-03,15,189
2022-03-03,16,229
2022-03-03,17,189
2022-03-03,18,180
2022-03-03,19,150
2022-03-03,20,128
2022-03-03,21,88
2022-03-03,22,80
2022-03-03,23,67
2022-03-04,0,67
2022-03-04,1,31
2022-03-04,2,16
2022-03-04,3,16
2022-03-04,4,16
2022-03-04,5,21
2022-03-04,6,44
2022-03-04,7,106
2022-03-04,8,155
2022-03-04,9,159
2022-03-04,10,145
2022-03-04,11,168
2022-03-04,12,203
2022-03-04,13,217
2022-03-04,14,226
2022-03-04,15,243
2022-03-04,16,229
2022-03-04,17,216
2022-03-04,18,210
2022-03-04,19,194
2022-03-04,20,157
2022-03-04,21,114
2022-03-04,22,128
2022-03-04,23,105
2022-03-05,0,92
2022-03-05,1,128
2022-03-05,2,62
2022-03-05,3,40
2022-03-05,4,21
2022-03-05,5,21
2022-03-05,6,26
2022-03-05,7,49
2022-03-05,8,72
2022-03-05,9,105
2022-03-05,10,123
2022-03-05,11,150
2022-03-05,12,176
2022-03-05,13,203
2022-03-05,14,210
2022-03-05,15,199
2022-03-05,16,180
2022-03-05,17,189
2022-03-05,18,168
2022-03-05,19,167
2022-03-05,20,146
2022-03-05,21,118
2022-03-05,22,109
2022-03-05,23,100
2022-03-06,0,96
2022-03-06,1,70
2022-03-06,2,44
2022-03-06,3,40
2022-03-06,4,35
2022-03-06,5,21
2022-03-06,6,26
2022-03-06,7,31
2022-03-06,8,40
2022-03-06,9,62
2022-03-06,10,80
2022-03-06,11,114
2022-03-06,12,145
2022-03-06,13,172
2022-03-06,14,190
2022-03-06,15,172
2022-03-06,16,193
2022-03-06,17,146
2022-03-06,18,136
2022-03-06,19,141
2022-03-06,20,128
2022-03-06,21,96
2022-03-06,22,76
2022-03-06,23,71
2022-03-07,0,65
2022-03-07,1,35
2022-03-07,2,16
2022-03-07,3,16
