date,time,flow
2022-03-01,0,49
2022-03-01,1,31
2022-03-01,2,11
2022-03-01,3,10
2022-03-01,4,7
2022-03-01,5,14
2022-03-01,6,31
2022-03-01,7,76
2022-03-01,8,132
2022-03-01,9,148
2022-03-01,10,130
2022-03-01,11,153
2022-03-01,12,137
2022-03-01,13,147
2022-03-01,14,155
2022-03-01,15,154
2022-03-01,16,151
2022-03-01,17,158
2022-03-01,18,175
2022-03-01,19,149
2022-03-01,20,124
2022-03-01,21,94
2022-03-01,22,71
2022-03-01,23,64
2022-03-02,0,56
2022-03-02,1,31
2022-03-02,2,11
2022-03-02,3,12
2022-03-02,4,8
2022-03-02,5,19
2022-03-02,6,32
2022-03-02,7,77
2022-03-02,8,139
2022-03-02,9,133
2022-03-02,10,128
2022-03-02,11,122
2022-03-02,12,158
2022-03-02,13,169
2022-03-02,14,153
2022-03-02,15,161
2022-03-02,16,163
2022-03-02,17,171
2022-03-02,18,172
2022-03-02,19,217
2022-03-02,20,188
2022-03-02,21,100
2022-03-02,22,133
2022-03-02,23,106
2022-03-03,0,77
2022-03-03,1,33
2022-03-03,2,17
2022-03-03,3,18
2022-03-03,4,14
2022-03-03,5,15
2022-03-03,6,29
2022-03-03,7,89
2022-03-03,8,111
2022-03-03,9,139
2022-03-03,10,68
2022-03-03,11,0
2022-03-03,12,0
2022-03-03,13,0
2022-03-03,14,0
2022-03-03,15,0
2022-03-03,16,0
2022-03-03,17,0
2022-03-03,18,0
2022-03-03,19,0
2022-03-03,20,0
2022-03-03,21,0
2022-03-03,22,0
2022-03-03,23,0
2022-03-04,0,33
2022-03-04,1,38
2022-03-04,2,22
2022-03-04,3,21
2022-03-04,4,23
2022-03-04,5,19
2022-03-04,6,34
2022-03-04,7,79
2022-03-04,8,113
2022-03-04,9,150
2022-03-04,10,132
2022-03-04,11,166
2022-03-04,12,152
2022-03-04,13,190
2022-03-04,14,163
2022-03-04,15,156
2022-03-04,16,159
2022-03-04,17,189
2022-03-04,18,192
2022-03-04,19,197
2022-03-04,20,212
2022-03-04,21,114
2022-03-04,22,176
2022-03-04,23,153
2022-03-05,0,67
2022-03-05,1,62
2022-03-05,2,56
2022-03-05,3,41
2022-03-05,4,25
2022-03-05,5,29
2022-03-05,6,23
2022-03-05,7,36
2022-03-05,8,54
2022-03-05,9,84
2022-03-05,10,102
2022-03-05,11,112
2022-03-05,12,128
2022-03-05,13,149
2022-03-05,14,179
2022-03-05,15,172
2022-03-05,16,164
2022-03-05,17,183
2022-03-05,18,188
2022-03-05,19,65
2022-03-05,20,115
2022-03-05,21,129
2022-03-05,22,146
2022-03-05,23,153
2022-03-06,0,139
2022-03-06,1,76
2022-03-06,2,63
2022-03-06,3,60
2022-03-06,4,48
2022-03-06,5,31
2022-03-06,6,23
2022-03-06,7,21
2022-03-06,8,40
2022-03-06,9,49
2022-03-06,10,79
2022-03-06,11,115
2022-03-06,12,146
2022-03-06,13,131
2022-03-06,14,146
2022-03-06,15,147
2022-03-06,16,163
2022-03-06,17,138
2022-03-06,18,116
2022-03-06,19,133
2022-03-06,20,111
2022-03-06,21,96
2022-03-06,22,115
2022-03-06,23,89
2022-03-07,0,41
2022-03-07,1,57
2022-03-07,2,18
2022-03-07,3,20
2022-03-07,4,13
2022-03-07,5,14
2022-03-07,6,24
2022-03-07,7,69
2022-03-07,8,128
2022-03-07,9,145
2022-03-07,10,124
2022-03-07,11,135
2022-03-07,12,145
2022-03-07,13,155
2022-03-07,14,144
2022-03-07,15,162
2022-03-07,16,171
2022-03-07,17,165
2022-03-07,18,162
2022-03-07,19,145
2022-03-07,20,109
2022-03-07,21,72
2022-03-07,22,83
2022-03-07,23,84
2022-03-08,0,58
2022-03-08,1,38
2022-03-08,2,26
2022-03-08,3,15
2022-03-08,4,7
2022-03-08,5,17
2022-03-08,6,31
2022-03-08,7,65
2022-03-08,8,139
2022-03-08,9,128
2022-03-08,10,136
2022-03-08,11,141
2022-03-08,12,144
2022-03-08,13,146
2022-03-08,14,172
2022-03-08,15,146
2022-03-08,16,159
2022-03-08,17,166
2022-03-08,18,167
2022-03-08,19,127
2022-03-08,20,99
2022-03-08,21,93
2022-03-08,22,76
2022-03-08,23,59
2022-03-09,0,36
2022-03-09,1,23
2022-03-09,2,13
2022-03-09,3,11
2022-03-09,4,20
2022-03-09,5,16
2022-03-09,6,19
2022-03-09,7,74
2022-03-09,8,138
2022-03-09,9,124
2022-03-09,10,134
2022-03-09,11,163
2022-03-09,12,139
2022-03-09,13,160
2022-03-09,14,138
2022-03-09,15,175
2022-03-09,16,155
2022-03-09,17,167
2022-03-09,18,166
2022-03-09,19,137
2022-03-09,20,122
2022-03-09,21,96
2022-03-09,22,92
2022-03-09,23,79
2022-03-10,0,50
2022-03-10,1,37
2022-03-10,2,23
2022-03-10,3,15
2022-03-10,4,14
2022-03-10,5,25
2022-03-10,6,32
2022-03-10,7,67
2022-03-10,8,119
2022-03-10,9,132
2022-03-10,10,136
2022-03-10,11,147
2022-03-10,12,153
2022-03-10,13,161
2022-03-10,14,139
2022-03-10,15,132
2022-03-10,16,156
2022-03-10,17,188
2022-03-10,18,166
2022-03-10,19,140
2022-03-10,20,132
2022-03-10,21,135
2022-03-10,22,143
2022-03-10,23,134
2022-03-11,0,116
2022-03-11,1,54
2022-03-11,2,31
2022-03-11,3,30
2022-03-11,4,33
2022-03-11,5,21
2022-03-11,6,26
2022-03-11,7,61
2022-03-11,8,121
2022-03-11,9,133
2022-03-11,10,113
2022-03-11,11,125
2022-03-11,12,159
2022-03-11,13,156
2022-03-11,14,151
2022-03-11,15,154
2022-03-11,16,167
2022-03-11,17,155
2022-03-11,18,181
2022-03-11,19,156
2022-03-11,20,134
2022-03-11,21,110
2022-03-11,22,112
2022-03-11,23,125
2022-03-12,0,76
2022-03-12,1,76
2022-03-12,2,52
2022-03-12,3,49
2022-03-12,4,37
2022-03-12,5,17
2022-03-12,6,25
2022-03-12,7,37
2022-03-12,8,52
2022-03-12,9,72
2022-03-12,10,130
2022-03-12,11,105
2022-03-12,12,137
2022-03-12,13,139
2022-03-12,14,157
2022-03-12,15,134
2022-03-12,16,149
2022-03-12,17,149
2022-03-12,18,180
2022-03-12,19,166
2022-03-12,20,166
2022-03-12,21,114
2022-03-12,22,123
2022-03-12,23,155
2022-03-13,0,93
2022-03-13,1,86
2022-03-13,2,63
2022-03-13,3,66
2022-03-13,4,38
2022-03-13,5,35
2022-03-13,6,22
2022-03-13,7,17
2022-03-13,8,29
2022-03-13,9,53
2022-03-13,10,113
2022-03-13,11,131
2022-03-13,12,168
2022-03-13,13,182
2022-03-13,14,180
2022-03-13,15,182
2022-03-13,16,194
2022-03-13,17,154
2022-03-13,18,192
2022-03-13,19,171
2022-03-13,20,142
2022-03-13,21,118
2022-03-13,22,141
2022-03-13,23,115
2022-03-14,0,89
2022-03-14,1,43
2022-03-14,2,20
2022-03-14,3,24
2022-03-14,4,18
2022-03-14,5,26
2022-03-14,6,31
2022-03-14,7,99
2022-03-14,8,156
2022-03-14,9,118
2022-03-14,10,118
2022-03-14,11,149
2022-03-14,12,186
2022-03-14,13,143
2022-03-14,14,147
2022-03-14,15,175
2022-03-14,16,166
2022-03-14,17,158
2022-03-14,18,171
2022-03-14,19,149
2022-03-14,20,129
2022-03-14,21,95
2022-03-14,22,79
2022-03-14,23,71
2022-03-15,0,43
2022-03-15,1,14
2022-03-15,2,11
2022-03-15,3,9
2022-03-15,4,16
2022-03-15,5,12
2022-03-15,6,24
2022-03-15,7,76
2022-03-15,8,98
2022-03-15,9,132
2022-03-15,10,124
2022-03-15,11,139
2022-03-15,12,122
2022-03-15,13,144
2022-03-15,14,95
2022-03-15,15,121
2022-03-15,16,162
2022-03-15,17,204
2022-03-15,18,128
2022-03-15,19,142
2022-03-15,20,130
2022-03-15,21,118
2022-03-15,22,120
2022-03-15,23,89
2022-03-16,0,76
2022-03-16,1,36
2022-03-16,2,15
2022-03-16,3,16
2022-03-16,4,14
2022-03-16,5,27
2022-03-16,6,32
2022-03-16,7,73
2022-03-16,8,124
2022-03-16,9,129
2022-03-16,10,123
2022-03-16,11,144
2022-03-16,12,131
2022-03-16,13,155
2022-03-16,14,144
2022-03-16,15,153
2022-03-16,16,149
2022-03-16,17,172
2022-03-16,18,160
2022-03-16,19,129
2022-03-16,20,141
2022-03-16,21,142
2022-03-16,22,151
2022-03-16,23,109
2022-03-17,0,90
2022-03-17,1,49
2022-03-17,2,22
2022-03-17,3,18
2022-03-17,4,19
2022-03-17,5,15
2022-03-17,6,22
2022-03-17,7,79
2022-03-17,8,131
2022-03-17,9,147
2022-03-17,10,127
2022-03-17,11,123
2022-03-17,12,137
2022-03-17,13,166
2022-03-17,14,162
2022-03-17,15,140
2022-03-17,16,156
2022-03-17,17,122
2022-03-17,18,173
2022-03-17,19,120
2022-03-17,20,120
2022-03-17,21,126
2022-03-17,22,153
2022-03-17,23,97
2022-03-18,0,88
2022-03-18,1,40
2022-03-18,2,28
2022-03-18,3,28
2022-03-18,4,21
2022-03-18,5,26
2022-03-18,6,26
2022-03-18,7,88
2022-03-18,8,110
2022-03-18,9,130
2022-03-18,10,126
2022-03-18,11,127
2022-03-18,12,129
2022-03-18,13,161
2022-03-18,14,173
2022-03-18,15,158
2022-03-18,16,158
2022-03-18,17,155
2022-03-18,18,170
2022-03-18,19,147
2022-03-18,20,118
2022-03-18,21,99
2022-03-18,22,129
2022-03-18,23,116
2022-03-19,0,87
2022-03-19,1,60
2022-03-19,2,48
2022-03-19,3,28
2022-03-19,4,28
2022-03-19,5,21
2022-03-19,6,31
2022-03-19,7,40
2022-03-19,8,57
2022-03-19,9,84
2022-03-19,10,110
2022-03-19,11,109
2022-03-19,12,136
2022-03-19,13,145
2022-03-19,14,155
2022-03-19,15,150
2022-03-19,16,160
2022-03-19,17,129
2022-03-19,18,163
2022-03-19,19,131
2022-03-19,20,113
2022-03-19,21,83
2022-03-19,22,83
2022-03-19,23,98
2022-03-20,0,97
2022-03-20,1,50
2022-03-20,2,50
2022-03-20,3,40
2022-03-20,4,36
2022-03-20,5,31
2022-03-20,6,19
2022-03-20,7,13
2022-03-20,8,32
2022-03-20,9,44
2022-03-20,10,76
2022-03-20,11,94
2022-03-20,12,100
2022-03-20,13,115
2022-03-20,14,127
2022-03-20,15,65
2022-03-20,16,134
2022-03-20,17,138
2022-03-20,18,164
2022-03-20,19,151
2022-03-20,20,171
2022-03-20,21,103
2022-03-20,22,108
2022-03-20,23,82
2022-03-21,0,56
2022-03-21,1,47
2022-03-21,2,9
2022-03-21,3,10
2022-03-21,4,11
2022-03-21,5,18
2022-03-21,6,30
2022-03-21,7,57
2022-03-21,8,121
2022-03-21,9,115
2022-03-21,10,144
2022-03-21,11,136
2022-03-21,12,155
2022-03-21,13,142
2022-03-21,14,150
2022-03-21,15,137
2022-03-21,16,145
2022-03-21,17,142
2022-03-21,18,138
2022-03-21,19,144
2022-03-21,20,136
2022-03-21,21,116
2022-03-21,22,91
2022-03-21,23,101
2022-03-22,0,40
2022-03-22,1,28
2022-03-22,2,7
2022-03-22,3,8
2022-03-22,4,8
2022-03-22,5,15
2022-03-22,6,27
2022-03-22,7,72
2022-03-22,8,129
2022-03-22,9,150
2022-03-22,10,124
2022-03-22,11,143
2022-03-22,12,114
2022-03-22,13,172
2022-03-22,14,146
2022-03-22,15,127
2022-03-22,16,149
2022-03-22,17,92
2022-03-22,18,63
2022-03-22,19,147
2022-03-22,20,108
2022-03-22,21,51
2022-03-22,22,59
2022-03-22,23,53
2022-03-23,0,27
2022-03-23,1,28
2022-03-23,2,16
2022-03-23,3,13
2022-03-23,4,10
2022-03-23,5,12
2022-03-23,6,30
2022-03-23,7,86
2022-03-23,8,129
2022-03-23,9,130
2022-03-23,10,135
2022-03-23,11,133
2022-03-23,12,128
2022-03-23,13,150
2022-03-23,14,148
2022-03-23,15,142
2022-03-23,16,147
2022-03-23,17,171
2022-03-23,18,236
2022-03-23,19,178
2022-03-23,20,140
2022-03-23,21,125
2022-03-23,22,133
2022-03-23,23,102
2022-03-24,0,81
2022-03-24,1,40
2022-03-24,2,17
2022-03-24,3,14
2022-03-24,4,13
2022-03-24,5,16
2022-03-24,6,25
2022-03-24,7,63
2022-03-24,8,138
2022-03-24,9,138
2022-03-24,10,125
2022-03-24,11,128
2022-03-24,12,146
2022-03-24,13,144
2022-03-24,14,182
2022-03-24,15,144
2022-03-24,16,177
2022-03-24,17,170
2022-03-24,18,186
2022-03-24,19,209
2022-03-24,20,129
2022-03-24,21,90
2022-03-24,22,90
2022-03-24,23,76
2022-03-25,0,32
2022-03-25,1,43
2022-03-25,2,22
2022-03-25,3,12
2022-03-25,4,12
2022-03-25,5,16
2022-03-25,6,28
2022-03-25,7,69
2022-03-25,8,124
2022-03-25,9,121
2022-03-25,10,139
2022-03-25,11,122
2022-03-25,12,142
2022-03-25,13,145
2022-03-25,14,146
2022-03-25,15,161
2022-03-25,16,173
2022-03-25,17,133
2022-03-25,18,150
2022-03-25,19,146
2022-03-25,20,135
2022-03-25,21,94
2022-03-25,22,104
2022-03-25,23,103
2022-03-26,0,92
2022-03-26,1,54
2022-03-26,2,43
2022-03-26,3,40
2022-03-26,4,35
2022-03-26,5,24
2022-03-26,6,18
2022-03-26,7,36
2022-03-26,8,63
2022-03-26,9,79
2022-03-26,10,103
2022-03-26,11,141
2022-03-26,12,147
2022-03-26,13,151
2022-03-26,14,153
2022-03-26,15,155
2022-03-26,16,106
2022-03-26,17,134
2022-03-26,18,149
2022-03-26,19,189
2022-03-26,20,182
2022-03-26,21,124
2022-03-26,22,126
2022-03-26,23,149
2022-03-27,0,131
2022-03-27,1,66
2022-03-27,2,59
2022-03-27,3,51
2022-03-27,4,37
2022-03-27,5,27
2022-03-27,6,18
2022-03-27,7,27
2022-03-27,8,42
2022-03-27,9,70
2022-03-27,10,88
2022-03-27,11,117
2022-03-27,12,128
2022-03-27,13,135
2022-03-27,14,129
2022-03-27,15,110
2022-03-27,16,130
2022-03-27,17,120
2022-03-27,18,125
2022-03-27,19,123
2022-03-27,20,77
2022-03-27,21,81
2022-03-27,22,67
2022-03-27,23,48
2022-03-28,0,36
2022-03-28,1,14
2022-03-28,2,9
2022-03-28,3,14
2022-03-28,4,18
2022-03-28,5,20
2022-03-28,6,70
2022-03-28,7,139
2022-03-28,8,122
2022-03-28,9,124
2022-03-28,10,120
2022-03-28,11,152
2022-03-28,12,130
2022-03-28,13,148
2022-03-28,14,148
2022-03-28,15,136
2022-03-28,16,152
2022-03-28,17,147
2022-03-28,18,130
2022-03-28,19,109
2022-03-28,20,115
2022-03-28,21,109
2022-03-28,22,57
2022-03-28,23,41
2022-03-29,0,21
2022-03-29,1,16
2022-03-29,2,13
2022-03-29,3,10
2022-03-29,4,26
2022-03-29,5,34
2022-03-29,6,83
2022-03-29,7,97
2022-03-29,8,124
2022-03-29,9,153
2022-03-29,10,103
2022-03-29,11,123
2022-03-29,12,140
2022-03-29,13,147
2022-03-29,14,140
2022-03-29,15,145
2022-03-29,16,173
2022-03-29,17,151
2022-03-29,18,157
2022-03-29,19,120
2022-03-29,20,80
2022-03-29,21,76
2022-03-29,22,62
2022-03-29,23,40
2022-03-30,0,29
2022-03-30,1,10
2022-03-30,2,21
2022-03-30,3,14
2022-03-30,4,16
2022-03-30,5,34
2022-03-30,6,79
2022-03-30,7,136
2022-03-30,8,131
2022-03-30,9,124
2022-03-30,10,111
2022-03-30,11,156
2022-03-30,12,142
2022-03-30,13,136
2022-03-30,14,126
2022-03-30,15,151
2022-03-30,16,128
2022-03-30,17,205
2022-03-30,18,129
2022-03-30,19,136
2022-03-30,20,91
2022-03-30,21,77
2022-03-30,22,63
2022-03-30,23,62
2022-03-31,0,29
2022-03-31,1,19
2022-03-31,2,12
2022-03-31,3,15
2022-03-31,4,16
2022-03-31,5,32
2022-03-31,6,78
2022-03-31,7,111
2022-03-31,8,147
2022-03-31,9,127
2022-03-31,10,144
2022-03-31,11,146
2022-03-31,12,143
2022-03-31,13,137
2022-03-31,14,152
2022-03-31,15,202
2022-03-31,16,198
2022-03-31,17,208
2022-03-31,18,172
2022-03-31,19,151
2022-03-31,20,90
2022-03-31,21,113
2022-03-31,22,103
2022-03-31,23,50
2022-04-01,0,13
2022-04-01,1,31
2022-04-01,2,12
2022-04-01,3,17
2022-04-01,4,18
2022-04-01,5,35
2022-04-01,6,75
2022-04-01,7,124
2022-04-01,8,133
2022-04-01,9,134
2022-04-01,10,144
2022-04-01,11,156
2022-04-01,12,166
2022-04-01,13,160
2022-04-01,14,153
2022-04-01,15,154
2022-04-01,16,185
2022-04-01,17,194
2022-04-01,18,179
2022-04-01,19,142
2022-04-01,20,132
2022-04-01,21,184
2022-04-01,22,103
2022-04-01,23,54
2022-04-02,0,61
2022-04-02,1,43
2022-04-02,2,44
2022-04-02,3,24
2022-04-02,4,23
2022-04-02,5,21
2022-04-02,6,32
2022-04-02,7,51
2022-04-02,8,84
2022-04-02,9,102
2022-04-02,10,109
2022-04-02,11,116
2022-04-02,12,142
2022-04-02,13,170
2022-04-02,14,146
2022-04-02,15,135
2022-04-02,16,163
2022-04-02,17,154
2022-04-02,18,177
2022-04-02,19,171
2022-04-02,20,119
2022-04-02,21,98
2022-04-02,22,134
2022-04-02,23,90
2022-04-03,0,66
2022-04-03,1,44
2022-04-03,2,46
2022-04-03,3,28
2022-04-03,4,22
2022-04-03,5,16
2022-04-03,6,19
2022-04-03,7,26
2022-04-03,8,56
2022-04-03,9,79
2022-04-03,10,99
2022-04-03,11,95
2022-04-03,12,86
2022-04-03,13,127
2022-04-03,14,135
2022-04-03,15,147
2022-04-03,16,112
2022-04-03,17,95
2022-04-03,18,108
2022-04-03,19,73
2022-04-03,20,64
2022-04-03,21,77
2022-04-03,22,61
2022-04-03,23,46
2022-04-04,0,27
2022-04-04,1,20
2022-04-04,2,16
2022-04-04,3,8
2022-04-04,4,21
2022-04-04,5,29
2022-04-04,6,51
2022-04-04,7,120
2022-04-04,8,105
2022-04-04,9,116
2022-04-04,10,148
2022-04-04,11,114
2022-04-04,12,132
2022-04-04,13,161
2022-04-04,14,123
2022-04-04,15,156
2022-04-04,16,181
2022-04-04,17,171
2022-04-04,18,149
2022-04-04,19,96
2022-04-04,20,87
2022-04-04,21,65
2022-04-04,22,88
2022-04-04,23,46
2022-04-05,0,31
2022-04-05,1,13
2022-04-05,2,10
2022-04-05,3,9
2022-04-05,4,18
2022-04-05,5,27
2022-04-05,6,85
2022-04-05,7,120
2022-04-05,8,116
2022-04-05,9,110
2022-04-05,10,113
2022-04-05,11,146
