date,time,flow
2022-03-01,0,5
2022-03-01,1,2
2022-03-01,2,1
2022-03-01,3,1
2022-03-01,4,3
2022-03-01,5,10
2022-03-01,6,25
2022-03-01,7,42
2022-03-01,8,89
2022-03-01,9,73
2022-03-01,10,58
2022-03-01,11,59
2022-03-01,12,56
2022-03-01,13,57
2022-03-01,14,56
2022-03-01,15,80
2022-03-01,16,60
2022-03-01,17,78
2022-03-01,18,64
2022-03-01,19,60
2022-03-01,20,27
2022-03-01,21,20
2022-03-01,22,13
2022-03-01,23,4
2022-03-02,0,12
2022-03-02,1,1
2022-03-02,2,5
2022-03-02,3,4
2022-03-02,4,3
2022-03-02,5,8
2022-03-02,6,22
2022-03-02,7,49
2022-03-02,8,84
2022-03-02,9,88
2022-03-02,10,58
2022-03-02,11,52
2022-03-02,12,67
2022-03-02,13,62
2022-03-02,14,67
2022-03-02,15,71
2022-03-02,16,76
2022-03-02,17,75
2022-03-02,18,67
2022-03-02,19,57
2022-03-02,20,21
2022-03-02,21,21
2022-03-02,22,31
2022-03-02,23,16
2022-03-03,0,12
2022-03-03,1,12
2022-03-03,2,4
2022-03-03,3,8
2022-03-03,4,8
2022-03-03,5,16
2022-03-03,6,16
2022-03-03,7,48
2022-03-03,8,93
2022-03-03,9,71
2022-03-03,10,31
2022-03-03,11,0
2022-03-03,12,37
2022-03-03,13,66
2022-03-03,14,64
2022-03-03,15,61
2022-03-03,16,84
2022-03-03,17,80
2022-03-03,18,53
2022-03-03,19,39
2022-03-03,20,39
2022-03-03,21,23
2022-03-03,22,14
2022-03-03,23,12
2022-03-04,0,14
2022-03-04,1,16
2022-03-04,2,5
2022-03-04,3,5
2022-03-04,4,5
2022-03-04,5,10
2022-03-04,6,28
2022-03-04,7,58
2022-03-04,8,74
2022-03-04,9,70
2022-03-04,10,59
2022-03-04,11,70
2022-03-04,12,86
2022-03-04,13,63
2022-03-04,14,65
2022-03-04,15,72
2022-03-04,16,56
2022-03-04,17,76
2022-03-04,18,77
2022-03-04,19,69
2022-03-04,20,26
2022-03-04,21,17
2022-03-04,22,20
2022-03-04,23,13
2022-03-05,0,7
2022-03-05,1,10
2022-03-05,2,3
2022-03-05,3,4
2022-03-05,4,4
2022-03-05,5,6
2022-03-05,6,14
2022-03-05,7,17
2022-03-05,8,29
2022-03-05,9,34
2022-03-05,10,47
2022-03-05,11,49
2022-03-05,12,61
2022-03-05,13,61
2022-03-05,14,114
2022-03-05,15,50
2022-03-05,16,47
2022-03-05,17,49
2022-03-05,18,47
2022-03-05,19,45
2022-03-05,20,28
2022-03-05,21,20
2022-03-05,22,16
2022-03-05,23,13
2022-03-06,0,6
2022-03-06,1,12
2022-03-06,2,6
2022-03-06,3,5
2022-03-06,4,2
2022-03-06,5,4
2022-03-06,6,6
2022-03-06,7,11
2022-03-06,8,19
2022-03-06,9,17
2022-03-06,10,33
2022-03-06,11,37
2022-03-06,12,30
2022-03-06,13,41
2022-03-06,14,45
2022-03-06,15,57
2022-03-06,16,42
2022-03-06,17,40
2022-03-06,18,35
2022-03-06,19,32
2022-03-06,20,22
2022-03-06,21,15
2022-03-06,22,16
2022-03-06,23,12
2022-03-07,0,6
2022-03-07,1,1
2022-03-07,2,0
2022-03-07,3,7
2022-03-07,4,5
2022-03-07,5,7
2022-03-07,6,30
2022-03-07,7,44
2022-03-07,8,79
2022-03-07,9,63
2022-03-07,10,64
2022-03-07,11,57
2022-03-07,12,60
2022-03-07,13,56
2022-03-07,14,61
2022-03-07,15,67
2022-03-07,16,63
2022-03-07,17,87
2022-03-07,18,56
2022-03-07,19,39
2022-03-07,20,31
2022-03-07,21,15
2022-03-07,22,15
2022-03-07,23,8
2022-03-08,0,8
2022-03-08,1,5
2022-03-08,2,1
2022-03-08,3,1
2022-03-08,4,6
2022-03-08,5,10
2022-03-08,6,25
2022-03-08,7,62
2022-03-08,8,94
2022-03-08,9,72
2022-03-08,10,48
2022-03-08,11,52
2022-03-08,12,54
2022-03-08,13,54
2022-03-08,14,57
2022-03-08,15,64
2022-03-08,16,61
2022-03-08,17,87
2022-03-08,18,50
2022-03-08,19,50
2022-03-08,20,25
2022-03-08,21,12
2022-03-08,22,15
2022-03-08,23,14
2022-03-09,0,10
2022-03-09,1,3
2022-03-09,2,4
2022-03-09,3,2
2022-03-09,4,7
2022-03-09,5,8
2022-03-09,6,17
2022-03-09,7,58
2022-03-09,8,79
2022-03-09,9,68
2022-03-09,10,67
2022-03-09,11,67
2022-03-09,12,57
2022-03-09,13,52
2022-03-09,14,54
2022-03-09,15,69
2022-03-09,16,71
2022-03-09,17,100
2022-03-09,18,56
2022-03-09,19,40
2022-03-09,20,19
2022-03-09,21,18
2022-03-09,22,15
2022-03-09,23,10
2022-03-10,0,7
2022-03-10,1,5
2022-03-10,2,4
2022-03-10,3,3
2022-03-10,4,6
2022-03-10,5,12
2022-03-10,6,24
2022-03-10,7,58
2022-03-10,8,101
2022-03-10,9,68
2022-03-10,10,50
2022-03-10,11,55
2022-03-10,12,58
2022-03-10,13,69
2022-03-10,14,64
2022-03-10,15,78
2022-03-10,16,71
2022-03-10,17,88
2022-03-10,18,80
2022-03-10,19,59
2022-03-10,20,24
2022-03-10,21,16
2022-03-10,22,14
2022-03-10,23,13
2022-03-11,0,19
2022-03-11,1,3
2022-03-11,2,1
2022-03-11,3,1
2022-03-11,4,10
2022-03-11,5,10
2022-03-11,6,19
2022-03-11,7,49
2022-03-11,8,87
2022-03-11,9,63
2022-03-11,10,68
2022-03-11,11,58
2022-03-11,12,59
2022-03-11,13,63
2022-03-11,14,67
2022-03-11,15,75
2022-03-11,16,67
2022-03-11,17,68
2022-03-11,18,61
2022-03-11,19,46
2022-03-11,20,38
2022-03-11,21,19
2022-03-11,22,18
2022-03-11,23,14
2022-03-12,0,25
2022-03-12,1,10
2022-03-12,2,6
2022-03-12,3,8
2022-03-12,4,7
2022-03-12,5,7
2022-03-12,6,7
2022-03-12,7,13
2022-03-12,8,24
2022-03-12,9,40
2022-03-12,10,53
2022-03-12,11,45
2022-03-12,12,57
2022-03-12,13,56
2022-03-12,14,60
2022-03-12,15,63
2022-03-12,16,39
2022-03-12,17,41
2022-03-12,18,56
2022-03-12,19,46
2022-03-12,20,29
2022-03-12,21,20
2022-03-12,22,24
2022-03-12,23,18
2022-03-13,0,10
2022-03-13,1,21
2022-03-13,2,10
2022-03-13,3,5
2022-03-13,4,3
2022-03-13,5,3
2022-03-13,6,8
2022-03-13,7,16
2022-03-13,8,16
2022-03-13,9,21
2022-03-13,10,24
2022-03-13,11,44
2022-03-13,12,39
2022-03-13,13,59
2022-03-13,14,53
2022-03-13,15,32
2022-03-13,16,46
2022-03-13,17,32
2022-03-13,18,28
2022-03-13,19,29
2022-03-13,20,20
2022-03-13,21,14
2022-03-13,22,15
2022-03-13,23,9
2022-03-14,0,7
2022-03-14,1,5
2022-03-14,2,1
2022-03-14,3,2
2022-03-14,4,8
2022-03-14,5,11
2022-03-14,6,19
2022-03-14,7,60
2022-03-14,8,81
2022-03-14,9,71
2022-03-14,10,51
2022-03-14,11,57
2022-03-14,12,57
2022-03-14,13,60
2022-03-14,14,57
2022-03-14,15,55
2022-03-14,16,56
2022-03-14,17,90
2022-03-14,18,62
2022-03-14,19,34
2022-03-14,20,26
2022-03-14,21,18
2022-03-14,22,11
2022-03-14,23,12
2022-03-15,0,5
2022-03-15,1,2
2022-03-15,2,2
2022-03-15,3,3
2022-03-15,4,9
2022-03-15,5,10
2022-03-15,6,21
2022-03-15,7,45
2022-03-15,8,89
2022-03-15,9,71
2022-03-15,10,87
2022-03-15,11,48
2022-03-15,12,49
2022-03-15,13,57
2022-03-15,14,50
2022-03-15,15,60
2022-03-15,16,58
2022-03-15,17,68
2022-03-15,18,54
2022-03-15,19,37
2022-03-15,20,23
2022-03-15,21,18
2022-03-15,22,16
2022-03-15,23,17
2022-03-16,0,14
2022-03-16,1,16
2022-03-16,2,4
2022-03-16,3,6
2022-03-16,4,4
2022-03-16,5,16
2022-03-16,6,24
2022-03-16,7,57
2022-03-16,8,82
2022-03-16,9,81
2022-03-16,10,59
2022-03-16,11,54
2022-03-16,12,72
2022-03-16,13,50
2022-03-16,14,46
2022-03-16,15,66
2022-03-16,16,66
2022-03-16,17,75
2022-03-16,18,57
2022-03-16,19,50
2022-03-16,20,29
2022-03-16,21,22
2022-03-16,22,18
2022-03-16,23,15
2022-03-17,0,13
2022-03-17,1,8
2022-03-17,2,0
2022-03-17,3,4
2022-03-17,4,5
2022-03-17,5,12
2022-03-17,6,19
2022-03-17,7,51
2022-03-17,8,62
2022-03-17,9,81
2022-03-17,10,51
2022-03-17,11,52
2022-03-17,12,59
2022-03-17,13,55
2022-03-17,14,67
2022-03-17,15,79
2022-03-17,16,62
2022-03-17,17,67
2022-03-17,18,56
2022-03-17,19,50
2022-03-17,20,26
2022-03-17,21,21
2022-03-17,22,17
2022-03-17,23,16
2022-03-18,0,3
2022-03-18,1,25
2022-03-18,2,3
2022-03-18,3,3
2022-03-18,4,12
2022-03-18,5,9
2022-03-18,6,24
2022-03-18,7,54
2022-03-18,8,79
2022-03-18,9,62
2022-03-18,10,62
2022-03-18,11,58
2022-03-18,12,72
2022-03-18,13,65
2022-03-18,14,68
2022-03-18,15,87
2022-03-18,16,69
2022-03-18,17,91
2022-03-18,18,58
2022-03-18,19,49
2022-03-18,20,32
2022-03-18,21,25
2022-03-18,22,18
2022-03-18,23,17
2022-03-19,0,11
2022-03-19,1,8
2022-03-19,2,5
2022-03-19,3,4
2022-03-19,4,3
2022-03-19,5,11
2022-03-19,6,16
2022-03-19,7,16
2022-03-19,8,36
2022-03-19,9,36
2022-03-19,10,48
2022-03-19,11,52
2022-03-19,12,57
2022-03-19,13,72
2022-03-19,14,72
2022-03-19,15,57
2022-03-19,16,52
2022-03-19,17,63
2022-03-19,18,51
2022-03-19,19,31
2022-03-19,20,31
2022-03-19,21,18
2022-03-19,22,21
2022-03-19,23,13
2022-03-20,0,23
2022-03-20,1,17
2022-03-20,2,4
2022-03-20,3,2
2022-03-20,4,5
2022-03-20,5,2
2022-03-20,6,6
2022-03-20,7,14
2022-03-20,8,16
2022-03-20,9,23
2022-03-20,10,29
2022-03-20,11,38
2022-03-20,12,43
2022-03-20,13,55
2022-03-20,14,41
2022-03-20,15,40
2022-03-20,16,35
2022-03-20,17,34
2022-03-20,18,36
2022-03-20,19,27
2022-03-20,20,23
2022-03-20,21,17
2022-03-20,22,10
2022-03-20,23,14
