date,time,flow
2022-03-01,0,21
2022-03-01,1,12
2022-03-01,2,4
2022-03-01,3,4
2022-03-01,4,3
2022-03-01,5,6
2022-03-01,6,19
2022-03-01,7,37
2022-03-01,8,69
2022-03-01,9,97
2022-03-01,10,75
2022-03-01,11,68
2022-03-01,12,72
2022-03-01,13,74
2022-03-01,14,67
2022-03-01,15,83
2022-03-01,16,105
2022-03-01,17,112
2022-03-01,18,79
2022-03-01,19,89
2022-03-01,20,59
2022-03-01,21,44
2022-03-01,22,51
2022-03-01,23,29
2022-03-02,0,11
2022-03-02,1,8
2022-03-02,2,6
2022-03-02,3,3
2022-03-02,4,3
2022-03-02,5,7
2022-03-02,6,14
2022-03-02,7,42
2022-03-02,8,85
2022-03-02,9,109
2022-03-02,10,74
2022-03-02,11,70
2022-03-02,12,84
2022-03-02,13,89
2022-03-02,14,77
2022-03-02,15,76
2022-03-02,16,105
2022-03-02,17,144
2022-03-02,18,127
2022-03-02,19,166
2022-03-02,20,67
2022-03-02,21,53
2022-03-02,22,45
2022-03-02,23,46
2022-03-03,0,30
2022-03-03,1,6
2022-03-03,2,2
2022-03-03,3,4
2022-03-03,4,2
2022-03-03,5,11
2022-03-03,6,20
2022-03-03,7,46
2022-03-03,8,81
2022-03-03,9,77
2022-03-03,10,69
2022-03-03,11,82
2022-03-03,12,92
2022-03-03,13,72
2022-03-03,14,86
2022-03-03,15,78
2022-03-03,16,121
2022-03-03,17,95
2022-03-03,18,99
2022-03-03,19,71
2022-03-03,20,64
2022-03-03,21,52
2022-03-03,22,33
2022-03-03,23,25
2022-03-04,0,9
2022-03-04,1,15
2022-03-04,2,9
2022-03-04,3,8
2022-03-04,4,7
2022-03-04,5,7
2022-03-04,6,24
2022-03-04,7,44
2022-03-04,8,78
2022-03-04,9,51
2022-03-04,10,82
2022-03-04,11,63
2022-03-04,12,92
2022-03-04,13,92
2022-03-04,14,95
2022-03-04,15,99
2022-03-04,16,100
2022-03-04,17,109
2022-03-04,18,74
2022-03-04,19,70
2022-03-04,20,68
2022-03-04,21,53
2022-03-04,22,44
2022-03-04,23,50
2022-03-05,0,35
2022-03-05,1,13
2022-03-05,2,10
2022-03-05,3,9
2022-03-05,4,7
2022-03-05,5,4
2022-03-05,6,11
2022-03-05,7,21
2022-03-05,8,43
2022-03-05,9,63
2022-03-05,10,84
2022-03-05,11,85
2022-03-05,12,93
2022-03-05,13,108
2022-03-05,14,100
2022-03-05,15,135
2022-03-05,16,102
2022-03-05,17,125
2022-03-05,18,122
2022-03-05,19,90
2022-03-05,20,73
2022-03-05,21,73
2022-03-05,22,66
2022-03-05,23,60
2022-03-06,0,41
2022-03-06,1,13
2022-03-06,2,17
2022-03-06,3,17
2022-03-06,4,22
2022-03-06,5,14
2022-03-06,6,22
2022-03-06,7,14
2022-03-06,8,26
2022-03-06,9,38
2022-03-06,10,54
2022-03-06,11,57
2022-03-06,12,96
2022-03-06,13,102
2022-03-06,14,105
2022-03-06,15,77
2022-03-06,16,65
2022-03-06,17,70
2022-03-06,18,55
2022-03-06,19,44
2022-03-06,20,62
2022-03-06,21,28
2022-03-06,22,35
2022-03-06,23,23
2022-03-07,0,21
2022-03-07,1,9
2022-03-07,2,4
2022-03-07,3,4
2022-03-07,4,2
2022-03-07,5,7
2022-03-07,6,22
2022-03-07,7,44
2022-03-07,8,70
2022-03-07,9,91
2022-03-07,10,61
2022-03-07,11,63
2022-03-07,12,92
2022-03-07,13,60
2022-03-07,14,69
2022-03-07,15,74
2022-03-07,16,101
2022-03-07,17,148
2022-03-07,18,93
2022-03-07,19,91
2022-03-07,20,38
2022-03-07,21,39
2022-03-07,22,23
2022-03-07,23,32
2022-03-08,0,17
2022-03-08,1,18
2022-03-08,2,5
2022-03-08,3,4
2022-03-08,4,3
2022-03-08,5,12
2022-03-08,6,19
2022-03-08,7,41
2022-03-08,8,88
2022-03-08,9,88
2022-03-08,10,63
2022-03-08,11,48
2022-03-08,12,69
2022-03-08,13,74
2022-03-08,14,82
2022-03-08,15,75
2022-03-08,16,91
2022-03-08,17,114
2022-03-08,18,82
2022-03-08,19,84
2022-03-08,20,60
2022-03-08,21,36
2022-03-08,22,28
2022-03-08,23,17
2022-03-09,0,8
2022-03-09,1,7
2022-03-09,2,3
2022-03-09,3,7
2022-03-09,4,4
2022-03-09,5,9
2022-03-09,6,13
2022-03-09,7,44
2022-03-09,8,94
2022-03-09,9,104
2022-03-09,10,50
2022-03-09,11,68
2022-03-09,12,67
2022-03-09,13,64
2022-03-09,14,77
2022-03-09,15,81
2022-03-09,16,105
2022-03-09,17,103
2022-03-09,18,123
2022-03-09,19,79
2022-03-09,20,65
2022-03-09,21,34
2022-03-09,22,28
2022-03-09,23,19
2022-03-10,0,25
2022-03-10,1,6
2022-03-10,2,4
2022-03-10,3,1
2022-03-10,4,2
2022-03-10,5,5
2022-03-10,6,22
2022-03-10,7,37
2022-03-10,8,65
2022-03-10,9,61
2022-03-10,10,69
2022-03-10,11,61
2022-03-10,12,86
2022-03-10,13,72
2022-03-10,14,82
2022-03-10,15,88
2022-03-10,16,89
2022-03-10,17,102
2022-03-10,18,84
2022-03-10,19,82
2022-03-10,20,79
2022-03-10,21,54
2022-03-10,22,85
2022-03-10,23,81
2022-03-11,0,20
2022-03-11,1,12
2022-03-11,2,11
2022-03-11,3,9
2022-03-11,4,0
2022-03-11,5,2
2022-03-11,6,17
2022-03-11,7,27
2022-03-11,8,69
2022-03-11,9,79
2022-03-11,10,66
2022-03-11,11,79
2022-03-11,12,101
2022-03-11,13,84
2022-03-11,14,87
2022-03-11,15,95
2022-03-11,16,100
2022-03-11,17,125
2022-03-11,18,92
2022-03-11,19,77
2022-03-11,20,66
2022-03-11,21,34
2022-03-11,22,43
2022-03-11,23,21
2022-03-12,0,23
2022-03-12,1,14
2022-03-12,2,18
2022-03-12,3,5
2022-03-12,4,4
2022-03-12,5,13
2022-03-12,6,13
2022-03-12,7,13
2022-03-12,8,33
2022-03-12,9,50
2022-03-12,10,51
2022-03-12,11,61
2022-03-12,12,75
2022-03-12,13,87
2022-03-12,14,77
2022-03-12,15,60
2022-03-12,16,54
2022-03-12,17,44
2022-03-12,18,59
2022-03-12,19,50
2022-03-12,20,60
2022-03-12,21,28
2022-03-12,22,28
2022-03-12,23,37
2022-03-13,0,31
2022-03-13,1,24
2022-03-13,2,16
2022-03-13,3,6
2022-03-13,4,8
2022-03-13,5,6
2022-03-13,6,9
2022-03-13,7,16
2022-03-13,8,21
2022-03-13,9,34
2022-03-13,10,37
2022-03-13,11,49
2022-03-13,12,72
2022-03-13,13,87
2022-03-13,14,77
2022-03-13,15,53
2022-03-13,16,60
2022-03-13,17,56
2022-03-13,18,53
2022-03-13,19,38
2022-03-13,20,48
2022-03-13,21,32
2022-03-13,22,27
2022-03-13,23,25
2022-03-14,0,9
2022-03-14,1,10
2022-03-14,2,4
2022-03-14,3,3
2022-03-14,4,4
2022-03-14,5,8
2022-03-14,6,26
2022-03-14,7,45
2022-03-14,8,76
2022-03-14,9,67
2022-03-14,10,66
2022-03-14,11,71
2022-03-14,12,76
2022-03-14,13,100
2022-03-14,14,75
2022-03-14,15,62
2022-03-14,16,92
2022-03-14,17,118
2022-03-14,18,93
2022-03-14,19,64
2022-03-14,20,58
2022-03-14,21,40
2022-03-14,22,28
2022-03-14,23,14
2022-03-15,0,18
2022-03-15,1,16
2022-03-15,2,6
2022-03-15,3,3
2022-03-15,4,0
2022-03-15,5,6
2022-03-15,6,21
2022-03-15,7,36
2022-03-15,8,69
2022-03-15,9,90
2022-03-15,10,66
2022-03-15,11,71
2022-03-15,12,53
2022-03-15,13,59
2022-03-15,14,72
2022-03-15,15,67
2022-03-15,16,99
2022-03-15,17,114
2022-03-15,18,73
2022-03-15,19,71
2022-03-15,20,42
2022-03-15,21,45
2022-03-15,22,50
2022-03-15,23,23
2022-03-16,0,20
2022-03-16,1,12
2022-03-16,2,4
2022-03-16,3,9
2022-03-16,4,3
2022-03-16,5,9
2022-03-16,6,18
2022-03-16,7,33
2022-03-16,8,88
2022-03-16,9,102
2022-03-16,10,63
2022-03-16,11,68
2022-03-16,12,60
2022-03-16,13,84
2022-03-16,14,59
2022-03-16,15,87
2022-03-16,16,89
2022-03-16,17,110
2022-03-16,18,98
2022-03-16,19,65
2022-03-16,20,59
2022-03-16,21,47
2022-03-16,22,37
2022-03-16,23,20
2022-03-17,0,19
2022-03-17,1,8
2022-03-17,2,11
2022-03-17,3,5
2022-03-17,4,0
2022-03-17,5,5
2022-03-17,6,24
2022-03-17,7,42
2022-03-17,8,94
2022-03-17,9,92
2022-03-17,10,91
2022-03-17,11,63
2022-03-17,12,49
2022-03-17,13,65
2022-03-17,14,94
2022-03-17,15,102
2022-03-17,16,105
2022-03-17,17,133
2022-03-17,18,85
2022-03-17,19,78
2022-03-17,20,63
2022-03-17,21,43
2022-03-17,22,43
2022-03-17,23,23
2022-03-18,0,16
2022-03-18,1,13
2022-03-18,2,8
2022-03-18,3,13
2022-03-18,4,5
2022-03-18,5,7
2022-03-18,6,12
2022-03-18,7,42
2022-03-18,8,57
2022-03-18,9,91
2022-03-18,10,65
2022-03-18,11,80
2022-03-18,12,97
2022-03-18,13,95
2022-03-18,14,76
2022-03-18,15,113
2022-03-18,16,102
2022-03-18,17,115
2022-03-18,18,84
2022-03-18,19,85
2022-03-18,20,57
2022-03-18,21,52
2022-03-18,22,39
2022-03-18,23,40
2022-03-19,0,24
2022-03-19,1,11
2022-03-19,2,8
2022-03-19,3,7
2022-03-19,4,10
2022-03-19,5,11
2022-03-19,6,16
2022-03-19,7,21
2022-03-19,8,36
2022-03-19,9,52
2022-03-19,10,52
2022-03-19,11,76
2022-03-19,12,88
2022-03-19,13,92
2022-03-19,14,84
2022-03-19,15,91
2022-03-19,16,76
2022-03-19,17,71
2022-03-19,18,59
2022-03-19,19,57
2022-03-19,20,40
2022-03-19,21,33
2022-03-19,22,37
2022-03-19,23,30
2022-03-20,0,21
2022-03-20,1,17
2022-03-20,2,8
2022-03-20,3,11
2022-03-20,4,7
2022-03-20,5,12
2022-03-20,6,9
2022-03-20,7,16
2022-03-20,8,21
2022-03-20,9,40
2022-03-20,10,33
2022-03-20,11,42
2022-03-20,12,82
2022-03-20,13,93
2022-03-20,14,88
2022-03-20,15,76
2022-03-20,16,59
2022-03-20,17,75
2022-03-20,18,72
2022-03-20,19,57
2022-03-20,20,69
2022-03-20,21,35
2022-03-20,22,38
2022-03-20,23,32
2022-03-21,0,18
2022-03-21,1,5
2022-03-21,2,3
2022-03-21,3,3
2022-03-21,4,3
2022-03-21,5,7
2022-03-21,6,20
2022-03-21,7,35
2022-03-21,8,67
2022-03-21,9,85
2022-03-21,10,70
2022-03-21,11,74
2022-03-21,12,78
2022-03-21,13,77
2022-03-21,14,88
2022-03-21,15,80
2022-03-21,16,99
2022-03-21,17,98
2022-03-21,18,77
2022-03-21,19,66
2022-03-21,20,85
2022-03-21,21,68
2022-03-21,22,63
2022-03-21,23,51
2022-03-22,0,12
2022-03-22,1,9
2022-03-22,2,6
2022-03-22,3,8
2022-03-22,4,2
2022-03-22,5,11
2022-03-22,6,19
2022-03-22,7,39
2022-03-22,8,63
2022-03-22,9,74
2022-03-22,10,71
2022-03-22,11,54
2022-03-22,12,82
2022-03-22,13,79
2022-03-22,14,63
2022-03-22,15,70
2022-03-22,16,100
2022-03-22,17,126
2022-03-22,18,83
2022-03-22,19,67
2022-03-22,20,58
2022-03-22,21,45
2022-03-22,22,28
2022-03-22,23,16
2022-03-23,0,12
2022-03-23,1,4
2022-03-23,2,4
2022-03-23,3,5
2022-03-23,4,4
2022-03-23,5,5
2022-03-23,6,20
2022-03-23,7,50
2022-03-23,8,67
2022-03-23,9,99
2022-03-23,10,64
2022-03-23,11,69
2022-03-23,12,70
2022-03-23,13,88
2022-03-23,14,71
2022-03-23,15,93
2022-03-23,16,91
2022-03-23,17,112
2022-03-23,18,105
2022-03-23,19,79
2022-03-23,20,59
2022-03-23,21,36
2022-03-23,22,18
2022-03-23,23,24
2022-03-24,0,18
2022-03-24,1,26
2022-03-24,2,1
2022-03-24,3,5
2022-03-24,4,4
2022-03-24,5,7
2022-03-24,6,14
2022-03-24,7,37
2022-03-24,8,98
2022-03-24,9,82
2022-03-24,10,69
2022-03-24,11,63
2022-03-24,12,82
2022-03-24,13,79
2022-03-24,14,71
2022-03-24,15,94
2022-03-24,16,106
2022-03-24,17,121
2022-03-24,18,87
2022-03-24,19,83
2022-03-24,20,41
2022-03-24,21,41
2022-03-24,22,29
2022-03-24,23,22
2022-03-25,0,9
2022-03-25,1,16
2022-03-25,2,6
2022-03-25,3,7
2022-03-25,4,5
2022-03-25,5,7
2022-03-25,6,18
2022-03-25,7,36
2022-03-25,8,70
2022-03-25,9,73
2022-03-25,10,66
2022-03-25,11,76
2022-03-25,12,95
2022-03-25,13,90
2022-03-25,14,78
2022-03-25,15,119
2022-03-25,16,86
2022-03-25,17,93
2022-03-25,18,82
2022-03-25,19,79
2022-03-25,20,85
2022-03-25,21,48
2022-03-25,22,36
2022-03-25,23,34
2022-03-26,0,54
2022-03-26,1,16
2022-03-26,2,11
2022-03-26,3,8
2022-03-26,4,6
2022-03-26,5,12
2022-03-26,6,6
2022-03-26,7,15
2022-03-26,8,25
2022-03-26,9,47
2022-03-26,10,60
2022-03-26,11,63
2022-03-26,12,77
2022-03-26,13,119
2022-03-26,14,87
2022-03-26,15,85
2022-03-26,16,70
2022-03-26,17,102
2022-03-26,18,69
2022-03-26,19,84
2022-03-26,20,58
2022-03-26,21,39
2022-03-26,22,34
2022-03-26,23,36
2022-03-27,0,22
2022-03-27,1,12
2022-03-27,2,13
2022-03-27,3,8
2022-03-27,4,6
2022-03-27,5,7
2022-03-27,6,14
2022-03-27,7,23
2022-03-27,8,33
2022-03-27,9,30
2022-03-27,10,49
2022-03-27,11,58
2022-03-27,12,52
2022-03-27,13,71
2022-03-27,14,72
2022-03-27,15,55
2022-03-27,16,69
2022-03-27,17,66
2022-03-27,18,52
2022-03-27,19,43
2022-03-27,20,29
2022-03-27,21,52
2022-03-27,22,25
2022-03-27,23,11
2022-03-28,0,7
2022-03-28,1,6
2022-03-28,2,3
2022-03-28,3,5
2022-03-28,4,4
2022-03-28,5,13
2022-03-28,6,53
2022-03-28,7,70
2022-03-28,8,77
2022-03-28,9,70
2022-03-28,10,62
2022-03-28,11,71
2022-03-28,12,81
2022-03-28,13,96
2022-03-28,14,73
2022-03-28,15,88
2022-03-28,16,119
2022-03-28,17,89
2022-03-28,18,63
2022-03-28,19,53
2022-03-28,20,43
2022-03-28,21,46
2022-03-28,22,26
2022-03-28,23,15
2022-03-29,0,17
2022-03-29,1,9
2022-03-29,2,2
2022-03-29,3,3
2022-03-29,4,6
2022-03-29,5,22
2022-03-29,6,35
2022-03-29,7,85
2022-03-29,8,93
2022-03-29,9,74
2022-03-29,10,69
2022-03-29,11,82
2022-03-29,12,64
2022-03-29,13,74
2022-03-29,14,86
2022-03-29,15,86
2022-03-29,16,127
2022-03-29,17,91
2022-03-29,18,68
2022-03-29,19,58
2022-03-29,20,54
2022-03-29,21,51
2022-03-29,22,19
2022-03-29,23,21
2022-03-30,0,4
2022-03-30,1,3
2022-03-30,2,5
2022-03-30,3,2
2022-03-30,4,6
2022-03-30,5,23
2022-03-30,6,30
2022-03-30,7,91
2022-03-30,8,88
2022-03-30,9,73
2022-03-30,10,67
2022-03-30,11,70
2022-03-30,12,79
2022-03-30,13,74
2022-03-30,14,87
2022-03-30,15,109
2022-03-30,16,137
2022-03-30,17,87
2022-03-30,18,66
2022-03-30,19,68
2022-03-30,20,59
2022-03-30,21,49
2022-03-30,22,30
2022-03-30,23,18
2022-03-31,0,15
2022-03-31,1,4
2022-03-31,2,9
2022-03-31,3,2
2022-03-31,4,4
2022-03-31,5,10
2022-03-31,6,37
2022-03-31,7,63
2022-03-31,8,79
2022-03-31,9,74
2022-03-31,10,57
2022-03-31,11,69
2022-03-31,12,67
2022-03-31,13,82
2022-03-31,14,74
2022-03-31,15,107
2022-03-31,16,112
2022-03-31,17,110
2022-03-31,18,92
2022-03-31,19,64
2022-03-31,20,62
2022-03-31,21,56
2022-03-31,22,35
2022-03-31,23,27
2022-04-01,0,9
2022-04-01,1,8
2022-04-01,2,8
2022-04-01,3,5
2022-04-01,4,8
2022-04-01,5,15
2022-04-01,6,34
2022-04-01,7,74
2022-04-01,8,85
2022-04-01,9,39
2022-04-01,10,89
2022-04-01,11,83
2022-04-01,12,110
2022-04-01,13,99
2022-04-01,14,96
2022-04-01,15,98
2022-04-01,16,104
2022-04-01,17,80
2022-04-01,18,88
2022-04-01,19,66
2022-04-01,20,53
2022-04-01,21,51
2022-04-01,22,38
2022-04-01,23,28
2022-04-02,0,23
2022-04-02,1,17
2022-04-02,2,8
2022-04-02,3,7
2022-04-02,4,4
2022-04-02,5,12
2022-04-02,6,20
2022-04-02,7,19
2022-04-02,8,47
2022-04-02,9,56
2022-04-02,10,50
2022-04-02,11,65
2022-04-02,12,82
2022-04-02,13,73
2022-04-02,14,71
2022-04-02,15,73
2022-04-02,16,61
2022-04-02,17,51
2022-04-02,18,56
2022-04-02,19,50
2022-04-02,20,50
2022-04-02,21,63
2022-04-02,22,40
2022-04-02,23,37
2022-04-03,0,16
2022-04-03,1,7
2022-04-03,2,15
2022-04-03,3,15
2022-04-03,4,10
2022-04-03,5,4
2022-04-03,6,16
2022-04-03,7,21
2022-04-03,8,30
2022-04-03,9,43
2022-04-03,10,61
2022-04-03,11,27
2022-04-03,12,61
2022-04-03,13,86
2022-04-03,14,78
2022-04-03,15,62
2022-04-03,16,50
2022-04-03,17,53
2022-04-03,18,54
2022-04-03,19,39
2022-04-03,20,48
2022-04-03,21,62
2022-04-03,22,25
