date,time,flow
2022-03-01,0,11
2022-03-01,1,8
2022-03-01,2,3
2022-03-01,3,3
2022-03-01,4,2
2022-03-01,5,9
2022-03-01,6,22
2022-03-01,7,75
2022-03-01,8,131
2022-03-01,9,160
2022-03-01,10,63
2022-03-01,11,95
2022-03-01,12,86
2022-03-01,13,93
2022-03-01,14,97
2022-03-01,15,95
2022-03-01,16,107
2022-03-01,17,133
2022-03-01,18,108
2022-03-01,19,86
2022-03-01,20,52
2022-03-01,21,49
2022-03-01,22,28
2022-03-01,23,30
2022-03-02,0,19
2022-03-02,1,39
2022-03-02,2,6
2022-03-02,3,5
2022-03-02,4,2
2022-03-02,5,11
2022-03-02,6,20
2022-03-02,7,71
2022-03-02,8,155
2022-03-02,9,173
2022-03-02,10,85
2022-03-02,11,70
2022-03-02,12,89
2022-03-02,13,106
2022-03-02,14,84
2022-03-02,15,101
2022-03-02,16,131
2022-03-02,17,205
2022-03-02,18,119
2022-03-02,19,88
2022-03-02,20,57
2022-03-02,21,50
2022-03-02,22,124
2022-03-02,23,36
2022-03-03,0,11
2022-03-03,1,8
2022-03-03,2,0
2022-03-03,3,8
2022-03-03,4,2
2022-03-03,5,10
2022-03-03,6,26
2022-03-03,7,81
2022-03-03,8,178
2022-03-03,9,134
2022-03-03,10,72
2022-03-03,11,73
2022-03-03,12,112
2022-03-03,13,107
2022-03-03,14,91
2022-03-03,15,121
2022-03-03,16,120
2022-03-03,17,123
2022-03-03,18,145
2022-03-03,19,135
2022-03-03,20,52
2022-03-03,21,47
2022-03-03,22,42
2022-03-03,23,35
2022-03-04,0,11
2022-03-04,1,20
2022-03-04,2,5
2022-03-04,3,3
2022-03-04,4,2
2022-03-04,5,15
2022-03-04,6,21
2022-03-04,7,77
2022-03-04,8,124
2022-03-04,9,104
2022-03-04,10,72
2022-03-04,11,84
2022-03-04,12,110
2022-03-04,13,88
2022-03-04,14,104
2022-03-04,15,117
2022-03-04,16,125
2022-03-04,17,108
2022-03-04,18,102
2022-03-04,19,123
2022-03-04,20,80
2022-03-04,21,40
2022-03-04,22,79
2022-03-04,23,39
2022-03-05,0,34
2022-03-05,1,19
2022-03-05,2,10
2022-03-05,3,8
2022-03-05,4,5
2022-03-05,5,13
2022-03-05,6,16
2022-03-05,7,21
2022-03-05,8,39
2022-03-05,9,49
2022-03-05,10,75
2022-03-05,11,93
2022-03-05,12,121
2022-03-05,13,153
2022-03-05,14,188
2022-03-05,15,130
2022-03-05,16,99
2022-03-05,17,113
2022-03-05,18,94
2022-03-05,19,77
2022-03-05,20,138
2022-03-05,21,44
2022-03-05,22,33
2022-03-05,23,50
2022-03-06,0,30
2022-03-06,1,26
2022-03-06,2,13
2022-03-06,3,9
2022-03-06,4,6
2022-03-06,5,10
2022-03-06,6,14
2022-03-06,7,12
2022-03-06,8,15
2022-03-06,9,25
2022-03-06,10,51
2022-03-06,11,72
2022-03-06,12,80
2022-03-06,13,92
2022-03-06,14,93
2022-03-06,15,95
2022-03-06,16,104
2022-03-06,17,66
2022-03-06,18,71
2022-03-06,19,49
2022-03-06,20,38
2022-03-06,21,34
2022-03-06,22,28
2022-03-06,23,31
2022-03-07,0,13
2022-03-07,1,12
2022-03-07,2,5
2022-03-07,3,0
2022-03-07,4,5
2022-03-07,5,11
2022-03-07,6,15
2022-03-07,7,66
2022-03-07,8,138
2022-03-07,9,114
2022-03-07,10,76
2022-03-07,11,69
2022-03-07,12,77
2022-03-07,13,97
2022-03-07,14,77
2022-03-07,15,102
2022-03-07,16,99
2022-03-07,17,96
2022-03-07,18,94
2022-03-07,19,72
2022-03-07,20,50
2022-03-07,21,49
2022-03-07,22,38
2022-03-07,23,42
2022-03-08,0,17
2022-03-08,1,5
2022-03-08,2,8
2022-03-08,3,3
2022-03-08,4,7
2022-03-08,5,14
2022-03-08,6,23
2022-03-08,7,72
2022-03-08,8,170
2022-03-08,9,106
2022-03-08,10,50
2022-03-08,11,62
2022-03-08,12,66
2022-03-08,13,89
2022-03-08,14,75
2022-03-08,15,96
2022-03-08,16,101
2022-03-08,17,125
2022-03-08,18,99
2022-03-08,19,75
2022-03-08,20,55
2022-03-08,21,52
2022-03-08,22,44
2022-03-08,23,23
2022-03-09,0,11
2022-03-09,1,26
2022-03-09,2,0
2022-03-09,3,8
2022-03-09,4,6
2022-03-09,5,12
2022-03-09,6,18
2022-03-09,7,91
2022-03-09,8,136
2022-03-09,9,137
2022-03-09,10,109
2022-03-09,11,64
2022-03-09,12,100
2022-03-09,13,96
2022-03-09,14,113
2022-03-09,15,102
2022-03-09,16,130
2022-03-09,17,144
2022-03-09,18,118
2022-03-09,19,71
2022-03-09,20,48
2022-03-09,21,51
2022-03-09,22,39
2022-03-09,23,30
2022-03-10,0,10
2022-03-10,1,12
2022-03-10,2,6
2022-03-10,3,3
2022-03-10,4,7
2022-03-10,5,11
2022-03-10,6,25
2022-03-10,7,63
2022-03-10,8,193
2022-03-10,9,75
2022-03-10,10,70
2022-03-10,11,73
2022-03-10,12,85
2022-03-10,13,90
2022-03-10,14,91
2022-03-10,15,103
2022-03-10,16,115
2022-03-10,17,128
2022-03-10,18,166
2022-03-10,19,102
2022-03-10,20,97
2022-03-10,21,48
2022-03-10,22,41
2022-03-10,23,30
2022-03-11,0,12
2022-03-11,1,12
2022-03-11,2,10
2022-03-11,3,5
2022-03-11,4,4
2022-03-11,5,13
2022-03-11,6,16
2022-03-11,7,63
2022-03-11,8,122
2022-03-11,9,91
2022-03-11,10,69
2022-03-11,11,69
2022-03-11,12,119
2022-03-11,13,107
2022-03-11,14,103
2022-03-11,15,113
2022-03-11,16,122
2022-03-11,17,107
2022-03-11,18,99
2022-03-11,19,59
2022-03-11,20,50
2022-03-11,21,39
2022-03-11,22,39
2022-03-11,23,55
2022-03-12,0,29
2022-03-12,1,22
2022-03-12,2,16
2022-03-12,3,7
2022-03-12,4,8
2022-03-12,5,15
2022-03-12,6,13
2022-03-12,7,19
2022-03-12,8,41
2022-03-12,9,55
2022-03-12,10,73
2022-03-12,11,104
2022-03-12,12,133
2022-03-12,13,68
2022-03-12,14,91
2022-03-12,15,82
2022-03-12,16,88
2022-03-12,17,86
2022-03-12,18,71
2022-03-12,19,59
2022-03-12,20,66
2022-03-12,21,34
2022-03-12,22,32
2022-03-12,23,29
2022-03-13,0,27
2022-03-13,1,27
2022-03-13,2,8
2022-03-13,3,6
2022-03-13,4,8
2022-03-13,5,10
2022-03-13,6,5
2022-03-13,7,13
2022-03-13,8,22
2022-03-13,9,24
2022-03-13,10,48
2022-03-13,11,60
2022-03-13,12,87
2022-03-13,13,74
2022-03-13,14,97
2022-03-13,15,78
2022-03-13,16,72
2022-03-13,17,60
2022-03-13,18,55
2022-03-13,19,38
2022-03-13,20,40
2022-03-13,21,36
2022-03-13,22,25
2022-03-13,23,19
2022-03-14,0,14
2022-03-14,1,12
2022-03-14,2,5
2022-03-14,3,0
2022-03-14,4,2
2022-03-14,5,8
2022-03-14,6,18
2022-03-14,7,79
2022-03-14,8,144
2022-03-14,9,105
2022-03-14,10,86
2022-03-14,11,69
2022-03-14,12,133
2022-03-14,13,133
2022-03-14,14,87
2022-03-14,15,108
2022-03-14,16,112
2022-03-14,17,131
2022-03-14,18,103
2022-03-14,19,71
2022-03-14,20,46
2022-03-14,21,46
2022-03-14,22,37
2022-03-14,23,25
2022-03-15,0,10
2022-03-15,1,9
2022-03-15,2,7
2022-03-15,3,6
2022-03-15,4,2
2022-03-15,5,12
2022-03-15,6,27
2022-03-15,7,77
2022-03-15,8,156
2022-03-15,9,95
2022-03-15,10,67
2022-03-15,11,64
2022-03-15,12,71
2022-03-15,13,74
2022-03-15,14,83
2022-03-15,15,77
2022-03-15,16,101
2022-03-15,17,113
2022-03-15,18,78
2022-03-15,19,74
2022-03-15,20,55
2022-03-15,21,56
2022-03-15,22,30
2022-03-15,23,15
2022-03-16,0,14
2022-03-16,1,26
2022-03-16,2,4
2022-03-16,3,5
2022-03-16,4,5
2022-03-16,5,9
2022-03-16,6,18
2022-03-16,7,86
2022-03-16,8,157
2022-03-16,9,165
2022-03-16,10,61
2022-03-16,11,79
2022-03-16,12,79
2022-03-16,13,92
2022-03-16,14,73
2022-03-16,15,100
2022-03-16,16,97
2022-03-16,17,116
2022-03-16,18,100
2022-03-16,19,86
2022-03-16,20,52
2022-03-16,21,50
2022-03-16,22,28
2022-03-16,23,14
2022-03-17,0,59
2022-03-17,1,23
2022-03-17,2,3
2022-03-17,3,2
2022-03-17,4,2
2022-03-17,5,13
2022-03-17,6,21
2022-03-17,7,115
2022-03-17,8,128
2022-03-17,9,131
2022-03-17,10,68
2022-03-17,11,68
2022-03-17,12,82
2022-03-17,13,96
2022-03-17,14,88
2022-03-17,15,121
2022-03-17,16,107
2022-03-17,17,214
2022-03-17,18,91
2022-03-17,19,63
2022-03-17,20,62
2022-03-17,21,53
2022-03-17,22,47
2022-03-17,23,30
2022-03-18,0,36
2022-03-18,1,12
2022-03-18,2,10
2022-03-18,3,5
2022-03-18,4,4
2022-03-18,5,9
2022-03-18,6,20
2022-03-18,7,77
2022-03-18,8,102
2022-03-18,9,92
2022-03-18,10,72
2022-03-18,11,81
2022-03-18,12,101
2022-03-18,13,124
2022-03-18,14,104
2022-03-18,15,113
2022-03-18,16,109
2022-03-18,17,115
2022-03-18,18,88
2022-03-18,19,83
2022-03-18,20,62
2022-03-18,21,49
2022-03-18,22,34
2022-03-18,23,28
2022-03-19,0,17
2022-03-19,1,17
2022-03-19,2,6
2022-03-19,3,4
2022-03-19,4,5
2022-03-19,5,13
2022-03-19,6,16
2022-03-19,7,21
2022-03-19,8,40
2022-03-19,9,57
2022-03-19,10,67
2022-03-19,11,84
2022-03-19,12,109
2022-03-19,13,113
2022-03-19,14,119
2022-03-19,15,88
2022-03-19,16,88
2022-03-19,17,132
2022-03-19,18,140
2022-03-19,19,56
2022-03-19,20,49
2022-03-19,21,36
2022-03-19,22,37
2022-03-19,23,31
2022-03-20,0,39
2022-03-20,1,20
2022-03-20,2,8
2022-03-20,3,11
2022-03-20,4,14
2022-03-20,5,11
2022-03-20,6,8
2022-03-20,7,16
2022-03-20,8,30
2022-03-20,9,18
2022-03-20,10,46
2022-03-20,11,53
2022-03-20,12,94
2022-03-20,13,90
2022-03-20,14,103
2022-03-20,15,95
2022-03-20,16,75
2022-03-20,17,75
2022-03-20,18,86
2022-03-20,19,59
2022-03-20,20,48
2022-03-20,21,22
2022-03-20,22,26
2022-03-20,23,18
2022-03-21,0,12
2022-03-21,1,9
2022-03-21,2,2
2022-03-21,3,1
2022-03-21,4,6
2022-03-21,5,11
2022-03-21,6,20
2022-03-21,7,59
2022-03-21,8,128
2022-03-21,9,92
2022-03-21,10,55
2022-03-21,11,73
2022-03-21,12,88
2022-03-21,13,118
2022-03-21,14,71
2022-03-21,15,93
2022-03-21,16,111
2022-03-21,17,109
2022-03-21,18,86
2022-03-21,19,68
2022-03-21,20,50
2022-03-21,21,40
2022-03-21,22,32
2022-03-21,23,23
2022-03-22,0,12
2022-03-22,1,2
2022-03-22,2,10
2022-03-22,3,0
2022-03-22,4,4
2022-03-22,5,8
2022-03-22,6,19
2022-03-22,7,86
2022-03-22,8,195
2022-03-22,9,129
2022-03-22,10,59
2022-03-22,11,67
2022-03-22,12,92
2022-03-22,13,72
2022-03-22,14,76
2022-03-22,15,85
2022-03-22,16,100
2022-03-22,17,144
2022-03-22,18,73
2022-03-22,19,63
2022-03-22,20,47
2022-03-22,21,48
2022-03-22,22,27
2022-03-22,23,19
2022-03-23,0,12
2022-03-23,1,26
2022-03-23,2,5
2022-03-23,3,2
2022-03-23,4,2
2022-03-23,5,12
2022-03-23,6,23
2022-03-23,7,64
2022-03-23,8,136
2022-03-23,9,109
2022-03-23,10,71
2022-03-23,11,65
2022-03-23,12,91
2022-03-23,13,83
2022-03-23,14,120
2022-03-23,15,92
2022-03-23,16,113
2022-03-23,17,105
2022-03-23,18,93
2022-03-23,19,73
2022-03-23,20,57
2022-03-23,21,41
2022-03-23,22,23
2022-03-23,23,22
2022-03-24,0,7
2022-03-24,1,5
2022-03-24,2,3
2022-03-24,3,2
2022-03-24,4,4
2022-03-24,5,9
2022-03-24,6,25
2022-03-24,7,84
2022-03-24,8,136
2022-03-24,9,105
2022-03-24,10,75
2022-03-24,11,71
2022-03-24,12,94
2022-03-24,13,90
2022-03-24,14,101
2022-03-24,15,88
2022-03-24,16,113
2022-03-24,17,118
2022-03-24,18,97
2022-03-24,19,75
2022-03-24,20,58
2022-03-24,21,49
2022-03-24,22,59
2022-03-24,23,45
2022-03-25,0,7
2022-03-25,1,12
2022-03-25,2,3
2022-03-25,3,3
