date,time,flow
2022-03-01,0,5
2022-03-01,1,0
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,3
2022-03-01,6,0
2022-03-01,7,16
2022-03-01,8,34
2022-03-01,9,30
2022-03-01,10,26
2022-03-01,11,38
2022-03-01,12,35
2022-03-01,13,26
2022-03-01,14,26
2022-03-01,15,47
2022-03-01,16,51
2022-03-01,17,87
2022-03-01,18,44
2022-03-01,19,43
2022-03-01,20,27
2022-03-01,21,15
2022-03-01,22,12
2022-03-01,23,5
2022-03-02,0,3
2022-03-02,1,5
2022-03-02,2,4
2022-03-02,3,2
2022-03-02,4,2
2022-03-02,5,0
2022-03-02,6,7
2022-03-02,7,12
2022-03-02,8,40
2022-03-02,9,45
2022-03-02,10,40
2022-03-02,11,26
2022-03-02,12,33
2022-03-02,13,28
2022-03-02,14,40
2022-03-02,15,51
2022-03-02,16,54
2022-03-02,17,84
2022-03-02,18,53
2022-03-02,19,38
2022-03-02,20,27
2022-03-02,21,15
2022-03-02,22,16
2022-03-02,23,14
2022-03-03,0,7
2022-03-03,1,0
2022-03-03,2,3
2022-03-03,3,0
2022-03-03,4,1
2022-03-03,5,0
2022-03-03,6,4
2022-03-03,7,16
2022-03-03,8,40
2022-03-03,9,45
2022-03-03,10,39
2022-03-03,11,39
2022-03-03,12,31
2022-03-03,13,37
2022-03-03,14,30
2022-03-03,15,41
2022-03-03,16,40
2022-03-03,17,68
2022-03-03,18,44
2022-03-03,19,32
2022-03-03,20,33
2022-03-03,21,21
2022-03-03,22,36
2022-03-03,23,19
2022-03-04,0,9
2022-03-04,1,8
2022-03-04,2,0
2022-03-04,3,2
2022-03-04,4,1
2022-03-04,5,2
2022-03-04,6,2
2022-03-04,7,16
2022-03-04,8,43
2022-03-04,9,38
2022-03-04,10,31
2022-03-04,11,29
2022-03-04,12,52
2022-03-04,13,34
2022-03-04,14,27
2022-03-04,15,49
2022-03-04,16,45
2022-03-04,17,61
2022-03-04,18,52
2022-03-04,19,63
2022-03-04,20,24
2022-03-04,21,14
2022-03-04,22,30
2022-03-04,23,20
2022-03-05,0,9
2022-03-05,1,9
2022-03-05,2,9
2022-03-05,3,4
2022-03-05,4,3
2022-03-05,5,2
