date,time,flow
2022-03-01,0,10
2022-03-01,1,4
2022-03-01,2,3
2022-03-01,3,3
2022-03-01,4,0
2022-03-01,5,1
2022-03-01,6,20
2022-03-01,7,33
2022-03-01,8,85
2022-03-01,9,89
2022-03-01,10,61
2022-03-01,11,67
2022-03-01,12,70
2022-03-01,13,64
2022-03-01,14,70
2022-03-01,15,78
2022-03-01,16,64
2022-03-01,17,76
2022-03-01,18,79
2022-03-01,19,75
2022-03-01,20,50
2022-03-01,21,38
2022-03-01,22,26
2022-03-01,23,23
2022-03-02,0,10
2022-03-02,1,1
2022-03-02,2,6
2022-03-02,3,4
2022-03-02,4,5
2022-03-02,5,4
2022-03-02,6,11
2022-03-02,7,40
2022-03-02,8,79
2022-03-02,9,109
2022-03-02,10,75
2022-03-02,11,60
2022-03-02,12,60
2022-03-02,13,73
2022-03-02,14,84
2022-03-02,15,72
2022-03-02,16,77
2022-03-02,17,78
2022-03-02,18,84
2022-03-02,19,52
2022-03-02,20,43
2022-03-02,21,35
2022-03-02,22,46
2022-03-02,23,26
2022-03-03,0,23
2022-03-03,1,11
2022-03-03,2,9
2022-03-03,3,7
2022-03-03,4,3
2022-03-03,5,4
2022-03-03,6,13
2022-03-03,7,36
2022-03-03,8,73
2022-03-03,9,102
2022-03-03,10,81
2022-03-03,11,54
2022-03-03,12,75
2022-03-03,13,59
2022-03-03,14,59
2022-03-03,15,76
2022-03-03,16,88
2022-03-03,17,103
2022-03-03,18,94
2022-03-03,19,78
2022-03-03,20,58
2022-03-03,21,36
2022-03-03,22,49
2022-03-03,23,36
2022-03-04,0,12
2022-03-04,1,13
2022-03-04,2,9
2022-03-04,3,5
2022-03-04,4,3
2022-03-04,5,8
2022-03-04,6,14
2022-03-04,7,42
2022-03-04,8,80
2022-03-04,9,116
2022-03-04,10,71
2022-03-04,11,78
2022-03-04,12,68
2022-03-04,13,80
2022-03-04,14,65
2022-03-04,15,95
2022-03-04,16,86
2022-03-04,17,111
2022-03-04,18,106
2022-03-04,19,114
2022-03-04,20,82
2022-03-04,21,62
2022-03-04,22,60
2022-03-04,23,79
2022-03-05,0,41
2022-03-05,1,18
2022-03-05,2,21
2022-03-05,3,21
2022-03-05,4,10
2022-03-05,5,9
2022-03-05,6,8
2022-03-05,7,12
2022-03-05,8,29
2022-03-05,9,47
2022-03-05,10,75
2022-03-05,11,72
2022-03-05,12,66
2022-03-05,13,83
2022-03-05,14,126
2022-03-05,15,80
2022-03-05,16,94
2022-03-05,17,88
2022-03-05,18,96
2022-03-05,19,86
2022-03-05,20,82
2022-03-05,21,77
2022-03-05,22,55
2022-03-05,23,46
2022-03-06,0,53
2022-03-06,1,20
2022-03-06,2,28
2022-03-06,3,24
2022-03-06,4,10
2022-03-06,5,6
2022-03-06,6,7
2022-03-06,7,8
2022-03-06,8,14
2022-03-06,9,33
2022-03-06,10,49
2022-03-06,11,56
2022-03-06,12,65
2022-03-06,13,84
2022-03-06,14,74
2022-03-06,15,61
2022-03-06,16,82
2022-03-06,17,106
2022-03-06,18,79
2022-03-06,19,83
2022-03-06,20,43
2022-03-06,21,41
2022-03-06,22,37
2022-03-06,23,19
2022-03-07,0,14
2022-03-07,1,16
2022-03-07,2,5
2022-03-07,3,5
2022-03-07,4,2
2022-03-07,5,3
2022-03-07,6,20
2022-03-07,7,39
2022-03-07,8,57
2022-03-07,9,91
2022-03-07,10,64
2022-03-07,11,65
2022-03-07,12,50
2022-03-07,13,54
2022-03-07,14,42
2022-03-07,15,72
2022-03-07,16,64
2022-03-07,17,103
2022-03-07,18,96
2022-03-07,19,121
2022-03-07,20,55
2022-03-07,21,30
2022-03-07,22,57
2022-03-07,23,45
2022-03-08,0,23
2022-03-08,1,16
2022-03-08,2,3
2022-03-08,3,5
2022-03-08,4,3
2022-03-08,5,4
2022-03-08,6,13
2022-03-08,7,50
2022-03-08,8,98
2022-03-08,9,112
2022-03-08,10,69
2022-03-08,11,67
2022-03-08,12,67
2022-03-08,13,58
2022-03-08,14,65
2022-03-08,15,77
2022-03-08,16,73
2022-03-08,17,84
2022-03-08,18,54
2022-03-08,19,63
2022-03-08,20,46
2022-03-08,21,37
2022-03-08,22,27
2022-03-08,23,15
2022-03-09,0,4
2022-03-09,1,6
2022-03-09,2,6
2022-03-09,3,2
2022-03-09,4,7
2022-03-09,5,1
2022-03-09,6,20
2022-03-09,7,47
2022-03-09,8,74
2022-03-09,9,96
2022-03-09,10,76
2022-03-09,11,60
2022-03-09,12,78
2022-03-09,13,64
2022-03-09,14,74
2022-03-09,15,83
2022-03-09,16,72
2022-03-09,17,102
2022-03-09,18,85
2022-03-09,19,70
2022-03-09,20,66
2022-03-09,21,32
2022-03-09,22,37
2022-03-09,23,23
2022-03-10,0,26
2022-03-10,1,5
2022-03-10,2,8
2022-03-10,3,2
2022-03-10,4,5
2022-03-10,5,7
2022-03-10,6,17
2022-03-10,7,44
2022-03-10,8,85
2022-03-10,9,88
2022-03-10,10,81
2022-03-10,11,70
2022-03-10,12,76
2022-03-10,13,60
2022-03-10,14,54
2022-03-10,15,68
2022-03-10,16,65
2022-03-10,17,100
2022-03-10,18,89
2022-03-10,19,103
2022-03-10,20,51
2022-03-10,21,46
2022-03-10,22,78
2022-03-10,23,59
2022-03-11,0,29
2022-03-11,1,10
2022-03-11,2,9
2022-03-11,3,5
2022-03-11,4,5
2022-03-11,5,1
2022-03-11,6,10
2022-03-11,7,48
2022-03-11,8,91
2022-03-11,9,104
2022-03-11,10,78
2022-03-11,11,76
2022-03-11,12,92
2022-03-11,13,86
2022-03-11,14,89
2022-03-11,15,96
2022-03-11,16,89
2022-03-11,17,108
2022-03-11,18,111
2022-03-11,19,89
2022-03-11,20,71
2022-03-11,21,40
2022-03-11,22,45
2022-03-11,23,72
2022-03-12,0,32
2022-03-12,1,11
2022-03-12,2,16
2022-03-12,3,10
2022-03-12,4,5
2022-03-12,5,5
2022-03-12,6,9
2022-03-12,7,17
2022-03-12,8,27
2022-03-12,9,46
2022-03-12,10,55
2022-03-12,11,66
2022-03-12,12,80
2022-03-12,13,78
2022-03-12,14,91
2022-03-12,15,75
2022-03-12,16,60
2022-03-12,17,95
2022-03-12,18,99
2022-03-12,19,108
2022-03-12,20,65
2022-03-12,21,53
2022-03-12,22,54
2022-03-12,23,77
2022-03-13,0,41
2022-03-13,1,38
2022-03-13,2,15
2022-03-13,3,26
2022-03-13,4,13
2022-03-13,5,8
2022-03-13,6,4
2022-03-13,7,14
2022-03-13,8,10
2022-03-13,9,22
2022-03-13,10,38
2022-03-13,11,39
2022-03-13,12,63
2022-03-13,13,74
2022-03-13,14,77
2022-03-13,15,70
2022-03-13,16,84
2022-03-13,17,88
2022-03-13,18,74
2022-03-13,19,52
2022-03-13,20,46
2022-03-13,21,51
2022-03-13,22,32
2022-03-13,23,35
2022-03-14,0,21
2022-03-14,1,5
2022-03-14,2,4
2022-03-14,3,5
2022-03-14,4,4
2022-03-14,5,1
2022-03-14,6,14
2022-03-14,7,36
2022-03-14,8,78
2022-03-14,9,88
2022-03-14,10,67
2022-03-14,11,67
2022-03-14,12,49
2022-03-14,13,62
2022-03-14,14,58
2022-03-14,15,87
2022-03-14,16,55
2022-03-14,17,90
2022-03-14,18,82
2022-03-14,19,64
2022-03-14,20,48
2022-03-14,21,28
2022-03-14,22,22
2022-03-14,23,17
2022-03-15,0,7
2022-03-15,1,5
2022-03-15,2,4
2022-03-15,3,4
2022-03-15,4,1
2022-03-15,5,5
2022-03-15,6,15
2022-03-15,7,37
2022-03-15,8,75
2022-03-15,9,81
2022-03-15,10,49
2022-03-15,11,71
2022-03-15,12,70
2022-03-15,13,60
2022-03-15,14,48
2022-03-15,15,72
2022-03-15,16,75
2022-03-15,17,64
2022-03-15,18,82
2022-03-15,19,68
2022-03-15,20,74
2022-03-15,21,56
2022-03-15,22,65
2022-03-15,23,22
2022-03-16,0,21
2022-03-16,1,6
2022-03-16,2,7
2022-03-16,3,5
2022-03-16,4,5
2022-03-16,5,4
2022-03-16,6,16
2022-03-16,7,57
2022-03-16,8,87
2022-03-16,9,107
2022-03-16,10,69
2022-03-16,11,59
2022-03-16,12,77
2022-03-16,13,61
2022-03-16,14,70
2022-03-16,15,68
2022-03-16,16,62
2022-03-16,17,96
2022-03-16,18,91
2022-03-16,19,66
2022-03-16,20,60
2022-03-16,21,60
2022-03-16,22,29
2022-03-16,23,36
2022-03-17,0,30
2022-03-17,1,13
2022-03-17,2,11
2022-03-17,3,7
2022-03-17,4,6
2022-03-17,5,2
2022-03-17,6,14
2022-03-17,7,42
2022-03-17,8,97
2022-03-17,9,113
2022-03-17,10,84
2022-03-17,11,66
2022-03-17,12,80
2022-03-17,13,74
2022-03-17,14,79
2022-03-17,15,68
2022-03-17,16,49
2022-03-17,17,78
2022-03-17,18,77
2022-03-17,19,83
2022-03-17,20,59
2022-03-17,21,69
2022-03-17,22,89
2022-03-17,23,55
2022-03-18,0,27
2022-03-18,1,16
2022-03-18,2,13
2022-03-18,3,11
2022-03-18,4,13
2022-03-18,5,3
2022-03-18,6,18
2022-03-18,7,46
2022-03-18,8,81
2022-03-18,9,87
2022-03-18,10,86
2022-03-18,11,65
2022-03-18,12,61
2022-03-18,13,72
2022-03-18,14,86
2022-03-18,15,97
