date,time,flow
2022-03-01,0,26
2022-03-01,1,13
2022-03-01,2,9
2022-03-01,3,4
2022-03-01,4,6
2022-03-01,5,14
2022-03-01,6,27
2022-03-01,7,66
2022-03-01,8,105
2022-03-01,9,128
2022-03-01,10,118
2022-03-01,11,119
2022-03-01,12,129
2022-03-01,13,134
2022-03-01,14,135
2022-03-01,15,138
2022-03-01,16,110
2022-03-01,17,168
2022-03-01,18,132
2022-03-01,19,93
2022-03-01,20,64
2022-03-01,21,61
2022-03-01,22,51
2022-03-01,23,25
2022-03-02,0,39
2022-03-02,1,10
2022-03-02,2,11
2022-03-02,3,7
2022-03-02,4,3
2022-03-02,5,15
2022-03-02,6,28
2022-03-02,7,62
2022-03-02,8,106
2022-03-02,9,157
2022-03-02,10,132
2022-03-02,11,166
2022-03-02,12,130
2022-03-02,13,142
2022-03-02,14,138
2022-03-02,15,160
2022-03-02,16,134
2022-03-02,17,137
2022-03-02,18,140
2022-03-02,19,108
2022-03-02,20,86
2022-03-02,21,45
2022-03-02,22,56
2022-03-02,23,44
2022-03-03,0,36
2022-03-03,1,9
2022-03-03,2,11
2022-03-03,3,5
2022-03-03,4,10
2022-03-03,5,13
2022-03-03,6,24
2022-03-03,7,59
2022-03-03,8,115
2022-03-03,9,128
2022-03-03,10,130
2022-03-03,11,85
2022-03-03,12,130
2022-03-03,13,130
2022-03-03,14,139
2022-03-03,15,146
2022-03-03,16,133
2022-03-03,17,146
2022-03-03,18,142
2022-03-03,19,102
2022-03-03,20,95
2022-03-03,21,63
2022-03-03,22,47
2022-03-03,23,30
2022-03-04,0,57
2022-03-04,1,11
2022-03-04,2,12
2022-03-04,3,9
2022-03-04,4,11
2022-03-04,5,18
2022-03-04,6,26
2022-03-04,7,67
2022-03-04,8,90
2022-03-04,9,141
2022-03-04,10,127
2022-03-04,11,117
2022-03-04,12,131
2022-03-04,13,166
2022-03-04,14,174
2022-03-04,15,164
2022-03-04,16,194
2022-03-04,17,136
2022-03-04,18,148
2022-03-04,19,151
2022-03-04,20,98
2022-03-04,21,70
2022-03-04,22,55
2022-03-04,23,59
2022-03-05,0,65
2022-03-05,1,41
2022-03-05,2,30
2022-03-05,3,16
2022-03-05,4,16
2022-03-05,5,12
2022-03-05,6,17
2022-03-05,7,32
2022-03-05,8,76
2022-03-05,9,94
2022-03-05,10,118
2022-03-05,11,130
2022-03-05,12,154
2022-03-05,13,140
2022-03-05,14,171
2022-03-05,15,137
2022-03-05,16,173
2022-03-05,17,142
2022-03-05,18,142
2022-03-05,19,132
2022-03-05,20,82
2022-03-05,21,87
2022-03-05,22,66
2022-03-05,23,46
2022-03-06,0,52
2022-03-06,1,38
2022-03-06,2,29
2022-03-06,3,23
2022-03-06,4,20
2022-03-06,5,15
2022-03-06,6,10
2022-03-06,7,18
2022-03-06,8,40
2022-03-06,9,59
2022-03-06,10,81
2022-03-06,11,126
2022-03-06,12,109
2022-03-06,13,115
2022-03-06,14,134
2022-03-06,15,120
2022-03-06,16,110
2022-03-06,17,130
2022-03-06,18,113
2022-03-06,19,122
2022-03-06,20,67
2022-03-06,21,52
2022-03-06,22,40
2022-03-06,23,32
2022-03-07,0,42
2022-03-07,1,23
2022-03-07,2,5
2022-03-07,3,3
2022-03-07,4,8
2022-03-07,5,14
2022-03-07,6,18
2022-03-07,7,76
2022-03-07,8,215
2022-03-07,9,172
2022-03-07,10,140
2022-03-07,11,118
2022-03-07,12,120
2022-03-07,13,128
2022-03-07,14,117
2022-03-07,15,107
2022-03-07,16,156
2022-03-07,17,232
2022-03-07,18,118
2022-03-07,19,102
2022-03-07,20,75
2022-03-07,21,61
2022-03-07,22,50
2022-03-07,23,35
2022-03-08,0,15
2022-03-08,1,15
2022-03-08,2,4
2022-03-08,3,9
2022-03-08,4,3
2022-03-08,5,16
2022-03-08,6,25
2022-03-08,7,63
2022-03-08,8,216
2022-03-08,9,204
2022-03-08,10,106
2022-03-08,11,135
2022-03-08,12,135
2022-03-08,13,149
2022-03-08,14,79
2022-03-08,15,143
2022-03-08,16,160
2022-03-08,17,249
2022-03-08,18,129
2022-03-08,19,86
2022-03-08,20,67
2022-03-08,21,52
2022-03-08,22,35
2022-03-08,23,28
2022-03-09,0,17
2022-03-09,1,14
2022-03-09,2,6
2022-03-09,3,3
2022-03-09,4,8
