date,time,flow
2022-03-01,0,17
2022-03-01,1,4
2022-03-01,2,12
2022-03-01,3,0
2022-03-01,4,3
2022-03-01,5,7
2022-03-01,6,12
2022-03-01,7,45
2022-03-01,8,94
2022-03-01,9,125
2022-03-01,10,119
2022-03-01,11,113
2022-03-01,12,93
2022-03-01,13,86
2022-03-01,14,114
2022-03-01,15,93
2022-03-01,16,107
2022-03-01,17,86
2022-03-01,18,83
2022-03-01,19,78
2022-03-01,20,47
2022-03-01,21,35
2022-03-01,22,35
2022-03-01,23,18
2022-03-02,0,20
2022-03-02,1,6
2022-03-02,2,5
2022-03-02,3,3
2022-03-02,4,3
2022-03-02,5,12
2022-03-02,6,24
2022-03-02,7,42
2022-03-02,8,90
2022-03-02,9,119
2022-03-02,10,81
2022-03-02,11,113
2022-03-02,12,82
2022-03-02,13,93
2022-03-02,14,116
2022-03-02,15,120
2022-03-02,16,125
2022-03-02,17,87
2022-03-02,18,93
2022-03-02,19,54
2022-03-02,20,56
2022-03-02,21,41
2022-03-02,22,20
2022-03-02,23,22
2022-03-03,0,16
2022-03-03,1,9
2022-03-03,2,3
2022-03-03,3,2
2022-03-03,4,5
2022-03-03,5,11
2022-03-03,6,23
2022-03-03,7,44
2022-03-03,8,66
2022-03-03,9,78
2022-03-03,10,88
2022-03-03,11,103
2022-03-03,12,104
2022-03-03,13,113
2022-03-03,14,102
2022-03-03,15,122
2022-03-03,16,108
2022-03-03,17,115
2022-03-03,18,106
2022-03-03,19,86
2022-03-03,20,57
2022-03-03,21,40
2022-03-03,22,28
2022-03-03,23,19
2022-03-04,0,13
2022-03-04,1,9
2022-03-04,2,4
2022-03-04,3,2
2022-03-04,4,4
2022-03-04,5,13
2022-03-04,6,17
2022-03-04,7,46
2022-03-04,8,100
2022-03-04,9,121
2022-03-04,10,81
2022-03-04,11,134
2022-03-04,12,119
2022-03-04,13,122
2022-03-04,14,148
2022-03-04,15,149
2022-03-04,16,128
2022-03-04,17,121
2022-03-04,18,92
2022-03-04,19,71
2022-03-04,20,56
2022-03-04,21,46
2022-03-04,22,38
2022-03-04,23,30
2022-03-05,0,39
2022-03-05,1,26
2022-03-05,2,17
2022-03-05,3,7
2022-03-05,4,5
2022-03-05,5,9
2022-03-05,6,9
2022-03-05,7,19
2022-03-05,8,52
2022-03-05,9,52
2022-03-05,10,124
2022-03-05,11,103
2022-03-05,12,148
2022-03-05,13,122
2022-03-05,14,109
2022-03-05,15,106
2022-03-05,16,155
2022-03-05,17,125
2022-03-05,18,98
2022-03-05,19,112
2022-03-05,20,67
2022-03-05,21,38
2022-03-05,22,39
2022-03-05,23,34
2022-03-06,0,29
2022-03-06,1,36
2022-03-06,2,12
2022-03-06,3,9
2022-03-06,4,7
2022-03-06,5,8
2022-03-06,6,8
2022-03-06,7,15
2022-03-06,8,22
2022-03-06,9,30
2022-03-06,10,44
2022-03-06,11,73
2022-03-06,12,54
2022-03-06,13,58
2022-03-06,14,56
2022-03-06,15,47
2022-03-06,16,60
2022-03-06,17,86
2022-03-06,18,78
2022-03-06,19,63
2022-03-06,20,52
2022-03-06,21,38
2022-03-06,22,31
2022-03-06,23,12
2022-03-07,0,11
2022-03-07,1,4
2022-03-07,2,0
2022-03-07,3,2
2022-03-07,4,3
2022-03-07,5,7
2022-03-07,6,15
2022-03-07,7,61
2022-03-07,8,286
2022-03-07,9,176
2022-03-07,10,113
2022-03-07,11,90
2022-03-07,12,87
2022-03-07,13,116
2022-03-07,14,103
2022-03-07,15,111
2022-03-07,16,116
2022-03-07,17,163
2022-03-07,18,85
2022-03-07,19,55
2022-03-07,20,33
2022-03-07,21,30
2022-03-07,22,23
2022-03-07,23,21
2022-03-08,0,23
2022-03-08,1,5
2022-03-08,2,4
2022-03-08,3,2
2022-03-08,4,4
2022-03-08,5,9
2022-03-08,6,15
2022-03-08,7,86
2022-03-08,8,240
2022-03-08,9,117
2022-03-08,10,143
2022-03-08,11,97
2022-03-08,12,132
2022-03-08,13,126
2022-03-08,14,99
2022-03-08,15,109
2022-03-08,16,172
2022-03-08,17,192
2022-03-08,18,98
2022-03-08,19,72
2022-03-08,20,70
2022-03-08,21,38
2022-03-08,22,22
2022-03-08,23,16
2022-03-09,0,8
2022-03-09,1,16
2022-03-09,2,2
2022-03-09,3,8
2022-03-09,4,11
2022-03-09,5,11
2022-03-09,6,16
2022-03-09,7,44
2022-03-09,8,91
2022-03-09,9,104
2022-03-09,10,112
2022-03-09,11,134
2022-03-09,12,103
2022-03-09,13,116
2022-03-09,14,82
2022-03-09,15,113
2022-03-09,16,131
2022-03-09,17,124
2022-03-09,18,102
2022-03-09,19,76
2022-03-09,20,53
2022-03-09,21,26
2022-03-09,22,49
2022-03-09,23,16
2022-03-10,0,9
2022-03-10,1,23
2022-03-10,2,4
2022-03-10,3,5
2022-03-10,4,3
2022-03-10,5,15
2022-03-10,6,16
2022-03-10,7,39
2022-03-10,8,79
2022-03-10,9,103
2022-03-10,10,119
2022-03-10,11,146
2022-03-10,12,122
2022-03-10,13,122
2022-03-10,14,116
2022-03-10,15,95
2022-03-10,16,133
2022-03-10,17,119
2022-03-10,18,89
2022-03-10,19,69
2022-03-10,20,53
2022-03-10,21,55
2022-03-10,22,35
2022-03-10,23,26
2022-03-11,0,41
2022-03-11,1,4
2022-03-11,2,3
2022-03-11,3,5
2022-03-11,4,4
2022-03-11,5,9
2022-03-11,6,15
2022-03-11,7,55
2022-03-11,8,67
2022-03-11,9,118
2022-03-11,10,141
2022-03-11,11,129
2022-03-11,12,103
2022-03-11,13,139
2022-03-11,14,126
2022-03-11,15,107
2022-03-11,16,117
2022-03-11,17,152
2022-03-11,18,95
2022-03-11,19,87
2022-03-11,20,47
2022-03-11,21,56
2022-03-11,22,30
2022-03-11,23,32
2022-03-12,0,19
2022-03-12,1,8
2022-03-12,2,13
2022-03-12,3,8
2022-03-12,4,8
2022-03-12,5,6
2022-03-12,6,8
2022-03-12,7,21
2022-03-12,8,39
2022-03-12,9,47
2022-03-12,10,98
2022-03-12,11,105
2022-03-12,12,122
2022-03-12,13,120
2022-03-12,14,129
2022-03-12,15,83
2022-03-12,16,95
2022-03-12,17,95
2022-03-12,18,90
2022-03-12,19,80
2022-03-12,20,62
2022-03-12,21,33
2022-03-12,22,42
2022-03-12,23,40
2022-03-13,0,23
2022-03-13,1,25
2022-03-13,2,11
2022-03-13,3,10
2022-03-13,4,7
2022-03-13,5,4
2022-03-13,6,8
2022-03-13,7,16
2022-03-13,8,20
2022-03-13,9,30
2022-03-13,10,42
2022-03-13,11,69
2022-03-13,12,75
2022-03-13,13,66
2022-03-13,14,87
2022-03-13,15,69
2022-03-13,16,105
2022-03-13,17,88
2022-03-13,18,92
2022-03-13,19,60
2022-03-13,20,37
2022-03-13,21,28
2022-03-13,22,27
2022-03-13,23,23
2022-03-14,0,18
2022-03-14,1,12
2022-03-14,2,7
2022-03-14,3,0
2022-03-14,4,5
2022-03-14,5,15
2022-03-14,6,20
2022-03-14,7,42
2022-03-14,8,79
2022-03-14,9,90
2022-03-14,10,82
2022-03-14,11,102
2022-03-14,12,84
2022-03-14,13,101
2022-03-14,14,104
2022-03-14,15,117
2022-03-14,16,90
2022-03-14,17,86
2022-03-14,18,88
2022-03-14,19,54
2022-03-14,20,34
2022-03-14,21,32
2022-03-14,22,21
2022-03-14,23,15
2022-03-15,0,19
2022-03-15,1,8
2022-03-15,2,4
2022-03-15,3,0
2022-03-15,4,2
2022-03-15,5,6
2022-03-15,6,9
2022-03-15,7,43
2022-03-15,8,113
2022-03-15,9,120
2022-03-15,10,85
2022-03-15,11,86
2022-03-15,12,127
2022-03-15,13,101
2022-03-15,14,111
2022-03-15,15,138
2022-03-15,16,107
2022-03-15,17,99
2022-03-15,18,82
2022-03-15,19,52
2022-03-15,20,45
2022-03-15,21,25
2022-03-15,22,34
2022-03-15,23,17
2022-03-16,0,15
2022-03-16,1,4
2022-03-16,2,3
2022-03-16,3,3
2022-03-16,4,5
2022-03-16,5,7
2022-03-16,6,18
2022-03-16,7,37
2022-03-16,8,108
2022-03-16,9,93
2022-03-16,10,82
2022-03-16,11,125
2022-03-16,12,107
2022-03-16,13,116
2022-03-16,14,122
2022-03-16,15,87
2022-03-16,16,140
2022-03-16,17,101
2022-03-16,18,87
2022-03-16,19,79
2022-03-16,20,63
2022-03-16,21,30
2022-03-16,22,26
2022-03-16,23,23
2022-03-17,0,11
2022-03-17,1,12
2022-03-17,2,4
2022-03-17,3,1
2022-03-17,4,4
2022-03-17,5,10
2022-03-17,6,17
2022-03-17,7,42
2022-03-17,8,80
2022-03-17,9,87
2022-03-17,10,122
2022-03-17,11,107
2022-03-17,12,86
2022-03-17,13,147
2022-03-17,14,175
2022-03-17,15,160
2022-03-17,16,118
2022-03-17,17,151
2022-03-17,18,81
2022-03-17,19,87
2022-03-17,20,71
2022-03-17,21,35
2022-03-17,22,23
2022-03-17,23,13
2022-03-18,0,9
2022-03-18,1,16
2022-03-18,2,8
2022-03-18,3,2
2022-03-18,4,3
2022-03-18,5,5
2022-03-18,6,6
