date,time,flow
2022-03-01,0,12
2022-03-01,1,3
2022-03-01,2,1
2022-03-01,3,3
2022-03-01,4,15
2022-03-01,5,9
2022-03-01,6,19
2022-03-01,7,51
2022-03-01,8,82
2022-03-01,9,66
2022-03-01,10,51
2022-03-01,11,45
2022-03-01,12,63
2022-03-01,13,54
2022-03-01,14,76
2022-03-01,15,69
2022-03-01,16,77
2022-03-01,17,78
2022-03-01,18,65
2022-03-01,19,58
2022-03-01,20,40
2022-03-01,21,43
2022-03-01,22,23
2022-03-01,23,20
2022-03-02,0,8
2022-03-02,1,5
2022-03-02,2,8
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,0
2022-03-02,6,16
2022-03-02,7,16
2022-03-02,8,64
2022-03-02,9,53
2022-03-02,10,36
2022-03-02,11,40
2022-03-02,12,44
2022-03-02,13,48
2022-03-02,14,44
2022-03-02,15,62
2022-03-02,16,93
2022-03-02,17,87
2022-03-02,18,84
2022-03-02,19,54
2022-03-02,20,26
2022-03-02,21,16
2022-03-02,22,16
2022-03-02,23,16
2022-03-03,0,8
2022-03-03,1,0
2022-03-03,2,0
2022-03-03,3,0
2022-03-03,4,0
2022-03-03,5,4
2022-03-03,6,12
2022-03-03,7,21
2022-03-03,8,54
2022-03-03,9,50
2022-03-03,10,57
2022-03-03,11,64
2022-03-03,12,57
2022-03-03,13,68
2022-03-03,14,70
2022-03-03,15,67
2022-03-03,16,81
2022-03-03,17,112
2022-03-03,18,67
2022-03-03,19,68
2022-03-03,20,67
2022-03-03,21,69
2022-03-03,22,29
2022-03-03,23,19
2022-03-04,0,8
2022-03-04,1,0
2022-03-04,2,0
2022-03-04,3,0
2022-03-04,4,4
2022-03-04,5,8
2022-03-04,6,12
2022-03-04,7,25
2022-03-04,8,53
2022-03-04,9,67
2022-03-04,10,57
2022-03-04,11,48
2022-03-04,12,53
2022-03-04,13,62
2022-03-04,14,71
2022-03-04,15,85
2022-03-04,16,84
2022-03-04,17,80
2022-03-04,18,54
2022-03-04,19,53
2022-03-04,20,35
2022-03-04,21,16
2022-03-04,22,16
2022-03-04,23,12
2022-03-05,0,8
2022-03-05,1,4
2022-03-05,2,0
2022-03-05,3,4
2022-03-05,4,0
2022-03-05,5,12
2022-03-05,6,12
2022-03-05,7,12
2022-03-05,8,21
2022-03-05,9,31
2022-03-05,10,44
2022-03-05,11,49
2022-03-05,12,54
2022-03-05,13,71
2022-03-05,14,66
2022-03-05,15,70
2022-03-05,16,60
2022-03-05,17,57
2022-03-05,18,67
2022-03-05,19,44
2022-03-05,20,35
