date,time,flow
2022-03-01,0,9
2022-03-01,1,5
2022-03-01,2,7
2022-03-01,3,4
2022-03-01,4,7
2022-03-01,5,22
2022-03-01,6,87
2022-03-01,7,298
2022-03-01,8,434
2022-03-01,9,366
2022-03-01,10,289
2022-03-01,11,253
2022-03-01,12,214
2022-03-01,13,410
2022-03-01,14,301
2022-03-01,15,372
2022-03-01,16,459
2022-03-01,17,415
2022-03-01,18,302
2022-03-01,19,241
2022-03-01,20,122
2022-03-01,21,82
2022-03-01,22,47
2022-03-01,23,20
2022-03-02,0,14
2022-03-02,1,4
2022-03-02,2,3
2022-03-02,3,3
2022-03-02,4,13
2022-03-02,5,21
2022-03-02,6,76
2022-03-02,7,267
2022-03-02,8,466
2022-03-02,9,445
2022-03-02,10,381
2022-03-02,11,375
2022-03-02,12,341
2022-03-02,13,392
2022-03-02,14,412
2022-03-02,15,404
2022-03-02,16,492
2022-03-02,17,425
2022-03-02,18,256
2022-03-02,19,216
2022-03-02,20,122
2022-03-02,21,80
2022-03-02,22,55
2022-03-02,23,26
2022-03-03,0,11
2022-03-03,1,10
2022-03-03,2,11
2022-03-03,3,5
2022-03-03,4,11
2022-03-03,5,24
2022-03-03,6,82
2022-03-03,7,278
2022-03-03,8,531
2022-03-03,9,367
2022-03-03,10,283
2022-03-03,11,314
2022-03-03,12,381
2022-03-03,13,368
2022-03-03,14,326
2022-03-03,15,404
2022-03-03,16,454
2022-03-03,17,453
2022-03-03,18,298
2022-03-03,19,217
2022-03-03,20,142
2022-03-03,21,85
2022-03-03,22,57
2022-03-03,23,29
2022-03-04,0,15
2022-03-04,1,7
2022-03-04,2,11
2022-03-04,3,10
2022-03-04,4,9
2022-03-04,5,27
2022-03-04,6,69
2022-03-04,7,250
2022-03-04,8,413
2022-03-04,9,460
2022-03-04,10,312
2022-03-04,11,425
2022-03-04,12,374
2022-03-04,13,448
2022-03-04,14,406
2022-03-04,15,501
2022-03-04,16,478
2022-03-04,17,394
2022-03-04,18,365
2022-03-04,19,252
2022-03-04,20,133
2022-03-04,21,91
2022-03-04,22,65
2022-03-04,23,51
2022-03-05,0,28
2022-03-05,1,43
2022-03-05,2,15
2022-03-05,3,10
2022-03-05,4,10
2022-03-05,5,12
2022-03-05,6,27
2022-03-05,7,66
2022-03-05,8,103
2022-03-05,9,174
2022-03-05,10,383
2022-03-05,11,361
2022-03-05,12,433
2022-03-05,13,482
2022-03-05,14,460
2022-03-05,15,366
2022-03-05,16,353
2022-03-05,17,323
2022-03-05,18,259
2022-03-05,19,197
2022-03-05,20,113
2022-03-05,21,82
2022-03-05,22,54
2022-03-05,23,58
2022-03-06,0,37
2022-03-06,1,38
2022-03-06,2,17
2022-03-06,3,15
2022-03-06,4,8
2022-03-06,5,11
2022-03-06,6,24
2022-03-06,7,42
2022-03-06,8,55
2022-03-06,9,110
2022-03-06,10,233
2022-03-06,11,278
2022-03-06,12,259
2022-03-06,13,358
2022-03-06,14,346
2022-03-06,15,265
2022-03-06,16,335
2022-03-06,17,245
2022-03-06,18,209
2022-03-06,19,174
2022-03-06,20,97
2022-03-06,21,73
2022-03-06,22,37
2022-03-06,23,34
2022-03-07,0,17
2022-03-07,1,3
2022-03-07,2,5
2022-03-07,3,5
2022-03-07,4,7
2022-03-07,5,21
2022-03-07,6,77
2022-03-07,7,237
2022-03-07,8,447
2022-03-07,9,310
2022-03-07,10,257
2022-03-07,11,290
2022-03-07,12,267
2022-03-07,13,372
2022-03-07,14,378
2022-03-07,15,303
2022-03-07,16,436
2022-03-07,17,379
2022-03-07,18,295
2022-03-07,19,248
2022-03-07,20,260
2022-03-07,21,243
2022-03-07,22,124
2022-03-07,23,57
2022-03-08,0,33
2022-03-08,1,24
2022-03-08,2,5
2022-03-08,3,16
2022-03-08,4,22
2022-03-08,5,54
2022-03-08,6,99
2022-03-08,7,281
2022-03-08,8,502
2022-03-08,9,398
2022-03-08,10,251
2022-03-08,11,261
2022-03-08,12,262
2022-03-08,13,309
2022-03-08,14,364
2022-03-08,15,340
2022-03-08,16,510
2022-03-08,17,459
2022-03-08,18,317
2022-03-08,19,230
2022-03-08,20,152
2022-03-08,21,94
2022-03-08,22,53
2022-03-08,23,39
2022-03-09,0,16
2022-03-09,1,33
2022-03-09,2,8
2022-03-09,3,7
2022-03-09,4,8
2022-03-09,5,23
2022-03-09,6,77
2022-03-09,7,269
2022-03-09,8,528
2022-03-09,9,407
2022-03-09,10,301
2022-03-09,11,311
2022-03-09,12,362
2022-03-09,13,325
2022-03-09,14,332
2022-03-09,15,355
2022-03-09,16,494
2022-03-09,17,427
2022-03-09,18,235
2022-03-09,19,243
2022-03-09,20,112
2022-03-09,21,89
2022-03-09,22,59
2022-03-09,23,31
2022-03-10,0,15
2022-03-10,1,10
2022-03-10,2,5
2022-03-10,3,8
2022-03-10,4,11
2022-03-10,5,29
2022-03-10,6,79
2022-03-10,7,319
2022-03-10,8,479
2022-03-10,9,399
2022-03-10,10,248
2022-03-10,11,344
2022-03-10,12,338
2022-03-10,13,337
2022-03-10,14,377
2022-03-10,15,476
2022-03-10,16,462
2022-03-10,17,427
2022-03-10,18,432
2022-03-10,19,381
2022-03-10,20,118
2022-03-10,21,87
2022-03-10,22,53
2022-03-10,23,35
2022-03-11,0,18
2022-03-11,1,16
2022-03-11,2,8
2022-03-11,3,8
2022-03-11,4,8
2022-03-11,5,24
2022-03-11,6,81
2022-03-11,7,243
2022-03-11,8,391
2022-03-11,9,402
2022-03-11,10,295
2022-03-11,11,361
2022-03-11,12,460
2022-03-11,13,442
2022-03-11,14,541
2022-03-11,15,510
2022-03-11,16,469
2022-03-11,17,399
2022-03-11,18,287
2022-03-11,19,204
2022-03-11,20,123
2022-03-11,21,61
2022-03-11,22,66
2022-03-11,23,56
2022-03-12,0,38
2022-03-12,1,24
2022-03-12,2,12
2022-03-12,3,10
2022-03-12,4,13
2022-03-12,5,19
2022-03-12,6,37
2022-03-12,7,61
2022-03-12,8,115
2022-03-12,9,154
2022-03-12,10,342
2022-03-12,11,432
2022-03-12,12,412
2022-03-12,13,483
2022-03-12,14,468
2022-03-12,15,228
2022-03-12,16,234
2022-03-12,17,225
2022-03-12,18,199
2022-03-12,19,124
2022-03-12,20,94
2022-03-12,21,63
2022-03-12,22,48
2022-03-12,23,44
2022-03-13,0,31
2022-03-13,1,39
2022-03-13,2,15
2022-03-13,3,17
2022-03-13,4,14
2022-03-13,5,18
2022-03-13,6,25
2022-03-13,7,42
2022-03-13,8,55
2022-03-13,9,103
2022-03-13,10,164
2022-03-13,11,263
2022-03-13,12,267
2022-03-13,13,365
2022-03-13,14,338
2022-03-13,15,254
2022-03-13,16,258
2022-03-13,17,199
2022-03-13,18,179
2022-03-13,19,127
2022-03-13,20,101
2022-03-13,21,53
2022-03-13,22,36
2022-03-13,23,27
2022-03-14,0,5
2022-03-14,1,10
2022-03-14,2,5
2022-03-14,3,6
2022-03-14,4,6
2022-03-14,5,26
2022-03-14,6,95
2022-03-14,7,239
2022-03-14,8,481
2022-03-14,9,407
2022-03-14,10,297
2022-03-14,11,183
2022-03-14,12,305
2022-03-14,13,250
2022-03-14,14,262
2022-03-14,15,349
2022-03-14,16,428
2022-03-14,17,440
2022-03-14,18,257
2022-03-14,19,159
2022-03-14,20,100
2022-03-14,21,75
2022-03-14,22,49
2022-03-14,23,26
2022-03-15,0,24
2022-03-15,1,36
2022-03-15,2,6
2022-03-15,3,8
2022-03-15,4,10
2022-03-15,5,25
2022-03-15,6,79
2022-03-15,7,289
2022-03-15,8,469
2022-03-15,9,399
2022-03-15,10,328
2022-03-15,11,262
2022-03-15,12,278
2022-03-15,13,351
2022-03-15,14,305
2022-03-15,15,365
2022-03-15,16,493
2022-03-15,17,429
2022-03-15,18,372
2022-03-15,19,211
2022-03-15,20,119
2022-03-15,21,97
2022-03-15,22,48
2022-03-15,23,22
2022-03-16,0,8
2022-03-16,1,11
2022-03-16,2,1
2022-03-16,3,8
2022-03-16,4,12
2022-03-16,5,30
2022-03-16,6,96
2022-03-16,7,272
2022-03-16,8,521
2022-03-16,9,425
2022-03-16,10,321
2022-03-16,11,241
2022-03-16,12,265
2022-03-16,13,362
2022-03-16,14,271
2022-03-16,15,418
2022-03-16,16,424
2022-03-16,17,464
2022-03-16,18,265
2022-03-16,19,229
2022-03-16,20,113
2022-03-16,21,99
2022-03-16,22,51
2022-03-16,23,26
2022-03-17,0,20
2022-03-17,1,10
2022-03-17,2,9
2022-03-17,3,5
2022-03-17,4,9
2022-03-17,5,25
2022-03-17,6,60
2022-03-17,7,258
2022-03-17,8,459
2022-03-17,9,475
2022-03-17,10,296
