date,time,flow
2022-03-01,0,26
2022-03-01,1,16
2022-03-01,2,7
2022-03-01,3,11
2022-03-01,4,8
2022-03-01,5,15
2022-03-01,6,20
2022-03-01,7,75
2022-03-01,8,121
2022-03-01,9,90
2022-03-01,10,95
2022-03-01,11,92
2022-03-01,12,86
2022-03-01,13,90
2022-03-01,14,105
2022-03-01,15,96
2022-03-01,16,93
2022-03-01,17,114
2022-03-01,18,101
2022-03-01,19,119
2022-03-01,20,71
2022-03-01,21,51
2022-03-01,22,50
2022-03-01,23,32
2022-03-02,0,11
2022-03-02,1,10
2022-03-02,2,7
2022-03-02,3,5
2022-03-02,4,9
2022-03-02,5,12
2022-03-02,6,21
2022-03-02,7,83
2022-03-02,8,94
2022-03-02,9,107
2022-03-02,10,96
2022-03-02,11,97
2022-03-02,12,104
2022-03-02,13,101
2022-03-02,14,117
2022-03-02,15,108
2022-03-02,16,78
2022-03-02,17,94
2022-03-02,18,105
2022-03-02,19,89
2022-03-02,20,79
2022-03-02,21,51
2022-03-02,22,64
2022-03-02,23,37
2022-03-03,0,23
2022-03-03,1,21
2022-03-03,2,11
2022-03-03,3,10
2022-03-03,4,6
2022-03-03,5,11
2022-03-03,6,24
2022-03-03,7,71
2022-03-03,8,107
2022-03-03,9,115
2022-03-03,10,79
2022-03-03,11,90
2022-03-03,12,84
2022-03-03,13,87
2022-03-03,14,147
2022-03-03,15,98
2022-03-03,16,90
2022-03-03,17,103
2022-03-03,18,113
2022-03-03,19,124
2022-03-03,20,96
2022-03-03,21,57
2022-03-03,22,56
2022-03-03,23,43
2022-03-04,0,21
2022-03-04,1,30
2022-03-04,2,10
2022-03-04,3,10
2022-03-04,4,6
2022-03-04,5,15
2022-03-04,6,22
2022-03-04,7,79
2022-03-04,8,97
2022-03-04,9,103
2022-03-04,10,99
2022-03-04,11,85
2022-03-04,12,111
2022-03-04,13,97
2022-03-04,14,113
2022-03-04,15,142
2022-03-04,16,94
2022-03-04,17,119
2022-03-04,18,125
2022-03-04,19,96
2022-03-04,20,130
2022-03-04,21,63
2022-03-04,22,56
2022-03-04,23,44
2022-03-05,0,33
2022-03-05,1,53
2022-03-05,2,17
2022-03-05,3,19
2022-03-05,4,9
2022-03-05,5,16
2022-03-05,6,10
2022-03-05,7,31
2022-03-05,8,50
2022-03-05,9,80
2022-03-05,10,95
2022-03-05,11,90
2022-03-05,12,98
2022-03-05,13,93
2022-03-05,14,115
2022-03-05,15,101
2022-03-05,16,94
2022-03-05,17,89
2022-03-05,18,102
2022-03-05,19,110
2022-03-05,20,73
2022-03-05,21,58
2022-03-05,22,48
2022-03-05,23,44
2022-03-06,0,41
2022-03-06,1,18
2022-03-06,2,24
2022-03-06,3,12
2022-03-06,4,18
2022-03-06,5,15
2022-03-06,6,15
2022-03-06,7,27
2022-03-06,8,46
2022-03-06,9,45
2022-03-06,10,51
2022-03-06,11,85
2022-03-06,12,104
2022-03-06,13,87
2022-03-06,14,107
2022-03-06,15,99
2022-03-06,16,94
2022-03-06,17,87
2022-03-06,18,96
2022-03-06,19,84
2022-03-06,20,73
2022-03-06,21,58
2022-03-06,22,44
2022-03-06,23,41
2022-03-07,0,35
2022-03-07,1,13
2022-03-07,2,7
2022-03-07,3,8
2022-03-07,4,4
2022-03-07,5,15
2022-03-07,6,32
2022-03-07,7,69
2022-03-07,8,105
2022-03-07,9,116
2022-03-07,10,94
2022-03-07,11,82
