date,time,flow
2022-03-01,0,20
2022-03-01,1,9
2022-03-01,2,5
2022-03-01,3,5
2022-03-01,4,3
2022-03-01,5,9
2022-03-01,6,31
2022-03-01,7,90
2022-03-01,8,177
2022-03-01,9,156
2022-03-01,10,136
2022-03-01,11,138
2022-03-01,12,127
2022-03-01,13,130
2022-03-01,14,186
2022-03-01,15,163
2022-03-01,16,176
2022-03-01,17,192
2022-03-01,18,205
2022-03-01,19,140
2022-03-01,20,116
2022-03-01,21,88
2022-03-01,22,79
2022-03-01,23,36
2022-03-02,0,25
2022-03-02,1,16
2022-03-02,2,3
2022-03-02,3,6
2022-03-02,4,5
2022-03-02,5,7
2022-03-02,6,31
2022-03-02,7,103
2022-03-02,8,138
2022-03-02,9,193
2022-03-02,10,106
2022-03-02,11,107
2022-03-02,12,156
2022-03-02,13,148
2022-03-02,14,179
2022-03-02,15,177
2022-03-02,16,213
2022-03-02,17,182
2022-03-02,18,175
2022-03-02,19,113
2022-03-02,20,96
2022-03-02,21,71
2022-03-02,22,80
2022-03-02,23,43
2022-03-03,0,24
2022-03-03,1,16
2022-03-03,2,8
2022-03-03,3,4
2022-03-03,4,9
2022-03-03,5,18
2022-03-03,6,25
2022-03-03,7,88
2022-03-03,8,124
2022-03-03,9,203
2022-03-03,10,114
2022-03-03,11,138
2022-03-03,12,146
2022-03-03,13,119
2022-03-03,14,149
2022-03-03,15,203
2022-03-03,16,195
2022-03-03,17,240
2022-03-03,18,195
2022-03-03,19,128
2022-03-03,20,119
2022-03-03,21,80
2022-03-03,22,63
2022-03-03,23,34
2022-03-04,0,24
2022-03-04,1,21
2022-03-04,2,10
2022-03-04,3,7
2022-03-04,4,8
2022-03-04,5,13
2022-03-04,6,35
2022-03-04,7,89
2022-03-04,8,127
2022-03-04,9,152
2022-03-04,10,147
2022-03-04,11,147
2022-03-04,12,138
2022-03-04,13,147
2022-03-04,14,166
2022-03-04,15,236
2022-03-04,16,209
2022-03-04,17,227
2022-03-04,18,234
2022-03-04,19,162
2022-03-04,20,119
2022-03-04,21,114
