date,time,flow
2022-03-01,0,18
2022-03-01,1,8
2022-03-01,2,10
2022-03-01,3,15
2022-03-01,4,13
2022-03-01,5,27
2022-03-01,6,58
2022-03-01,7,80
2022-03-01,8,127
2022-03-01,9,155
2022-03-01,10,128
2022-03-01,11,169
2022-03-01,12,173
2022-03-01,13,177
2022-03-01,14,159
2022-03-01,15,188
2022-03-01,16,173
2022-03-01,17,232
2022-03-01,18,156
2022-03-01,19,121
2022-03-01,20,81
2022-03-01,21,50
2022-03-01,22,33
2022-03-01,23,20
2022-03-02,0,17
2022-03-02,1,17
2022-03-02,2,12
2022-03-02,3,9
2022-03-02,4,14
2022-03-02,5,23
2022-03-02,6,55
2022-03-02,7,107
2022-03-02,8,108
2022-03-02,9,128
2022-03-02,10,149
2022-03-02,11,219
2022-03-02,12,287
2022-03-02,13,224
2022-03-02,14,265
2022-03-02,15,254
2022-03-02,16,247
2022-03-02,17,244
2022-03-02,18,245
2022-03-02,19,164
2022-03-02,20,156
2022-03-02,21,92
2022-03-02,22,100
2022-03-02,23,54
2022-03-03,0,31
2022-03-03,1,6
2022-03-03,2,24
2022-03-03,3,19
2022-03-03,4,16
2022-03-03,5,58
2022-03-03,6,138
2022-03-03,7,199
2022-03-03,8,112
2022-03-03,9,136
2022-03-03,10,104
2022-03-03,11,127
2022-03-03,12,165
2022-03-03,13,176
2022-03-03,14,180
2022-03-03,15,161
2022-03-03,16,203
2022-03-03,17,226
2022-03-03,18,157
2022-03-03,19,117
2022-03-03,20,104
2022-03-03,21,67
2022-03-03,22,47
2022-03-03,23,34
2022-03-04,0,18
2022-03-04,1,4
2022-03-04,2,10
2022-03-04,3,13
2022-03-04,4,14
2022-03-04,5,31
2022-03-04,6,49
2022-03-04,7,96
2022-03-04,8,101
2022-03-04,9,132
2022-03-04,10,153
2022-03-04,11,140
2022-03-04,12,172
2022-03-04,13,182
2022-03-04,14,179
2022-03-04,15,187
2022-03-04,16,224
2022-03-04,17,182
2022-03-04,18,180
2022-03-04,19,150
2022-03-04,20,90
2022-03-04,21,60
2022-03-04,22,57
2022-03-04,23,49
2022-03-05,0,45
2022-03-05,1,32
2022-03-05,2,24
2022-03-05,3,14
2022-03-05,4,20
2022-03-05,5,10
2022-03-05,6,21
2022-03-05,7,47
2022-03-05,8,65
2022-03-05,9,88
2022-03-05,10,109
2022-03-05,11,155
2022-03-05,12,165
2022-03-05,13,154
2022-03-05,14,161
2022-03-05,15,140
2022-03-05,16,125
2022-03-05,17,105
2022-03-05,18,123
2022-03-05,19,103
2022-03-05,20,81
2022-03-05,21,79
2022-03-05,22,63
2022-03-05,23,48
2022-03-06,0,53
2022-03-06,1,42
2022-03-06,2,16
2022-03-06,3,18
2022-03-06,4,12
2022-03-06,5,12
2022-03-06,6,15
2022-03-06,7,27
2022-03-06,8,40
2022-03-06,9,59
2022-03-06,10,87
2022-03-06,11,132
2022-03-06,12,119
2022-03-06,13,148
2022-03-06,14,143
2022-03-06,15,141
2022-03-06,16,146
2022-03-06,17,126
2022-03-06,18,115
2022-03-06,19,76
2022-03-06,20,63
2022-03-06,21,54
2022-03-06,22,40
2022-03-06,23,36
2022-03-07,0,16
2022-03-07,1,7
2022-03-07,2,15
2022-03-07,3,6
2022-03-07,4,10
2022-03-07,5,27
2022-03-07,6,58
2022-03-07,7,88
2022-03-07,8,105
2022-03-07,9,123
2022-03-07,10,123
2022-03-07,11,135
2022-03-07,12,163
2022-03-07,13,187
2022-03-07,14,147
2022-03-07,15,134
2022-03-07,16,188
2022-03-07,17,162
2022-03-07,18,149
2022-03-07,19,91
2022-03-07,20,83
2022-03-07,21,47
2022-03-07,22,33
2022-03-07,23,24
2022-03-08,0,27
2022-03-08,1,13
2022-03-08,2,12
2022-03-08,3,11
2022-03-08,4,8
2022-03-08,5,31
2022-03-08,6,65
2022-03-08,7,87
2022-03-08,8,134
2022-03-08,9,152
2022-03-08,10,127
2022-03-08,11,137
2022-03-08,12,145
2022-03-08,13,168
2022-03-08,14,163
2022-03-08,15,175
2022-03-08,16,172
2022-03-08,17,171
2022-03-08,18,148
2022-03-08,19,123
2022-03-08,20,68
2022-03-08,21,35
2022-03-08,22,37
2022-03-08,23,28
2022-03-09,0,11
2022-03-09,1,8
2022-03-09,2,3
2022-03-09,3,5
2022-03-09,4,10
2022-03-09,5,14
2022-03-09,6,56
2022-03-09,7,84
2022-03-09,8,135
2022-03-09,9,159
2022-03-09,10,112
2022-03-09,11,137
2022-03-09,12,164
2022-03-09,13,142
2022-03-09,14,150
2022-03-09,15,177
2022-03-09,16,153
2022-03-09,17,218
2022-03-09,18,152
2022-03-09,19,130
2022-03-09,20,84
2022-03-09,21,46
2022-03-09,22,39
2022-03-09,23,25
2022-03-10,0,19
2022-03-10,1,17
2022-03-10,2,5
2022-03-10,3,8
2022-03-10,4,10
2022-03-10,5,28
2022-03-10,6,53
2022-03-10,7,109
2022-03-10,8,99
2022-03-10,9,136
2022-03-10,10,134
2022-03-10,11,173
2022-03-10,12,151
2022-03-10,13,160
2022-03-10,14,198
2022-03-10,15,193
2022-03-10,16,159
2022-03-10,17,164
2022-03-10,18,166
2022-03-10,19,116
2022-03-10,20,70
2022-03-10,21,48
2022-03-10,22,47
2022-03-10,23,37
2022-03-11,0,24
2022-03-11,1,12
2022-03-11,2,10
2022-03-11,3,7
2022-03-11,4,11
2022-03-11,5,23
2022-03-11,6,37
