date,time,flow
2022-03-01,0,34
2022-03-01,1,7
2022-03-01,2,10
2022-03-01,3,8
2022-03-01,4,11
2022-03-01,5,18
2022-03-01,6,51
2022-03-01,7,91
2022-03-01,8,130
2022-03-01,9,147
2022-03-01,10,137
2022-03-01,11,131
2022-03-01,12,162
2022-03-01,13,174
2022-03-01,14,151
2022-03-01,15,155
2022-03-01,16,152
2022-03-01,17,153
2022-03-01,18,139
2022-03-01,19,115
2022-03-01,20,90
2022-03-01,21,74
2022-03-01,22,69
2022-03-01,23,36
2022-03-02,0,33
2022-03-02,1,12
2022-03-02,2,13
2022-03-02,3,5
2022-03-02,4,17
2022-03-02,5,21
2022-03-02,6,52
2022-03-02,7,82
2022-03-02,8,153
2022-03-02,9,172
2022-03-02,10,140
2022-03-02,11,126
2022-03-02,12,148
2022-03-02,13,168
2022-03-02,14,166
2022-03-02,15,162
2022-03-02,16,187
2022-03-02,17,188
2022-03-02,18,158
2022-03-02,19,110
2022-03-02,20,103
2022-03-02,21,66
2022-03-02,22,97
2022-03-02,23,40
2022-03-03,0,31
2022-03-03,1,17
2022-03-03,2,8
2022-03-03,3,13
2022-03-03,4,12
2022-03-03,5,21
2022-03-03,6,48
2022-03-03,7,84
2022-03-03,8,147
2022-03-03,9,138
2022-03-03,10,130
2022-03-03,11,135
2022-03-03,12,153
2022-03-03,13,152
2022-03-03,14,172
2022-03-03,15,183
2022-03-03,16,185
2022-03-03,17,193
2022-03-03,18,144
2022-03-03,19,128
2022-03-03,20,99
2022-03-03,21,77
2022-03-03,22,72
2022-03-03,23,46
2022-03-04,0,28
2022-03-04,1,19
2022-03-04,2,8
2022-03-04,3,13
2022-03-04,4,16
2022-03-04,5,23
2022-03-04,6,44
2022-03-04,7,86
2022-03-04,8,133
2022-03-04,9,137
2022-03-04,10,125
2022-03-04,11,159
2022-03-04,12,162
2022-03-04,13,186
2022-03-04,14,185
2022-03-04,15,186
2022-03-04,16,164
2022-03-04,17,146
2022-03-04,18,161
2022-03-04,19,146
2022-03-04,20,111
2022-03-04,21,73
2022-03-04,22,64
2022-03-04,23,59
2022-03-05,0,130
2022-03-05,1,148
2022-03-05,2,13
2022-03-05,3,21
2022-03-05,4,16
2022-03-05,5,9
2022-03-05,6,32
2022-03-05,7,39
2022-03-05,8,53
2022-03-05,9,88
2022-03-05,10,100
2022-03-05,11,129
2022-03-05,12,133
2022-03-05,13,165
2022-03-05,14,158
2022-03-05,15,120
2022-03-05,16,134
2022-03-05,17,104
2022-03-05,18,124
2022-03-05,19,98
2022-03-05,20,83
2022-03-05,21,65
2022-03-05,22,54
2022-03-05,23,53
2022-03-06,0,27
2022-03-06,1,23
2022-03-06,2,23
2022-03-06,3,22
2022-03-06,4,12
2022-03-06,5,12
2022-03-06,6,15
2022-03-06,7,33
2022-03-06,8,39
2022-03-06,9,45
2022-03-06,10,60
2022-03-06,11,109
2022-03-06,12,111
2022-03-06,13,134
2022-03-06,14,131
2022-03-06,15,137
2022-03-06,16,121
2022-03-06,17,111
2022-03-06,18,112
2022-03-06,19,87
2022-03-06,20,69
2022-03-06,21,54
2022-03-06,22,43
2022-03-06,23,36
2022-03-07,0,25
2022-03-07,1,18
2022-03-07,2,11
2022-03-07,3,5
2022-03-07,4,11
2022-03-07,5,17
2022-03-07,6,39
2022-03-07,7,84
2022-03-07,8,137
2022-03-07,9,141
