date,time,flow
2022-03-01,0,0
2022-03-01,1,0
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,6
2022-03-01,5,13
2022-03-01,6,8
2022-03-01,7,25
2022-03-01,8,66
2022-03-01,9,70
2022-03-01,10,53
2022-03-01,11,40
2022-03-01,12,48
2022-03-01,13,62
2022-03-01,14,65
2022-03-01,15,75
2022-03-01,16,62
2022-03-01,17,75
2022-03-01,18,36
2022-03-01,19,21
2022-03-01,20,35
2022-03-01,21,47
2022-03-01,22,16
2022-03-01,23,0
2022-03-02,0,35
2022-03-02,1,0
2022-03-02,2,8
2022-03-02,3,0
2022-03-02,4,27
2022-03-02,5,4
2022-03-02,6,17
2022-03-02,7,39
2022-03-02,8,57
2022-03-02,9,62
2022-03-02,10,44
2022-03-02,11,52
2022-03-02,12,53
2022-03-02,13,52
2022-03-02,14,44
2022-03-02,15,40
2022-03-02,16,48
2022-03-02,17,52
2022-03-02,18,40
2022-03-02,19,48
2022-03-02,20,88
2022-03-02,21,66
2022-03-02,22,97
2022-03-02,23,137
2022-03-03,0,22
2022-03-03,1,0
2022-03-03,2,9
2022-03-03,3,0
2022-03-03,4,0
2022-03-03,5,0
2022-03-03,6,17
2022-03-03,7,26
2022-03-03,8,61
2022-03-03,9,58
2022-03-03,10,31
2022-03-03,11,26
2022-03-03,12,36
2022-03-03,13,40
2022-03-03,14,36
2022-03-03,15,31
2022-03-03,16,36
2022-03-03,17,21
2022-03-03,18,21
2022-03-03,19,16
2022-03-03,20,21
2022-03-03,21,12
2022-03-03,22,4
2022-03-03,23,31
2022-03-04,0,8
2022-03-04,1,13
2022-03-04,2,0
2022-03-04,3,0
2022-03-04,4,0
2022-03-04,5,0
2022-03-04,6,17
2022-03-04,7,70
2022-03-04,8,57
2022-03-04,9,57
2022-03-04,10,44
2022-03-04,11,40
2022-03-04,12,53
2022-03-04,13,48
2022-03-04,14,44
2022-03-04,15,57
2022-03-04,16,48
2022-03-04,17,40
2022-03-04,18,40
2022-03-04,19,35
2022-03-04,20,52
2022-03-04,21,52
2022-03-04,22,30
2022-03-04,23,22
2022-03-05,0,0
2022-03-05,1,8
2022-03-05,2,0
2022-03-05,3,0
2022-03-05,4,0
2022-03-05,5,0
2022-03-05,6,31
2022-03-05,7,22
2022-03-05,8,53
2022-03-05,9,26
2022-03-05,10,44
2022-03-05,11,36
2022-03-05,12,44
2022-03-05,13,36
2022-03-05,14,48
2022-03-05,15,40
2022-03-05,16,40
2022-03-05,17,30
2022-03-05,18,36
2022-03-05,19,21
2022-03-05,20,16
2022-03-05,21,21
2022-03-05,22,87
2022-03-05,23,39
2022-03-06,0,0
2022-03-06,1,9
2022-03-06,2,17
2022-03-06,3,26
2022-03-06,4,27
2022-03-06,5,39
2022-03-06,6,30
2022-03-06,7,31
2022-03-06,8,4
2022-03-06,9,0
2022-03-06,10,18
2022-03-06,11,26
2022-03-06,12,16
2022-03-06,13,21
2022-03-06,14,31
2022-03-06,15,35
2022-03-06,16,21
2022-03-06,17,16
2022-03-06,18,16
2022-03-06,19,34
2022-03-06,20,16
2022-03-06,21,48
2022-03-06,22,0
2022-03-06,23,0
2022-03-07,0,4
2022-03-07,1,0
2022-03-07,2,26
2022-03-07,3,13
2022-03-07,4,28
2022-03-07,5,22
2022-03-07,6,8
2022-03-07,7,16
2022-03-07,8,83
2022-03-07,9,58
2022-03-07,10,45
2022-03-07,11,62
2022-03-07,12,53
2022-03-07,13,44
2022-03-07,14,40
2022-03-07,15,40
2022-03-07,16,48
2022-03-07,17,40
2022-03-07,18,36
2022-03-07,19,21
2022-03-07,20,26
2022-03-07,21,25
2022-03-07,22,30
2022-03-07,23,71
2022-03-08,0,4
2022-03-08,1,0
2022-03-08,2,0
2022-03-08,3,0
2022-03-08,4,0
2022-03-08,5,22
2022-03-08,6,12
2022-03-08,7,25
2022-03-08,8,66
2022-03-08,9,74
2022-03-08,10,53
2022-03-08,11,48
2022-03-08,12,40
2022-03-08,13,62
2022-03-08,14,61
2022-03-08,15,75
2022-03-08,16,67
2022-03-08,17,79
2022-03-08,18,36
2022-03-08,19,26
2022-03-08,20,30
2022-03-08,21,47
2022-03-08,22,21
2022-03-08,23,4
2022-03-09,0,22
2022-03-09,1,0
2022-03-09,2,13
2022-03-09,3,0
2022-03-09,4,28
2022-03-09,5,4
2022-03-09,6,17
2022-03-09,7,39
2022-03-09,8,61
2022-03-09,9,62
2022-03-09,10,44
2022-03-09,11,48
2022-03-09,12,50
2022-03-09,13,48
2022-03-09,14,48
2022-03-09,15,44
2022-03-09,16,48
2022-03-09,17,40
2022-03-09,18,40
2022-03-09,19,43
2022-03-09,20,101
2022-03-09,21,75
2022-03-09,22,80
2022-03-09,23,154
2022-03-10,0,18
2022-03-10,1,0
2022-03-10,2,13
2022-03-10,3,4
2022-03-10,4,0
2022-03-10,5,0
2022-03-10,6,17
2022-03-10,7,21
2022-03-10,8,53
2022-03-10,9,58
2022-03-10,10,36
2022-03-10,11,44
2022-03-10,12,53
2022-03-10,13,57
2022-03-10,14,40
2022-03-10,15,44
2022-03-10,16,52
2022-03-10,17,44
2022-03-10,18,40
2022-03-10,19,26
2022-03-10,20,25
2022-03-10,21,16
2022-03-10,22,4
2022-03-10,23,44
2022-03-11,0,22
2022-03-11,1,9
2022-03-11,2,0
2022-03-11,3,0
2022-03-11,4,0
2022-03-11,5,0
2022-03-11,6,15
2022-03-11,7,56
2022-03-11,8,56
2022-03-11,9,55
2022-03-11,10,44
2022-03-11,11,44
2022-03-11,12,53
2022-03-11,13,52
2022-03-11,14,53
2022-03-11,15,52
2022-03-11,16,48
2022-03-11,17,40
2022-03-11,18,36
2022-03-11,19,31
2022-03-11,20,44
2022-03-11,21,62
2022-03-11,22,30
2022-03-11,23,22
2022-03-12,0,0
2022-03-12,1,8
2022-03-12,2,0
2022-03-12,3,0
2022-03-12,4,0
2022-03-12,5,0
2022-03-12,6,31
2022-03-12,7,18
2022-03-12,8,44
2022-03-12,9,26
2022-03-12,10,44
2022-03-12,11,36
2022-03-12,12,40
2022-03-12,13,40
2022-03-12,14,44
2022-03-12,15,36
2022-03-12,16,40
2022-03-12,17,26
2022-03-12,18,31
2022-03-12,19,16
2022-03-12,20,16
2022-03-12,21,31
2022-03-12,22,87
2022-03-12,23,40
2022-03-13,0,0
2022-03-13,1,4
2022-03-13,2,22
2022-03-13,3,36
2022-03-13,4,24
2022-03-13,5,40
2022-03-13,6,39
2022-03-13,7,31
2022-03-13,8,4
2022-03-13,9,0
2022-03-13,10,18
2022-03-13,11,26
2022-03-13,12,21
2022-03-13,13,31
2022-03-13,14,26
2022-03-13,15,35
2022-03-13,16,21
2022-03-13,17,16
2022-03-13,18,16
2022-03-13,19,34
2022-03-13,20,16
2022-03-13,21,52
2022-03-13,22,0
2022-03-13,23,0
2022-03-14,0,0
2022-03-14,1,0
2022-03-14,2,26
2022-03-14,3,17
2022-03-14,4,26
2022-03-14,5,22
2022-03-14,6,12
2022-03-14,7,16
2022-03-14,8,79
2022-03-14,9,57
2022-03-14,10,40
2022-03-14,11,58
2022-03-14,12,48
2022-03-14,13,48
2022-03-14,14,40
2022-03-14,15,40
2022-03-14,16,52
2022-03-14,17,36
2022-03-14,18,35
2022-03-14,19,16
2022-03-14,20,26
2022-03-14,21,16
2022-03-14,22,21
2022-03-14,23,66
2022-03-15,0,0
2022-03-15,1,0
2022-03-15,2,0
2022-03-15,3,0
2022-03-15,4,0
2022-03-15,5,13
2022-03-15,6,12
2022-03-15,7,26
2022-03-15,8,61
2022-03-15,9,66
2022-03-15,10,57
2022-03-15,11,44
2022-03-15,12,44
2022-03-15,13,66
2022-03-15,14,61
2022-03-15,15,75
2022-03-15,16,67
2022-03-15,17,70
2022-03-15,18,36
2022-03-15,19,26
2022-03-15,20,35
2022-03-15,21,48
2022-03-15,22,16
2022-03-15,23,0
2022-03-16,0,31
2022-03-16,1,0
2022-03-16,2,18
2022-03-16,3,0
2022-03-16,4,39
2022-03-16,5,4
2022-03-16,6,13
2022-03-16,7,39
2022-03-16,8,62
2022-03-16,9,62
2022-03-16,10,49
2022-03-16,11,48
2022-03-16,12,48
2022-03-16,13,44
2022-03-16,14,44
2022-03-16,15,44
2022-03-16,16,48
2022-03-16,17,44
2022-03-16,18,44
2022-03-16,19,45
2022-03-16,20,96
2022-03-16,21,70
2022-03-16,22,80
2022-03-16,23,144
2022-03-17,0,18
2022-03-17,1,0
2022-03-17,2,9
2022-03-17,3,0
2022-03-17,4,0
2022-03-17,5,0
2022-03-17,6,21
2022-03-17,7,21
2022-03-17,8,58
2022-03-17,9,54
2022-03-17,10,52
2022-03-17,11,48
2022-03-17,12,57
2022-03-17,13,57
2022-03-17,14,40
2022-03-17,15,44
2022-03-17,16,53
2022-03-17,17,45
2022-03-17,18,36
2022-03-17,19,16
2022-03-17,20,18
2022-03-17,21,12
2022-03-17,22,8
2022-03-17,23,44
2022-03-18,0,18
2022-03-18,1,4
2022-03-18,2,0
2022-03-18,3,0
2022-03-18,4,0
2022-03-18,5,0
2022-03-18,6,17
2022-03-18,7,58
2022-03-18,8,53
2022-03-18,9,58
2022-03-18,10,48
2022-03-18,11,40
2022-03-18,12,48
2022-03-18,13,52
2022-03-18,14,48
2022-03-18,15,52
2022-03-18,16,44
2022-03-18,17,40
2022-03-18,18,36
2022-03-18,19,35
2022-03-18,20,40
2022-03-18,21,57
2022-03-18,22,26
2022-03-18,23,18
2022-03-19,0,0
2022-03-19,1,13
2022-03-19,2,0
2022-03-19,3,0
2022-03-19,4,0
2022-03-19,5,0
2022-03-19,6,44
2022-03-19,7,22
2022-03-19,8,53
2022-03-19,9,26
2022-03-19,10,40
2022-03-19,11,36
2022-03-19,12,40
2022-03-19,13,36
2022-03-19,14,44
2022-03-19,15,36
2022-03-19,16,45
2022-03-19,17,30
2022-03-19,18,36
2022-03-19,19,21
2022-03-19,20,21
2022-03-19,21,30
2022-03-19,22,83
2022-03-19,23,35
2022-03-20,0,0
2022-03-20,1,4
2022-03-20,2,27
2022-03-20,3,39
2022-03-20,4,36
2022-03-20,5,49
2022-03-20,6,34
2022-03-20,7,35
2022-03-20,8,4
2022-03-20,9,0
2022-03-20,10,22
2022-03-20,11,21
2022-03-20,12,16
2022-03-20,13,26
2022-03-20,14,26
2022-03-20,15,35
2022-03-20,16,21
2022-03-20,17,16
2022-03-20,18,16
2022-03-20,19,34
2022-03-20,20,12
2022-03-20,21,56
2022-03-20,22,0
2022-03-20,23,0
2022-03-21,0,0
2022-03-21,1,0
2022-03-21,2,31
2022-03-21,3,13
2022-03-21,4,17
2022-03-21,5,27
2022-03-21,6,12
2022-03-21,7,16
2022-03-21,8,92
2022-03-21,9,61
2022-03-21,10,40
2022-03-21,11,66
2022-03-21,12,40
2022-03-21,13,44
2022-03-21,14,40
2022-03-21,15,44
2022-03-21,16,44
2022-03-21,17,44
2022-03-21,18,35
2022-03-21,19,26
2022-03-21,20,44
2022-03-21,21,21
2022-03-21,22,26
2022-03-21,23,63
2022-03-22,0,4
2022-03-22,1,0
2022-03-22,2,4
2022-03-22,3,0
2022-03-22,4,0
2022-03-22,5,17
2022-03-22,6,12
2022-03-22,7,30
2022-03-22,8,66
2022-03-22,9,70
2022-03-22,10,53
2022-03-22,11,48
2022-03-22,12,49
2022-03-22,13,53
2022-03-22,14,35
2022-03-22,15,48
2022-03-22,16,39
2022-03-22,17,26
2022-03-22,18,16
2022-03-22,19,12
2022-03-22,20,17
2022-03-22,21,43
2022-03-22,22,16
2022-03-22,23,0
2022-03-23,0,26
2022-03-23,1,0
2022-03-23,2,17
2022-03-23,3,0
2022-03-23,4,26
2022-03-23,5,9
2022-03-23,6,17
2022-03-23,7,39
2022-03-23,8,57
2022-03-23,9,52
2022-03-23,10,40
2022-03-23,11,44
2022-03-23,12,49
2022-03-23,13,52
2022-03-23,14,49
2022-03-23,15,49
2022-03-23,16,40
2022-03-23,17,48
2022-03-23,18,35
2022-03-23,19,44
2022-03-23,20,101
2022-03-23,21,74
2022-03-23,22,92
2022-03-23,23,176
2022-03-24,0,30
2022-03-24,1,0
2022-03-24,2,9
2022-03-24,3,0
2022-03-24,4,0
2022-03-24,5,4
2022-03-24,6,21
2022-03-24,7,30
2022-03-24,8,53
2022-03-24,9,49
2022-03-24,10,40
2022-03-24,11,48
2022-03-24,12,50
2022-03-24,13,57
2022-03-24,14,40
2022-03-24,15,44
2022-03-24,16,57
2022-03-24,17,40
2022-03-24,18,36
2022-03-24,19,21
2022-03-24,20,20
2022-03-24,21,16
2022-03-24,22,5
2022-03-24,23,61
2022-03-25,0,13
2022-03-25,1,17
2022-03-25,2,0
2022-03-25,3,0
2022-03-25,4,0
2022-03-25,5,0
2022-03-25,6,21
2022-03-25,7,71
2022-03-25,8,57
2022-03-25,9,58
2022-03-25,10,49
2022-03-25,11,48
2022-03-25,12,52
2022-03-25,13,52
2022-03-25,14,48
2022-03-25,15,48
2022-03-25,16,48
2022-03-25,17,40
2022-03-25,18,36
2022-03-25,19,31
2022-03-25,20,48
2022-03-25,21,71
2022-03-25,22,30
2022-03-25,23,27
2022-03-26,0,0
2022-03-26,1,13
2022-03-26,2,0
2022-03-26,3,0
2022-03-26,4,0
2022-03-26,5,0
2022-03-26,6,35
2022-03-26,7,18
2022-03-26,8,53
2022-03-26,9,26
2022-03-26,10,44
2022-03-26,11,36
2022-03-26,12,44
2022-03-26,13,36
2022-03-26,14,49
2022-03-26,15,40
2022-03-26,16,49
2022-03-26,17,35
2022-03-26,18,31
2022-03-26,19,21
2022-03-26,20,21
2022-03-26,21,26
2022-03-26,22,96
2022-03-26,23,39
2022-03-27,0,0
2022-03-27,1,36
2022-03-27,2,40
2022-03-27,3,31
2022-03-27,4,53
2022-03-27,5,39
2022-03-27,6,31
2022-03-27,7,5
2022-03-27,8,0
2022-03-27,9,22
2022-03-27,10,31
2022-03-27,11,21
2022-03-27,12,40
2022-03-27,13,36
2022-03-27,14,35
2022-03-27,15,21
2022-03-27,16,21
2022-03-27,17,21
2022-03-27,18,39
2022-03-27,19,16
2022-03-27,20,61
2022-03-27,21,0
2022-03-27,22,0
2022-03-27,23,4
2022-03-28,0,0
2022-03-28,1,26
2022-03-28,2,22
2022-03-28,3,27
2022-03-28,4,35
2022-03-28,5,8
2022-03-28,6,16
2022-03-28,7,70
2022-03-28,8,53
2022-03-28,9,40
2022-03-28,10,58
2022-03-28,11,48
2022-03-28,12,40
2022-03-28,13,40
2022-03-28,14,40
2022-03-28,15,44
2022-03-28,16,40
2022-03-28,17,40
2022-03-28,18,21
2022-03-28,19,27
2022-03-28,20,16
2022-03-28,21,21
2022-03-28,22,62
2022-03-28,23,0
2022-03-29,0,0
2022-03-29,1,0
2022-03-29,2,0
2022-03-29,3,0
2022-03-29,4,12
2022-03-29,5,12
2022-03-29,6,35
2022-03-29,7,62
2022-03-29,8,74
2022-03-29,9,53
2022-03-29,10,48
2022-03-29,11,48
2022-03-29,12,57
2022-03-29,13,57
2022-03-29,14,84
2022-03-29,15,58
2022-03-29,16,62
2022-03-29,17,36
2022-03-29,18,26
2022-03-29,19,35
2022-03-29,20,47
2022-03-29,21,16
2022-03-29,22,4
2022-03-29,23,44
2022-03-30,0,0
2022-03-30,1,13
2022-03-30,2,0
2022-03-30,3,39
2022-03-30,4,9
2022-03-30,5,13
2022-03-30,6,39
2022-03-30,7,57
2022-03-30,8,53
2022-03-30,9,44
2022-03-30,10,44
2022-03-30,11,48
2022-03-30,12,48
2022-03-30,13,44
2022-03-30,14,40
2022-03-30,15,36
2022-03-30,16,44
2022-03-30,17,40
2022-03-30,18,43
2022-03-30,19,100
2022-03-30,20,66
2022-03-30,21,88
2022-03-30,22,150
2022-03-30,23,22
2022-03-31,0,0
2022-03-31,1,13
2022-03-31,2,0
2022-03-31,3,0
2022-03-31,4,0
2022-03-31,5,21
2022-03-31,6,25
2022-03-31,7,61
2022-03-31,8,58
2022-03-31,9,44
2022-03-31,10,49
2022-03-31,11,53
2022-03-31,12,53
2022-03-31,13,40
2022-03-31,14,40
2022-03-31,15,53
2022-03-31,16,40
2022-03-31,17,36
2022-03-31,18,16
2022-03-31,19,16
2022-03-31,20,16
2022-03-31,21,4
2022-03-31,22,40
2022-03-31,23,13
2022-04-01,0,9
2022-04-01,1,0
2022-04-01,2,0
2022-04-01,3,0
2022-04-01,4,0
2022-04-01,5,13
2022-04-01,6,61
2022-04-01,7,53
2022-04-01,8,58
2022-04-01,9,44
2022-04-01,10,40
2022-04-01,11,53
2022-04-01,12,52
2022-04-01,13,44
2022-04-01,14,52
2022-04-01,15,44
2022-04-01,16,40
2022-04-01,17,36
2022-04-01,18,30
2022-04-01,19,52
2022-04-01,20,62
2022-04-01,21,30
2022-04-01,22,22
2022-04-01,23,0
2022-04-02,0,13
2022-04-02,1,0
2022-04-02,2,0
2022-04-02,3,0
2022-04-02,4,0
2022-04-02,5,27
2022-04-02,6,26
2022-04-02,7,49
2022-04-02,8,21
2022-04-02,9,40
2022-04-02,10,36
2022-04-02,11,36
2022-04-02,12,36
2022-04-02,13,44
2022-04-02,14,40
2022-04-02,15,40
2022-04-02,16,30
2022-04-02,17,31
2022-04-02,18,21
2022-04-02,19,21
2022-04-02,20,26
2022-04-02,21,92
2022-04-02,22,43
2022-04-02,23,0
2022-04-03,0,9
2022-04-03,1,22
2022-04-03,2,26
2022-04-03,3,31
2022-04-03,4,46
2022-04-03,5,34
2022-04-03,6,35
2022-04-03,7,4
2022-04-03,8,0
2022-04-03,9,22
2022-04-03,10,31
2022-04-03,11,16
2022-04-03,12,21
2022-04-03,13,21
2022-04-03,14,31
2022-04-03,15,21
2022-04-03,16,16
2022-04-03,17,16
2022-04-03,18,30
2022-04-03,19,12
2022-04-03,20,61
2022-04-03,21,0
2022-04-03,22,0
2022-04-03,23,4
2022-04-04,0,0
2022-04-04,1,36
2022-04-04,2,17
2022-04-04,3,27
2022-04-04,4,27
2022-04-04,5,16
2022-04-04,6,16
2022-04-04,7,62
2022-04-04,8,40
2022-04-04,9,40
2022-04-04,10,62
2022-04-04,11,48
2022-04-04,12,38
2022-04-04,13,40
2022-04-04,14,40
2022-04-04,15,40
2022-04-04,16,36
2022-04-04,17,21
2022-04-04,18,12
2022-04-04,19,21
2022-04-04,20,16
2022-04-04,21,26
2022-04-04,22,62
2022-04-04,23,4
2022-04-05,0,0
2022-04-05,1,4
2022-04-05,2,0
2022-04-05,3,0
2022-04-05,4,22
2022-04-05,5,12
2022-04-05,6,30
2022-04-05,7,58
2022-04-05,8,48
2022-04-05,9,48
2022-04-05,10,44
2022-04-05,11,48
2022-04-05,12,57
2022-04-05,13,53
2022-04-05,14,75
2022-04-05,15,57
2022-04-05,16,70
2022-04-05,17,36
2022-04-05,18,21
2022-04-05,19,30
2022-04-05,20,43
2022-04-05,21,16
2022-04-05,22,8
2022-04-05,23,26
2022-04-06,0,0
2022-04-06,1,22
2022-04-06,2,0
2022-04-06,3,44
2022-04-06,4,9
2022-04-06,5,17
2022-04-06,6,35
2022-04-06,7,48
2022-04-06,8,48
2022-04-06,9,44
2022-04-06,10,46
2022-04-06,11,49
2022-04-06,12,48
2022-04-06,13,48
2022-04-06,14,44
2022-04-06,15,44
2022-04-06,16,44
2022-04-06,17,36
2022-04-06,18,36
2022-04-06,19,97
2022-04-06,20,66
2022-04-06,21,97
2022-04-06,22,162
2022-04-06,23,26
2022-04-07,0,0
2022-04-07,1,13
2022-04-07,2,4
2022-04-07,3,0
2022-04-07,4,0
2022-04-07,5,17
2022-04-07,6,21
2022-04-07,7,40
2022-04-07,8,44
2022-04-07,9,40
2022-04-07,10,44
2022-04-07,11,53
2022-04-07,12,49
2022-04-07,13,40
2022-04-07,14,40
2022-04-07,15,49
2022-04-07,16,44
2022-04-07,17,36
2022-04-07,18,16
2022-04-07,19,25
2022-04-07,20,8
2022-04-07,21,4
2022-04-07,22,40
2022-04-07,23,18
2022-04-08,0,9
2022-04-08,1,0
2022-04-08,2,0
2022-04-08,3,0
2022-04-08,4,0
2022-04-08,5,17
2022-04-08,6,57
2022-04-08,7,44
2022-04-08,8,44
2022-04-08,9,44
2022-04-08,10,44
2022-04-08,11,53
2022-04-08,12,52
2022-04-08,13,44
2022-04-08,14,52
2022-04-11,7,61
2022-04-11,8,44
2022-04-11,9,36
2022-04-11,10,62
2022-04-11,11,40
2022-04-11,12,44
2022-04-11,13,26
2022-04-11,14,26
2022-04-11,15,26
2022-04-11,16,16
2022-04-11,17,16
2022-04-11,18,8
2022-04-11,19,17
2022-04-11,20,8
2022-04-11,21,9
2022-04-11,22,44
2022-04-11,23,0
2022-04-12,0,0
2022-04-12,1,4
2022-04-12,2,0
2022-04-12,3,0
2022-04-12,4,21
2022-04-12,5,12
2022-04-12,6,25
2022-04-12,7,49
2022-04-12,8,57
2022-04-12,9,57
2022-04-12,10,48
2022-04-12,11,44
2022-04-12,12,62
2022-04-12,13,61
2022-04-12,14,75
2022-04-12,15,58
2022-04-12,16,66
2022-04-12,17,36
2022-04-12,18,21
2022-04-12,19,30
2022-04-12,20,43
2022-04-12,21,16
2022-04-12,22,4
2022-04-12,23,26
2022-04-13,0,0
2022-04-13,1,18
2022-04-13,2,0
2022-04-13,3,35
2022-04-13,4,9
2022-04-13,5,21
2022-04-13,6,39
2022-04-13,7,53
2022-04-13,8,52
2022-04-13,9,48
2022-04-13,10,52
2022-04-13,11,57
2022-04-13,12,57
2022-04-13,13,58
2022-04-13,14,40
2022-04-13,15,48
2022-04-13,16,44
2022-04-13,17,44
2022-04-13,18,48
2022-04-13,19,110
2022-04-13,20,78
2022-04-13,21,107
2022-04-13,22,185
2022-04-13,23,26
2022-04-14,0,0
2022-04-14,1,13
2022-04-14,2,4
2022-04-14,3,0
2022-04-14,4,0
2022-04-14,5,25
2022-04-14,6,30
2022-04-14,7,44
2022-04-14,8,44
2022-04-14,9,48
2022-04-14,10,48
2022-04-14,11,61
2022-04-14,12,48
2022-04-14,13,57
2022-04-14,14,44
2022-04-14,15,52
2022-04-14,16,53
2022-04-14,17,36
2022-04-14,18,22
2022-04-14,19,25
2022-04-14,20,12
2022-04-14,21,4
2022-04-14,22,61
2022-04-14,23,22
2022-04-15,0,13
2022-04-15,1,0
2022-04-15,2,0
2022-04-15,3,0
2022-04-15,4,0
2022-04-15,5,17
2022-04-15,6,57
2022-04-15,7,36
2022-04-15,8,44
2022-04-15,9,44
2022-04-15,10,44
2022-04-15,11,67
2022-04-15,12,52
2022-04-15,13,58
2022-04-15,14,48
2022-04-15,15,40
2022-04-15,16,40
2022-04-15,17,44
2022-04-15,18,40
2022-04-15,19,48
2022-04-15,20,62
2022-04-15,21,30
2022-04-15,22,31
2022-04-15,23,0
2022-04-16,0,18
2022-04-16,1,0
2022-04-16,2,0
2022-04-16,3,0
2022-04-16,4,0
2022-04-16,5,48
2022-04-16,6,26
2022-04-16,7,57
2022-04-16,8,31
2022-04-16,9,40
2022-04-16,10,40
2022-04-16,11,44
2022-04-16,12,44
2022-04-16,13,49
2022-04-16,14,36
2022-04-16,15,49
2022-04-16,16,35
2022-04-16,17,31
2022-04-16,18,21
2022-04-16,19,21
2022-04-16,20,26
2022-04-16,21,105
2022-04-16,22,48
2022-04-16,23,0
2022-04-17,0,4
2022-04-17,1,31
2022-04-17,2,26
2022-04-17,3,40
2022-04-17,4,53
2022-04-17,5,44
2022-04-17,6,31
2022-04-17,7,4
2022-04-17,8,0
2022-04-17,9,26
2022-04-17,10,31
2022-04-17,11,36
2022-04-17,12,40
2022-04-17,13,21
2022-04-17,14,31
2022-04-17,15,16
2022-04-17,16,21
2022-04-17,17,16
2022-04-17,18,39
2022-04-17,19,16
2022-04-17,20,66
2022-04-17,21,0
2022-04-17,22,0
2022-04-17,23,4
2022-04-18,0,1
2022-04-18,1,35
2022-04-18,2,26
2022-04-18,3,27
2022-04-18,4,27
2022-04-18,5,4
2022-04-18,6,16
2022-04-18,7,40
2022-04-18,8,31
2022-04-18,9,26
2022-04-18,10,53
2022-04-18,11,44
2022-04-18,12,35
2022-04-18,13,40
2022-04-18,14,31
2022-04-18,15,40
2022-04-18,16,26
2022-04-18,17,30
2022-04-18,18,12
2022-04-18,19,21
2022-04-18,20,21
2022-04-18,21,21
2022-04-18,22,53
2022-04-18,23,0
2022-04-19,0,0
2022-04-19,1,0
2022-04-19,2,0
2022-04-19,3,0
2022-04-19,4,21
2022-04-19,5,12
2022-04-19,6,35
2022-04-19,7,66
2022-04-19,8,79
2022-04-19,9,48
2022-04-19,10,44
2022-04-19,11,40
2022-04-19,12,64
2022-04-19,13,61
2022-04-19,14,79
2022-04-19,15,67
2022-04-19,16,66
2022-04-19,17,36
2022-04-19,18,26
2022-04-19,19,35
2022-04-19,20,47
2022-04-19,21,16
2022-04-19,22,8
2022-04-19,23,22
2022-04-20,0,0
2022-04-20,1,18
2022-04-20,2,0
2022-04-20,3,40
2022-04-20,4,13
2022-04-20,5,25
2022-04-20,6,43
2022-04-20,7,66
2022-04-20,8,62
2022-04-20,9,44
2022-04-20,10,52
2022-04-20,11,48
2022-04-20,12,48
2022-04-20,13,48
2022-04-20,14,44
2022-04-20,15,48
2022-04-20,16,52
2022-04-20,17,40
2022-04-20,18,40
2022-04-20,19,101
2022-04-20,20,80
2022-04-20,21,93
2022-04-20,22,176
2022-04-20,23,26
2022-04-21,0,0
2022-04-21,1,22
2022-04-21,2,4
2022-04-21,3,0
2022-04-21,4,0
2022-04-21,5,25
2022-04-21,6,21
2022-04-21,7,49
2022-04-21,8,49
2022-04-21,9,36
2022-04-21,10,44
2022-04-21,11,44
2022-04-21,12,57
2022-04-21,13,44
2022-04-21,14,47
2022-04-21,15,40
2022-04-21,16,40
2022-04-21,17,36
2022-04-21,18,16
2022-04-21,19,25
