date,time,flow
2022-03-01,0,2
2022-03-01,1,4
2022-03-01,2,2
2022-03-01,3,4
2022-03-01,4,3
2022-03-01,5,13
2022-03-01,6,27
2022-03-01,7,92
2022-03-01,8,127
2022-03-01,9,142
2022-03-01,10,81
2022-03-01,11,75
2022-03-01,12,86
2022-03-01,13,131
2022-03-01,14,84
2022-03-01,15,123
2022-03-01,16,115
2022-03-01,17,115
2022-03-01,18,126
2022-03-01,19,110
2022-03-01,20,62
2022-03-01,21,45
2022-03-01,22,21
2022-03-01,23,17
2022-03-02,0,12
2022-03-02,1,4
2022-03-02,2,9
2022-03-02,3,2
2022-03-02,4,1
2022-03-02,5,2
2022-03-02,6,23
2022-03-02,7,80
2022-03-02,8,133
2022-03-02,9,136
2022-03-02,10,81
2022-03-02,11,68
2022-03-02,12,93
2022-03-02,13,123
2022-03-02,14,107
2022-03-02,15,80
2022-03-02,16,113
2022-03-02,17,106
2022-03-02,18,88
2022-03-02,19,107
2022-03-02,20,56
2022-03-02,21,25
2022-03-02,22,24
2022-03-02,23,14
2022-03-03,0,8
2022-03-03,1,8
2022-03-03,2,2
2022-03-03,3,20
2022-03-03,4,43
2022-03-03,5,4
2022-03-03,6,24
2022-03-03,7,73
2022-03-03,8,125
2022-03-03,9,131
2022-03-03,10,74
2022-03-03,11,92
2022-03-03,12,87
2022-03-03,13,98
2022-03-03,14,124
2022-03-03,15,89
2022-03-03,16,106
2022-03-03,17,96
2022-03-03,18,102
2022-03-03,19,81
2022-03-03,20,38
2022-03-03,21,41
2022-03-03,22,31
2022-03-03,23,20
2022-03-04,0,6
2022-03-04,1,10
2022-03-04,2,3
2022-03-04,3,3
2022-03-04,4,2
2022-03-04,5,7
2022-03-04,6,20
2022-03-04,7,88
2022-03-04,8,133
2022-03-04,9,113
2022-03-04,10,80
2022-03-04,11,58
2022-03-04,12,97
2022-03-04,13,106
2022-03-04,14,94
2022-03-04,15,115
2022-03-04,16,88
2022-03-04,17,93
2022-03-04,18,113
2022-03-04,19,98
2022-03-04,20,61
2022-03-04,21,37
2022-03-04,22,36
2022-03-04,23,15
2022-03-05,0,12
2022-03-05,1,23
2022-03-05,2,12
2022-03-05,3,4
