date,time,flow
2022-03-01,0,22
2022-03-01,1,11
2022-03-01,2,7
2022-03-01,3,7
2022-03-01,4,16
2022-03-01,5,28
2022-03-01,6,79
2022-03-01,7,206
2022-03-01,8,252
2022-03-01,9,209
2022-03-01,10,169
2022-03-01,11,213
2022-03-01,12,156
2022-03-01,13,150
2022-03-01,14,143
2022-03-01,15,145
2022-03-01,16,144
2022-03-01,17,143
2022-03-01,18,162
2022-03-01,19,178
2022-03-01,20,120
2022-03-01,21,81
2022-03-01,22,72
2022-03-01,23,48
2022-03-02,0,18
2022-03-02,1,8
2022-03-02,2,12
2022-03-02,3,12
2022-03-02,4,12
2022-03-02,5,22
2022-03-02,6,58
2022-03-02,7,186
2022-03-02,8,281
2022-03-02,9,239
2022-03-02,10,178
2022-03-02,11,193
2022-03-02,12,194
2022-03-02,13,223
2022-03-02,14,183
2022-03-02,15,243
2022-03-02,16,195
2022-03-02,17,233
2022-03-02,18,150
2022-03-02,19,141
2022-03-02,20,138
2022-03-02,21,98
2022-03-02,22,103
2022-03-02,23,62
2022-03-03,0,18
2022-03-03,1,16
2022-03-03,2,17
2022-03-03,3,12
2022-03-03,4,16
2022-03-03,5,18
2022-03-03,6,69
2022-03-03,7,170
2022-03-03,8,233
2022-03-03,9,238
2022-03-03,10,157
2022-03-03,11,183
2022-03-03,12,184
2022-03-03,13,208
2022-03-03,14,166
2022-03-03,15,185
2022-03-03,16,178
2022-03-03,17,219
2022-03-03,18,182
2022-03-03,19,165
2022-03-03,20,100
2022-03-03,21,85
2022-03-03,22,60
2022-03-03,23,35
2022-03-04,0,26
2022-03-04,1,16
2022-03-04,2,11
2022-03-04,3,9
2022-03-04,4,10
2022-03-04,5,26
2022-03-04,6,56
2022-03-04,7,194
2022-03-04,8,235
2022-03-04,9,227
2022-03-04,10,193
2022-03-04,11,167
2022-03-04,12,202
2022-03-04,13,243
2022-03-04,14,209
2022-03-04,15,212
2022-03-04,16,248
2022-03-04,17,208
2022-03-04,18,182
2022-03-04,19,115
2022-03-04,20,62
2022-03-04,21,65
2022-03-04,22,44
2022-03-04,23,31
2022-03-05,0,40
2022-03-05,1,21
2022-03-05,2,19
2022-03-05,3,12
2022-03-05,4,16
2022-03-05,5,8
2022-03-05,6,29
2022-03-05,7,39
2022-03-05,8,60
2022-03-05,9,110
2022-03-05,10,83
2022-03-05,11,133
2022-03-05,12,146
2022-03-05,13,137
2022-03-05,14,139
2022-03-05,15,90
2022-03-05,16,76
2022-03-05,17,103
2022-03-05,18,97
2022-03-05,19,88
2022-03-05,20,75
2022-03-05,21,81
2022-03-05,22,71
2022-03-05,23,40
2022-03-06,0,18
2022-03-06,1,11
2022-03-06,2,19
2022-03-06,3,13
2022-03-06,4,10
2022-03-06,5,10
2022-03-06,6,22
2022-03-06,7,35
2022-03-06,8,30
2022-03-06,9,42
2022-03-06,10,68
2022-03-06,11,80
2022-03-06,12,80
2022-03-06,13,74
2022-03-06,14,127
2022-03-06,15,97
2022-03-06,16,92
2022-03-06,17,77
2022-03-06,18,81
2022-03-06,19,72
2022-03-06,20,56
2022-03-06,21,49
2022-03-06,22,47
2022-03-06,23,23
2022-03-07,0,21
2022-03-07,1,16
2022-03-07,2,14
2022-03-07,3,17
2022-03-07,4,10
2022-03-07,5,21
2022-03-07,6,44
2022-03-07,7,142
2022-03-07,8,211
2022-03-07,9,132
2022-03-07,10,107
2022-03-07,11,123
2022-03-07,12,98
2022-03-07,13,137
2022-03-07,14,121
2022-03-07,15,141
2022-03-07,16,115
2022-03-07,17,132
2022-03-07,18,119
2022-03-07,19,74
2022-03-07,20,113
2022-03-07,21,116
2022-03-07,22,133
2022-03-07,23,70
2022-03-08,0,34
2022-03-08,1,16
2022-03-08,2,19
2022-03-08,3,14
2022-03-08,4,21
2022-03-08,5,20
2022-03-08,6,39
2022-03-08,7,152
2022-03-08,8,187
2022-03-08,9,132
2022-03-08,10,112
2022-03-08,11,119
2022-03-08,12,97
2022-03-08,13,102
2022-03-08,14,124
2022-03-08,15,136
2022-03-08,16,120
2022-03-08,17,117
2022-03-08,18,125
2022-03-08,19,89
2022-03-08,20,94
2022-03-08,21,124
2022-03-08,22,87
2022-03-08,23,52
2022-03-09,0,44
2022-03-09,1,23
2022-03-09,2,13
2022-03-09,3,10
2022-03-09,4,24
2022-03-09,5,19
2022-03-09,6,46
2022-03-09,7,137
2022-03-09,8,208
2022-03-09,9,153
2022-03-09,10,84
2022-03-09,11,81
2022-03-09,12,116
2022-03-09,13,125
2022-03-09,14,134
2022-03-09,15,129
2022-03-09,16,127
2022-03-09,17,176
2022-03-09,18,107
2022-03-09,19,114
2022-03-09,20,96
2022-03-09,21,138
2022-03-09,22,92
2022-03-09,23,58
2022-03-10,0,35
2022-03-10,1,11
2022-03-10,2,20
2022-03-10,3,16
2022-03-10,4,8
2022-03-10,5,13
2022-03-10,6,39
2022-03-10,7,128
2022-03-10,8,154
2022-03-10,9,163
