date,time,flow
2022-03-01,0,11
2022-03-01,1,8
2022-03-01,2,2
2022-03-01,3,3
2022-03-01,4,5
2022-03-01,5,12
2022-03-01,6,32
2022-03-01,7,98
2022-03-01,8,218
2022-03-01,9,233
2022-03-01,10,94
2022-03-01,11,97
2022-03-01,12,180
2022-03-01,13,177
2022-03-01,14,184
2022-03-01,15,214
2022-03-01,16,176
2022-03-01,17,216
2022-03-01,18,151
2022-03-01,19,85
2022-03-01,20,57
2022-03-01,21,49
2022-03-01,22,28
2022-03-01,23,14
2022-03-02,0,16
2022-03-02,1,21
2022-03-02,2,6
2022-03-02,3,4
2022-03-02,4,8
2022-03-02,5,8
2022-03-02,6,29
2022-03-02,7,89
2022-03-02,8,215
2022-03-02,9,254
2022-03-02,10,131
2022-03-02,11,170
2022-03-02,12,159
2022-03-02,13,187
2022-03-02,14,221
2022-03-02,15,203
2022-03-02,16,197
2022-03-02,17,230
2022-03-02,18,250
2022-03-02,19,272
2022-03-02,20,52
2022-03-02,21,46
2022-03-02,22,51
2022-03-02,23,23
2022-03-03,0,15
2022-03-03,1,7
2022-03-03,2,3
2022-03-03,3,4
2022-03-03,4,4
2022-03-03,5,11
2022-03-03,6,28
2022-03-03,7,115
2022-03-03,8,169
2022-03-03,9,239
2022-03-03,10,163
2022-03-03,11,149
2022-03-03,12,181
2022-03-03,13,242
2022-03-03,14,169
2022-03-03,15,163
2022-03-03,16,228
2022-03-03,17,200
2022-03-03,18,125
2022-03-03,19,106
2022-03-03,20,74
2022-03-03,21,53
2022-03-03,22,29
2022-03-03,23,20
2022-03-04,0,13
2022-03-04,1,16
2022-03-04,2,4
2022-03-04,3,8
2022-03-04,4,5
2022-03-04,5,14
2022-03-04,6,31
2022-03-04,7,77
2022-03-04,8,185
2022-03-04,9,204
2022-03-04,10,159
2022-03-04,11,182
2022-03-04,12,217
2022-03-04,13,232
2022-03-04,14,213
2022-03-04,15,238
2022-03-04,16,200
2022-03-04,17,221
2022-03-04,18,166
2022-03-04,19,150
2022-03-04,20,66
2022-03-04,21,54
2022-03-04,22,35
2022-03-04,23,20
2022-03-05,0,16
2022-03-05,1,14
2022-03-05,2,12
2022-03-05,3,8
2022-03-05,4,7
2022-03-05,5,7
2022-03-05,6,18
2022-03-05,7,25
2022-03-05,8,68
2022-03-05,9,110
2022-03-05,10,186
2022-03-05,11,209
2022-03-05,12,223
2022-03-05,13,240
2022-03-05,14,200
2022-03-05,15,164
2022-03-05,16,145
2022-03-05,17,148
2022-03-05,18,113
2022-03-05,19,79
2022-03-05,20,65
2022-03-05,21,49
2022-03-05,22,29
2022-03-05,23,64
2022-03-06,0,27
2022-03-06,1,11
2022-03-06,2,11
2022-03-06,3,9
2022-03-06,4,10
2022-03-06,5,6
2022-03-06,6,10
2022-03-06,7,15
2022-03-06,8,33
2022-03-06,9,57
2022-03-06,10,145
2022-03-06,11,155
2022-03-06,12,182
2022-03-06,13,150
2022-03-06,14,190
2022-03-06,15,145
2022-03-06,16,124
2022-03-06,17,100
2022-03-06,18,68
2022-03-06,19,87
2022-03-06,20,54
2022-03-06,21,42
2022-03-06,22,28
2022-03-06,23,20
2022-03-07,0,10
2022-03-07,1,16
2022-03-07,2,8
2022-03-07,3,5
2022-03-07,4,7
2022-03-07,5,8
2022-03-07,6,26
2022-03-07,7,91
2022-03-07,8,182
2022-03-07,9,166
2022-03-07,10,138
2022-03-07,11,129
2022-03-07,12,170
2022-03-07,13,181
2022-03-07,14,183
2022-03-07,15,195
2022-03-07,16,186
2022-03-07,17,193
2022-03-07,18,130
2022-03-07,19,70
2022-03-07,20,56
2022-03-07,21,40
2022-03-07,22,34
2022-03-07,23,18
2022-03-08,0,11
2022-03-08,1,12
2022-03-08,2,4
2022-03-08,3,5
2022-03-08,4,4
2022-03-08,5,20
2022-03-08,6,34
2022-03-08,7,88
2022-03-08,8,207
2022-03-08,9,214
2022-03-08,10,162
2022-03-08,11,164
2022-03-08,12,164
2022-03-08,13,188
2022-03-08,14,122
2022-03-08,15,200
2022-03-08,16,200
2022-03-08,17,176
2022-03-08,18,152
2022-03-08,19,79
2022-03-08,20,77
2022-03-08,21,71
2022-03-08,22,36
2022-03-08,23,19
2022-03-09,0,22
2022-03-09,1,11
2022-03-09,2,3
2022-03-09,3,2
2022-03-09,4,5
2022-03-09,5,11
2022-03-09,6,32
2022-03-09,7,96
2022-03-09,8,167
2022-03-09,9,230
2022-03-09,10,130
2022-03-09,11,156
2022-03-09,12,169
2022-03-09,13,170
2022-03-09,14,209
2022-03-09,15,230
2022-03-09,16,212
2022-03-09,17,185
2022-03-09,18,145
2022-03-09,19,87
2022-03-09,20,75
2022-03-09,21,60
2022-03-09,22,38
2022-03-09,23,26
2022-03-10,0,55
2022-03-10,1,3
2022-03-10,2,4
2022-03-10,3,4
2022-03-10,4,3
2022-03-10,5,12
2022-03-10,6,34
2022-03-10,7,133
2022-03-10,8,196
2022-03-10,9,211
2022-03-10,10,125
2022-03-10,11,167
2022-03-10,12,157
2022-03-10,13,244
2022-03-10,14,193
2022-03-10,15,172
2022-03-10,16,222
2022-03-10,17,235
2022-03-10,18,130
2022-03-10,19,93
2022-03-10,20,101
2022-03-10,21,42
2022-03-10,22,41
2022-03-10,23,21
2022-03-11,0,13
2022-03-11,1,8
2022-03-11,2,9
2022-03-11,3,8
2022-03-11,4,5
2022-03-11,5,13
2022-03-11,6,24
2022-03-11,7,78
2022-03-11,8,162
2022-03-11,9,219
2022-03-11,10,187
2022-03-11,11,182
2022-03-11,12,210
2022-03-11,13,250
2022-03-11,14,226
2022-03-11,15,230
2022-03-11,16,247
2022-03-11,17,191
2022-03-11,18,187
2022-03-11,19,99
2022-03-11,20,51
2022-03-11,21,42
2022-03-11,22,42
2022-03-11,23,22
2022-03-12,0,47
2022-03-12,1,70
2022-03-12,2,10
2022-03-12,3,7
2022-03-12,4,7
2022-03-12,5,5
2022-03-12,6,14
2022-03-12,7,28
2022-03-12,8,64
2022-03-12,9,124
2022-03-12,10,166
2022-03-12,11,230
2022-03-12,12,214
2022-03-12,13,184
2022-03-12,14,220
2022-03-12,15,216
2022-03-12,16,165
2022-03-12,17,142
2022-03-12,18,107
2022-03-12,19,75
2022-03-12,20,62
2022-03-12,21,47
2022-03-12,22,35
2022-03-12,23,39
2022-03-13,0,63
2022-03-13,1,87
2022-03-13,2,12
2022-03-13,3,11
2022-03-13,4,8
2022-03-13,5,11
2022-03-13,6,9
2022-03-13,7,18
2022-03-13,8,31
2022-03-13,9,54
2022-03-13,10,119
2022-03-13,11,171
2022-03-13,12,188
2022-03-13,13,251
2022-03-13,14,223
2022-03-13,15,152
2022-03-13,16,99
2022-03-13,17,98
2022-03-13,18,102
2022-03-13,19,77
2022-03-13,20,50
2022-03-13,21,39
2022-03-13,22,34
2022-03-13,23,31
2022-03-14,0,16
2022-03-14,1,2
2022-03-14,2,5
2022-03-14,3,7
2022-03-14,4,3
2022-03-14,5,7
2022-03-14,6,28
2022-03-14,7,83
2022-03-14,8,199
2022-03-14,9,204
2022-03-14,10,168
2022-03-14,11,177
2022-03-14,12,162
2022-03-14,13,213
2022-03-14,14,165
2022-03-14,15,195
2022-03-14,16,228
2022-03-14,17,201
2022-03-14,18,117
2022-03-14,19,85
2022-03-14,20,50
2022-03-14,21,35
2022-03-14,22,32
2022-03-14,23,21
2022-03-15,0,13
2022-03-15,1,4
2022-03-15,2,5
2022-03-15,3,2
2022-03-15,4,4
2022-03-15,5,10
2022-03-15,6,26
2022-03-15,7,96
2022-03-15,8,197
2022-03-15,9,187
2022-03-15,10,152
2022-03-15,11,166
2022-03-15,12,141
2022-03-15,13,171
2022-03-15,14,133
2022-03-15,15,127
2022-03-15,16,204
2022-03-15,17,247
2022-03-15,18,132
2022-03-15,19,107
2022-03-15,20,85
2022-03-15,21,51
2022-03-15,22,41
2022-03-15,23,16
2022-03-16,0,22
2022-03-16,1,16
2022-03-16,2,2
2022-03-16,3,5
2022-03-16,4,3
2022-03-16,5,9
2022-03-16,6,31
2022-03-16,7,95
2022-03-16,8,211
2022-03-16,9,187
2022-03-16,10,154
2022-03-16,11,156
2022-03-16,12,128
2022-03-16,13,150
2022-03-16,14,158
2022-03-16,15,159
2022-03-16,16,215
2022-03-16,17,224
2022-03-16,18,142
2022-03-16,19,106
2022-03-16,20,49
2022-03-16,21,46
2022-03-16,22,36
2022-03-16,23,22
2022-03-17,0,12
2022-03-17,1,8
2022-03-17,2,6
2022-03-17,3,5
2022-03-17,4,5
2022-03-17,5,7
2022-03-17,6,37
2022-03-17,7,69
2022-03-17,8,121
2022-03-17,9,177
2022-03-17,10,183
2022-03-17,11,200
2022-03-17,12,234
2022-03-17,13,212
2022-03-17,14,164
2022-03-17,15,196
2022-03-17,16,221
2022-03-17,17,214
2022-03-17,18,145
2022-03-17,19,80
2022-03-17,20,67
2022-03-17,21,58
2022-03-17,22,39
2022-03-17,23,30
2022-03-18,0,28
2022-03-18,1,13
2022-03-18,2,5
2022-03-18,3,3
2022-03-18,4,4
2022-03-18,5,16
2022-03-18,6,25
2022-03-18,7,83
2022-03-18,8,171
2022-03-18,9,197
2022-03-18,10,178
2022-03-18,11,186
2022-03-18,12,208
2022-03-18,13,255
2022-03-18,14,180
2022-03-18,15,242
2022-03-18,16,227
2022-03-18,17,230
2022-03-18,18,138
2022-03-18,19,127
2022-03-18,20,56
2022-03-18,21,63
2022-03-18,22,45
2022-03-18,23,34
2022-03-19,0,17
2022-03-19,1,17
2022-03-19,2,10
2022-03-19,3,6
2022-03-19,4,4
2022-03-19,5,15
2022-03-19,6,21
2022-03-19,7,36
2022-03-19,8,71
2022-03-19,9,100
2022-03-19,10,163
2022-03-19,11,228
2022-03-19,12,224
2022-03-19,13,223
2022-03-19,14,224
2022-03-19,15,201
2022-03-19,16,159
2022-03-19,17,120
2022-03-19,18,137
2022-03-19,19,112
2022-03-19,20,56
2022-03-19,21,41
2022-03-19,22,30
2022-03-19,23,28
2022-03-20,0,24
2022-03-20,1,21
2022-03-20,2,12
2022-03-20,3,15
2022-03-20,4,11
2022-03-20,5,10
2022-03-20,6,9
2022-03-20,7,18
2022-03-20,8,34
2022-03-20,9,66
2022-03-20,10,95
2022-03-20,11,209
2022-03-20,12,181
2022-03-20,13,169
2022-03-20,14,171
2022-03-20,15,146
2022-03-20,16,98
2022-03-20,17,96
2022-03-20,18,121
2022-03-20,19,71
2022-03-20,20,62
2022-03-20,21,34
2022-03-20,22,26
2022-03-20,23,14
2022-03-21,0,18
2022-03-21,1,14
2022-03-21,2,6
2022-03-21,3,4
2022-03-21,4,5
2022-03-21,5,14
2022-03-21,6,29
2022-03-21,7,70
2022-03-21,8,177
2022-03-21,9,188
2022-03-21,10,112
2022-03-21,11,117
2022-03-21,12,118
2022-03-21,13,136
2022-03-21,14,151
2022-03-21,15,147
2022-03-21,16,131
2022-03-21,17,139
2022-03-21,18,85
2022-03-21,19,57
2022-03-21,20,48
2022-03-21,21,45
2022-03-21,22,24
2022-03-21,23,14
2022-03-22,0,16
2022-03-22,1,8
2022-03-22,2,3
2022-03-22,3,2
2022-03-22,4,7
2022-03-22,5,7
2022-03-22,6,30
2022-03-22,7,82
2022-03-22,8,128
2022-03-22,9,180
2022-03-22,10,137
2022-03-22,11,178
2022-03-22,12,121
2022-03-22,13,117
2022-03-22,14,117
2022-03-22,15,169
2022-03-22,16,152
2022-03-22,17,152
2022-03-22,18,108
2022-03-22,19,75
2022-03-22,20,49
2022-03-22,21,37
2022-03-22,22,29
2022-03-22,23,15
2022-03-23,0,11
2022-03-23,1,12
2022-03-23,2,3
2022-03-23,3,2
2022-03-23,4,5
2022-03-23,5,6
2022-03-23,6,22
2022-03-23,7,63
2022-03-23,8,101
2022-03-23,9,169
2022-03-23,10,146
2022-03-23,11,123
2022-03-23,12,127
2022-03-23,13,134
2022-03-23,14,153
2022-03-23,15,169
2022-03-23,16,118
2022-03-23,17,170
2022-03-23,18,99
2022-03-23,19,59
2022-03-23,20,45
2022-03-23,21,37
2022-03-23,22,21
2022-03-23,23,18
2022-03-24,0,7
2022-03-24,1,9
2022-03-24,2,6
2022-03-24,3,4
2022-03-24,4,4
2022-03-24,5,8
2022-03-24,6,30
2022-03-24,7,69
2022-03-24,8,123
2022-03-24,9,159
2022-03-24,10,150
2022-03-24,11,219
2022-03-24,12,165
2022-03-24,13,182
2022-03-24,14,147
2022-03-24,15,174
2022-03-24,16,174
2022-03-24,17,117
2022-03-24,18,130
2022-03-24,19,83
2022-03-24,20,50
2022-03-24,21,40
2022-03-24,22,43
2022-03-24,23,22
2022-03-25,0,27
2022-03-25,1,16
2022-03-25,2,3
2022-03-25,3,3
