date,time,flow
2022-03-01,0,8
2022-03-01,1,13
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,17
2022-03-01,6,35
2022-03-01,7,80
2022-03-01,8,75
2022-03-01,9,49
2022-03-01,10,40
2022-03-01,11,62
2022-03-01,12,73
2022-03-01,13,58
2022-03-01,14,87
2022-03-01,15,75
2022-03-01,16,79
2022-03-01,17,83
2022-03-01,18,96
2022-03-01,19,87
2022-03-01,20,62
2022-03-01,21,43
2022-03-01,22,31
2022-03-01,23,35
2022-03-02,0,26
2022-03-02,1,0
2022-03-02,2,8
2022-03-02,3,0
2022-03-02,4,9
2022-03-02,5,0
2022-03-02,6,28
2022-03-02,7,39
2022-03-02,8,87
2022-03-02,9,90
2022-03-02,10,99
2022-03-02,11,80
2022-03-02,12,83
2022-03-02,13,76
2022-03-02,14,71
2022-03-02,15,96
2022-03-02,16,93
2022-03-02,17,83
2022-03-02,18,92
2022-03-02,19,87
2022-03-02,20,67
2022-03-02,21,44
2022-03-02,22,52
2022-03-02,23,4
2022-03-03,0,9
2022-03-03,1,0
2022-03-03,2,0
2022-03-03,3,0
2022-03-03,4,0
2022-03-03,5,0
2022-03-03,6,30
2022-03-03,7,75
2022-03-03,8,111
2022-03-03,9,108
2022-03-03,10,92
2022-03-03,11,96
2022-03-03,12,105
2022-03-03,13,103
2022-03-03,14,94
2022-03-03,15,89
2022-03-03,16,88
2022-03-03,17,72
2022-03-03,18,99
2022-03-03,19,96
2022-03-03,20,92
2022-03-03,21,90
2022-03-03,22,53
2022-03-03,23,48
2022-03-04,0,22
2022-03-04,1,35
2022-03-04,2,0
2022-03-04,3,31
2022-03-04,4,0
2022-03-04,5,13
2022-03-04,6,31
2022-03-04,7,104
2022-03-04,8,67
2022-03-04,9,62
2022-03-04,10,71
2022-03-04,11,92
2022-03-04,12,84
2022-03-04,13,76
2022-03-04,14,80
2022-03-04,15,99
2022-03-04,16,91
2022-03-04,17,84
2022-03-04,18,101
2022-03-04,19,77
2022-03-04,20,75
2022-03-04,21,79
2022-03-04,22,66
2022-03-04,23,76
2022-03-05,0,48
2022-03-05,1,48
2022-03-05,2,26
2022-03-05,3,0
2022-03-05,4,9
2022-03-05,5,9
2022-03-05,6,22
2022-03-05,7,53
2022-03-05,8,53
2022-03-05,9,57
2022-03-05,10,72
2022-03-05,11,80
2022-03-05,12,96
2022-03-05,13,88
2022-03-05,14,62
2022-03-05,15,49
2022-03-05,16,39
2022-03-05,17,70
2022-03-05,18,89
2022-03-05,19,106
2022-03-05,20,78
2022-03-05,21,58
2022-03-05,22,39
2022-03-05,23,26
2022-03-06,0,13
2022-03-06,1,0
2022-03-06,2,0
2022-03-06,3,0
2022-03-06,4,4
2022-03-06,5,12
2022-03-06,6,13
2022-03-06,7,44
2022-03-06,8,84
2022-03-06,9,82
2022-03-06,10,101
2022-03-06,11,75
2022-03-06,12,71
2022-03-06,13,96
2022-03-06,14,104
2022-03-06,15,80
2022-03-06,16,44
2022-03-06,17,76
2022-03-06,18,44
2022-03-06,19,21
2022-03-06,20,31
2022-03-06,21,61
2022-03-06,22,61
2022-03-06,23,26
2022-03-07,0,13
2022-03-07,1,35
2022-03-07,2,0
2022-03-07,3,0
2022-03-07,4,0
2022-03-07,5,0
2022-03-07,6,54
2022-03-07,7,84
2022-03-07,8,84
2022-03-07,9,54
2022-03-07,10,40
2022-03-07,11,49
2022-03-07,12,105
2022-03-07,13,104
2022-03-07,14,101
2022-03-07,15,103
2022-03-07,16,98
2022-03-07,17,80
2022-03-07,18,91
2022-03-07,19,101
2022-03-07,20,75
2022-03-07,21,43
2022-03-07,22,13
2022-03-07,23,16
2022-03-08,0,8
2022-03-08,1,8
2022-03-08,2,0
2022-03-08,3,0
2022-03-08,4,0
2022-03-08,5,12
2022-03-08,6,40
2022-03-08,7,71
2022-03-08,8,75
2022-03-08,9,49
2022-03-08,10,40
2022-03-08,11,62
2022-03-08,12,71
2022-03-08,13,62
2022-03-08,14,88
2022-03-08,15,64
2022-03-08,16,71
2022-03-08,17,79
2022-03-08,18,92
2022-03-08,19,84
2022-03-08,20,52
2022-03-08,21,39
2022-03-08,22,21
2022-03-08,23,35
2022-03-09,0,27
2022-03-09,1,0
2022-03-09,2,8
2022-03-09,3,0
2022-03-09,4,9
2022-03-09,5,0
2022-03-09,6,22
2022-03-09,7,39
2022-03-09,8,81
2022-03-09,9,90
2022-03-09,10,94
2022-03-09,11,71
2022-03-09,12,83
2022-03-09,13,76
2022-03-09,14,75
2022-03-09,15,84
2022-03-09,16,84
2022-03-09,17,79
2022-03-09,18,88
2022-03-09,19,58
2022-03-09,20,62
2022-03-09,21,44
2022-03-09,22,21
2022-03-09,23,4
2022-03-10,0,9
2022-03-10,1,4
2022-03-10,2,0
2022-03-10,3,0
2022-03-10,4,0
2022-03-10,5,0
2022-03-10,6,26
2022-03-10,7,79
2022-03-10,8,92
2022-03-10,9,97
2022-03-10,10,111
2022-03-10,11,98
2022-03-10,12,111
2022-03-10,13,104
2022-03-10,14,88
2022-03-10,15,88
2022-03-10,16,80
2022-03-10,17,79
2022-03-10,18,102
2022-03-10,19,88
2022-03-10,20,87
2022-03-10,21,84
2022-03-10,22,53
2022-03-10,23,53
2022-03-11,0,31
2022-03-11,1,22
2022-03-11,2,0
2022-03-11,3,26
2022-03-11,4,0
2022-03-11,5,13
2022-03-11,6,31
2022-03-11,7,84
2022-03-11,8,70
2022-03-11,9,58
2022-03-11,10,58
2022-03-11,11,80
2022-03-11,12,70
2022-03-11,13,75
2022-03-11,14,71
2022-03-11,15,86
2022-03-11,16,91
2022-03-11,17,93
2022-03-11,18,107
2022-03-11,19,79
2022-03-11,20,71
2022-03-11,21,66
2022-03-11,22,64
2022-03-11,23,72
2022-03-12,0,44
2022-03-12,1,52
2022-03-12,2,31
2022-03-12,3,0
2022-03-12,4,4
2022-03-12,5,9
2022-03-12,6,22
2022-03-12,7,57
2022-03-12,8,67
2022-03-12,9,67
2022-03-12,10,72
2022-03-12,11,80
2022-03-12,12,88
2022-03-12,13,100
2022-03-12,14,70
2022-03-12,15,49
2022-03-12,16,40
2022-03-12,17,78
2022-03-12,18,89
2022-03-12,19,105
2022-03-12,20,71
2022-03-12,21,61
2022-03-12,22,44
2022-03-12,23,30
2022-03-13,0,17
2022-03-13,1,0
2022-03-13,2,0
2022-03-13,3,0
2022-03-13,4,4
2022-03-13,5,17
2022-03-13,6,13
2022-03-13,7,44
2022-03-13,8,89
2022-03-13,9,102
2022-03-13,10,101
2022-03-13,11,74
2022-03-13,12,78
2022-03-13,13,102
2022-03-13,14,103
2022-03-13,15,76
2022-03-13,16,48
2022-03-13,17,88
2022-03-13,18,44
2022-03-13,19,21
2022-03-13,20,26
2022-03-13,21,63
2022-03-13,22,49
2022-03-13,23,35
2022-03-14,0,22
2022-03-14,1,21
2022-03-14,2,4
2022-03-14,3,0
2022-03-14,4,0
2022-03-14,5,0
2022-03-14,6,35
2022-03-14,7,80
2022-03-14,8,88
2022-03-14,9,54
2022-03-14,10,44
2022-03-14,11,54
2022-03-14,12,92
2022-03-14,13,105
2022-03-14,14,108
2022-03-14,15,104
2022-03-14,16,93
2022-03-14,17,84
2022-03-14,18,97
2022-03-14,19,101
2022-03-14,20,71
2022-03-14,21,39
2022-03-14,22,13
2022-03-14,23,17
2022-03-15,0,13
2022-03-15,1,17
2022-03-15,2,0
2022-03-15,3,0
2022-03-15,4,0
2022-03-15,5,22
2022-03-15,6,35
2022-03-15,7,84
2022-03-15,8,75
2022-03-15,9,53
2022-03-15,10,36
2022-03-15,11,66
2022-03-15,12,75
2022-03-15,13,67
2022-03-15,14,92
2022-03-15,15,70
2022-03-15,16,79
2022-03-15,17,71
2022-03-15,18,88
2022-03-15,19,80
2022-03-15,20,67
2022-03-15,21,48
2022-03-15,22,26
2022-03-15,23,35
2022-03-16,0,31
2022-03-16,1,0
2022-03-16,2,8
2022-03-16,3,0
2022-03-16,4,9
2022-03-16,5,0
2022-03-16,6,31
2022-03-16,7,40
2022-03-16,8,89
2022-03-16,9,94
2022-03-16,10,103
2022-03-16,11,71
2022-03-16,12,82
2022-03-16,13,76
2022-03-16,14,71
2022-03-16,15,88
2022-03-16,16,84
2022-03-16,17,83
2022-03-16,18,79
2022-03-16,19,67
2022-03-16,20,67
2022-03-16,21,49
2022-03-16,22,17
2022-03-16,23,4
2022-03-17,0,17
2022-03-17,1,0
2022-03-17,2,0
2022-03-17,3,0
2022-03-17,4,0
2022-03-17,5,0
2022-03-17,6,30
2022-03-17,7,77
2022-03-17,8,107
2022-03-17,9,92
2022-03-17,10,112
2022-03-17,11,95
2022-03-17,12,102
2022-03-17,13,94
2022-03-17,14,84
2022-03-17,15,88
2022-03-17,16,84
2022-03-17,17,70
2022-03-17,18,93
2022-03-17,19,92
2022-03-17,20,99
2022-03-17,21,87
2022-03-17,22,67
2022-03-17,23,66
2022-03-18,0,40
2022-03-18,1,35
2022-03-18,2,0
2022-03-18,3,44
2022-03-18,4,0
2022-03-18,5,13
2022-03-18,6,31
2022-03-18,7,102
2022-03-18,8,75
2022-03-18,9,58
2022-03-18,10,66
2022-03-18,11,88
2022-03-18,12,71
2022-03-18,13,63
2022-03-18,14,62
2022-03-18,15,94
2022-03-18,16,90
2022-03-18,17,83
2022-03-18,18,95
2022-03-18,19,85
2022-03-18,20,85
2022-03-18,21,75
2022-03-18,22,61
2022-03-18,23,80
2022-03-19,0,48
2022-03-19,1,52
2022-03-19,2,35
2022-03-19,3,0
2022-03-19,4,9
2022-03-19,5,13
2022-03-19,6,30
2022-03-19,7,56
2022-03-19,8,56
2022-03-19,9,67
2022-03-19,10,71
2022-03-19,11,76
2022-03-19,12,78
2022-03-19,13,77
2022-03-19,14,65
2022-03-19,15,49
2022-03-19,16,48
2022-03-19,17,86
2022-03-19,18,101
2022-03-19,19,116
2022-03-19,20,66
2022-03-19,21,66
2022-03-19,22,44
2022-03-19,23,31
2022-03-20,0,21
2022-03-20,1,0
2022-03-20,2,0
2022-03-20,3,0
2022-03-20,4,9
2022-03-20,5,27
2022-03-20,6,13
2022-03-20,7,44
2022-03-20,8,92
2022-03-20,9,95
2022-03-20,10,107
2022-03-20,11,83
2022-03-20,12,76
2022-03-20,13,95
2022-03-20,14,103
2022-03-20,15,72
2022-03-20,16,49
2022-03-20,17,92
2022-03-20,18,52
2022-03-20,19,26
2022-03-20,20,31
2022-03-20,21,62
2022-03-20,22,61
2022-03-20,23,35
2022-03-21,0,22
2022-03-21,1,38
2022-03-21,2,4
2022-03-21,3,0
2022-03-21,4,0
2022-03-21,5,0
2022-03-21,6,38
2022-03-21,7,88
2022-03-21,8,83
2022-03-21,9,54
2022-03-21,10,44
2022-03-21,11,49
2022-03-21,12,88
2022-03-21,13,97
2022-03-21,14,100
2022-03-21,15,103
2022-03-21,16,95
2022-03-21,17,84
2022-03-21,18,97
2022-03-21,19,109
2022-03-21,20,81
2022-03-21,21,44
2022-03-21,22,12
2022-03-21,23,8
2022-03-22,0,13
2022-03-22,1,13
2022-03-22,2,0
2022-03-22,3,0
2022-03-22,4,0
2022-03-22,5,22
2022-03-22,6,39
2022-03-22,7,80
2022-03-22,8,66
2022-03-22,9,53
2022-03-22,10,40
