date,time,flow
2022-03-01,0,22
2022-03-01,1,5
2022-03-01,2,3
2022-03-01,3,3
2022-03-01,4,3
2022-03-01,5,12
2022-03-01,6,15
2022-03-01,7,32
2022-03-01,8,79
2022-03-01,9,70
2022-03-01,10,81
2022-03-01,11,78
2022-03-01,12,112
2022-03-01,13,114
2022-03-01,14,122
2022-03-01,15,119
2022-03-01,16,162
2022-03-01,17,146
2022-03-01,18,124
2022-03-01,19,86
2022-03-01,20,72
2022-03-01,21,57
2022-03-01,22,47
2022-03-01,23,36
2022-03-02,0,16
2022-03-02,1,16
2022-03-02,2,17
2022-03-02,3,33
2022-03-02,4,29
2022-03-02,5,30
2022-03-02,6,30
2022-03-02,7,39
2022-03-02,8,65
2022-03-02,9,94
2022-03-02,10,89
2022-03-02,11,82
2022-03-02,12,108
2022-03-02,13,139
2022-03-02,14,117
2022-03-02,15,145
2022-03-02,16,160
2022-03-02,17,152
2022-03-02,18,159
2022-03-02,19,166
2022-03-02,20,63
2022-03-02,21,56
2022-03-02,22,54
2022-03-02,23,34
2022-03-03,0,15
2022-03-03,1,16
2022-03-03,2,5
2022-03-03,3,6
2022-03-03,4,8
2022-03-03,5,16
2022-03-03,6,19
2022-03-03,7,34
2022-03-03,8,70
2022-03-03,9,80
2022-03-03,10,41
2022-03-03,11,0
2022-03-03,12,0
2022-03-03,13,0
2022-03-03,14,0
2022-03-03,15,0
2022-03-03,16,0
2022-03-03,17,0
2022-03-03,18,0
2022-03-03,19,0
2022-03-03,20,0
2022-03-03,21,0
2022-03-03,22,0
2022-03-03,23,0
2022-03-04,0,3
2022-03-04,1,21
2022-03-04,2,3
2022-03-04,3,8
2022-03-04,4,7
2022-03-04,5,13
2022-03-04,6,24
2022-03-04,7,34
2022-03-04,8,73
2022-03-04,9,84
2022-03-04,10,102
2022-03-04,11,91
2022-03-04,12,125
2022-03-04,13,119
2022-03-04,14,135
2022-03-04,15,136
2022-03-04,16,129
2022-03-04,17,132
2022-03-04,18,94
2022-03-04,19,59
2022-03-04,20,82
2022-03-04,21,51
2022-03-04,22,47
2022-03-04,23,47
2022-03-05,0,65
2022-03-05,1,13
2022-03-05,2,15
2022-03-05,3,16
2022-03-05,4,14
2022-03-05,5,14
2022-03-05,6,37
2022-03-05,7,45
2022-03-05,8,37
2022-03-05,9,40
2022-03-05,10,76
2022-03-05,11,95
2022-03-05,12,95
2022-03-05,13,98
2022-03-05,14,129
2022-03-05,15,125
2022-03-05,16,79
2022-03-05,17,90
2022-03-05,18,89
2022-03-05,19,41
2022-03-05,20,70
2022-03-05,21,51
2022-03-05,22,45
2022-03-05,23,60
2022-03-06,0,35
2022-03-06,1,14
2022-03-06,2,21
2022-03-06,3,10
2022-03-06,4,16
2022-03-06,5,8
2022-03-06,6,10
2022-03-06,7,14
2022-03-06,8,19
2022-03-06,9,38
2022-03-06,10,68
2022-03-06,11,82
2022-03-06,12,88
2022-03-06,13,99
2022-03-06,14,114
2022-03-06,15,108
2022-03-06,16,100
2022-03-06,17,89
2022-03-06,18,63
2022-03-06,19,73
2022-03-06,20,53
2022-03-06,21,48
2022-03-06,22,28
2022-03-06,23,46
2022-03-07,0,10
2022-03-07,1,30
2022-03-07,2,7
2022-03-07,3,7
2022-03-07,4,4
2022-03-07,5,8
2022-03-07,6,23
2022-03-07,7,33
2022-03-07,8,64
