date,time,flow
2022-03-01,0,1
2022-03-01,1,1
2022-03-01,2,2
2022-03-01,3,2
2022-03-01,4,0
2022-03-01,5,4
2022-03-01,6,8
2022-03-01,7,35
2022-03-01,8,71
2022-03-01,9,55
2022-03-01,10,50
2022-03-01,11,44
2022-03-01,12,58
2022-03-01,13,57
2022-03-01,14,63
2022-03-01,15,49
2022-03-01,16,60
2022-03-01,17,67
2022-03-01,18,38
2022-03-01,19,33
2022-03-01,20,13
2022-03-01,21,16
2022-03-01,22,15
2022-03-01,23,12
2022-03-02,0,15
2022-03-02,1,8
2022-03-02,2,5
2022-03-02,3,4
2022-03-02,4,0
2022-03-02,5,1
2022-03-02,6,15
2022-03-02,7,34
2022-03-02,8,61
2022-03-02,9,55
2022-03-02,10,44
2022-03-02,11,50
2022-03-02,12,51
2022-03-02,13,57
2022-03-02,14,62
2022-03-02,15,49
2022-03-02,16,55
2022-03-02,17,60
2022-03-02,18,52
2022-03-02,19,56
2022-03-02,20,29
2022-03-02,21,23
2022-03-02,22,29
2022-03-02,23,16
2022-03-03,0,3
2022-03-03,1,0
2022-03-03,2,1
2022-03-03,3,1
2022-03-03,4,0
2022-03-03,5,5
2022-03-03,6,15
2022-03-03,7,38
2022-03-03,8,60
2022-03-03,9,44
2022-03-03,10,40
2022-03-03,11,46
2022-03-03,12,70
2022-03-03,13,52
2022-03-03,14,51
2022-03-03,15,31
2022-03-03,16,48
2022-03-03,17,61
2022-03-03,18,40
2022-03-03,19,41
2022-03-03,20,24
2022-03-03,21,14
2022-03-03,22,17
2022-03-03,23,6
2022-03-04,0,2
2022-03-04,1,3
2022-03-04,2,3
2022-03-04,3,2
2022-03-04,4,0
2022-03-04,5,4
2022-03-04,6,15
2022-03-04,7,34
2022-03-04,8,52
2022-03-04,9,66
2022-03-04,10,48
2022-03-04,11,64
2022-03-04,12,66
2022-03-04,13,72
2022-03-04,14,64
2022-03-04,15,62
2022-03-04,16,64
2022-03-04,17,65
2022-03-04,18,50
2022-03-04,19,39
2022-03-04,20,20
2022-03-04,21,19
2022-03-04,22,20
2022-03-04,23,17
2022-03-05,0,19
2022-03-05,1,8
2022-03-05,2,8
2022-03-05,3,5
2022-03-05,4,2
2022-03-05,5,1
2022-03-05,6,10
2022-03-05,7,20
