date,time,flow
2022-03-01,0,22
2022-03-01,1,16
2022-03-01,2,7
2022-03-01,3,4
2022-03-01,4,2
2022-03-01,5,10
2022-03-01,6,19
2022-03-01,7,56
2022-03-01,8,101
2022-03-01,9,99
2022-03-01,10,83
2022-03-01,11,76
2022-03-01,12,99
2022-03-01,13,103
2022-03-01,14,126
2022-03-01,15,148
2022-03-01,16,155
2022-03-01,17,160
2022-03-01,18,121
2022-03-01,19,67
2022-03-01,20,51
2022-03-01,21,52
2022-03-01,22,45
2022-03-01,23,22
2022-03-02,0,73
2022-03-02,1,58
2022-03-02,2,8
2022-03-02,3,6
2022-03-02,4,8
2022-03-02,5,6
2022-03-02,6,25
2022-03-02,7,62
2022-03-02,8,89
2022-03-02,9,96
2022-03-02,10,97
2022-03-02,11,90
2022-03-02,12,104
2022-03-02,13,103
2022-03-02,14,103
2022-03-02,15,124
2022-03-02,16,170
2022-03-02,17,177
2022-03-02,18,116
2022-03-02,19,72
2022-03-02,20,50
2022-03-02,21,79
2022-03-02,22,378
2022-03-02,23,38
2022-03-03,0,16
2022-03-03,1,3
2022-03-03,2,5
2022-03-03,3,4
2022-03-03,4,8
2022-03-03,5,16
2022-03-03,6,26
2022-03-03,7,66
2022-03-03,8,103
2022-03-03,9,100
2022-03-03,10,92
2022-03-03,11,75
2022-03-03,12,102
2022-03-03,13,108
2022-03-03,14,120
2022-03-03,15,118
2022-03-03,16,153
2022-03-03,17,157
2022-03-03,18,123
2022-03-03,19,60
2022-03-03,20,59
2022-03-03,21,51
2022-03-03,22,32
2022-03-03,23,19
2022-03-04,0,13
2022-03-04,1,16
2022-03-04,2,4
2022-03-04,3,4
2022-03-04,4,9
2022-03-04,5,8
2022-03-04,6,28
2022-03-04,7,64
2022-03-04,8,92
2022-03-04,9,83
2022-03-04,10,91
2022-03-04,11,99
2022-03-04,12,102
2022-03-04,13,110
2022-03-04,14,115
2022-03-04,15,137
2022-03-04,16,147
2022-03-04,17,141
2022-03-04,18,101
2022-03-04,19,71
2022-03-04,20,60
2022-03-04,21,47
2022-03-04,22,37
2022-03-04,23,23
2022-03-05,0,16
2022-03-05,1,7
2022-03-05,2,10
2022-03-05,3,4
2022-03-05,4,12
2022-03-05,5,11
2022-03-05,6,12
2022-03-05,7,33
2022-03-05,8,36
2022-03-05,9,52
2022-03-05,10,63
2022-03-05,11,98
2022-03-05,12,104
2022-03-05,13,101
2022-03-05,14,106
2022-03-05,15,74
2022-03-05,16,102
2022-03-05,17,89
2022-03-05,18,74
2022-03-05,19,49
2022-03-05,20,44
2022-03-05,21,36
2022-03-05,22,36
2022-03-05,23,25
2022-03-06,0,36
2022-03-06,1,13
2022-03-06,2,16
2022-03-06,3,7
2022-03-06,4,10
2022-03-06,5,9
2022-03-06,6,11
2022-03-06,7,19
2022-03-06,8,27
2022-03-06,9,38
2022-03-06,10,64
2022-03-06,11,78
2022-03-06,12,81
2022-03-06,13,78
2022-03-06,14,83
2022-03-06,15,75
2022-03-06,16,91
2022-03-06,17,74
2022-03-06,18,68
2022-03-06,19,63
2022-03-06,20,40
2022-03-06,21,30
2022-03-06,22,22
2022-03-06,23,17
2022-03-07,0,11
2022-03-07,1,16
2022-03-07,2,5
2022-03-07,3,4
2022-03-07,4,6
2022-03-07,5,10
2022-03-07,6,27
2022-03-07,7,73
2022-03-07,8,97
2022-03-07,9,92
2022-03-07,10,86
2022-03-07,11,84
2022-03-07,12,91
2022-03-07,13,104
2022-03-07,14,117
2022-03-07,15,107
2022-03-07,16,142
2022-03-07,17,155
2022-03-07,18,107
2022-03-07,19,75
2022-03-07,20,48
2022-03-07,21,63
2022-03-07,22,25
2022-03-07,23,31
2022-03-08,0,15
2022-03-08,1,10
2022-03-08,2,6
2022-03-08,3,5
2022-03-08,4,3
2022-03-08,5,5
2022-03-08,6,28
2022-03-08,7,60
2022-03-08,8,98
2022-03-08,9,84
2022-03-08,10,89
2022-03-08,11,76
2022-03-08,12,97
2022-03-08,13,90
2022-03-08,14,120
2022-03-08,15,115
2022-03-08,16,133
2022-03-08,17,173
2022-03-08,18,119
2022-03-08,19,66
2022-03-08,20,70
2022-03-08,21,60
2022-03-08,22,24
2022-03-08,23,14
2022-03-09,0,24
2022-03-09,1,35
2022-03-09,2,4
2022-03-09,3,4
2022-03-09,4,10
2022-03-09,5,6
2022-03-09,6,25
2022-03-09,7,73
2022-03-09,8,102
2022-03-09,9,70
2022-03-09,10,72
2022-03-09,11,76
2022-03-09,12,102
2022-03-09,13,102
2022-03-09,14,87
2022-03-09,15,109
2022-03-09,16,173
2022-03-09,17,177
2022-03-09,18,104
2022-03-09,19,69
2022-03-09,20,57
2022-03-09,21,48
2022-03-09,22,48
2022-03-09,23,15
2022-03-10,0,13
2022-03-10,1,9
2022-03-10,2,6
2022-03-10,3,5
2022-03-10,4,2
2022-03-10,5,12
2022-03-10,6,25
2022-03-10,7,66
2022-03-10,8,91
2022-03-10,9,83
2022-03-10,10,94
2022-03-10,11,92
2022-03-10,12,100
2022-03-10,13,119
2022-03-10,14,102
2022-03-10,15,120
2022-03-10,16,143
2022-03-10,17,136
2022-03-10,18,99
2022-03-10,19,84
2022-03-10,20,66
2022-03-10,21,59
2022-03-10,22,47
2022-03-10,23,43
2022-03-11,0,16
2022-03-11,1,13
2022-03-11,2,3
2022-03-11,3,7
2022-03-11,4,8
2022-03-11,5,12
2022-03-11,6,28
2022-03-11,7,62
2022-03-11,8,80
2022-03-11,9,74
2022-03-11,10,93
2022-03-11,11,91
2022-03-11,12,108
2022-03-11,13,116
2022-03-11,14,131
2022-03-11,15,119
2022-03-11,16,148
2022-03-11,17,126
2022-03-11,18,95
2022-03-11,19,71
2022-03-11,20,65
2022-03-11,21,50
2022-03-11,22,36
2022-03-11,23,26
2022-03-12,0,30
2022-03-12,1,10
2022-03-12,2,12
2022-03-12,3,6
2022-03-12,4,4
2022-03-12,5,8
2022-03-12,6,21
2022-03-12,7,23
2022-03-12,8,34
2022-03-12,9,40
2022-03-12,10,84
2022-03-12,11,90
2022-03-12,12,101
2022-03-12,13,94
2022-03-12,14,91
2022-03-12,15,73
2022-03-12,16,85
2022-03-12,17,87
2022-03-12,18,75
2022-03-12,19,53
2022-03-12,20,47
2022-03-12,21,36
2022-03-12,22,26
2022-03-12,23,28
2022-03-13,0,19
2022-03-13,1,20
2022-03-13,2,13
2022-03-13,3,8
2022-03-13,4,6
2022-03-13,5,4
2022-03-13,6,9
2022-03-13,7,16
2022-03-13,8,20
2022-03-13,9,42
2022-03-13,10,51
2022-03-13,11,74
2022-03-13,12,89
2022-03-13,13,86
2022-03-13,14,85
2022-03-13,15,71
2022-03-13,16,91
2022-03-13,17,64
2022-03-13,18,55
2022-03-13,19,60
2022-03-13,20,42
2022-03-13,21,30
2022-03-13,22,22
2022-03-13,23,14
2022-03-14,0,7
2022-03-14,1,6
2022-03-14,2,2
2022-03-14,3,4
2022-03-14,4,6
2022-03-14,5,9
2022-03-14,6,24
2022-03-14,7,55
2022-03-14,8,86
2022-03-14,9,83
2022-03-14,10,76
2022-03-14,11,86
2022-03-14,12,94
2022-03-14,13,86
2022-03-14,14,104
2022-03-14,15,108
2022-03-14,16,114
2022-03-14,17,134
2022-03-14,18,95
2022-03-14,19,56
2022-03-14,20,48
2022-03-14,21,37
2022-03-14,22,31
2022-03-14,23,16
2022-03-15,0,6
2022-03-15,1,5
2022-03-15,2,4
2022-03-15,3,2
2022-03-15,4,4
2022-03-15,5,13
2022-03-15,6,26
2022-03-15,7,62
2022-03-15,8,97
2022-03-15,9,92
2022-03-15,10,77
2022-03-15,11,80
2022-03-15,12,83
2022-03-15,13,91
2022-03-15,14,106
2022-03-15,15,118
2022-03-15,16,158
2022-03-15,17,151
2022-03-15,18,103
2022-03-15,19,100
2022-03-15,20,52
2022-03-15,21,59
2022-03-15,22,26
2022-03-15,23,20
2022-03-16,0,11
2022-03-16,1,15
2022-03-16,2,2
2022-03-16,3,6
2022-03-16,4,6
2022-03-16,5,10
2022-03-16,6,22
2022-03-16,7,52
2022-03-16,8,84
2022-03-16,9,99
2022-03-16,10,85
2022-03-16,11,84
2022-03-16,12,82
2022-03-16,13,95
2022-03-16,14,94
2022-03-16,15,115
2022-03-16,16,137
2022-03-16,17,159
2022-03-16,18,105
2022-03-16,19,76
2022-03-16,20,50
2022-03-16,21,47
2022-03-16,22,36
2022-03-16,23,23
2022-03-17,0,8
2022-03-17,1,5
2022-03-17,2,6
2022-03-17,3,12
2022-03-17,4,8
2022-03-17,5,10
2022-03-17,6,22
2022-03-17,7,51
2022-03-17,8,91
2022-03-17,9,86
2022-03-17,10,79
2022-03-17,11,77
2022-03-17,12,85
2022-03-17,13,93
2022-03-17,14,99
2022-03-17,15,126
2022-03-17,16,123
2022-03-17,17,144
2022-03-17,18,90
2022-03-17,19,58
2022-03-17,20,67
2022-03-17,21,62
2022-03-17,22,38
2022-03-17,23,23
2022-03-18,0,9
2022-03-18,1,9
2022-03-18,2,3
2022-03-18,3,11
2022-03-18,4,4
2022-03-18,5,7
2022-03-18,6,27
2022-03-18,7,59
2022-03-18,8,90
2022-03-18,9,78
2022-03-18,10,89
2022-03-18,11,93
2022-03-18,12,91
2022-03-18,13,110
2022-03-18,14,124
2022-03-18,15,108
2022-03-18,16,151
2022-03-18,17,138
2022-03-18,18,94
2022-03-18,19,72
2022-03-18,20,58
2022-03-18,21,41
2022-03-18,22,44
2022-03-18,23,35
2022-03-19,0,17
2022-03-19,1,8
2022-03-19,2,17
2022-03-19,3,8
2022-03-19,4,7
2022-03-19,5,12
2022-03-19,6,16
2022-03-19,7,26
2022-03-19,8,36
2022-03-19,9,57
2022-03-19,10,67
2022-03-19,11,84
2022-03-19,12,100
2022-03-19,13,92
2022-03-19,14,96
2022-03-19,15,92
2022-03-19,16,96
2022-03-19,17,174
2022-03-19,18,227
2022-03-19,19,56
2022-03-19,20,42
2022-03-19,21,37
2022-03-19,22,28
2022-03-19,23,25
2022-03-20,0,25
2022-03-20,1,12
2022-03-20,2,8
2022-03-20,3,7
2022-03-20,4,3
2022-03-20,5,10
2022-03-20,6,8
2022-03-20,7,19
2022-03-20,8,22
2022-03-20,9,36
2022-03-20,10,77
2022-03-20,11,98
2022-03-20,12,94
2022-03-20,13,70
2022-03-20,14,82
2022-03-20,15,92
2022-03-20,16,88
2022-03-20,17,90
2022-03-20,18,70
2022-03-20,19,54
2022-03-20,20,38
2022-03-20,21,31
2022-03-20,22,28
2022-03-20,23,14
2022-03-21,0,7
2022-03-21,1,6
2022-03-21,2,3
2022-03-21,3,4
2022-03-21,4,3
2022-03-21,5,7
2022-03-21,6,27
2022-03-21,7,44
2022-03-21,8,94
2022-03-21,9,68
2022-03-21,10,61
2022-03-21,11,80
2022-03-21,12,104
2022-03-21,13,103
2022-03-21,14,76
2022-03-21,15,98
2022-03-21,16,150
2022-03-21,17,161
2022-03-21,18,101
2022-03-21,19,66
2022-03-21,20,50
2022-03-21,21,51
2022-03-21,22,24
2022-03-21,23,28
2022-03-22,0,14
2022-03-22,1,3
2022-03-22,2,4
2022-03-22,3,4
2022-03-22,4,7
2022-03-22,5,7
2022-03-22,6,24
2022-03-22,7,53
2022-03-22,8,104
2022-03-22,9,95
2022-03-22,10,89
2022-03-22,11,83
2022-03-22,12,100
2022-03-22,13,96
2022-03-22,14,111
2022-03-22,15,115
2022-03-22,16,150
2022-03-22,17,147
2022-03-22,18,119
2022-03-22,19,81
2022-03-22,20,68
2022-03-22,21,48
2022-03-22,22,41
2022-03-22,23,17
2022-03-23,0,12
2022-03-23,1,2
2022-03-23,2,7
2022-03-23,3,1
2022-03-23,4,10
2022-03-23,5,7
2022-03-23,6,21
2022-03-23,7,50
2022-03-23,8,91
2022-03-23,9,90
2022-03-23,10,82
2022-03-23,11,94
2022-03-23,12,103
2022-03-23,13,105
2022-03-23,14,100
2022-03-23,15,119
2022-03-23,16,149
2022-03-23,17,141
2022-03-23,18,92
2022-03-23,19,79
2022-03-23,20,62
2022-03-23,21,50
2022-03-23,22,40
2022-03-23,23,19
2022-03-24,0,7
2022-03-24,1,16
2022-03-24,2,4
2022-03-24,3,6
2022-03-24,4,4
2022-03-24,5,6
2022-03-24,6,29
2022-03-24,7,65
2022-03-24,8,103
2022-03-24,9,76
2022-03-24,10,81
2022-03-24,11,96
2022-03-24,12,86
2022-03-24,13,113
2022-03-24,14,106
2022-03-24,15,120
2022-03-24,16,157
2022-03-24,17,138
2022-03-24,18,150
2022-03-24,19,104
2022-03-24,20,54
2022-03-24,21,52
2022-03-24,22,44
2022-03-24,23,25
2022-03-25,0,11
2022-03-25,1,6
2022-03-25,2,7
2022-03-25,3,4
2022-03-25,4,3
2022-03-25,5,6
2022-03-25,6,20
2022-03-25,7,53
2022-03-25,8,96
2022-03-25,9,90
2022-03-25,10,74
2022-03-25,11,92
2022-03-25,12,94
2022-03-25,13,111
2022-03-25,14,133
2022-03-25,15,124
2022-03-25,16,137
2022-03-25,17,126
2022-03-25,18,98
2022-03-25,19,81
2022-03-25,20,50
2022-03-25,21,49
2022-03-25,22,28
2022-03-25,23,24
2022-03-26,0,21
2022-03-26,1,8
2022-03-26,2,8
2022-03-26,3,8
2022-03-26,4,11
2022-03-26,5,12
2022-03-26,6,22
2022-03-26,7,27
2022-03-26,8,49
2022-03-26,9,65
2022-03-26,10,70
2022-03-26,11,93
2022-03-26,12,94
2022-03-26,13,107
2022-03-26,14,106
2022-03-26,15,88
2022-03-26,16,91
2022-03-26,17,111
2022-03-26,18,68
2022-03-26,19,54
2022-03-26,20,52
2022-03-26,21,41
2022-03-26,22,35
2022-03-26,23,28
2022-03-27,0,14
2022-03-27,1,25
2022-03-27,2,13
2022-03-27,3,11
2022-03-27,4,10
2022-03-27,5,9
2022-03-27,6,19
2022-03-27,7,20
2022-03-27,8,33
2022-03-27,9,54
2022-03-27,10,79
2022-03-27,11,98
2022-03-27,12,110
2022-03-27,13,102
2022-03-27,14,88
2022-03-27,15,93
2022-03-27,16,77
2022-03-27,17,58
2022-03-27,18,50
2022-03-27,19,50
2022-03-27,20,30
2022-03-27,21,29
2022-03-27,22,14
2022-03-27,23,9
2022-03-28,0,5
2022-03-28,1,10
2022-03-28,2,1
2022-03-28,3,7
2022-03-28,4,10
2022-03-28,5,18
2022-03-28,6,49
2022-03-28,7,98
2022-03-28,8,77
2022-03-28,9,78
2022-03-28,10,91
2022-03-28,11,93
2022-03-28,12,100
2022-03-28,13,93
2022-03-28,14,110
2022-03-28,15,146
2022-03-28,16,152
2022-03-28,17,98
2022-03-28,18,63
2022-03-28,19,54
2022-03-28,20,34
2022-03-28,21,25
2022-03-28,22,11
2022-03-28,23,6
2022-03-29,0,8
2022-03-29,1,2
2022-03-29,2,4
2022-03-29,3,1
2022-03-29,4,10
2022-03-29,5,24
2022-03-29,6,54
2022-03-29,7,102
2022-03-29,8,92
2022-03-29,9,82
2022-03-29,10,85
2022-03-29,11,92
2022-03-29,12,91
2022-03-29,13,107
2022-03-29,14,132
2022-03-29,15,145
2022-03-29,16,163
2022-03-29,17,110
2022-03-29,18,79
2022-03-29,19,72
2022-03-29,20,58
2022-03-29,21,27
2022-03-29,22,17
2022-03-29,23,9
2022-03-30,0,9
2022-03-30,1,7
2022-03-30,2,3
2022-03-30,3,4
2022-03-30,4,7
2022-03-30,5,23
2022-03-30,6,65
2022-03-30,7,88
2022-03-30,8,78
2022-03-30,9,84
2022-03-30,10,91
2022-03-30,11,100
2022-03-30,12,107
2022-03-30,13,95
2022-03-30,14,111
2022-03-30,15,134
2022-03-30,16,174
2022-03-30,17,105
2022-03-30,18,71
2022-03-30,19,57
2022-03-30,20,44
2022-03-30,21,31
2022-03-30,22,12
2022-03-30,23,9
2022-03-31,0,4
2022-03-31,1,4
2022-03-31,2,8
2022-03-31,3,7
2022-03-31,4,6
2022-03-31,5,32
2022-03-31,6,66
2022-03-31,7,97
2022-03-31,8,85
2022-03-31,9,80
2022-03-31,10,81
2022-03-31,11,100
2022-03-31,12,116
2022-03-31,13,112
2022-03-31,14,125
2022-03-31,15,166
2022-03-31,16,155
2022-03-31,17,120
2022-03-31,18,113
2022-03-31,19,72
2022-03-31,20,60
2022-03-31,21,34
2022-03-31,22,23
2022-03-31,23,30
2022-04-01,0,2
2022-04-01,1,7
2022-04-01,2,6
2022-04-01,3,8
2022-04-01,4,14
2022-04-01,5,21
2022-04-01,6,61
2022-04-01,7,88
2022-04-01,8,73
2022-04-01,9,85
2022-04-01,10,97
2022-04-01,11,102
2022-04-01,12,116
2022-04-01,13,118
2022-04-01,14,159
2022-04-01,15,150
2022-04-01,16,139
2022-04-01,17,114
2022-04-01,18,80
2022-04-01,19,78
2022-04-01,20,60
2022-04-01,21,45
2022-04-01,22,23
2022-04-01,23,27
2022-04-02,0,6
2022-04-02,1,12
2022-04-02,2,7
2022-04-02,3,9
2022-04-02,4,6
2022-04-02,5,14
2022-04-02,6,26
2022-04-02,7,34
2022-04-02,8,47
2022-04-02,9,74
2022-04-02,10,81
2022-04-02,11,103
2022-04-02,12,81
2022-04-02,13,92
2022-04-02,14,109
2022-04-02,15,96
2022-04-02,16,88
2022-04-02,17,68
2022-04-02,18,50
2022-04-02,19,33
2022-04-02,20,44
2022-04-02,21,31
2022-04-02,22,29
2022-04-02,23,25
2022-04-03,0,13
2022-04-03,1,7
2022-04-03,2,7
2022-04-03,3,9
2022-04-03,4,12
2022-04-03,5,13
2022-04-03,6,17
2022-04-03,7,31
2022-04-03,8,34
2022-04-03,9,71
2022-04-03,10,80
2022-04-03,11,51
2022-04-03,12,47
2022-04-03,13,71
2022-04-03,14,65
2022-04-03,15,78
2022-04-03,16,60
2022-04-03,17,54
2022-04-03,18,57
2022-04-03,19,30
2022-04-03,20,20
2022-04-03,21,24
2022-04-03,22,22
2022-04-03,23,9
2022-04-04,0,13
2022-04-04,1,5
2022-04-04,2,4
2022-04-04,3,6
2022-04-04,4,8
2022-04-04,5,22
2022-04-04,6,50
2022-04-04,7,81
2022-04-04,8,87
2022-04-04,9,71
2022-04-04,10,65
2022-04-04,11,100
2022-04-04,12,92
2022-04-04,13,104
2022-04-04,14,116
2022-04-04,15,137
2022-04-04,16,136
2022-04-04,17,108
2022-04-04,18,71
2022-04-04,19,46
2022-04-04,20,48
2022-04-04,21,22
2022-04-04,22,15
2022-04-04,23,9
2022-04-05,0,4
2022-04-05,1,4
2022-04-05,2,3
2022-04-05,3,5
2022-04-05,4,9
2022-04-05,5,25
2022-04-05,6,57
2022-04-05,7,82
2022-04-05,8,68
2022-04-05,9,82
2022-04-05,10,93
2022-04-05,11,83
2022-04-05,12,112
2022-04-05,13,113
2022-04-05,14,107
2022-04-05,15,158
2022-04-05,16,168
2022-04-05,17,110
2022-04-05,18,71
2022-04-05,19,53
2022-04-05,20,49
2022-04-05,21,32
2022-04-05,22,18
2022-04-05,23,13
2022-04-06,0,12
2022-04-06,1,4
2022-04-06,2,5
2022-04-06,3,6
2022-04-06,4,9
2022-04-06,5,24
2022-04-06,6,60
2022-04-06,7,93
2022-04-06,8,85
2022-04-06,9,81
2022-04-06,10,101
2022-04-06,11,98
2022-04-06,12,106
2022-04-06,13,115
2022-04-06,14,117
2022-04-06,15,157
2022-04-06,16,160
2022-04-06,17,101
2022-04-06,18,75
2022-04-06,19,52
2022-04-06,20,39
2022-04-06,21,36
2022-04-06,22,25
2022-04-06,23,11
2022-04-07,0,6
2022-04-07,1,3
2022-04-07,2,4
2022-04-07,3,5
2022-04-07,4,12
2022-04-07,5,26
2022-04-07,6,75
2022-04-07,7,80
2022-04-07,8,80
2022-04-07,9,75
2022-04-07,10,93
2022-04-07,11,97
2022-04-07,12,103
2022-04-07,13,117
2022-04-07,14,128
2022-04-07,15,130
2022-04-07,16,161
2022-04-07,17,108
2022-04-07,18,86
2022-04-07,19,45
2022-04-07,20,39
2022-04-07,21,38
2022-04-07,22,28
2022-04-07,23,12
2022-04-08,0,7
2022-04-08,1,7
2022-04-08,2,6
2022-04-08,3,7
2022-04-08,4,11
2022-04-08,5,20
2022-04-08,6,61
2022-04-08,7,78
2022-04-08,8,72
2022-04-08,9,78
2022-04-08,10,92
2022-04-08,11,112
2022-04-08,12,117
2022-04-08,13,114
2022-04-08,14,160
2022-04-11,7,70
2022-04-11,8,73
2022-04-11,9,77
2022-04-11,10,91
2022-04-11,11,90
2022-04-11,12,97
2022-04-11,13,100
2022-04-11,14,129
2022-04-11,15,144
2022-04-11,16,165
2022-04-11,17,108
2022-04-11,18,63
2022-04-11,19,51
2022-04-11,20,40
2022-04-11,21,28
2022-04-11,22,25
2022-04-11,23,13
2022-04-12,0,3
2022-04-12,1,4
2022-04-12,2,4
2022-04-12,3,0
2022-04-12,4,8
2022-04-12,5,31
2022-04-12,6,57
2022-04-12,7,85
2022-04-12,8,85
2022-04-12,9,84
2022-04-12,10,98
2022-04-12,11,83
2022-04-12,12,102
2022-04-12,13,121
2022-04-12,14,134
2022-04-12,15,142
2022-04-12,16,165
2022-04-12,17,118
2022-04-12,18,65
2022-04-12,19,59
2022-04-12,20,95
2022-04-12,21,42
2022-04-12,22,17
2022-04-12,23,8
2022-04-13,0,14
2022-04-13,1,5
2022-04-13,2,3
2022-04-13,3,4
2022-04-13,4,9
2022-04-13,5,28
2022-04-13,6,48
2022-04-13,7,78
2022-04-13,8,77
2022-04-13,9,87
2022-04-13,10,84
2022-04-13,11,93
2022-04-13,12,104
2022-04-13,13,127
2022-04-13,14,130
2022-04-13,15,151
2022-04-13,16,161
2022-04-13,17,108
2022-04-13,18,72
2022-04-13,19,67
2022-04-13,20,46
2022-04-13,21,35
2022-04-13,22,29
2022-04-13,23,17
2022-04-14,0,6
2022-04-14,1,5
2022-04-14,2,4
2022-04-14,3,5
2022-04-14,4,14
2022-04-14,5,24
2022-04-14,6,47
2022-04-14,7,89
2022-04-14,8,68
2022-04-14,9,75
2022-04-14,10,92
2022-04-14,11,100
2022-04-14,12,125
2022-04-14,13,118
2022-04-14,14,138
2022-04-14,15,152
2022-04-14,16,151
2022-04-14,17,125
2022-04-14,18,83
2022-04-14,19,64
2022-04-14,20,34
2022-04-14,21,27
2022-04-14,22,36
2022-04-14,23,30
2022-04-15,0,3
2022-04-15,1,7
2022-04-15,2,4
2022-04-15,3,6
2022-04-15,4,9
2022-04-15,5,23
2022-04-15,6,37
2022-04-15,7,57
2022-04-15,8,68
2022-04-15,9,69
2022-04-15,10,84
2022-04-15,11,112
2022-04-15,12,109
2022-04-15,13,119
2022-04-15,14,135
2022-04-15,15,119
2022-04-15,16,119
2022-04-15,17,83
2022-04-15,18,61
2022-04-15,19,56
2022-04-15,20,41
2022-04-15,21,34
2022-04-15,22,28
2022-04-15,23,38
2022-04-16,0,16
2022-04-16,1,10
2022-04-16,2,9
2022-04-16,3,2
2022-04-16,4,10
2022-04-16,5,15
2022-04-16,6,25
2022-04-16,7,33
2022-04-16,8,50
2022-04-16,9,70
2022-04-16,10,109
2022-04-16,11,89
2022-04-16,12,92
2022-04-16,13,85
2022-04-16,14,75
2022-04-16,15,91
2022-04-16,16,69
2022-04-16,17,64
2022-04-16,18,50
2022-04-16,19,41
2022-04-16,20,32
2022-04-16,21,35
2022-04-16,22,33
2022-04-16,23,20
2022-04-17,0,16
2022-04-17,1,9
2022-04-17,2,7
2022-04-17,3,5
2022-04-17,4,6
2022-04-17,5,11
2022-04-17,6,16
2022-04-17,7,22
2022-04-17,8,24
2022-04-17,9,55
2022-04-17,10,72
2022-04-17,11,121
2022-04-17,12,80
2022-04-17,13,54
2022-04-17,14,48
2022-04-17,15,51
2022-04-17,16,52
2022-04-17,17,67
2022-04-17,18,48
2022-04-17,19,40
2022-04-17,20,25
2022-04-17,21,34
2022-04-17,22,25
2022-04-17,23,21
2022-04-18,0,11
2022-04-18,1,10
2022-04-18,2,6
2022-04-18,3,3
2022-04-18,4,7
2022-04-18,5,24
2022-04-18,6,26
2022-04-18,7,29
2022-04-18,8,34
2022-04-18,9,48
2022-04-18,10,57
2022-04-18,11,77
2022-04-18,12,71
2022-04-18,13,89
2022-04-18,14,97
2022-04-18,15,99
2022-04-18,16,74
2022-04-18,17,63
2022-04-18,18,52
2022-04-18,19,33
2022-04-18,20,36
2022-04-18,21,17
2022-04-18,22,21
2022-04-18,23,17
2022-04-19,0,13
2022-04-19,1,3
2022-04-19,2,3
2022-04-19,3,4
2022-04-19,4,9
2022-04-19,5,20
2022-04-19,6,52
2022-04-19,7,89
2022-04-19,8,92
2022-04-19,9,86
2022-04-19,10,90
2022-04-19,11,106
2022-04-19,12,99
2022-04-19,13,116
2022-04-19,14,130
2022-04-19,15,166
2022-04-19,16,164
2022-04-19,17,99
2022-04-19,18,65
2022-04-19,19,61
2022-04-19,20,64
2022-04-19,21,32
2022-04-19,22,22
2022-04-19,23,14
2022-04-20,0,11
2022-04-20,1,8
2022-04-20,2,2
2022-04-20,3,9
2022-04-20,4,7
2022-04-20,5,27
2022-04-20,6,59
2022-04-20,7,106
2022-04-20,8,84
2022-04-20,9,96
2022-04-20,10,75
2022-04-20,11,107
2022-04-20,12,122
2022-04-20,13,110
2022-04-20,14,123
2022-04-20,15,144
2022-04-20,16,147
2022-04-20,17,112
2022-04-20,18,71
2022-04-20,19,61
2022-04-20,20,59
2022-04-20,21,34
2022-04-20,22,19
2022-04-20,23,6
2022-04-21,0,9
2022-04-21,1,6
2022-04-21,2,6
2022-04-21,3,4
2022-04-21,4,10
2022-04-21,5,29
2022-04-21,6,61
2022-04-21,7,86
2022-04-21,8,93
2022-04-21,9,89
2022-04-21,10,96
2022-04-21,11,101
2022-04-21,12,99
2022-04-21,13,114
2022-04-21,14,124
2022-04-21,15,157
2022-04-21,16,156
2022-04-21,17,113
2022-04-21,18,71
2022-04-21,19,66
2022-04-21,20,53
2022-04-21,21,45
2022-04-21,22,22
2022-04-21,23,24
2022-04-22,0,22
2022-04-22,1,8
2022-04-22,2,6
2022-04-22,3,7
2022-04-22,4,6
2022-04-22,5,21
2022-04-22,6,62
2022-04-22,7,94
2022-04-22,8,97
2022-04-22,9,98
2022-04-22,10,102
2022-04-22,11,116
2022-04-22,12,136
2022-04-22,13,122
