date,time,flow
2022-03-01,0,13
2022-03-01,1,16
2022-03-01,2,8
2022-03-01,3,4
2022-03-01,4,0
2022-03-01,5,8
2022-03-01,6,16
2022-03-01,7,49
2022-03-01,8,80
2022-03-01,9,75
2022-03-01,10,53
2022-03-01,11,52
2022-03-01,12,57
2022-03-01,13,48
2022-03-01,14,48
2022-03-01,15,44
2022-03-01,16,44
2022-03-01,17,44
2022-03-01,18,61
2022-03-01,19,36
2022-03-01,20,53
2022-03-01,21,40
2022-03-01,22,32
2022-03-01,23,27
2022-03-02,0,16
2022-03-02,1,16
2022-03-02,2,16
2022-03-02,3,4
2022-03-02,4,0
2022-03-02,5,12
2022-03-02,6,17
2022-03-02,7,48
2022-03-02,8,75
2022-03-02,9,62
2022-03-02,10,57
2022-03-02,11,48
2022-03-02,12,48
2022-03-02,13,52
2022-03-02,14,48
2022-03-02,15,58
2022-03-02,16,53
2022-03-02,17,57
2022-03-02,18,48
2022-03-02,19,79
2022-03-02,20,36
2022-03-02,21,44
2022-03-02,22,91
2022-03-02,23,35
2022-03-03,0,13
2022-03-03,1,16
2022-03-03,2,8
2022-03-03,3,0
2022-03-03,4,6
2022-03-03,5,12
2022-03-03,6,16
2022-03-03,7,40
2022-03-03,8,67
2022-03-03,9,72
2022-03-03,10,37
2022-03-03,11,40
2022-03-03,12,40
2022-03-03,13,48
2022-03-03,14,62
2022-03-03,15,48
2022-03-03,16,57
2022-03-03,17,48
2022-03-03,18,45
2022-03-03,19,40
2022-03-03,20,48
2022-03-03,21,40
2022-03-03,22,22
2022-03-03,23,22
2022-03-04,0,18
2022-03-04,1,16
2022-03-04,2,16
2022-03-04,3,8
2022-03-04,4,12
2022-03-04,5,16
2022-03-04,6,18
2022-03-04,7,44
2022-03-04,8,67
2022-03-04,9,67
2022-03-04,10,57
2022-03-04,11,63
2022-03-04,12,63
2022-03-04,13,63
2022-03-04,14,63
2022-03-04,15,58
2022-03-04,16,70
2022-03-04,17,56
2022-03-04,18,52
2022-03-04,19,49
2022-03-04,20,50
2022-03-04,21,44
2022-03-04,22,32
2022-03-04,23,36
