date,time,flow
2022-03-01,0,40
2022-03-01,1,35
2022-03-01,2,13
2022-03-01,3,4
2022-03-01,4,12
2022-03-01,5,25
2022-03-01,6,39
2022-03-01,7,70
2022-03-01,8,106
2022-03-01,9,156
2022-03-01,10,143
2022-03-01,11,131
2022-03-01,12,147
2022-03-01,13,154
2022-03-01,14,133
2022-03-01,15,152
2022-03-01,16,120
2022-03-01,17,145
2022-03-01,18,121
2022-03-01,19,88
2022-03-01,20,67
2022-03-01,21,67
2022-03-01,22,52
2022-03-01,23,61
2022-03-02,0,44
2022-03-02,1,26
2022-03-02,2,40
2022-03-02,3,21
2022-03-02,4,17
2022-03-02,5,53
2022-03-02,6,48
2022-03-02,7,53
2022-03-02,8,87
2022-03-02,9,128
2022-03-02,10,130
2022-03-02,11,118
2022-03-02,12,132
2022-03-02,13,144
2022-03-02,14,109
2022-03-02,15,159
2022-03-02,16,127
2022-03-02,17,168
2022-03-02,18,113
2022-03-02,19,110
2022-03-02,20,99
2022-03-02,21,49
2022-03-02,22,30
2022-03-02,23,57
2022-03-03,0,75
2022-03-03,1,57
2022-03-03,2,21
2022-03-03,3,39
2022-03-03,4,24
2022-03-03,5,39
2022-03-03,6,65
2022-03-03,7,78
2022-03-03,8,92
2022-03-03,9,138
2022-03-03,10,118
2022-03-03,11,72
2022-03-03,12,71
2022-03-03,13,72
2022-03-03,14,68
2022-03-03,15,97
2022-03-03,16,87
2022-03-03,17,108
2022-03-03,18,92
2022-03-03,19,47
2022-03-03,20,60
2022-03-03,21,25
2022-03-03,22,57
2022-03-03,23,35
2022-03-04,0,3
2022-03-04,1,1
2022-03-04,2,2
2022-03-04,3,2
2022-03-04,4,1
2022-03-04,5,35
2022-03-04,6,25
2022-03-04,7,39
2022-03-04,8,75
2022-03-04,9,102
2022-03-04,10,63
2022-03-04,11,79
2022-03-04,12,55
2022-03-04,13,102
2022-03-04,14,88
2022-03-04,15,120
2022-03-04,16,114
2022-03-04,17,73
2022-03-04,18,79
2022-03-04,19,72
2022-03-04,20,51
2022-03-04,21,32
2022-03-04,22,26
2022-03-04,23,13
2022-03-05,0,12
2022-03-05,1,4
2022-03-05,2,5
2022-03-05,3,6
2022-03-05,4,4
2022-03-05,5,4
2022-03-05,6,40
2022-03-05,7,97
2022-03-05,8,88
2022-03-05,9,80
2022-03-05,10,117
2022-03-05,11,135
2022-03-05,12,108
2022-03-05,13,123
2022-03-05,14,71
2022-03-05,15,79
2022-03-05,16,51
2022-03-05,17,47
2022-03-05,18,74
2022-03-05,19,70
2022-03-05,20,49
2022-03-05,21,24
2022-03-05,22,22
2022-03-05,23,9
2022-03-06,0,7
2022-03-06,1,10
2022-03-06,2,2
2022-03-06,3,3
2022-03-06,4,2
2022-03-06,5,4
2022-03-06,6,17
2022-03-06,7,79
2022-03-06,8,75
2022-03-06,9,43
2022-03-06,10,49
2022-03-06,11,49
2022-03-06,12,74
2022-03-06,13,63
2022-03-06,14,49
2022-03-06,15,68
2022-03-06,16,49
2022-03-06,17,32
2022-03-06,18,52
2022-03-06,19,32
2022-03-06,20,40
2022-03-06,21,25
2022-03-06,22,17
2022-03-06,23,49
2022-03-07,0,9
2022-03-07,1,0
2022-03-07,2,1
2022-03-07,3,0
2022-03-07,4,2
2022-03-07,5,12
2022-03-07,6,7
2022-03-07,7,32
2022-03-07,8,57
2022-03-07,9,82
2022-03-07,10,78
2022-03-07,11,69
2022-03-07,12,63
2022-03-07,13,56
2022-03-07,14,88
2022-03-07,15,90
2022-03-07,16,81
2022-03-07,17,61
2022-03-07,18,68
2022-03-07,19,50
2022-03-07,20,36
2022-03-07,21,21
2022-03-07,22,14
2022-03-07,23,67
2022-03-08,0,9
2022-03-08,1,1
2022-03-08,2,2
2022-03-08,3,4
2022-03-08,4,2
2022-03-08,5,7
2022-03-08,6,9
2022-03-08,7,21
2022-03-08,8,68
2022-03-08,9,94
2022-03-08,10,72
2022-03-08,11,75
2022-03-08,12,77
2022-03-08,13,92
2022-03-08,14,68
2022-03-08,15,103
2022-03-08,16,104
2022-03-08,17,98
2022-03-08,18,79
2022-03-08,19,50
2022-03-08,20,38
2022-03-08,21,29
2022-03-08,22,11
2022-03-08,23,6
2022-03-09,0,4
2022-03-09,1,1
2022-03-09,2,4
2022-03-09,3,1
2022-03-09,4,2
2022-03-09,5,4
2022-03-09,6,18
2022-03-09,7,57
2022-03-09,8,80
2022-03-09,9,81
2022-03-09,10,61
2022-03-09,11,67
2022-03-09,12,63
2022-03-09,13,96
2022-03-09,14,76
2022-03-09,15,103
2022-03-09,16,99
2022-03-09,17,80
2022-03-09,18,95
2022-03-09,19,48
2022-03-09,20,45
2022-03-09,21,23
2022-03-09,22,14
2022-03-09,23,9
2022-03-10,0,4
2022-03-10,1,2
2022-03-10,2,0
2022-03-10,3,2
2022-03-10,4,4
2022-03-10,5,6
2022-03-10,6,26
2022-03-10,7,33
2022-03-10,8,58
2022-03-10,9,88
2022-03-10,10,78
2022-03-10,11,58
2022-03-10,12,64
2022-03-10,13,76
2022-03-10,14,62
2022-03-10,15,115
2022-03-10,16,87
2022-03-10,17,87
2022-03-10,18,72
2022-03-10,19,69
2022-03-10,20,39
2022-03-10,21,26
2022-03-10,22,22
2022-03-10,23,21
2022-03-11,0,8
2022-03-11,1,1
2022-03-11,2,2
2022-03-11,3,0
2022-03-11,4,4
2022-03-11,5,3
2022-03-11,6,33
2022-03-11,7,28
2022-03-11,8,54
2022-03-11,9,98
2022-03-11,10,84
2022-03-11,11,44
2022-03-11,12,66
2022-03-11,13,72
2022-03-11,14,100
2022-03-11,15,140
2022-03-11,16,100
2022-03-11,17,120
2022-03-11,18,58
2022-03-11,19,49
2022-03-11,20,49
2022-03-11,21,46
2022-03-11,22,52
2022-03-11,23,14
2022-03-12,0,4
2022-03-12,1,5
2022-03-12,2,2
2022-03-12,3,6
2022-03-12,4,0
2022-03-12,5,5
2022-03-12,6,23
2022-03-12,7,9
2022-03-12,8,23
2022-03-12,9,35
2022-03-12,10,56
2022-03-12,11,66
2022-03-12,12,59
2022-03-12,13,63
2022-03-12,14,74
2022-03-12,15,38
2022-03-12,16,62
2022-03-12,17,53
2022-03-12,18,58
2022-03-12,19,44
2022-03-12,20,39
2022-03-12,21,21
2022-03-12,22,29
2022-03-12,23,13
2022-03-13,0,15
2022-03-13,1,8
2022-03-13,2,1
2022-03-13,3,14
2022-03-13,4,10
2022-03-13,5,2
2022-03-13,6,20
2022-03-13,7,79
2022-03-13,8,75
2022-03-13,9,51
2022-03-13,10,36
2022-03-13,11,41
2022-03-13,12,46
2022-03-13,13,49
2022-03-13,14,59
2022-03-13,15,38
2022-03-13,16,72
2022-03-13,17,35
2022-03-13,18,48
2022-03-13,19,43
2022-03-13,20,32
2022-03-13,21,48
2022-03-13,22,66
2022-03-13,23,59
2022-03-14,0,27
2022-03-14,1,0
2022-03-14,2,1
2022-03-14,3,2
2022-03-14,4,3
2022-03-14,5,39
2022-03-14,6,12
2022-03-14,7,30
2022-03-14,8,72
2022-03-14,9,76
2022-03-14,10,70
2022-03-14,11,80
2022-03-14,12,73
2022-03-14,13,70
2022-03-14,14,74
2022-03-14,15,116
2022-03-14,16,94
2022-03-14,17,64
2022-03-14,18,75
2022-03-14,19,60
2022-03-14,20,38
2022-03-14,21,24
2022-03-14,22,18
2022-03-14,23,8
2022-03-15,0,3
2022-03-15,1,4
2022-03-15,2,0
2022-03-15,3,2
2022-03-15,4,3
2022-03-15,5,6
2022-03-15,6,26
2022-03-15,7,34
2022-03-15,8,84
2022-03-15,9,84
2022-03-15,10,65
2022-03-15,11,63
2022-03-15,12,56
2022-03-15,13,66
2022-03-15,14,85
2022-03-15,15,104
2022-03-15,16,110
2022-03-15,17,78
2022-03-15,18,109
2022-03-15,19,88
2022-03-15,20,57
2022-03-15,21,57
2022-03-15,22,44
2022-03-15,23,58
2022-03-16,0,53
2022-03-16,1,30
2022-03-16,2,45
2022-03-16,3,26
2022-03-16,4,26
2022-03-16,5,54
2022-03-16,6,45
2022-03-16,7,21
2022-03-16,8,72
2022-03-16,9,71
2022-03-16,10,55
2022-03-16,11,66
2022-03-16,12,61
2022-03-16,13,60
2022-03-16,14,75
2022-03-16,15,107
2022-03-16,16,87
2022-03-16,17,80
2022-03-16,18,71
2022-03-16,19,58
2022-03-16,20,43
2022-03-16,21,25
2022-03-16,22,10
2022-03-16,23,22
2022-03-17,0,36
2022-03-17,1,13
2022-03-17,2,0
2022-03-17,3,2
2022-03-17,4,5
2022-03-17,5,29
2022-03-17,6,31
2022-03-17,7,48
2022-03-17,8,67
2022-03-17,9,102
2022-03-17,10,70
2022-03-17,11,72
2022-03-17,12,67
2022-03-17,13,74
2022-03-17,14,69
2022-03-17,15,107
2022-03-17,16,114
2022-03-17,17,87
2022-03-17,18,56
2022-03-17,19,55
2022-03-17,20,46
2022-03-17,21,29
2022-03-17,22,19
2022-03-17,23,10
2022-03-18,0,9
2022-03-18,1,5
2022-03-18,2,2
2022-03-18,3,3
2022-03-18,4,5
2022-03-18,5,3
2022-03-18,6,17
2022-03-18,7,42
2022-03-18,8,66
2022-03-18,9,70
2022-03-18,10,49
2022-03-18,11,84
2022-03-18,12,73
2022-03-18,13,80
2022-03-18,14,80
2022-03-18,15,128
2022-03-18,16,99
2022-03-18,17,91
2022-03-18,18,102
2022-03-18,19,55
2022-03-18,20,46
2022-03-18,21,23
2022-03-18,22,23
2022-03-18,23,16
2022-03-19,0,9
2022-03-19,1,2
2022-03-19,2,3
2022-03-19,3,4
2022-03-19,4,2
2022-03-19,5,31
2022-03-19,6,39
2022-03-19,7,89
2022-03-19,8,77
2022-03-19,9,70
2022-03-19,10,100
2022-03-19,11,110
2022-03-19,12,107
2022-03-19,13,132
2022-03-19,14,118
2022-03-19,15,117
2022-03-19,16,87
2022-03-19,17,102
2022-03-19,18,128
2022-03-19,19,152
2022-03-19,20,132
2022-03-19,21,53
2022-03-19,22,57
2022-03-19,23,89
2022-03-20,0,49
2022-03-20,1,58
2022-03-20,2,124
2022-03-20,3,152
2022-03-20,4,201
2022-03-20,5,114
2022-03-20,6,96
2022-03-20,7,125
2022-03-20,8,70
2022-03-20,9,77
2022-03-20,10,80
2022-03-20,11,119
2022-03-20,12,181
2022-03-20,13,199
2022-03-20,14,123
2022-03-20,15,139
2022-03-20,16,121
2022-03-20,17,145
2022-03-20,18,125
2022-03-20,19,79
2022-03-20,20,87
2022-03-20,21,92
2022-03-20,22,61
2022-03-20,23,38
2022-03-21,0,69
2022-03-21,1,86
2022-03-21,2,47
2022-03-21,3,43
2022-03-21,4,17
2022-03-21,5,96
2022-03-21,6,49
2022-03-21,7,82
2022-03-21,8,113
2022-03-21,9,141
2022-03-21,10,158
2022-03-21,11,130
2022-03-21,12,147
2022-03-21,13,116
2022-03-21,14,99
2022-03-21,15,148
2022-03-21,16,144
2022-03-21,17,102
2022-03-21,18,79
2022-03-21,19,74
2022-03-21,20,56
2022-03-21,21,61
2022-03-21,22,41
2022-03-21,23,21
2022-03-22,0,3
2022-03-22,1,2
2022-03-22,2,14
2022-03-22,3,4
2022-03-22,4,6
2022-03-22,5,15
2022-03-22,6,26
2022-03-22,7,89
2022-03-22,8,120
2022-03-22,9,140
2022-03-22,10,129
2022-03-22,11,135
2022-03-22,12,123
2022-03-22,13,163
2022-03-22,14,116
2022-03-22,15,206
2022-03-22,16,146
2022-03-22,17,108
2022-03-22,18,124
2022-03-22,19,99
2022-03-22,20,81
2022-03-22,21,95
2022-03-22,22,42
2022-03-22,23,78
2022-03-23,0,44
2022-03-23,1,57
2022-03-23,2,47
2022-03-23,3,36
2022-03-23,4,79
2022-03-23,5,53
2022-03-23,6,95
2022-03-23,7,115
2022-03-23,8,117
2022-03-23,9,142
2022-03-23,10,139
2022-03-23,11,95
2022-03-23,12,110
2022-03-23,13,166
2022-03-23,14,97
2022-03-23,15,154
2022-03-23,16,124
2022-03-23,17,101
2022-03-23,18,90
2022-03-23,19,95
2022-03-23,20,84
2022-03-23,21,59
2022-03-23,22,35
2022-03-23,23,39
2022-03-24,0,19
2022-03-24,1,4
2022-03-24,2,10
2022-03-24,3,25
2022-03-24,4,1
2022-03-24,5,4
2022-03-24,6,34
2022-03-24,7,88
2022-03-24,8,90
2022-03-24,9,89
2022-03-24,10,106
2022-03-24,11,119
2022-03-24,12,124
2022-03-24,13,130
2022-03-24,14,107
2022-03-24,15,156
2022-03-24,16,120
2022-03-24,17,69
2022-03-24,18,70
2022-03-24,19,69
2022-03-24,20,55
2022-03-24,21,26
2022-03-24,22,17
2022-03-24,23,14
2022-03-25,0,6
2022-03-25,1,1
2022-03-25,2,0
2022-03-25,3,2
2022-03-25,4,4
2022-03-25,5,3
2022-03-25,6,51
2022-03-25,7,41
2022-03-25,8,121
2022-03-25,9,95
2022-03-25,10,98
2022-03-25,11,81
2022-03-25,12,106
2022-03-25,13,108
2022-03-25,14,97
2022-03-25,15,112
2022-03-25,16,103
2022-03-25,17,88
2022-03-25,18,77
2022-03-25,19,61
2022-03-25,20,45
2022-03-25,21,60
2022-03-25,22,36
2022-03-25,23,19
2022-03-26,0,13
2022-03-26,1,3
2022-03-26,2,14
2022-03-26,3,12
2022-03-26,4,0
2022-03-26,5,119
2022-03-26,6,93
2022-03-26,7,128
2022-03-26,8,97
2022-03-26,9,60
2022-03-26,10,69
2022-03-26,11,88
2022-03-26,12,82
2022-03-26,13,64
2022-03-26,14,75
2022-03-26,15,75
2022-03-26,16,59
2022-03-26,17,59
2022-03-26,18,55
2022-03-26,19,44
2022-03-26,20,34
2022-03-26,21,37
2022-03-26,22,25
2022-03-26,23,11
2022-03-27,0,26
2022-03-27,1,11
2022-03-27,2,3
2022-03-27,3,30
2022-03-27,4,84
2022-03-27,5,31
2022-03-27,6,113
2022-03-27,7,82
2022-03-27,8,61
2022-03-27,9,124
2022-03-27,10,34
2022-03-27,11,58
2022-03-27,12,73
2022-03-27,13,97
2022-03-27,14,61
2022-03-27,15,65
2022-03-27,16,63
2022-03-27,17,62
2022-03-27,18,37
