date,time,flow
2022-03-01,0,24
2022-03-01,1,36
2022-03-01,2,11
2022-03-01,3,15
2022-03-01,4,18
2022-03-01,5,45
2022-03-01,6,135
2022-03-01,7,226
2022-03-01,8,268
2022-03-01,9,255
2022-03-01,10,204
2022-03-01,11,186
2022-03-01,12,210
2022-03-01,13,199
2022-03-01,14,181
2022-03-01,15,226
2022-03-01,16,241
2022-03-01,17,191
2022-03-01,18,215
2022-03-01,19,176
2022-03-01,20,112
2022-03-01,21,94
2022-03-01,22,87
2022-03-01,23,61
2022-03-02,0,30
2022-03-02,1,16
2022-03-02,2,10
2022-03-02,3,10
2022-03-02,4,13
2022-03-02,5,41
2022-03-02,6,98
2022-03-02,7,129
2022-03-02,8,307
2022-03-02,9,288
2022-03-02,10,190
2022-03-02,11,204
2022-03-02,12,204
2022-03-02,13,195
2022-03-02,14,201
2022-03-02,15,213
2022-03-02,16,239
2022-03-02,17,185
2022-03-02,18,232
2022-03-02,19,171
2022-03-02,20,124
2022-03-02,21,105
2022-03-02,22,90
2022-03-02,23,42
2022-03-03,0,33
2022-03-03,1,24
2022-03-03,2,20
2022-03-03,3,15
2022-03-03,4,16
2022-03-03,5,47
2022-03-03,6,154
2022-03-03,7,256
2022-03-03,8,261
2022-03-03,9,242
2022-03-03,10,205
2022-03-03,11,200
2022-03-03,12,204
2022-03-03,13,225
2022-03-03,14,207
2022-03-03,15,224
2022-03-03,16,216
2022-03-03,17,201
2022-03-03,18,189
2022-03-03,19,169
2022-03-03,20,147
2022-03-03,21,107
2022-03-03,22,74
2022-03-03,23,46
2022-03-04,0,41
2022-03-04,1,35
2022-03-04,2,16
2022-03-04,3,20
2022-03-04,4,25
2022-03-04,5,45
2022-03-04,6,92
2022-03-04,7,84
2022-03-04,8,216
2022-03-04,9,222
2022-03-04,10,219
2022-03-04,11,170
2022-03-04,12,230
2022-03-04,13,233
2022-03-04,14,239
2022-03-04,15,221
2022-03-04,16,225
2022-03-04,17,252
2022-03-04,18,208
2022-03-04,19,212
2022-03-04,20,184
2022-03-04,21,171
2022-03-04,22,95
2022-03-04,23,67
2022-03-05,0,85
2022-03-05,1,52
2022-03-05,2,31
2022-03-05,3,24
2022-03-05,4,26
2022-03-05,5,35
2022-03-05,6,61
2022-03-05,7,93
2022-03-05,8,126
2022-03-05,9,190
2022-03-05,10,207
2022-03-05,11,209
2022-03-05,12,268
2022-03-05,13,256
2022-03-05,14,241
2022-03-05,15,191
2022-03-05,16,192
2022-03-05,17,194
2022-03-05,18,178
2022-03-05,19,167
2022-03-05,20,117
2022-03-05,21,98
2022-03-05,22,93
2022-03-05,23,72
2022-03-06,0,71
2022-03-06,1,46
2022-03-06,2,34
2022-03-06,3,22
2022-03-06,4,23
2022-03-06,5,30
2022-03-06,6,45
2022-03-06,7,60
2022-03-06,8,93
2022-03-06,9,133
2022-03-06,10,229
2022-03-06,11,229
2022-03-06,12,214
2022-03-06,13,235
2022-03-06,14,210
2022-03-06,15,216
2022-03-06,16,196
2022-03-06,17,166
2022-03-06,18,144
2022-03-06,19,135
2022-03-06,20,142
2022-03-06,21,90
2022-03-06,22,74
2022-03-06,23,45
2022-03-07,0,29
2022-03-07,1,15
2022-03-07,2,10
2022-03-07,3,14
2022-03-07,4,13
2022-03-07,5,50
2022-03-07,6,102
2022-03-07,7,222
2022-03-07,8,272
2022-03-07,9,223
2022-03-07,10,204
2022-03-07,11,183
2022-03-07,12,224
2022-03-07,13,201
2022-03-07,14,103
2022-03-07,15,87
2022-03-07,16,89
2022-03-07,17,88
2022-03-07,18,90
2022-03-07,19,92
2022-03-07,20,91
2022-03-07,21,86
2022-03-07,22,70
2022-03-07,23,43
2022-03-08,0,32
2022-03-08,1,31
2022-03-08,2,11
2022-03-08,3,15
2022-03-08,4,13
