date,time,flow
2022-03-01,0,5
2022-03-01,1,12
2022-03-01,2,1
2022-03-01,3,2
2022-03-01,4,3
2022-03-01,5,2
2022-03-01,6,14
2022-03-01,7,30
2022-03-01,8,13
2022-03-01,9,23
2022-03-01,10,20
2022-03-01,11,24
2022-03-01,12,20
2022-03-01,13,23
2022-03-01,14,19
2022-03-01,15,22
2022-03-01,16,27
2022-03-01,17,28
2022-03-01,18,30
2022-03-01,19,21
2022-03-01,20,12
2022-03-01,21,21
2022-03-01,22,16
2022-03-01,23,13
2022-03-02,0,11
2022-03-02,1,3
2022-03-02,2,2
2022-03-02,3,4
2022-03-02,4,2
2022-03-02,5,1
2022-03-02,6,11
2022-03-02,7,33
2022-03-02,8,25
2022-03-02,9,25
2022-03-02,10,34
2022-03-02,11,26
2022-03-02,12,23
2022-03-02,13,28
2022-03-02,14,24
2022-03-02,15,26
2022-03-02,16,28
2022-03-02,17,23
2022-03-02,18,36
2022-03-02,19,21
2022-03-02,20,17
2022-03-02,21,16
2022-03-02,22,16
2022-03-02,23,11
2022-03-03,0,3
2022-03-03,1,8
2022-03-03,2,1
2022-03-03,3,1
2022-03-03,4,2
2022-03-03,5,1
2022-03-03,6,11
2022-03-03,7,28
2022-03-03,8,29
2022-03-03,9,26
2022-03-03,10,24
2022-03-03,11,22
2022-03-03,12,26
2022-03-03,13,21
2022-03-03,14,17
2022-03-03,15,17
2022-03-03,16,20
2022-03-03,17,24
2022-03-03,18,33
2022-03-03,19,14
2022-03-03,20,12
2022-03-03,21,9
2022-03-03,22,13
2022-03-03,23,16
2022-03-04,0,11
2022-03-04,1,8
2022-03-04,2,8
2022-03-04,3,0
2022-03-04,4,12
2022-03-04,5,9
2022-03-04,6,13
2022-03-04,7,23
2022-03-04,8,21
2022-03-04,9,26
2022-03-04,10,21
2022-03-04,11,26
2022-03-04,12,27
2022-03-04,13,26
2022-03-04,14,21
2022-03-04,15,27
2022-03-04,16,31
2022-03-04,17,33
