date,time,flow
2022-03-01,0,29
2022-03-01,1,2
2022-03-01,2,8
2022-03-01,3,6
2022-03-01,4,4
2022-03-01,5,6
2022-03-01,6,10
2022-03-01,7,31
2022-03-01,8,86
2022-03-01,9,68
2022-03-01,10,86
2022-03-01,11,82
2022-03-01,12,85
2022-03-01,13,100
2022-03-01,14,101
2022-03-01,15,93
2022-03-01,16,122
2022-03-01,17,191
2022-03-01,18,156
2022-03-01,19,86
2022-03-01,20,82
2022-03-01,21,59
2022-03-01,22,56
2022-03-01,23,31
2022-03-02,0,13
2022-03-02,1,11
2022-03-02,2,6
2022-03-02,3,5
2022-03-02,4,4
2022-03-02,5,8
2022-03-02,6,9
2022-03-02,7,36
2022-03-02,8,88
2022-03-02,9,97
2022-03-02,10,69
2022-03-02,11,88
2022-03-02,12,90
2022-03-02,13,120
2022-03-02,14,133
2022-03-02,15,99
2022-03-02,16,182
2022-03-02,17,162
2022-03-02,18,127
2022-03-02,19,100
2022-03-02,20,71
2022-03-02,21,52
2022-03-02,22,105
2022-03-02,23,22
2022-03-03,0,23
2022-03-03,1,8
2022-03-03,2,9
2022-03-03,3,7
2022-03-03,4,4
2022-03-03,5,13
2022-03-03,6,13
2022-03-03,7,31
2022-03-03,8,74
2022-03-03,9,102
2022-03-03,10,80
2022-03-03,11,96
2022-03-03,12,103
2022-03-03,13,106
2022-03-03,14,114
2022-03-03,15,103
2022-03-03,16,127
2022-03-03,17,196
2022-03-03,18,128
2022-03-03,19,104
2022-03-03,20,76
2022-03-03,21,64
2022-03-03,22,40
2022-03-03,23,38
2022-03-04,0,27
2022-03-04,1,16
2022-03-04,2,6
2022-03-04,3,9
2022-03-04,4,5
2022-03-04,5,5
2022-03-04,6,15
2022-03-04,7,28
2022-03-04,8,101
2022-03-04,9,72
2022-03-04,10,72
2022-03-04,11,107
2022-03-04,12,120
2022-03-04,13,123
2022-03-04,14,144
2022-03-04,15,132
2022-03-04,16,169
2022-03-04,17,144
2022-03-04,18,109
2022-03-04,19,105
2022-03-04,20,74
2022-03-04,21,51
2022-03-04,22,49
2022-03-04,23,38
2022-03-05,0,34
2022-03-05,1,21
2022-03-05,2,25
2022-03-05,3,11
2022-03-05,4,9
2022-03-05,5,6
2022-03-05,6,8
2022-03-05,7,24
2022-03-05,8,38
2022-03-05,9,61
2022-03-05,10,75
2022-03-05,11,85
2022-03-05,12,115
2022-03-05,13,108
2022-03-05,14,147
2022-03-05,15,107
2022-03-05,16,115
2022-03-05,17,94
2022-03-05,18,109
2022-03-05,19,65
2022-03-05,20,68
2022-03-05,21,50
2022-03-05,22,45
2022-03-05,23,39
2022-03-06,0,32
2022-03-06,1,22
2022-03-06,2,16
2022-03-06,3,17
2022-03-06,4,9
2022-03-06,5,9
2022-03-06,6,6
2022-03-06,7,16
2022-03-06,8,21
2022-03-06,9,29
2022-03-06,10,49
2022-03-06,11,73
2022-03-06,12,83
2022-03-06,13,100
2022-03-06,14,106
2022-03-06,15,112
2022-03-06,16,101
2022-03-06,17,101
2022-03-06,18,78
2022-03-06,19,71
2022-03-06,20,52
2022-03-06,21,50
2022-03-06,22,36
2022-03-06,23,45
2022-03-07,0,12
2022-03-07,1,17
2022-03-07,2,8
2022-03-07,3,5
2022-03-07,4,4
2022-03-07,5,8
2022-03-07,6,9
2022-03-07,7,32
2022-03-07,8,92
2022-03-07,9,84
2022-03-07,10,73
2022-03-07,11,95
2022-03-07,12,98
2022-03-07,13,116
2022-03-07,14,119
2022-03-07,15,115
2022-03-07,16,138
2022-03-07,17,174
2022-03-07,18,129
2022-03-07,19,91
2022-03-07,20,65
2022-03-07,21,50
2022-03-07,22,41
2022-03-07,23,48
2022-03-08,0,31
2022-03-08,1,8
2022-03-08,2,8
2022-03-08,3,4
2022-03-08,4,4
2022-03-08,5,8
2022-03-08,6,11
2022-03-08,7,30
2022-03-08,8,74
2022-03-08,9,103
2022-03-08,10,82
2022-03-08,11,95
2022-03-08,12,96
2022-03-08,13,111
2022-03-08,14,112
2022-03-08,15,126
2022-03-08,16,128
2022-03-08,17,172
2022-03-08,18,117
2022-03-08,19,106
2022-03-08,20,75
2022-03-08,21,49
2022-03-08,22,51
2022-03-08,23,30
2022-03-09,0,20
