date,time,flow
2022-03-01,0,9
2022-03-01,1,16
2022-03-01,2,1
2022-03-01,3,1
2022-03-01,4,6
2022-03-01,5,8
2022-03-01,6,20
2022-03-01,7,80
2022-03-01,8,193
2022-03-01,9,147
2022-03-01,10,119
2022-03-01,11,96
2022-03-01,12,150
2022-03-01,13,129
2022-03-01,14,135
2022-03-01,15,145
2022-03-01,16,132
2022-03-01,17,131
2022-03-01,18,138
2022-03-01,19,97
2022-03-01,20,86
2022-03-01,21,40
2022-03-01,22,39
2022-03-01,23,12
2022-03-02,0,22
2022-03-02,1,5
2022-03-02,2,2
2022-03-02,3,3
2022-03-02,4,5
2022-03-02,5,10
2022-03-02,6,33
2022-03-02,7,94
2022-03-02,8,202
2022-03-02,9,153
2022-03-02,10,112
2022-03-02,11,119
2022-03-02,12,137
2022-03-02,13,139
2022-03-02,14,121
2022-03-02,15,122
2022-03-02,16,146
2022-03-02,17,133
2022-03-02,18,132
2022-03-02,19,85
2022-03-02,20,68
2022-03-02,21,53
2022-03-02,22,29
2022-03-02,23,14
2022-03-03,0,5
2022-03-03,1,8
2022-03-03,2,4
2022-03-03,3,1
2022-03-03,4,3
2022-03-03,5,4
2022-03-03,6,31
2022-03-03,7,75
2022-03-03,8,181
2022-03-03,9,172
2022-03-03,10,149
2022-03-03,11,116
2022-03-03,12,146
2022-03-03,13,148
2022-03-03,14,116
2022-03-03,15,119
2022-03-03,16,130
2022-03-03,17,114
2022-03-03,18,124
2022-03-03,19,116
2022-03-03,20,82
2022-03-03,21,41
2022-03-03,22,33
2022-03-03,23,17
2022-03-04,0,10
2022-03-04,1,21
2022-03-04,2,4
2022-03-04,3,0
2022-03-04,4,4
2022-03-04,5,8
2022-03-04,6,29
2022-03-04,7,81
2022-03-04,8,162
2022-03-04,9,148
2022-03-04,10,141
2022-03-04,11,124
2022-03-04,12,137
2022-03-04,13,148
2022-03-04,14,156
2022-03-04,15,129
2022-03-04,16,144
2022-03-04,17,152
2022-03-04,18,135
2022-03-04,19,116
2022-03-04,20,74
2022-03-04,21,45
2022-03-04,22,50
2022-03-04,23,25
2022-03-05,0,21
2022-03-05,1,13
2022-03-05,2,12
2022-03-05,3,3
2022-03-05,4,7
2022-03-05,5,5
2022-03-05,6,13
2022-03-05,7,22
2022-03-05,8,50
2022-03-05,9,81
2022-03-05,10,113
2022-03-05,11,133
2022-03-05,12,152
2022-03-05,13,176
2022-03-05,14,166
2022-03-05,15,120
2022-03-05,16,99
2022-03-05,17,96
2022-03-05,18,85
2022-03-05,19,131
2022-03-05,20,87
2022-03-05,21,33
2022-03-05,22,36
2022-03-05,23,25
2022-03-06,0,21
2022-03-06,1,21
2022-03-06,2,11
2022-03-06,3,15
2022-03-06,4,13
2022-03-06,5,7
2022-03-06,6,5
2022-03-06,7,17
2022-03-06,8,24
2022-03-06,9,40
2022-03-06,10,84
2022-03-06,11,103
2022-03-06,12,102
2022-03-06,13,111
2022-03-06,14,99
2022-03-06,15,106
2022-03-06,16,94
2022-03-06,17,81
2022-03-06,18,70
2022-03-06,19,90
2022-03-06,20,58
2022-03-06,21,36
2022-03-06,22,29
2022-03-06,23,14
2022-03-07,0,7
2022-03-07,1,26
2022-03-07,2,8
2022-03-07,3,0
2022-03-07,4,3
2022-03-07,5,2
2022-03-07,6,18
2022-03-07,7,90
2022-03-07,8,174
2022-03-07,9,140
2022-03-07,10,130
2022-03-07,11,99
2022-03-07,12,130
2022-03-07,13,114
2022-03-07,14,134
2022-03-07,15,105
2022-03-07,16,119
2022-03-07,17,123
2022-03-07,18,126
2022-03-07,19,77
2022-03-07,20,65
2022-03-07,21,34
2022-03-07,22,25
2022-03-07,23,19
2022-03-08,0,10
2022-03-08,1,12
2022-03-08,2,9
2022-03-08,3,4
2022-03-08,4,2
2022-03-08,5,10
2022-03-08,6,21
2022-03-08,7,93
2022-03-08,8,192
2022-03-08,9,176
2022-03-08,10,134
2022-03-08,11,94
2022-03-08,12,129
2022-03-08,13,138
2022-03-08,14,127
2022-03-08,15,145
2022-03-08,16,112
2022-03-08,17,150
2022-03-08,18,111
2022-03-08,19,122
2022-03-08,20,81
2022-03-08,21,37
2022-03-08,22,18
2022-03-08,23,11
2022-03-09,0,6
2022-03-09,1,2
2022-03-09,2,0
2022-03-09,3,5
2022-03-09,4,4
2022-03-09,5,7
2022-03-09,6,23
2022-03-09,7,78
2022-03-09,8,192
2022-03-09,9,157
2022-03-09,10,139
2022-03-09,11,104
2022-03-09,12,134
2022-03-09,13,121
2022-03-09,14,107
2022-03-09,15,125
2022-03-09,16,142
2022-03-09,17,132
2022-03-09,18,112
2022-03-09,19,95
2022-03-09,20,77
2022-03-09,21,41
2022-03-09,22,28
2022-03-09,23,21
2022-03-10,0,14
2022-03-10,1,4
2022-03-10,2,2
2022-03-10,3,1
2022-03-10,4,3
2022-03-10,5,10
2022-03-10,6,20
