date,time,flow
2022-03-01,0,4
2022-03-01,1,1
2022-03-01,2,5
2022-03-01,3,1
2022-03-01,4,1
2022-03-01,5,4
2022-03-01,6,10
2022-03-01,7,22
2022-03-01,8,54
2022-03-01,9,72
2022-03-01,10,36
2022-03-01,11,45
2022-03-01,12,56
2022-03-01,13,60
2022-03-01,14,56
2022-03-01,15,76
2022-03-01,16,111
2022-03-01,17,128
2022-03-01,18,72
2022-03-01,19,55
2022-03-01,20,28
2022-03-01,21,26
2022-03-01,22,24
2022-03-01,23,13
2022-03-02,0,2
2022-03-02,1,1
2022-03-02,2,1
2022-03-02,3,1
2022-03-02,4,0
2022-03-02,5,3
2022-03-02,6,6
2022-03-02,7,28
2022-03-02,8,93
2022-03-02,9,56
2022-03-02,10,44
2022-03-02,11,43
2022-03-02,12,43
2022-03-02,13,66
2022-03-02,14,67
2022-03-02,15,99
2022-03-02,16,110
2022-03-02,17,136
2022-03-02,18,104
2022-03-02,19,59
2022-03-02,20,43
2022-03-02,21,29
2022-03-02,22,30
2022-03-02,23,15
2022-03-03,0,4
2022-03-03,1,5
2022-03-03,2,4
2022-03-03,3,0
2022-03-03,4,3
2022-03-03,5,3
2022-03-03,6,14
2022-03-03,7,32
2022-03-03,8,95
2022-03-03,9,67
2022-03-03,10,45
2022-03-03,11,49
2022-03-03,12,52
2022-03-03,13,57
2022-03-03,14,48
2022-03-03,15,82
2022-03-03,16,78
2022-03-03,17,90
2022-03-03,18,72
2022-03-03,19,52
2022-03-03,20,30
2022-03-03,21,30
2022-03-03,22,21
2022-03-03,23,14
2022-03-04,0,3
2022-03-04,1,9
2022-03-04,2,8
2022-03-04,3,1
2022-03-04,4,4
2022-03-04,5,1
2022-03-04,6,7
2022-03-04,7,20
2022-03-04,8,67
2022-03-04,9,68
2022-03-04,10,42
2022-03-04,11,46
2022-03-04,12,59
2022-03-04,13,67
2022-03-04,14,96
2022-03-04,15,111
2022-03-04,16,110
2022-03-04,17,80
2022-03-04,18,64
2022-03-04,19,47
2022-03-04,20,35
2022-03-04,21,28
2022-03-04,22,30
2022-03-04,23,19
2022-03-05,0,13
2022-03-05,1,21
2022-03-05,2,5
2022-03-05,3,1
2022-03-05,4,1
2022-03-05,5,3
2022-03-05,6,5
2022-03-05,7,14
2022-03-05,8,24
2022-03-05,9,34
2022-03-05,10,47
2022-03-05,11,51
2022-03-05,12,76
2022-03-05,13,54
2022-03-05,14,59
2022-03-05,15,52
2022-03-05,16,59
2022-03-05,17,92
2022-03-05,18,61
2022-03-05,19,51
2022-03-05,20,36
2022-03-05,21,29
2022-03-05,22,24
2022-03-05,23,13
2022-03-06,0,51
2022-03-06,1,16
2022-03-06,2,6
2022-03-06,3,5
2022-03-06,4,2
2022-03-06,5,1
2022-03-06,6,7
2022-03-06,7,11
2022-03-06,8,26
2022-03-06,9,31
2022-03-06,10,40
2022-03-06,11,48
2022-03-06,12,66
2022-03-06,13,67
2022-03-06,14,62
2022-03-06,15,39
2022-03-06,16,50
2022-03-06,17,42
2022-03-06,18,36
2022-03-06,19,28
2022-03-06,20,34
2022-03-06,21,20
2022-03-06,22,16
2022-03-06,23,13
2022-03-07,0,8
2022-03-07,1,21
2022-03-07,2,5
2022-03-07,3,0
2022-03-07,4,2
2022-03-07,5,4
2022-03-07,6,11
2022-03-07,7,28
2022-03-07,8,69
2022-03-07,9,54
2022-03-07,10,39
2022-03-07,11,39
2022-03-07,12,56
2022-03-07,13,55
2022-03-07,14,48
2022-03-07,15,81
2022-03-07,16,94
2022-03-07,17,91
2022-03-07,18,65
2022-03-07,19,50
2022-03-07,20,32
2022-03-07,21,31
2022-03-07,22,19
2022-03-07,23,11
2022-03-08,0,10
2022-03-08,1,4
2022-03-08,2,4
2022-03-08,3,0
2022-03-08,4,2
2022-03-08,5,5
2022-03-08,6,3
2022-03-08,7,28
2022-03-08,8,66
2022-03-08,9,61
2022-03-08,10,40
2022-03-08,11,55
2022-03-08,12,58
2022-03-08,13,44
2022-03-08,14,52
2022-03-08,15,75
2022-03-08,16,93
2022-03-08,17,112
2022-03-08,18,83
2022-03-08,19,58
