date,time,flow
2022-03-01,0,43
2022-03-01,1,26
2022-03-01,2,15
2022-03-01,3,8
2022-03-01,4,4
2022-03-01,5,13
2022-03-01,6,49
2022-03-01,7,141
2022-03-01,8,210
2022-03-01,9,174
2022-03-01,10,150
2022-03-01,11,158
2022-03-01,12,150
2022-03-01,13,154
2022-03-01,14,170
2022-03-01,15,170
2022-03-01,16,206
2022-03-01,17,213
2022-03-01,18,195
2022-03-01,19,165
2022-03-01,20,148
2022-03-01,21,97
2022-03-01,22,100
2022-03-01,23,67
2022-03-02,0,51
2022-03-02,1,17
2022-03-02,2,7
2022-03-02,3,7
2022-03-02,4,3
2022-03-02,5,16
2022-03-02,6,53
2022-03-02,7,148
2022-03-02,8,240
2022-03-02,9,206
2022-03-02,10,143
2022-03-02,11,153
2022-03-02,12,178
2022-03-02,13,178
2022-03-02,14,193
2022-03-02,15,162
2022-03-02,16,173
2022-03-02,17,170
2022-03-02,18,196
2022-03-02,19,160
2022-03-02,20,101
2022-03-02,21,110
2022-03-02,22,105
2022-03-02,23,81
2022-03-03,0,41
2022-03-03,1,18
2022-03-03,2,14
2022-03-03,3,7
2022-03-03,4,14
2022-03-03,5,15
2022-03-03,6,38
2022-03-03,7,128
2022-03-03,8,223
2022-03-03,9,233
2022-03-03,10,177
2022-03-03,11,169
2022-03-03,12,140
2022-03-03,13,168
2022-03-03,14,187
2022-03-03,15,197
2022-03-03,16,177
2022-03-03,17,174
2022-03-03,18,180
2022-03-03,19,170
2022-03-03,20,122
2022-03-03,21,117
2022-03-03,22,97
2022-03-03,23,93
2022-03-04,0,49
2022-03-04,1,33
2022-03-04,2,18
2022-03-04,3,9
2022-03-04,4,7
2022-03-04,5,12
2022-03-04,6,37
2022-03-04,7,138
2022-03-04,8,203
2022-03-04,9,187
2022-03-04,10,165
2022-03-04,11,147
2022-03-04,12,187
2022-03-04,13,191
2022-03-04,14,200
2022-03-04,15,211
2022-03-04,16,177
2022-03-04,17,192
2022-03-04,18,189
2022-03-04,19,191
