date,time,flow
2022-03-01,0,54
2022-03-01,1,37
2022-03-01,2,59
2022-03-01,3,94
2022-03-01,4,8
2022-03-01,5,14
2022-03-01,6,53
2022-03-01,7,154
2022-03-01,8,225
2022-03-01,9,209
2022-03-01,10,162
2022-03-01,11,147
2022-03-01,12,182
2022-03-01,13,167
2022-03-01,14,172
2022-03-01,15,197
2022-03-01,16,194
2022-03-01,17,253
2022-03-01,18,206
2022-03-01,19,153
2022-03-01,20,126
2022-03-01,21,171
2022-03-01,22,176
2022-03-01,23,95
2022-03-02,0,114
2022-03-02,1,87
2022-03-02,2,59
2022-03-02,3,32
2022-03-02,4,39
2022-03-02,5,82
2022-03-02,6,78
2022-03-02,7,132
2022-03-02,8,256
2022-03-02,9,202
2022-03-02,10,175
2022-03-02,11,193
2022-03-02,12,168
2022-03-02,13,163
2022-03-02,14,203
2022-03-02,15,160
2022-03-02,16,218
2022-03-02,17,205
2022-03-02,18,181
2022-03-02,19,176
2022-03-02,20,112
2022-03-02,21,102
2022-03-02,22,75
2022-03-02,23,54
2022-03-03,0,38
2022-03-03,1,30
2022-03-03,2,37
2022-03-03,3,14
2022-03-03,4,13
2022-03-03,5,36
2022-03-03,6,53
2022-03-03,7,117
2022-03-03,8,246
2022-03-03,9,220
2022-03-03,10,178
2022-03-03,11,162
2022-03-03,12,191
2022-03-03,13,230
2022-03-03,14,160
2022-03-03,15,218
2022-03-03,16,192
2022-03-03,17,163
2022-03-03,18,226
2022-03-03,19,169
2022-03-03,20,127
2022-03-03,21,115
2022-03-03,22,103
2022-03-03,23,81
2022-03-04,0,32
2022-03-04,1,20
2022-03-04,2,25
2022-03-04,3,22
2022-03-04,4,8
2022-03-04,5,15
2022-03-04,6,38
2022-03-04,7,115
2022-03-04,8,207
2022-03-04,9,159
2022-03-04,10,171
2022-03-04,11,151
2022-03-04,12,194
2022-03-04,13,216
2022-03-04,14,200
2022-03-04,15,214
2022-03-04,16,144
2022-03-04,17,178
2022-03-04,18,263
2022-03-04,19,215
2022-03-04,20,156
2022-03-04,21,141
2022-03-04,22,116
2022-03-04,23,99
2022-03-05,0,123
2022-03-05,1,99
2022-03-05,2,69
2022-03-05,3,21
2022-03-05,4,77
2022-03-05,5,38
2022-03-05,6,47
2022-03-05,7,44
2022-03-05,8,66
2022-03-05,9,132
2022-03-05,10,164
2022-03-05,11,189
2022-03-05,12,244
2022-03-05,13,204
2022-03-05,14,208
2022-03-05,15,223
2022-03-05,16,192
2022-03-05,17,187
2022-03-05,18,192
2022-03-05,19,199
2022-03-05,20,182
2022-03-05,21,114
2022-03-05,22,88
2022-03-05,23,110
2022-03-06,0,86
2022-03-06,1,78
2022-03-06,2,48
2022-03-06,3,28
2022-03-06,4,19
2022-03-06,5,46
2022-03-06,6,30
2022-03-06,7,27
2022-03-06,8,31
2022-03-06,9,73
2022-03-06,10,155
2022-03-06,11,164
2022-03-06,12,174
2022-03-06,13,199
2022-03-06,14,160
2022-03-06,15,154
2022-03-06,16,174
