date,time,flow
2022-03-01,0,30
2022-03-01,1,26
2022-03-01,2,48
2022-03-01,3,44
2022-03-01,4,66
2022-03-01,5,58
2022-03-01,6,49
2022-03-01,7,66
2022-03-01,8,79
2022-03-01,9,47
2022-03-01,10,40
2022-03-01,11,53
2022-03-01,12,50
2022-03-01,13,62
2022-03-01,14,62
2022-03-01,15,76
2022-03-01,16,85
2022-03-01,17,80
2022-03-01,18,76
2022-03-01,19,58
2022-03-01,20,44
2022-03-01,21,40
2022-03-01,22,70
2022-03-01,23,87
2022-03-02,0,43
2022-03-02,1,58
2022-03-02,2,113
2022-03-02,3,36
2022-03-02,4,31
2022-03-02,5,0
2022-03-02,6,44
2022-03-02,7,67
2022-03-02,8,62
2022-03-02,9,53
2022-03-02,10,48
2022-03-02,11,57
2022-03-02,12,52
2022-03-02,13,52
2022-03-02,14,62
2022-03-02,15,62
2022-03-02,16,71
2022-03-02,17,84
2022-03-02,18,67
2022-03-02,19,48
2022-03-02,20,36
2022-03-02,21,26
2022-03-02,22,48
2022-03-02,23,26
2022-03-03,0,17
2022-03-03,1,26
2022-03-03,2,40
2022-03-03,3,4
2022-03-03,4,4
2022-03-03,5,0
2022-03-03,6,44
2022-03-03,7,71
2022-03-03,8,84
2022-03-03,9,81
2022-03-03,10,87
2022-03-03,11,91
2022-03-03,12,89
2022-03-03,13,83
2022-03-03,14,57
2022-03-03,15,76
2022-03-03,16,67
2022-03-03,17,65
2022-03-03,18,67
2022-03-03,19,48
2022-03-03,20,36
2022-03-03,21,36
2022-03-03,22,16
2022-03-03,23,16
2022-03-04,0,4
2022-03-04,1,9
2022-03-04,2,40
2022-03-04,3,67
2022-03-04,4,48
2022-03-04,5,18
2022-03-04,6,4
2022-03-04,7,31
2022-03-04,8,49
2022-03-04,9,48
2022-03-04,10,48
2022-03-04,11,44
2022-03-04,12,62
2022-03-04,13,71
2022-03-04,14,67
2022-03-04,15,78
2022-03-04,16,72
2022-03-04,17,79
2022-03-04,18,77
2022-03-04,19,66
2022-03-04,20,48
2022-03-04,21,36
2022-03-04,22,26
2022-03-04,23,26
2022-03-05,0,8
2022-03-05,1,39
2022-03-05,2,114
2022-03-05,3,72
