date,time,flow
2022-03-01,0,23
2022-03-01,1,13
2022-03-01,2,1
2022-03-01,3,5
2022-03-01,4,108
2022-03-01,5,86
2022-03-01,6,82
2022-03-01,7,179
2022-03-01,8,36
2022-03-01,9,46
2022-03-01,10,49
2022-03-01,11,36
2022-03-01,12,47
2022-03-01,13,38
2022-03-01,14,59
2022-03-01,15,46
2022-03-01,16,48
2022-03-01,17,72
2022-03-01,18,59
2022-03-01,19,42
2022-03-01,20,41
2022-03-01,21,35
2022-03-01,22,52
2022-03-01,23,11
2022-03-02,0,21
2022-03-02,1,17
2022-03-02,2,14
2022-03-02,3,10
2022-03-02,4,4
2022-03-02,5,27
2022-03-02,6,6
2022-03-02,7,16
2022-03-02,8,34
2022-03-02,9,38
2022-03-02,10,35
2022-03-02,11,62
2022-03-02,12,42
2022-03-02,13,35
2022-03-02,14,42
2022-03-02,15,36
2022-03-02,16,38
2022-03-02,17,56
2022-03-02,18,51
2022-03-02,19,53
2022-03-02,20,31
2022-03-02,21,15
2022-03-02,22,26
2022-03-02,23,12
2022-03-03,0,9
2022-03-03,1,4
2022-03-03,2,5
2022-03-03,3,5
2022-03-03,4,0
2022-03-03,5,6
2022-03-03,6,7
2022-03-03,7,20
2022-03-03,8,31
2022-03-03,9,29
2022-03-03,10,37
2022-03-03,11,34
2022-03-03,12,46
2022-03-03,13,49
2022-03-03,14,37
2022-03-03,15,35
2022-03-03,16,53
2022-03-03,17,50
2022-03-03,18,76
2022-03-03,19,41
2022-03-03,20,40
2022-03-03,21,23
2022-03-03,22,20
2022-03-03,23,15
2022-03-04,0,21
2022-03-04,1,22
2022-03-04,2,2
2022-03-04,3,4
2022-03-04,4,3
2022-03-04,5,1
2022-03-04,6,7
2022-03-04,7,16
2022-03-04,8,27
2022-03-04,9,37
2022-03-04,10,29
2022-03-04,11,45
2022-03-04,12,38
2022-03-04,13,35
2022-03-04,14,35
2022-03-04,15,68
2022-03-04,16,47
2022-03-04,17,69
2022-03-04,18,48
2022-03-04,19,54
2022-03-04,20,36
2022-03-04,21,33
2022-03-04,22,28
2022-03-04,23,32
2022-03-05,0,14
2022-03-05,1,19
2022-03-05,2,6
2022-03-05,3,6
2022-03-05,4,10
2022-03-05,5,14
