date,time,flow
2022-03-01,0,57
2022-03-01,1,13
2022-03-01,2,16
2022-03-01,3,5
2022-03-01,4,1
2022-03-01,5,3
2022-03-01,6,21
2022-03-01,7,41
2022-03-01,8,83
2022-03-01,9,131
2022-03-01,10,84
2022-03-01,11,159
2022-03-01,12,86
2022-03-01,13,85
2022-03-01,14,71
2022-03-01,15,95
2022-03-01,16,84
2022-03-01,17,167
2022-03-01,18,92
2022-03-01,19,87
2022-03-01,20,49
2022-03-01,21,31
2022-03-01,22,26
2022-03-01,23,18
2022-03-02,0,28
2022-03-02,1,31
2022-03-02,2,16
2022-03-02,3,12
2022-03-02,4,1
2022-03-02,5,4
2022-03-02,6,73
2022-03-02,7,24
2022-03-02,8,77
2022-03-02,9,67
2022-03-02,10,96
2022-03-02,11,65
2022-03-02,12,108
2022-03-02,13,94
2022-03-02,14,78
2022-03-02,15,85
2022-03-02,16,102
2022-03-02,17,95
2022-03-02,18,67
2022-03-02,19,97
2022-03-02,20,62
2022-03-02,21,54
2022-03-02,22,36
2022-03-02,23,25
2022-03-03,0,32
2022-03-03,1,38
2022-03-03,2,9
2022-03-03,3,22
2022-03-03,4,8
2022-03-03,5,11
2022-03-03,6,18
2022-03-03,7,30
2022-03-03,8,64
2022-03-03,9,136
2022-03-03,10,59
2022-03-03,11,74
2022-03-03,12,64
2022-03-03,13,70
2022-03-03,14,106
2022-03-03,15,105
2022-03-03,16,85
2022-03-03,17,78
2022-03-03,18,109
2022-03-03,19,72
2022-03-03,20,54
2022-03-03,21,114
2022-03-03,22,23
2022-03-03,23,12
2022-03-04,0,19
2022-03-04,1,8
2022-03-04,2,2
2022-03-04,3,3
2022-03-04,4,2
2022-03-04,5,0
2022-03-04,6,13
2022-03-04,7,26
2022-03-04,8,66
2022-03-04,9,81
2022-03-04,10,123
2022-03-04,11,141
2022-03-04,12,85
2022-03-04,13,108
2022-03-04,14,85
2022-03-04,15,90
2022-03-04,16,118
2022-03-04,17,88
2022-03-04,18,131
2022-03-04,19,71
2022-03-04,20,42
2022-03-04,21,35
2022-03-04,22,36
2022-03-04,23,20
2022-03-05,0,40
2022-03-05,1,39
2022-03-05,2,5
2022-03-05,3,7
2022-03-05,4,5
2022-03-05,5,3
2022-03-05,6,8
2022-03-05,7,13
2022-03-05,8,32
2022-03-05,9,69
2022-03-05,10,78
2022-03-05,11,149
2022-03-05,12,142
2022-03-05,13,108
2022-03-05,14,83
2022-03-05,15,127
2022-03-05,16,92
2022-03-05,17,76
2022-03-05,18,86
2022-03-05,19,94
2022-03-05,20,82
2022-03-05,21,59
2022-03-05,22,33
2022-03-05,23,25
2022-03-06,0,22
2022-03-06,1,34
2022-03-06,2,24
2022-03-06,3,16
2022-03-06,4,134
2022-03-06,5,10
2022-03-06,6,8
2022-03-06,7,50
2022-03-06,8,48
2022-03-06,9,110
2022-03-06,10,61
2022-03-06,11,81
2022-03-06,12,69
2022-03-06,13,77
2022-03-06,14,80
2022-03-06,15,98
2022-03-06,16,85
2022-03-06,17,93
2022-03-06,18,84
2022-03-06,19,76
2022-03-06,20,46
2022-03-06,21,22
2022-03-06,22,34
2022-03-06,23,30
2022-03-07,0,1
2022-03-07,1,17
2022-03-07,2,4
2022-03-07,3,9
2022-03-07,4,4
2022-03-07,5,17
2022-03-07,6,31
2022-03-07,7,31
2022-03-07,8,78
2022-03-07,9,93
2022-03-07,10,104
2022-03-07,11,170
2022-03-07,12,89
2022-03-07,13,96
2022-03-07,14,86
2022-03-07,15,94
2022-03-07,16,115
2022-03-07,17,86
2022-03-07,18,105
2022-03-07,19,76
2022-03-07,20,60
2022-03-07,21,45
2022-03-07,22,33
2022-03-07,23,91
2022-03-08,0,66
2022-03-08,1,35
2022-03-08,2,12
2022-03-08,3,49
2022-03-08,4,34
2022-03-08,5,8
2022-03-08,6,25
2022-03-08,7,43
2022-03-08,8,59
2022-03-08,9,97
2022-03-08,10,74
2022-03-08,11,125
2022-03-08,12,88
2022-03-08,13,78
2022-03-08,14,109
2022-03-08,15,77
2022-03-08,16,90
2022-03-08,17,81
2022-03-08,18,73
2022-03-08,19,67
2022-03-08,20,58
2022-03-08,21,34
2022-03-08,22,24
2022-03-08,23,9
2022-03-09,0,7
2022-03-09,1,14
2022-03-09,2,10
2022-03-09,3,1
2022-03-09,4,0
2022-03-09,5,6
2022-03-09,6,10
2022-03-09,7,33
2022-03-09,8,74
2022-03-09,9,69
2022-03-09,10,93
2022-03-09,11,89
2022-03-09,12,72
2022-03-09,13,96
2022-03-09,14,74
2022-03-09,15,89
2022-03-09,16,78
2022-03-09,17,73
2022-03-09,18,75
2022-03-09,19,63
2022-03-09,20,48
2022-03-09,21,28
2022-03-09,22,26
2022-03-09,23,13
2022-03-10,0,7
2022-03-10,1,31
2022-03-10,2,9
2022-03-10,3,1
2022-03-10,4,2
2022-03-10,5,4
2022-03-10,6,11
2022-03-10,7,32
2022-03-10,8,85
2022-03-10,9,82
2022-03-10,10,67
2022-03-10,11,91
2022-03-10,12,88
2022-03-10,13,75
2022-03-10,14,92
2022-03-10,15,67
2022-03-10,16,68
2022-03-10,17,84
2022-03-10,18,92
2022-03-10,19,83
2022-03-10,20,48
2022-03-10,21,29
2022-03-10,22,25
2022-03-10,23,16
2022-03-11,0,30
2022-03-11,1,30
2022-03-11,2,5
2022-03-11,3,2
2022-03-11,4,7
2022-03-11,5,8
2022-03-11,6,8
2022-03-11,7,38
2022-03-11,8,72
2022-03-11,9,94
2022-03-11,10,103
2022-03-11,11,78
2022-03-11,12,97
2022-03-11,13,78
2022-03-11,14,98
2022-03-11,15,104
2022-03-11,16,82
2022-03-11,17,110
2022-03-11,18,73
2022-03-11,19,70
2022-03-11,20,62
2022-03-11,21,35
2022-03-11,22,27
2022-03-11,23,34
2022-03-12,0,16
2022-03-12,1,8
2022-03-12,2,6
2022-03-12,3,5
2022-03-12,4,2
2022-03-12,5,2
2022-03-12,6,8
2022-03-12,7,31
2022-03-12,8,27
2022-03-12,9,53
2022-03-12,10,94
2022-03-12,11,86
2022-03-12,12,108
2022-03-12,13,122
2022-03-12,14,142
2022-03-12,15,93
2022-03-12,16,96
2022-03-12,17,74
2022-03-12,18,65
2022-03-12,19,56
2022-03-12,20,67
2022-03-12,21,37
2022-03-12,22,25
2022-03-12,23,24
2022-03-13,0,18
2022-03-13,1,10
2022-03-13,2,8
2022-03-13,3,10
2022-03-13,4,8
2022-03-13,5,4
2022-03-13,6,6
2022-03-13,7,72
2022-03-13,8,34
2022-03-13,9,27
2022-03-13,10,47
2022-03-13,11,66
2022-03-13,12,72
2022-03-13,13,71
2022-03-13,14,89
2022-03-13,15,73
2022-03-13,16,71
2022-03-13,17,57
2022-03-13,18,54
2022-03-13,19,54
2022-03-13,20,53
2022-03-13,21,21
2022-03-13,22,22
2022-03-13,23,9
2022-03-14,0,5
2022-03-14,1,2
2022-03-14,2,4
2022-03-14,3,2
2022-03-14,4,1
2022-03-14,5,6
2022-03-14,6,10
2022-03-14,7,34
2022-03-14,8,73
2022-03-14,9,58
2022-03-14,10,65
2022-03-14,11,82
2022-03-14,12,91
2022-03-14,13,92
2022-03-14,14,67
2022-03-14,15,85
2022-03-14,16,72
2022-03-14,17,63
2022-03-14,18,56
2022-03-14,19,45
2022-03-14,20,55
2022-03-14,21,30
2022-03-14,22,20
2022-03-14,23,9
2022-03-15,0,6
2022-03-15,1,1
2022-03-15,2,0
2022-03-15,3,0
2022-03-15,4,3
2022-03-15,5,3
2022-03-15,6,13
2022-03-15,7,36
2022-03-15,8,60
2022-03-15,9,83
2022-03-15,10,77
2022-03-15,11,71
2022-03-15,12,124
2022-03-15,13,104
2022-03-15,14,93
2022-03-15,15,77
2022-03-15,16,68
2022-03-15,17,77
2022-03-15,18,56
2022-03-15,19,69
2022-03-15,20,38
2022-03-15,21,39
2022-03-15,22,16
2022-03-15,23,14
2022-03-16,0,9
2022-03-16,1,2
2022-03-16,2,1
2022-03-16,3,2
2022-03-16,4,1
2022-03-16,5,2
2022-03-16,6,10
2022-03-16,7,35
2022-03-16,8,74
2022-03-16,9,65
2022-03-16,10,75
2022-03-16,11,66
2022-03-16,12,77
2022-03-16,13,83
2022-03-16,14,76
2022-03-16,15,78
2022-03-16,16,82
2022-03-16,17,73
2022-03-16,18,83
2022-03-16,19,79
2022-03-16,20,42
2022-03-16,21,30
2022-03-16,22,18
2022-03-16,23,13
2022-03-17,0,8
2022-03-17,1,4
2022-03-17,2,5
2022-03-17,3,1
2022-03-17,4,1
2022-03-17,5,1
2022-03-17,6,13
2022-03-17,7,28
2022-03-17,8,89
2022-03-17,9,67
2022-03-17,10,62
2022-03-17,11,71
2022-03-17,12,76
2022-03-17,13,81
2022-03-17,14,95
2022-03-17,15,78
2022-03-17,16,90
2022-03-17,17,111
2022-03-17,18,74
2022-03-17,19,66
2022-03-17,20,44
2022-03-17,21,36
2022-03-17,22,20
2022-03-17,23,20
2022-03-18,0,9
2022-03-18,1,8
2022-03-18,2,7
2022-03-18,3,3
2022-03-18,4,7
2022-03-18,5,7
2022-03-18,6,10
2022-03-18,7,31
2022-03-18,8,74
2022-03-18,9,86
2022-03-18,10,83
2022-03-18,11,94
2022-03-18,12,85
2022-03-18,13,92
2022-03-18,14,85
2022-03-18,15,87
2022-03-18,16,83
2022-03-18,17,83
2022-03-18,18,82
2022-03-18,19,76
2022-03-18,20,57
2022-03-18,21,38
2022-03-18,22,47
2022-03-18,23,25
2022-03-19,0,15
2022-03-19,1,10
2022-03-19,2,7
2022-03-19,3,5
2022-03-19,4,4
2022-03-19,5,0
2022-03-19,6,4
2022-03-19,7,14
2022-03-19,8,53
2022-03-19,9,44
2022-03-19,10,71
2022-03-19,11,80
2022-03-19,12,96
2022-03-19,13,88
2022-03-19,14,94
2022-03-19,15,84
2022-03-19,16,71
2022-03-19,17,55
2022-03-19,18,89
2022-03-19,19,56
2022-03-19,20,52
2022-03-19,21,38
2022-03-19,22,22
2022-03-19,23,28
2022-03-20,0,17
2022-03-20,1,23
2022-03-20,2,9
2022-03-20,3,6
2022-03-20,4,5
2022-03-20,5,6
2022-03-20,6,3
2022-03-20,7,21
2022-03-20,8,25
2022-03-20,9,27
2022-03-20,10,48
2022-03-20,11,62
2022-03-20,12,56
2022-03-20,13,81
2022-03-20,14,86
2022-03-20,15,70
2022-03-20,16,77
2022-03-20,17,78
2022-03-20,18,40
2022-03-20,19,60
2022-03-20,20,43
2022-03-20,21,33
2022-03-20,22,19
2022-03-20,23,10
2022-03-21,0,19
2022-03-21,1,9
2022-03-21,2,1
2022-03-21,3,2
2022-03-21,4,2
2022-03-21,5,3
2022-03-21,6,9
2022-03-21,7,28
2022-03-21,8,78
2022-03-21,9,81
2022-03-21,10,86
2022-03-21,11,81
2022-03-21,12,74
2022-03-21,13,77
2022-03-21,14,81
2022-03-21,15,76
2022-03-21,16,94
2022-03-21,17,71
2022-03-21,18,70
2022-03-21,19,56
2022-03-21,20,38
2022-03-21,21,34
2022-03-21,22,17
2022-03-21,23,8
2022-03-22,0,4
2022-03-22,1,3
2022-03-22,2,1
2022-03-22,3,1
2022-03-22,4,4
2022-03-22,5,0
2022-03-22,6,16
2022-03-22,7,40
2022-03-22,8,86
2022-03-22,9,89
2022-03-22,10,59
2022-03-22,11,61
2022-03-22,12,67
2022-03-22,13,87
2022-03-22,14,68
2022-03-22,15,86
2022-03-22,16,81
2022-03-22,17,79
2022-03-22,18,109
2022-03-22,19,70
2022-03-22,20,50
2022-03-22,21,31
2022-03-22,22,21
2022-03-22,23,13
2022-03-23,0,16
2022-03-23,1,13
2022-03-23,2,3
2022-03-23,3,1
2022-03-23,4,2
2022-03-23,5,4
2022-03-23,6,12
2022-03-23,7,36
2022-03-23,8,75
2022-03-23,9,80
2022-03-23,10,76
2022-03-23,11,80
2022-03-23,12,74
2022-03-23,13,101
2022-03-23,14,77
2022-03-23,15,83
2022-03-23,16,75
2022-03-23,17,84
2022-03-23,18,78
2022-03-23,19,64
2022-03-23,20,52
2022-03-23,21,34
2022-03-23,22,23
2022-03-23,23,16
2022-03-24,0,24
2022-03-24,1,5
2022-03-24,2,7
2022-03-24,3,4
2022-03-24,4,1
2022-03-24,5,4
2022-03-24,6,7
2022-03-24,7,42
2022-03-24,8,75
2022-03-24,9,74
2022-03-24,10,81
2022-03-24,11,82
2022-03-24,12,96
2022-03-24,13,97
2022-03-24,14,85
2022-03-24,15,85
2022-03-24,16,87
2022-03-24,17,107
2022-03-24,18,108
2022-03-24,19,68
2022-03-24,20,42
2022-03-24,21,24
2022-03-24,22,30
2022-03-24,23,11
2022-03-25,0,5
2022-03-25,1,7
2022-03-25,2,3
2022-03-25,3,1
2022-03-25,4,3
2022-03-25,5,3
2022-03-25,6,12
2022-03-25,7,28
2022-03-25,8,70
2022-03-25,9,73
2022-03-25,10,176
2022-03-25,11,94
2022-03-25,12,109
2022-03-25,13,96
2022-03-25,14,83
2022-03-25,15,83
2022-03-25,16,77
2022-03-25,17,85
2022-03-25,18,70
2022-03-25,19,83
2022-03-25,20,61
2022-03-25,21,45
2022-03-25,22,35
2022-03-25,23,23
2022-03-26,0,15
2022-03-26,1,9
2022-03-26,2,5
2022-03-26,3,6
2022-03-26,4,5
2022-03-26,5,1
2022-03-26,6,8
2022-03-26,7,17
2022-03-26,8,30
2022-03-26,9,51
2022-03-26,10,83
2022-03-26,11,72
2022-03-26,12,132
2022-03-26,13,112
2022-03-26,14,106
2022-03-26,15,84
2022-03-26,16,103
2022-03-26,17,93
2022-03-26,18,73
2022-03-26,19,75
2022-03-26,20,55
2022-03-26,21,36
2022-03-26,22,29
2022-03-26,23,21
2022-03-27,0,47
2022-03-27,1,58
2022-03-27,2,4
2022-03-27,3,13
2022-03-27,4,7
2022-03-27,5,8
2022-03-27,6,42
2022-03-27,7,42
2022-03-27,8,33
2022-03-27,9,49
2022-03-27,10,65
2022-03-27,11,63
2022-03-27,12,99
2022-03-27,13,77
2022-03-27,14,70
2022-03-27,15,74
2022-03-27,16,67
2022-03-27,17,75
2022-03-27,18,54
2022-03-27,19,63
2022-03-27,20,40
2022-03-27,21,26
2022-03-27,22,14
2022-03-27,23,10
2022-03-28,0,6
2022-03-28,1,2
2022-03-28,2,0
2022-03-28,3,0
2022-03-28,4,1
2022-03-28,5,9
2022-03-28,6,25
2022-03-28,7,61
2022-03-28,8,72
2022-03-28,9,56
2022-03-28,10,66
2022-03-28,11,82
2022-03-28,12,98
2022-03-28,13,78
2022-03-28,14,73
2022-03-28,15,74
2022-03-28,16,76
