date,time,flow
2022-03-01,0,1
2022-03-01,1,1
2022-03-01,2,1
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,1
2022-03-01,6,8
2022-03-01,7,26
2022-03-01,8,104
2022-03-01,9,75
2022-03-01,10,53
2022-03-01,11,50
2022-03-01,12,58
2022-03-01,13,62
2022-03-01,14,61
2022-03-01,15,74
2022-03-01,16,88
2022-03-01,17,111
2022-03-01,18,96
2022-03-01,19,44
2022-03-01,20,22
2022-03-01,21,14
2022-03-01,22,17
2022-03-01,23,10
2022-03-02,0,4
2022-03-02,1,0
2022-03-02,2,0
2022-03-02,3,16
2022-03-02,4,16
2022-03-02,5,9
2022-03-02,6,13
2022-03-02,7,29
2022-03-02,8,117
2022-03-02,9,85
2022-03-02,10,51
2022-03-02,11,48
2022-03-02,12,62
2022-03-02,13,71
2022-03-02,14,64
2022-03-02,15,64
2022-03-02,16,83
2022-03-02,17,96
2022-03-02,18,81
2022-03-02,19,79
2022-03-02,20,31
2022-03-02,21,26
2022-03-02,22,14
2022-03-02,23,6
2022-03-03,0,1
2022-03-03,1,6
2022-03-03,2,13
2022-03-03,3,9
2022-03-03,4,8
2022-03-03,5,9
2022-03-03,6,12
2022-03-03,7,25
2022-03-03,8,131
2022-03-03,9,84
2022-03-03,10,54
2022-03-03,11,54
2022-03-03,12,73
2022-03-03,13,48
2022-03-03,14,76
2022-03-03,15,86
2022-03-03,16,65
2022-03-03,17,71
2022-03-03,18,59
2022-03-03,19,53
2022-03-03,20,28
2022-03-03,21,12
2022-03-03,22,4
2022-03-03,23,3
2022-03-04,0,4
2022-03-04,1,0
2022-03-04,2,0
2022-03-04,3,2
2022-03-04,4,1
2022-03-04,5,0
2022-03-04,6,5
2022-03-04,7,17
2022-03-04,8,77
2022-03-04,9,92
2022-03-04,10,51
2022-03-04,11,48
2022-03-04,12,77
2022-03-04,13,85
2022-03-04,14,77
2022-03-04,15,105
2022-03-04,16,106
2022-03-04,17,86
2022-03-04,18,68
2022-03-04,19,39
2022-03-04,20,22
2022-03-04,21,20
2022-03-04,22,7
2022-03-04,23,6
2022-03-05,0,18
2022-03-05,1,21
2022-03-05,2,7
2022-03-05,3,1
2022-03-05,4,2
2022-03-05,5,0
2022-03-05,6,3
2022-03-05,7,26
