date,time,flow
2022-03-01,0,9
2022-03-01,1,4
2022-03-01,2,1
2022-03-01,3,1
2022-03-01,4,3
2022-03-01,5,12
2022-03-01,6,46
2022-03-01,7,173
2022-03-01,8,114
2022-03-01,9,131
2022-03-01,10,78
2022-03-01,11,83
2022-03-01,12,90
2022-03-01,13,116
2022-03-01,14,124
2022-03-01,15,102
2022-03-01,16,139
2022-03-01,17,170
2022-03-01,18,123
2022-03-01,19,72
2022-03-01,20,62
2022-03-01,21,47
2022-03-01,22,53
2022-03-01,23,18
2022-03-02,0,3
2022-03-02,1,0
2022-03-02,2,1
2022-03-02,3,1
2022-03-02,4,3
2022-03-02,5,14
2022-03-02,6,39
2022-03-02,7,109
2022-03-02,8,130
2022-03-02,9,101
2022-03-02,10,74
2022-03-02,11,131
2022-03-02,12,114
2022-03-02,13,127
2022-03-02,14,128
2022-03-02,15,122
2022-03-02,16,128
2022-03-02,17,213
2022-03-02,18,173
2022-03-02,19,72
2022-03-02,20,65
2022-03-02,21,42
2022-03-02,22,24
2022-03-02,23,18
2022-03-03,0,13
2022-03-03,1,0
2022-03-03,2,2
2022-03-03,3,5
2022-03-03,4,2
2022-03-03,5,11
2022-03-03,6,63
2022-03-03,7,165
2022-03-03,8,97
2022-03-03,9,90
2022-03-03,10,124
2022-03-03,11,117
2022-03-03,12,127
2022-03-03,13,130
2022-03-03,14,121
2022-03-03,15,116
2022-03-03,16,110
2022-03-03,17,162
2022-03-03,18,87
2022-03-03,19,91
2022-03-03,20,69
2022-03-03,21,39
2022-03-03,22,27
2022-03-03,23,12
2022-03-04,0,10
2022-03-04,1,4
2022-03-04,2,4
2022-03-04,3,3
2022-03-04,4,5
2022-03-04,5,17
2022-03-04,6,45
2022-03-04,7,190
2022-03-04,8,93
2022-03-04,9,115
2022-03-04,10,144
2022-03-04,11,143
2022-03-04,12,136
2022-03-04,13,139
2022-03-04,14,154
2022-03-04,15,135
2022-03-04,16,126
2022-03-04,17,124
2022-03-04,18,146
2022-03-04,19,90
2022-03-04,20,71
2022-03-04,21,39
2022-03-04,22,35
2022-03-04,23,20
2022-03-05,0,14
2022-03-05,1,11
2022-03-05,2,7
2022-03-05,3,6
2022-03-05,4,4
2022-03-05,5,9
2022-03-05,6,12
2022-03-05,7,30
2022-03-05,8,62
2022-03-05,9,107
2022-03-05,10,122
2022-03-05,11,137
2022-03-05,12,134
2022-03-05,13,178
2022-03-05,14,114
2022-03-05,15,73
2022-03-05,16,103
2022-03-05,17,99
2022-03-05,18,64
2022-03-05,19,58
2022-03-05,20,56
2022-03-05,21,38
2022-03-05,22,33
2022-03-05,23,20
2022-03-06,0,22
2022-03-06,1,16
2022-03-06,2,16
2022-03-06,3,4
2022-03-06,4,6
2022-03-06,5,12
2022-03-06,6,11
2022-03-06,7,18
2022-03-06,8,26
2022-03-06,9,57
2022-03-06,10,83
2022-03-06,11,97
2022-03-06,12,113
2022-03-06,13,130
2022-03-06,14,150
2022-03-06,15,105
2022-03-06,16,99
2022-03-06,17,84
2022-03-06,18,79
2022-03-06,19,63
2022-03-06,20,60
2022-03-06,21,38
2022-03-06,22,25
2022-03-06,23,8
2022-03-07,0,7
2022-03-07,1,3
2022-03-07,2,0
2022-03-07,3,5
2022-03-07,4,7
2022-03-07,5,15
2022-03-07,6,53
2022-03-07,7,136
2022-03-07,8,140
2022-03-07,9,106
2022-03-07,10,85
2022-03-07,11,118
2022-03-07,12,90
2022-03-07,13,121
2022-03-07,14,126
2022-03-07,15,100
2022-03-07,16,123
2022-03-07,17,167
2022-03-07,18,140
2022-03-07,19,98
2022-03-07,20,41
2022-03-07,21,30
2022-03-07,22,22
2022-03-07,23,12
2022-03-08,0,8
