date,time,flow
2022-03-01,0,24
2022-03-01,1,17
2022-03-01,2,16
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,16
2022-03-01,6,39
2022-03-01,7,62
2022-03-01,8,96
2022-03-01,9,132
2022-03-01,10,104
2022-03-01,11,126
2022-03-01,12,144
2022-03-01,13,125
2022-03-01,14,119
2022-03-01,15,143
2022-03-01,16,164
2022-03-01,17,184
2022-03-01,18,156
2022-03-01,19,101
2022-03-01,20,80
2022-03-01,21,75
2022-03-01,22,48
2022-03-01,23,31
2022-03-02,0,12
2022-03-02,1,12
2022-03-02,2,16
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,12
2022-03-02,6,27
2022-03-02,7,55
2022-03-02,8,106
2022-03-02,9,123
2022-03-02,10,89
2022-03-02,11,116
2022-03-02,12,120
2022-03-02,13,132
2022-03-02,14,122
2022-03-02,15,164
2022-03-02,16,184
2022-03-02,17,164
2022-03-02,18,133
2022-03-02,19,101
2022-03-02,20,79
2022-03-02,21,68
2022-03-02,22,83
2022-03-02,23,36
2022-03-03,0,26
2022-03-03,1,17
2022-03-03,2,12
2022-03-03,3,12
2022-03-03,4,0
2022-03-03,5,16
2022-03-03,6,21
2022-03-03,7,58
2022-03-03,8,97
2022-03-03,9,106
2022-03-03,10,85
2022-03-03,11,94
2022-03-03,12,127
2022-03-03,13,125
2022-03-03,14,155
2022-03-03,15,153
2022-03-03,16,143
2022-03-03,17,146
2022-03-03,18,99
2022-03-03,19,99
2022-03-03,20,76
2022-03-03,21,64
2022-03-03,22,44
2022-03-03,23,25
2022-03-04,0,11
2022-03-04,1,18
2022-03-04,2,6
2022-03-04,3,3
2022-03-04,4,1
2022-03-04,5,8
2022-03-04,6,20
2022-03-04,7,59
2022-03-04,8,113
2022-03-04,9,114
2022-03-04,10,113
2022-03-04,11,114
2022-03-04,12,124
2022-03-04,13,161
2022-03-04,14,145
2022-03-04,15,181
2022-03-04,16,157
2022-03-04,17,146
2022-03-04,18,128
2022-03-04,19,120
2022-03-04,20,72
2022-03-04,21,52
2022-03-04,22,48
2022-03-04,23,46
2022-03-05,0,20
2022-03-05,1,28
2022-03-05,2,7
2022-03-05,3,3
2022-03-05,4,7
2022-03-05,5,5
2022-03-05,6,8
2022-03-05,7,32
2022-03-05,8,55
2022-03-05,9,60
2022-03-05,10,117
2022-03-05,11,161
2022-03-05,12,109
2022-03-05,13,147
2022-03-05,14,118
2022-03-05,15,111
2022-03-05,16,122
2022-03-05,17,151
2022-03-05,18,137
2022-03-05,19,94
2022-03-05,20,71
2022-03-05,21,51
2022-03-05,22,50
2022-03-05,23,45
2022-03-06,0,38
2022-03-06,1,20
2022-03-06,2,12
2022-03-06,3,15
2022-03-06,4,13
