date,time,flow
2022-09-01,0,12
2022-09-01,1,8
2022-09-01,2,8
2022-09-01,3,12
2022-09-01,4,8
2022-09-01,5,12
2022-09-01,6,31
2022-09-01,7,48
2022-09-01,8,53
2022-09-01,9,52
2022-09-01,10,49
2022-09-01,11,48
2022-09-01,12,52
2022-09-01,13,48
2022-09-01,14,57
2022-09-01,15,57
2022-09-01,16,80
2022-09-01,17,67
2022-09-01,18,61
2022-09-01,19,40
2022-09-01,20,36
2022-09-01,21,36
2022-09-01,22,26
2022-09-01,23,26
2022-09-02,0,16
2022-09-02,1,8
2022-09-02,2,4
2022-09-02,3,9
2022-09-02,4,4
2022-09-02,5,8
2022-09-02,6,35
2022-09-02,7,48
2022-09-02,8,48
2022-09-02,9,57
2022-09-02,10,48
2022-09-02,11,52
2022-09-02,12,57
2022-09-02,13,57
2022-09-02,14,52
2022-09-02,15,52
2022-09-02,16,71
2022-09-02,17,52
2022-09-02,18,67
2022-09-02,19,48
2022-09-02,20,48
2022-09-02,21,48
2022-09-02,22,44
2022-09-02,23,40
2022-09-03,0,21
2022-09-03,1,16
2022-09-03,2,16
2022-09-03,3,16
2022-09-03,4,12
2022-09-03,5,12
2022-09-03,6,16
2022-09-03,7,35
2022-09-03,8,36
2022-09-03,9,40
2022-09-03,10,44
2022-09-03,11,48
2022-09-03,12,57
2022-09-03,13,52
2022-09-03,14,57
2022-09-03,15,52
2022-09-03,16,62
2022-09-03,17,62
2022-09-03,18,57
2022-09-03,19,40
2022-09-03,20,44
2022-09-03,21,44
2022-09-03,22,52
2022-09-03,23,44
2022-09-04,0,44
2022-09-04,1,16
2022-09-04,2,16
2022-09-04,3,17
2022-09-04,4,8
2022-09-04,5,12
2022-09-04,6,16
2022-09-04,7,35
2022-09-04,8,36
2022-09-04,9,36
2022-09-04,10,40
2022-09-04,11,40
2022-09-04,12,44
2022-09-04,13,40
2022-09-04,14,44
2022-09-04,15,48
2022-09-04,16,57
2022-09-04,17,36
2022-09-04,18,36
2022-09-04,19,36
2022-09-04,20,31
2022-09-04,21,26
2022-09-04,22,16
2022-09-04,23,12
2022-09-05,0,12
2022-09-05,1,0
2022-09-05,2,0
2022-09-05,3,0
2022-09-05,4,16
2022-09-05,5,16
2022-09-05,6,31
2022-09-05,7,44
2022-09-05,8,48
2022-09-05,9,57
2022-09-05,10,56
