date,time,flow
2022-09-01,0,13
2022-09-01,1,4
2022-09-01,2,12
2022-09-01,3,5
2022-09-01,4,2
2022-09-01,5,11
2022-09-01,6,26
2022-09-01,7,47
2022-09-01,8,27
2022-09-01,9,36
2022-09-01,10,24
2022-09-01,11,35
2022-09-01,12,31
2022-09-01,13,33
2022-09-01,14,30
2022-09-01,15,46
2022-09-01,16,53
2022-09-01,17,35
2022-09-01,18,30
2022-09-01,19,36
2022-09-01,20,17
2022-09-01,21,30
2022-09-01,22,24
2022-09-01,23,11
2022-09-02,0,10
2022-09-02,1,13
2022-09-02,2,5
2022-09-02,3,3
2022-09-02,4,6
2022-09-02,5,11
2022-09-02,6,25
2022-09-02,7,43
2022-09-02,8,35
2022-09-02,9,31
2022-09-02,10,31
2022-09-02,11,32
2022-09-02,12,35
2022-09-02,13,41
2022-09-02,14,45
2022-09-02,15,35
2022-09-02,16,58
2022-09-02,17,48
2022-09-02,18,41
2022-09-02,19,37
2022-09-02,20,35
2022-09-02,21,34
2022-09-02,22,35
2022-09-02,23,30
2022-09-03,0,32
2022-09-03,1,15
2022-09-03,2,14
2022-09-03,3,10
2022-09-03,4,3
2022-09-03,5,17
2022-09-03,6,13
2022-09-03,7,14
2022-09-03,8,36
2022-09-03,9,48
2022-09-03,10,73
2022-09-03,11,57
2022-09-03,12,46
2022-09-03,13,47
2022-09-03,14,41
2022-09-03,15,62
2022-09-03,16,42
2022-09-03,17,57
2022-09-03,18,39
2022-09-03,19,28
2022-09-03,20,40
2022-09-03,21,31
2022-09-03,22,44
2022-09-03,23,32
2022-09-04,0,34
2022-09-04,1,28
2022-09-04,2,13
2022-09-04,3,7
2022-09-04,4,4
2022-09-04,5,9
2022-09-04,6,7
2022-09-04,7,11
2022-09-04,8,18
2022-09-04,9,15
2022-09-04,10,27
2022-09-04,11,37
2022-09-04,12,48
2022-09-04,13,42
2022-09-04,14,40
2022-09-04,15,32
2022-09-04,16,32
2022-09-04,17,26
2022-09-04,18,30
2022-09-04,19,27
2022-09-04,20,22
2022-09-04,21,19
2022-09-04,22,29
2022-09-04,23,20
2022-09-05,0,8
2022-09-05,1,6
2022-09-05,2,8
2022-09-05,3,4
2022-09-05,4,4
2022-09-05,5,7
2022-09-05,6,27
2022-09-05,7,49
2022-09-05,8,45
2022-09-05,9,31
2022-09-05,10,34
2022-09-05,11,51
2022-09-05,12,38
2022-09-05,13,31
2022-09-05,14,45
2022-09-05,15,46
2022-09-05,16,47
2022-09-05,17,40
2022-09-05,18,31
2022-09-05,19,29
2022-09-05,20,19
2022-09-05,21,27
2022-09-05,22,23
2022-09-05,23,17
2022-09-06,0,5
2022-09-06,1,5
2022-09-06,2,11
2022-09-06,3,2
2022-09-06,4,6
2022-09-06,5,8
2022-09-06,6,27
2022-09-06,7,61
2022-09-06,8,62
2022-09-06,9,34
2022-09-06,10,29
2022-09-06,11,36
2022-09-06,12,35
2022-09-06,13,42
2022-09-06,14,37
2022-09-06,15,51
2022-09-06,16,70
2022-09-06,17,85
2022-09-06,18,79
2022-09-06,19,31
2022-09-06,20,23
2022-09-06,21,21
2022-09-06,22,19
2022-09-06,23,13
2022-09-07,0,3
2022-09-07,1,9
2022-09-07,2,2
2022-09-07,3,5
2022-09-07,4,4
2022-09-07,5,6
2022-09-07,6,22
2022-09-07,7,38
2022-09-07,8,54
2022-09-07,9,36
2022-09-07,10,31
2022-09-07,11,33
2022-09-07,12,40
2022-09-07,13,35
2022-09-07,14,41
2022-09-07,15,38
2022-09-07,16,61
2022-09-07,17,42
2022-09-07,18,50
2022-09-07,19,28
2022-09-07,20,31
2022-09-07,21,16
2022-09-07,22,15
2022-09-07,23,13
2022-09-08,0,9
2022-09-08,1,8
2022-09-08,2,5
2022-09-08,3,6
2022-09-08,4,3
2022-09-08,5,14
2022-09-08,6,20
2022-09-08,7,55
2022-09-08,8,48
2022-09-08,9,40
2022-09-08,10,30
2022-09-08,11,45
2022-09-08,12,29
2022-09-08,13,47
2022-09-08,14,50
2022-09-08,15,38
2022-09-08,16,51
2022-09-08,17,53
2022-09-08,18,37
2022-09-08,19,51
2022-09-08,20,35
2022-09-08,21,27
2022-09-08,22,28
2022-09-08,23,18
2022-09-09,0,17
2022-09-09,1,5
2022-09-09,2,6
2022-09-09,3,3
2022-09-09,4,8
2022-09-09,5,13
2022-09-09,6,21
2022-09-09,7,32
2022-09-09,8,42
2022-09-09,9,32
2022-09-09,10,44
2022-09-09,11,32
2022-09-09,12,45
2022-09-09,13,38
2022-09-09,14,46
2022-09-09,15,50
2022-09-09,16,52
2022-09-09,17,43
2022-09-09,18,52
2022-09-09,19,39
2022-09-09,20,24
2022-09-09,21,34
2022-09-09,22,35
2022-09-09,23,32
2022-09-10,0,22
2022-09-10,1,14
2022-09-10,2,13
2022-09-10,3,8
2022-09-10,4,7
2022-09-10,5,9
2022-09-10,6,15
2022-09-10,7,25
2022-09-10,8,21
2022-09-10,9,33
2022-09-10,10,43
2022-09-10,11,47
2022-09-10,12,57
2022-09-10,13,48
2022-09-10,14,47
2022-09-10,15,48
2022-09-10,16,57
2022-09-10,17,53
2022-09-10,18,34
2022-09-10,19,49
2022-09-10,20,33
2022-09-10,21,26
2022-09-10,22,40
2022-09-10,23,29
2022-09-11,0,23
2022-09-11,1,28
2022-09-11,2,23
2022-09-11,3,18
2022-09-11,4,7
2022-09-11,5,1
2022-09-11,6,12
2022-09-11,7,16
2022-09-11,8,18
2022-09-11,9,20
2022-09-11,10,21
2022-09-11,11,23
2022-09-11,12,53
2022-09-11,13,34
2022-09-11,14,38
2022-09-11,15,31
2022-09-11,16,45
2022-09-11,17,41
2022-09-11,18,38
2022-09-11,19,36
2022-09-11,20,25
2022-09-11,21,23
2022-09-11,22,15
2022-09-11,23,21
2022-09-12,0,11
2022-09-12,1,6
2022-09-12,2,9
2022-09-12,3,4
2022-09-12,4,4
2022-09-12,5,7
2022-09-12,6,24
2022-09-12,7,36
2022-09-12,8,46
2022-09-12,9,44
2022-09-12,10,37
2022-09-12,11,43
2022-09-12,12,45
2022-09-12,13,35
2022-09-12,14,41
2022-09-12,15,49
2022-09-12,16,40
2022-09-12,17,42
2022-09-12,18,33
2022-09-12,19,30
2022-09-12,20,35
2022-09-12,21,23
2022-09-12,22,17
2022-09-12,23,11
2022-09-13,0,9
2022-09-13,1,5
2022-09-13,2,8
2022-09-13,3,1
2022-09-13,4,6
2022-09-13,5,6
2022-09-13,6,33
2022-09-13,7,33
2022-09-13,8,52
2022-09-13,9,47
2022-09-13,10,34
2022-09-13,11,37
2022-09-13,12,39
2022-09-13,13,36
2022-09-13,14,37
2022-09-13,15,39
2022-09-13,16,44
2022-09-13,17,40
2022-09-13,18,31
2022-09-13,19,41
2022-09-13,20,25
2022-09-13,21,31
2022-09-13,22,22
2022-09-13,23,12
2022-09-14,0,9
2022-09-14,1,9
2022-09-14,2,9
2022-09-14,3,8
2022-09-14,4,3
2022-09-14,5,7
2022-09-14,6,26
2022-09-14,7,43
2022-09-14,8,48
2022-09-14,9,31
2022-09-14,10,33
2022-09-14,11,35
2022-09-14,12,53
2022-09-14,13,48
2022-09-14,14,41
2022-09-14,15,52
2022-09-14,16,63
2022-09-14,17,30
2022-09-14,18,29
2022-09-14,19,37
2022-09-14,20,27
2022-09-14,21,28
2022-09-14,22,30
2022-09-14,23,21
2022-09-15,0,5
2022-09-15,1,8
2022-09-15,2,11
2022-09-15,3,7
2022-09-15,4,7
2022-09-15,5,3
2022-09-15,6,19
2022-09-15,7,41
2022-09-15,8,52
2022-09-15,9,34
2022-09-15,10,34
2022-09-15,11,34
2022-09-15,12,41
2022-09-15,13,49
2022-09-15,14,37
2022-09-15,15,70
2022-09-15,16,51
2022-09-15,17,48
2022-09-15,18,47
2022-09-15,19,38
2022-09-15,20,26
2022-09-15,21,30
2022-09-15,22,33
2022-09-15,23,20
2022-09-16,0,13
2022-09-16,1,8
2022-09-16,2,6
2022-09-16,3,5
2022-09-16,4,8
2022-09-16,5,10
2022-09-16,6,20
2022-09-16,7,41
2022-09-16,8,37
