date,time,flow
2022-03-01,0,21
2022-03-01,1,12
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,2
2022-03-01,5,8
2022-03-01,6,16
2022-03-01,7,63
2022-03-01,8,106
2022-03-01,9,113
2022-03-01,10,105
2022-03-01,11,110
2022-03-01,12,108
2022-03-01,13,132
2022-03-01,14,110
2022-03-01,15,132
2022-03-01,16,189
2022-03-01,17,225
2022-03-01,18,203
2022-03-01,19,123
2022-03-01,20,84
2022-03-01,21,76
2022-03-01,22,80
2022-03-01,23,53
2022-03-02,0,16
2022-03-02,1,4
2022-03-02,2,4
2022-03-02,3,8
2022-03-02,4,4
2022-03-02,5,12
2022-03-02,6,16
2022-03-02,7,84
2022-03-02,8,128
2022-03-02,9,132
2022-03-02,10,110
2022-03-02,11,123
2022-03-02,12,106
2022-03-02,13,145
2022-03-02,14,150
2022-03-02,15,145
2022-03-02,16,193
2022-03-02,17,265
2022-03-02,18,194
2022-03-02,19,114
2022-03-02,20,84
2022-03-02,21,101
2022-03-02,22,88
2022-03-02,23,57
2022-03-03,0,21
2022-03-03,1,8
2022-03-03,2,8
2022-03-03,3,8
2022-03-03,4,6
2022-03-03,5,12
2022-03-03,6,21
2022-03-03,7,71
2022-03-03,8,131
2022-03-03,9,138
2022-03-03,10,110
2022-03-03,11,99
2022-03-03,12,123
2022-03-03,13,133
2022-03-03,14,172
2022-03-03,15,158
2022-03-03,16,206
2022-03-03,17,261
2022-03-03,18,219
2022-03-03,19,118
2022-03-03,20,89
2022-03-03,21,92
2022-03-03,22,105
2022-03-03,23,49
2022-03-04,0,21
2022-03-04,1,21
2022-03-04,2,6
2022-03-04,3,8
2022-03-04,4,3
2022-03-04,5,12
2022-03-04,6,25
2022-03-04,7,62
2022-03-04,8,127
2022-03-04,9,120
2022-03-04,10,126
2022-03-04,11,140
2022-03-04,12,124
2022-03-04,13,159
2022-03-04,14,154
2022-03-04,15,141
2022-03-04,16,174
2022-03-04,17,195
2022-03-04,18,174
2022-03-04,19,137
2022-03-04,20,74
2022-03-04,21,49
2022-03-04,22,42
2022-03-04,23,58
2022-03-05,0,51
2022-03-05,1,53
2022-03-05,2,27
2022-03-05,3,20
2022-03-05,4,9
2022-03-05,5,5
2022-03-05,6,15
2022-03-05,7,40
2022-03-05,8,63
2022-03-05,9,97
2022-03-05,10,107
2022-03-05,11,114
2022-03-05,12,135
2022-03-05,13,98
2022-03-05,14,131
2022-03-05,15,137
2022-03-05,16,127
2022-03-05,17,151
2022-03-05,18,152
2022-03-05,19,90
2022-03-05,20,86
2022-03-05,21,78
2022-03-05,22,63
2022-03-05,23,76
2022-03-06,0,64
2022-03-06,1,38
2022-03-06,2,26
2022-03-06,3,21
2022-03-06,4,24
2022-03-06,5,13
2022-03-06,6,13
2022-03-06,7,44
2022-03-06,8,69
2022-03-06,9,80
2022-03-06,10,97
2022-03-06,11,119
2022-03-06,12,114
2022-03-06,13,96
2022-03-06,14,115
2022-03-06,15,114
2022-03-06,16,118
2022-03-06,17,114
2022-03-06,18,105
2022-03-06,19,75
2022-03-06,20,72
2022-03-06,21,62
2022-03-06,22,57
2022-03-06,23,47
2022-03-07,0,17
2022-03-07,1,9
2022-03-07,2,9
2022-03-07,3,9
2022-03-07,4,10
2022-03-07,5,8
2022-03-07,6,28
2022-03-07,7,65
2022-03-07,8,102
2022-03-07,9,115
2022-03-07,10,109
2022-03-07,11,73
2022-03-07,12,99
2022-03-07,13,132
2022-03-07,14,150
2022-03-07,15,141
2022-03-07,16,186
2022-03-07,17,264
2022-03-07,18,177
2022-03-07,19,71
2022-03-07,20,43
2022-03-07,21,52
2022-03-07,22,66
2022-03-07,23,47
2022-03-08,0,27
2022-03-08,1,12
2022-03-08,2,5
2022-03-08,3,7
2022-03-08,4,7
2022-03-08,5,7
2022-03-08,6,33
2022-03-08,7,69
2022-03-08,8,143
2022-03-08,9,119
2022-03-08,10,92
2022-03-08,11,114
2022-03-08,12,118
2022-03-08,13,153
2022-03-08,14,140
2022-03-08,15,137
2022-03-08,16,202
2022-03-08,17,310
2022-03-08,18,169
2022-03-08,19,99
2022-03-08,20,62
2022-03-08,21,51
2022-03-08,22,57
2022-03-08,23,32
2022-03-09,0,23
2022-03-09,1,12
2022-03-09,2,9
2022-03-09,3,9
2022-03-09,4,14
2022-03-09,5,16
2022-03-09,6,31
2022-03-09,7,70
2022-03-09,8,131
2022-03-09,9,113
2022-03-09,10,97
2022-03-09,11,108
2022-03-09,12,106
2022-03-09,13,137
2022-03-09,14,117
2022-03-09,15,144
2022-03-09,16,244
2022-03-09,17,302
2022-03-09,18,156
2022-03-09,19,114
2022-03-09,20,90
2022-03-09,21,101
2022-03-09,22,88
2022-03-09,23,53
2022-03-10,0,15
2022-03-10,1,8
2022-03-10,2,12
2022-03-10,3,8
2022-03-10,4,4
2022-03-10,5,10
2022-03-10,6,28
2022-03-10,7,76
2022-03-10,8,139
2022-03-10,9,109
2022-03-10,10,100
2022-03-10,11,119
2022-03-10,12,102
2022-03-10,13,136
2022-03-10,14,149
2022-03-10,15,135
2022-03-10,16,208
2022-03-10,17,280
2022-03-10,18,186
2022-03-10,19,118
2022-03-10,20,106
2022-03-10,21,96
2022-03-10,22,103
2022-03-10,23,77
2022-03-11,0,15
2022-03-11,1,12
2022-03-11,2,13
2022-03-11,3,12
2022-03-11,4,3
2022-03-11,5,20
2022-03-11,6,24
2022-03-11,7,57
2022-03-11,8,105
2022-03-11,9,114
2022-03-11,10,123
2022-03-11,11,102
2022-03-11,12,168
2022-03-11,13,176
2022-03-11,14,155
2022-03-11,15,145
2022-03-11,16,178
2022-03-11,17,237
2022-03-11,18,166
2022-03-11,19,99
2022-03-11,20,88
2022-03-11,21,76
2022-03-11,22,80
2022-03-11,23,91
2022-03-12,0,61
2022-03-12,1,52
2022-03-12,2,40
2022-03-12,3,32
2022-03-12,4,16
2022-03-12,5,12
2022-03-12,6,10
2022-03-12,7,40
2022-03-12,8,71
2022-03-12,9,92
2022-03-12,10,101
2022-03-12,11,114
2022-03-12,12,105
2022-03-12,13,113
2022-03-12,14,114
2022-03-12,15,123
2022-03-12,16,132
2022-03-12,17,136
2022-03-12,18,118
2022-03-12,19,101
2022-03-12,20,88
2022-03-12,21,71
2022-03-12,22,84
2022-03-12,23,88
2022-03-13,0,123
2022-03-13,1,58
2022-03-13,2,73
2022-03-13,3,56
2022-03-13,4,37
2022-03-13,5,19
2022-03-13,6,20
2022-03-13,7,44
2022-03-13,8,71
2022-03-13,9,80
2022-03-13,10,93
2022-03-13,11,119
2022-03-13,12,101
2022-03-13,13,100
2022-03-13,14,105
2022-03-13,15,110
2022-03-13,16,122
2022-03-13,17,110
2022-03-13,18,93
2022-03-13,19,72
2022-03-13,20,67
2022-03-13,21,62
2022-03-13,22,52
2022-03-13,23,52
2022-03-14,0,29
2022-03-14,1,21
2022-03-14,2,11
2022-03-14,3,10
2022-03-14,4,16
2022-03-14,5,11
2022-03-14,6,29
2022-03-14,7,79
2022-03-14,8,137
2022-03-14,9,109
2022-03-14,10,100
2022-03-14,11,105
2022-03-14,12,125
2022-03-14,13,122
2022-03-14,14,137
2022-03-14,15,132
2022-03-14,16,148
2022-03-14,17,224
2022-03-14,18,146
2022-03-14,19,106
2022-03-14,20,66
2022-03-14,21,67
2022-03-14,22,62
2022-03-14,23,45
2022-03-15,0,31
2022-03-15,1,8
2022-03-15,2,8
2022-03-15,3,7
2022-03-15,4,10
2022-03-15,5,11
2022-03-15,6,22
2022-03-15,7,71
2022-03-15,8,114
2022-03-15,9,112
2022-03-15,10,112
2022-03-15,11,98
2022-03-15,12,128
2022-03-15,13,131
2022-03-15,14,111
2022-03-15,15,104
2022-03-15,16,189
2022-03-15,17,251
2022-03-15,18,154
2022-03-15,19,91
2022-03-15,20,115
2022-03-15,21,84
2022-03-15,22,67
2022-03-15,23,44
2022-03-16,0,14
2022-03-16,1,10
2022-03-16,2,9
2022-03-16,3,1
2022-03-16,4,9
2022-03-16,5,10
2022-03-16,6,16
2022-03-16,7,79
2022-03-16,8,136
2022-03-16,9,123
2022-03-16,10,102
2022-03-16,11,113
2022-03-16,12,105
2022-03-16,13,132
2022-03-16,14,138
2022-03-16,15,141
2022-03-16,16,195
2022-03-16,17,250
2022-03-16,18,150
2022-03-16,19,129
2022-03-16,20,99
2022-03-16,21,123
2022-03-16,22,34
2022-03-16,23,77
2022-03-17,0,34
2022-03-17,1,8
2022-03-17,2,9
2022-03-17,3,6
2022-03-17,4,5
2022-03-17,5,10
2022-03-17,6,27
2022-03-17,7,75
2022-03-17,8,122
2022-03-17,9,108
2022-03-17,10,117
2022-03-17,11,110
2022-03-17,12,114
2022-03-17,13,123
2022-03-17,14,146
2022-03-17,15,148
2022-03-17,16,181
2022-03-17,17,244
2022-03-17,18,169
2022-03-17,19,94
2022-03-17,20,53
2022-03-17,21,59
2022-03-17,22,50
2022-03-17,23,37
2022-03-18,0,9
2022-03-18,1,21
2022-03-18,2,16
2022-03-18,3,8
2022-03-18,4,12
2022-03-18,5,18
2022-03-18,6,15
2022-03-18,7,66
2022-03-18,8,101
2022-03-18,9,95
2022-03-18,10,96
2022-03-18,11,121
2022-03-18,12,126
2022-03-18,13,159
2022-03-18,14,150
2022-03-18,15,145
2022-03-18,16,143
2022-03-18,17,214
2022-03-18,18,134
2022-03-18,19,84
2022-03-18,20,47
2022-03-18,21,55
2022-03-18,22,67
2022-03-18,23,84
2022-03-19,0,21
2022-03-19,1,45
2022-03-19,2,20
2022-03-19,3,12
2022-03-19,4,19
2022-03-19,5,14
2022-03-19,6,16
2022-03-19,7,40
2022-03-19,8,75
2022-03-19,9,97
2022-03-19,10,105
2022-03-19,11,124
2022-03-19,12,118
2022-03-19,13,119
2022-03-19,14,137
2022-03-19,15,145
2022-03-19,16,149
2022-03-19,17,149
2022-03-19,18,136
2022-03-19,19,100
2022-03-19,20,101
2022-03-19,21,78
2022-03-19,22,101
2022-03-19,23,96
2022-03-20,0,107
2022-03-20,1,86
2022-03-20,2,55
2022-03-20,3,60
2022-03-20,4,40
2022-03-20,5,18
2022-03-20,6,19
2022-03-20,7,44
2022-03-20,8,75
2022-03-20,9,84
2022-03-20,10,98
2022-03-20,11,119
2022-03-20,12,112
2022-03-20,13,96
2022-03-20,14,97
2022-03-20,15,110
2022-03-20,16,114
2022-03-20,17,114
2022-03-20,18,105
2022-03-20,19,76
2022-03-20,20,63
2022-03-20,21,57
2022-03-20,22,52
2022-03-20,23,44
2022-03-21,0,20
2022-03-21,1,16
2022-03-21,2,12
2022-03-21,3,5
2022-03-21,4,15
2022-03-21,5,5
2022-03-21,6,23
2022-03-21,7,67
2022-03-21,8,124
2022-03-21,9,82
2022-03-21,10,100
2022-03-21,11,114
2022-03-21,12,98
2022-03-21,13,102
2022-03-21,14,146
2022-03-21,15,133
2022-03-21,16,136
2022-03-21,17,173
2022-03-21,18,131
2022-03-21,19,91
2022-03-21,20,71
2022-03-21,21,54
2022-03-21,22,66
2022-03-21,23,48
2022-03-22,0,23
2022-03-22,1,12
2022-03-22,2,11
2022-03-22,3,8
2022-03-22,4,5
2022-03-22,5,9
2022-03-22,6,26
2022-03-22,7,71
2022-03-22,8,107
2022-03-22,9,105
2022-03-22,10,116
2022-03-22,11,112
2022-03-22,12,120
2022-03-22,13,123
2022-03-22,14,117
2022-03-22,15,132
2022-03-22,16,146
2022-03-22,17,227
2022-03-22,18,170
2022-03-22,19,96
2022-03-22,20,107
2022-03-22,21,82
2022-03-22,22,63
2022-03-22,23,33
2022-03-23,0,29
2022-03-23,1,22
2022-03-23,2,8
2022-03-23,3,0
2022-03-23,4,8
2022-03-23,5,16
2022-03-23,6,16
2022-03-23,7,80
2022-03-23,8,139
2022-03-23,9,126
2022-03-23,10,114
2022-03-23,11,123
2022-03-23,12,118
2022-03-23,13,140
2022-03-23,14,146
2022-03-23,15,159
2022-03-23,16,202
2022-03-23,17,248
2022-03-23,18,123
2022-03-23,19,90
2022-03-23,20,88
2022-03-23,21,114
2022-03-23,22,88
2022-03-23,23,53
2022-03-24,0,35
2022-03-24,1,8
2022-03-24,2,8
2022-03-24,3,4
2022-03-24,4,8
2022-03-24,5,16
2022-03-24,6,28
2022-03-24,7,45
2022-03-24,8,122
2022-03-24,9,128
2022-03-24,10,108
2022-03-24,11,112
2022-03-24,12,106
2022-03-24,13,127
2022-03-24,14,162
2022-03-24,15,163
2022-03-24,16,195
2022-03-24,17,201
2022-03-24,18,157
2022-03-24,19,112
2022-03-24,20,96
2022-03-24,21,101
2022-03-24,22,84
2022-03-24,23,55
2022-03-25,0,31
2022-03-25,1,16
2022-03-25,2,10
2022-03-25,3,17
2022-03-25,4,16
2022-03-25,5,15
2022-03-25,6,14
2022-03-25,7,59
2022-03-25,8,118
2022-03-25,9,108
2022-03-25,10,100
2022-03-25,11,121
2022-03-25,12,148
2022-03-25,13,138
2022-03-25,14,166
2022-03-25,15,134
2022-03-25,16,179
2022-03-25,17,207
2022-03-25,18,171
2022-03-25,19,121
2022-03-25,20,100
2022-03-25,21,80
2022-03-25,22,84
2022-03-25,23,84
2022-03-26,0,66
2022-03-26,1,49
2022-03-26,2,37
2022-03-26,3,39
2022-03-26,4,25
2022-03-26,5,10
2022-03-26,6,19
2022-03-26,7,44
2022-03-26,8,80
2022-03-26,9,97
2022-03-26,10,119
2022-03-26,11,119
2022-03-26,12,119
2022-03-26,13,123
2022-03-26,14,137
2022-03-26,15,136
2022-03-26,16,141
2022-03-26,17,137
2022-03-26,18,142
2022-03-26,19,119
2022-03-26,20,92
2022-03-26,21,76
2022-03-26,22,84
2022-03-26,23,92
2022-03-27,0,98
2022-03-27,1,67
2022-03-27,2,57
2022-03-27,3,47
2022-03-27,4,38
2022-03-27,5,19
2022-03-27,6,37
2022-03-27,7,71
2022-03-27,8,84
2022-03-27,9,88
2022-03-27,10,128
2022-03-27,11,123
2022-03-27,12,101
2022-03-27,13,105
2022-03-27,14,110
2022-03-27,15,118
2022-03-27,16,118
2022-03-27,17,101
2022-03-27,18,74
2022-03-27,19,75
2022-03-27,20,67
2022-03-27,21,52
2022-03-27,22,44
2022-03-27,23,29
2022-03-28,0,17
2022-03-28,1,10
2022-03-28,2,6
2022-03-28,3,6
2022-03-28,4,17
2022-03-28,5,21
2022-03-28,6,67
2022-03-28,7,109
2022-03-28,8,101
2022-03-28,9,99
2022-03-28,10,115
2022-03-28,11,98
2022-03-28,12,111
2022-03-28,13,129
2022-03-28,14,136
2022-03-28,15,162
2022-03-28,16,243
2022-03-28,17,137
2022-03-28,18,101
2022-03-28,19,67
2022-03-28,20,62
2022-03-28,21,66
2022-03-28,22,42
2022-03-28,23,18
2022-03-29,0,12
2022-03-29,1,8
2022-03-29,2,2
2022-03-29,3,5
2022-03-29,4,17
2022-03-29,5,27
2022-03-29,6,70
2022-03-29,7,110
2022-03-29,8,137
2022-03-29,9,106
2022-03-29,10,90
2022-03-29,11,123
2022-03-29,12,123
2022-03-29,13,110
2022-03-29,14,132
2022-03-29,15,190
2022-03-29,16,240
2022-03-29,17,182
2022-03-29,18,110
2022-03-29,19,84
2022-03-29,20,80
2022-03-29,21,84
2022-03-29,22,44
2022-03-29,23,26
2022-03-30,0,4
2022-03-30,1,4
2022-03-30,2,4
2022-03-30,3,12
2022-03-30,4,12
2022-03-30,5,16
2022-03-30,6,74
2022-03-30,7,136
2022-03-30,8,118
2022-03-30,9,96
2022-03-30,10,114
2022-03-30,11,109
2022-03-30,12,132
2022-03-30,13,146
2022-03-30,14,134
2022-03-30,15,160
2022-03-30,16,243
2022-03-30,17,167
2022-03-30,18,133
2022-03-30,19,92
2022-03-30,20,114
2022-03-30,21,79
2022-03-30,22,55
2022-03-30,23,20
2022-03-31,0,7
2022-03-31,1,8
2022-03-31,2,8
2022-03-31,3,12
2022-03-31,4,12
2022-03-31,5,30
2022-03-31,6,72
2022-03-31,7,134
2022-03-31,8,130
2022-03-31,9,93
2022-03-31,10,113
2022-03-31,11,105
2022-03-31,12,128
2022-03-31,13,136
2022-03-31,14,151
2022-03-31,15,195
2022-03-31,16,245
2022-03-31,17,170
2022-03-31,18,121
2022-03-31,19,100
2022-03-31,20,101
2022-03-31,21,93
2022-03-31,22,59
2022-03-31,23,32
2022-04-01,0,20
2022-04-01,1,27
2022-04-01,2,16
2022-04-01,3,20
2022-04-01,4,20
2022-04-01,5,22
2022-04-01,6,67
2022-04-01,7,127
2022-04-01,8,110
2022-04-01,9,124
2022-04-01,10,118
2022-04-01,11,141
2022-04-01,12,155
2022-04-01,13,150
2022-04-01,14,131
2022-04-01,15,220
2022-04-01,16,222
2022-04-01,17,137
2022-04-01,18,110
2022-04-01,19,88
2022-04-01,20,78
2022-04-01,21,80
2022-04-01,22,101
2022-04-01,23,67
2022-04-02,0,54
2022-04-02,1,40
2022-04-02,2,41
2022-04-02,3,23
2022-04-02,4,16
2022-04-02,5,12
2022-04-02,6,44
2022-04-02,7,75
2022-04-02,8,105
2022-04-02,9,114
2022-04-02,10,124
2022-04-02,11,123
2022-04-02,12,110
2022-04-02,13,132
2022-04-02,14,132
2022-04-02,15,140
2022-04-02,16,159
2022-04-02,17,133
2022-04-02,18,109
2022-04-02,19,96
2022-04-02,20,80
2022-04-02,21,96
2022-04-02,22,95
2022-04-02,23,100
2022-04-03,0,66
2022-04-03,1,59
2022-04-03,2,56
2022-04-03,3,21
2022-04-03,4,9
2022-04-03,5,10
2022-04-03,6,44
2022-04-03,7,71
2022-04-03,8,84
2022-04-03,9,98
2022-04-03,10,119
2022-04-03,11,110
2022-04-03,12,94
2022-04-03,13,105
2022-04-03,14,103
2022-04-03,15,114
2022-04-03,16,109
2022-04-03,17,97
2022-04-03,18,72
2022-04-03,19,76
2022-04-03,20,67
2022-04-03,21,52
2022-04-03,22,51
