date,time,flow
2022-03-01,0,3
2022-03-01,1,4
2022-03-01,2,1
2022-03-01,3,0
2022-03-01,4,3
2022-03-01,5,4
2022-03-01,6,1
2022-03-01,7,17
2022-03-01,8,35
2022-03-01,9,37
2022-03-01,10,23
2022-03-01,11,21
2022-03-01,12,18
2022-03-01,13,18
2022-03-01,14,10
2022-03-01,15,22
2022-03-01,16,22
2022-03-01,17,39
2022-03-01,18,21
2022-03-01,19,16
2022-03-01,20,16
2022-03-01,21,16
2022-03-01,22,21
2022-03-01,23,11
2022-03-02,0,10
2022-03-02,1,16
2022-03-02,2,5
2022-03-02,3,4
2022-03-02,4,7
2022-03-02,5,3
2022-03-02,6,6
2022-03-02,7,16
2022-03-02,8,31
2022-03-02,9,31
2022-03-02,10,31
2022-03-02,11,24
2022-03-02,12,13
2022-03-02,13,24
2022-03-02,14,26
2022-03-02,15,36
2022-03-02,16,20
2022-03-02,17,26
2022-03-02,18,14
2022-03-02,19,21
2022-03-02,20,21
2022-03-02,21,16
2022-03-02,22,16
2022-03-02,23,15
2022-03-03,0,8
2022-03-03,1,4
2022-03-03,2,6
2022-03-03,3,1
2022-03-03,4,0
2022-03-03,5,3
2022-03-03,6,8
2022-03-03,7,16
2022-03-03,8,16
2022-03-03,9,26
2022-03-03,10,19
2022-03-03,11,19
2022-03-03,12,37
2022-03-03,13,18
2022-03-03,14,26
2022-03-03,15,23
2022-03-03,16,28
2022-03-03,17,17
2022-03-03,18,25
2022-03-03,19,36
2022-03-03,20,31
2022-03-03,21,16
2022-03-03,22,16
2022-03-03,23,11
2022-03-04,0,10
2022-03-04,1,12
2022-03-04,2,9
2022-03-04,3,2
2022-03-04,4,3
2022-03-04,5,0
2022-03-04,6,1
2022-03-04,7,21
2022-03-04,8,27
2022-03-04,9,54
2022-03-04,10,31
2022-03-04,11,26
2022-03-04,12,36
2022-03-04,13,35
2022-03-04,14,30
2022-03-04,15,17
2022-03-04,16,28
2022-03-04,17,26
2022-03-04,18,33
2022-03-04,19,34
2022-03-04,20,33
