date,time,flow
2022-03-01,0,44
2022-03-01,1,4
2022-03-01,2,71
2022-03-01,3,71
2022-03-01,4,80
2022-03-01,5,35
2022-03-01,6,35
2022-03-01,7,50
2022-03-01,8,131
2022-03-01,9,151
2022-03-01,10,66
2022-03-01,11,97
2022-03-01,12,84
2022-03-01,13,88
2022-03-01,14,113
2022-03-01,15,123
2022-03-01,16,123
2022-03-01,17,119
2022-03-01,18,127
2022-03-01,19,120
2022-03-01,20,83
2022-03-01,21,58
2022-03-01,22,127
2022-03-01,23,115
2022-03-02,0,79
2022-03-02,1,83
2022-03-02,2,79
2022-03-02,3,72
2022-03-02,4,57
2022-03-02,5,75
2022-03-02,6,84
2022-03-02,7,84
2022-03-02,8,141
2022-03-02,9,136
2022-03-02,10,118
2022-03-02,11,79
2022-03-02,12,124
2022-03-02,13,110
2022-03-02,14,146
2022-03-02,15,155
2022-03-02,16,159
2022-03-02,17,172
2022-03-02,18,136
2022-03-02,19,105
2022-03-02,20,105
2022-03-02,21,114
2022-03-02,22,119
2022-03-02,23,75
2022-03-03,0,53
2022-03-03,1,92
2022-03-03,2,22
2022-03-03,3,35
2022-03-03,4,58
2022-03-03,5,75
2022-03-03,6,88
2022-03-03,7,71
2022-03-03,8,133
2022-03-03,9,155
2022-03-03,10,114
2022-03-03,11,79
2022-03-03,12,84
2022-03-03,13,80
2022-03-03,14,72
2022-03-03,15,71
2022-03-03,16,85
2022-03-03,17,88
2022-03-03,18,75
2022-03-03,19,79
2022-03-03,20,57
2022-03-03,21,49
2022-03-03,22,89
2022-03-03,23,61
2022-03-04,0,16
2022-03-04,1,8
2022-03-04,2,17
2022-03-04,3,13
2022-03-04,4,48
2022-03-04,5,61
2022-03-04,6,30
2022-03-04,7,55
2022-03-04,8,71
2022-03-04,9,59
2022-03-04,10,58
2022-03-04,11,67
2022-03-04,12,85
2022-03-04,13,92
2022-03-04,14,96
2022-03-04,15,110
2022-03-04,16,136
2022-03-04,17,127
2022-03-04,18,106
2022-03-04,19,124
2022-03-04,20,108
2022-03-04,21,75
2022-03-04,22,56
2022-03-04,23,44
2022-03-05,0,74
2022-03-05,1,40
2022-03-05,2,133
2022-03-05,3,79
2022-03-05,4,57
2022-03-05,5,109
2022-03-05,6,71
2022-03-05,7,89
2022-03-05,8,140
2022-03-05,9,133
2022-03-05,10,75
2022-03-05,11,80
2022-03-05,12,109
2022-03-05,13,139
2022-03-05,14,96
2022-03-05,15,93
2022-03-05,16,89
2022-03-05,17,71
2022-03-05,18,70
2022-03-05,19,89
2022-03-05,20,114
2022-03-05,21,85
2022-03-05,22,66
2022-03-05,23,71
2022-03-06,0,48
2022-03-06,1,30
2022-03-06,2,79
2022-03-06,3,110
2022-03-06,4,93
2022-03-06,5,57
2022-03-06,6,84
2022-03-06,7,115
2022-03-06,8,48
2022-03-06,9,83
2022-03-06,10,84
2022-03-06,11,71
2022-03-06,12,115
2022-03-06,13,123
2022-03-06,14,143
2022-03-06,15,111
2022-03-06,16,84
2022-03-06,17,132
2022-03-06,18,110
2022-03-06,19,84
2022-03-06,20,84
2022-03-06,21,53
2022-03-06,22,48
2022-03-06,23,43
2022-03-07,0,29
2022-03-07,1,26
2022-03-07,2,58
2022-03-07,3,53
2022-03-07,4,62
2022-03-07,5,44
2022-03-07,6,62
2022-03-07,7,55
2022-03-07,8,81
2022-03-07,9,67
