date,time,flow
2022-03-01,0,12
2022-03-01,1,0
2022-03-01,2,2
2022-03-01,3,2
2022-03-01,4,0
2022-03-01,5,1
2022-03-01,6,10
2022-03-01,7,9
2022-03-01,8,17
2022-03-01,9,28
2022-03-01,10,30
2022-03-01,11,42
2022-03-01,12,42
2022-03-01,13,40
2022-03-01,14,22
2022-03-01,15,25
2022-03-01,16,52
2022-03-01,17,45
2022-03-01,18,24
2022-03-01,19,17
2022-03-01,20,25
2022-03-01,21,15
2022-03-01,22,20
2022-03-01,23,18
2022-03-02,0,2
2022-03-02,1,4
2022-03-02,2,0
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,3
2022-03-02,6,8
2022-03-02,7,18
2022-03-02,8,36
2022-03-02,9,27
2022-03-02,10,33
2022-03-02,11,33
2022-03-02,12,38
2022-03-02,13,26
2022-03-02,14,33
2022-03-02,15,37
2022-03-02,16,31
2022-03-02,17,37
2022-03-02,18,26
2022-03-02,19,37
2022-03-02,20,26
2022-03-02,21,21
2022-03-02,22,21
2022-03-02,23,15
2022-03-03,0,14
2022-03-03,1,2
2022-03-03,2,0
2022-03-03,3,4
2022-03-03,4,1
2022-03-03,5,3
2022-03-03,6,14
2022-03-03,7,17
2022-03-03,8,27
2022-03-03,9,33
2022-03-03,10,25
2022-03-03,11,28
2022-03-03,12,46
2022-03-03,13,54
2022-03-03,14,32
2022-03-03,15,21
2022-03-03,16,36
2022-03-03,17,30
2022-03-03,18,41
2022-03-03,19,43
2022-03-03,20,36
2022-03-03,21,15
2022-03-03,22,24
2022-03-03,23,19
2022-03-04,0,1
2022-03-04,1,1
2022-03-04,2,4
2022-03-04,3,3
2022-03-04,4,2
2022-03-04,5,5
2022-03-04,6,14
2022-03-04,7,28
2022-03-04,8,20
2022-03-04,9,32
2022-03-04,10,44
2022-03-04,11,41
2022-03-04,12,39
2022-03-04,13,35
2022-03-04,14,49
2022-03-04,15,51
2022-03-04,16,38
2022-03-04,17,54
2022-03-04,18,26
2022-03-04,19,15
2022-03-04,20,26
2022-03-04,21,11
2022-03-04,22,14
2022-03-04,23,17
2022-03-05,0,12
2022-03-05,1,8
2022-03-05,2,42
2022-03-05,3,5
2022-03-05,4,2
2022-03-05,5,3
2022-03-05,6,13
2022-03-05,7,8
2022-03-05,8,12
2022-03-05,9,21
2022-03-05,10,20
2022-03-05,11,35
2022-03-05,12,46
2022-03-05,13,53
2022-03-05,14,53
2022-03-05,15,57
2022-03-05,16,43
2022-03-05,17,49
2022-03-05,18,29
2022-03-05,19,28
