date,time,flow
2022-03-01,0,17
2022-03-01,1,6
2022-03-01,2,4
2022-03-01,3,2
2022-03-01,4,3
2022-03-01,5,9
2022-03-01,6,20
2022-03-01,7,29
2022-03-01,8,44
2022-03-01,9,64
2022-03-01,10,54
2022-03-01,11,60
2022-03-01,12,45
2022-03-01,13,56
2022-03-01,14,62
2022-03-01,15,57
2022-03-01,16,35
2022-03-01,17,31
2022-03-01,18,44
2022-03-01,19,37
2022-03-01,20,44
2022-03-01,21,23
2022-03-01,22,13
2022-03-01,23,15
2022-03-02,0,17
2022-03-02,1,12
2022-03-02,2,2
2022-03-02,3,1
2022-03-02,4,4
2022-03-02,5,8
2022-03-02,6,20
2022-03-02,7,25
2022-03-02,8,41
2022-03-02,9,64
2022-03-02,10,52
2022-03-02,11,51
2022-03-02,12,62
2022-03-02,13,39
2022-03-02,14,41
2022-03-02,15,50
2022-03-02,16,41
2022-03-02,17,39
2022-03-02,18,35
2022-03-02,19,65
2022-03-02,20,28
2022-03-02,21,29
2022-03-02,22,32
2022-03-02,23,12
2022-03-03,0,10
2022-03-03,1,2
2022-03-03,2,3
2022-03-03,3,7
2022-03-03,4,4
2022-03-03,5,16
2022-03-03,6,26
2022-03-03,7,37
2022-03-03,8,51
2022-03-03,9,66
2022-03-03,10,24
2022-03-03,11,0
2022-03-03,12,0
2022-03-03,13,0
2022-03-03,14,0
2022-03-03,15,0
2022-03-03,16,0
2022-03-03,17,0
2022-03-03,18,0
2022-03-03,19,14
2022-03-03,20,32
2022-03-03,21,21
2022-03-03,22,26
2022-03-03,23,18
2022-03-04,0,18
2022-03-04,1,16
2022-03-04,2,9
2022-03-04,3,4
2022-03-04,4,4
2022-03-04,5,10
2022-03-04,6,20
2022-03-04,7,34
2022-03-04,8,37
2022-03-04,9,59
2022-03-04,10,55
2022-03-04,11,51
2022-03-04,12,56
2022-03-04,13,64
2022-03-04,14,61
2022-03-04,15,50
2022-03-04,16,29
2022-03-04,17,39
2022-03-04,18,44
2022-03-04,19,40
2022-03-04,20,38
2022-03-04,21,43
2022-03-04,22,25
2022-03-04,23,24
2022-03-05,0,24
2022-03-05,1,30
2022-03-05,2,11
2022-03-05,3,9
2022-03-05,4,6
2022-03-05,5,5
2022-03-05,6,11
2022-03-05,7,23
2022-03-05,8,19
2022-03-05,9,40
2022-03-05,10,40
2022-03-05,11,62
2022-03-05,12,57
2022-03-05,13,68
2022-03-05,14,74
2022-03-05,15,42
2022-03-05,16,26
2022-03-05,17,40
2022-03-05,18,39
2022-03-05,19,40
2022-03-05,20,43
2022-03-05,21,33
2022-03-05,22,32
2022-03-05,23,32
2022-03-06,0,26
2022-03-06,1,37
2022-03-06,2,10
2022-03-06,3,15
2022-03-06,4,7
2022-03-06,5,6
2022-03-06,6,10
2022-03-06,7,21
2022-03-06,8,12
2022-03-06,9,19
2022-03-06,10,29
2022-03-06,11,45
2022-03-06,12,43
2022-03-06,13,50
2022-03-06,14,35
2022-03-06,15,43
2022-03-06,16,27
2022-03-06,17,28
2022-03-06,18,33
2022-03-06,19,51
2022-03-06,20,32
2022-03-06,21,11
2022-03-06,22,16
2022-03-06,23,16
2022-03-07,0,7
2022-03-07,1,11
2022-03-07,2,1
2022-03-07,3,1
2022-03-07,4,5
2022-03-07,5,16
2022-03-07,6,20
2022-03-07,7,33
2022-03-07,8,39
2022-03-07,9,49
2022-03-07,10,46
2022-03-07,11,48
2022-03-07,12,64
2022-03-07,13,53
2022-03-07,14,52
2022-03-07,15,53
2022-03-07,16,49
2022-03-07,17,39
2022-03-07,18,30
2022-03-07,19,39
2022-03-07,20,27
2022-03-07,21,25
2022-03-07,22,27
2022-03-07,23,25
2022-03-08,0,26
2022-03-08,1,14
2022-03-08,2,4
2022-03-08,3,5
2022-03-08,4,10
2022-03-08,5,13
2022-03-08,6,25
2022-03-08,7,40
2022-03-08,8,46
2022-03-08,9,58
2022-03-08,10,38
2022-03-08,11,51
2022-03-08,12,66
2022-03-08,13,55
2022-03-08,14,48
2022-03-08,15,41
2022-03-08,16,50
2022-03-08,17,59
2022-03-08,18,38
2022-03-08,19,37
2022-03-08,20,24
2022-03-08,21,46
2022-03-08,22,32
2022-03-08,23,20
2022-03-09,0,18
2022-03-09,1,9
2022-03-09,2,7
2022-03-09,3,5
2022-03-09,4,7
2022-03-09,5,13
2022-03-09,6,28
2022-03-09,7,31
2022-03-09,8,42
2022-03-09,9,61
2022-03-09,10,56
2022-03-09,11,49
2022-03-09,12,61
2022-03-09,13,54
2022-03-09,14,60
2022-03-09,15,43
2022-03-09,16,37
2022-03-09,17,27
2022-03-09,18,33
2022-03-09,19,43
2022-03-09,20,29
2022-03-09,21,35
2022-03-09,22,36
2022-03-09,23,22
2022-03-10,0,15
2022-03-10,1,5
2022-03-10,2,8
2022-03-10,3,7
2022-03-10,4,6
2022-03-10,5,13
2022-03-10,6,22
2022-03-10,7,33
2022-03-10,8,50
2022-03-10,9,53
2022-03-10,10,50
2022-03-10,11,46
2022-03-10,12,62
2022-03-10,13,67
2022-03-10,14,62
2022-03-10,15,55
2022-03-10,16,46
2022-03-10,17,54
2022-03-10,18,53
2022-03-10,19,53
2022-03-10,20,26
2022-03-10,21,52
2022-03-10,22,36
2022-03-10,23,23
2022-03-11,0,23
2022-03-11,1,13
2022-03-11,2,13
2022-03-11,3,6
2022-03-11,4,6
2022-03-11,5,16
2022-03-11,6,22
2022-03-11,7,32
2022-03-11,8,35
2022-03-11,9,58
