date,time,flow
2022-03-01,0,29
2022-03-01,1,7
2022-03-01,2,0
2022-03-01,3,8
2022-03-01,4,2
2022-03-01,5,17
2022-03-01,6,43
2022-03-01,7,76
2022-03-01,8,134
2022-03-01,9,132
2022-03-01,10,108
2022-03-01,11,113
2022-03-01,12,132
2022-03-01,13,147
2022-03-01,14,134
2022-03-01,15,113
2022-03-01,16,105
2022-03-01,17,114
2022-03-01,18,92
2022-03-01,19,94
2022-03-01,20,71
2022-03-01,21,55
2022-03-01,22,38
2022-03-01,23,39
2022-03-02,0,23
2022-03-02,1,4
2022-03-02,2,3
2022-03-02,3,3
2022-03-02,4,5
2022-03-02,5,23
2022-03-02,6,43
2022-03-02,7,64
2022-03-02,8,77
2022-03-02,9,141
2022-03-02,10,127
2022-03-02,11,95
2022-03-02,12,147
2022-03-02,13,136
2022-03-02,14,134
2022-03-02,15,114
2022-03-02,16,124
2022-03-02,17,134
2022-03-02,18,113
2022-03-02,19,225
2022-03-02,20,65
2022-03-02,21,52
2022-03-02,22,48
2022-03-02,23,26
2022-03-03,0,33
2022-03-03,1,10
2022-03-03,2,5
2022-03-03,3,5
2022-03-03,4,9
2022-03-03,5,11
2022-03-03,6,41
2022-03-03,7,96
2022-03-03,8,71
2022-03-03,9,136
2022-03-03,10,60
2022-03-03,11,0
2022-03-03,12,0
2022-03-03,13,0
2022-03-03,14,0
2022-03-03,15,0
2022-03-03,16,0
2022-03-03,17,0
2022-03-03,18,0
2022-03-03,19,26
2022-03-03,20,77
2022-03-03,21,55
2022-03-03,22,38
2022-03-03,23,33
2022-03-04,0,47
2022-03-04,1,24
2022-03-04,2,14
2022-03-04,3,1
2022-03-04,4,5
2022-03-04,5,18
2022-03-04,6,37
2022-03-04,7,81
2022-03-04,8,55
2022-03-04,9,114
2022-03-04,10,116
2022-03-04,11,104
2022-03-04,12,142
2022-03-04,13,153
2022-03-04,14,181
2022-03-04,15,105
2022-03-04,16,94
2022-03-04,17,129
2022-03-04,18,116
2022-03-04,19,117
2022-03-04,20,77
2022-03-04,21,66
2022-03-04,22,53
2022-03-04,23,50
2022-03-05,0,30
2022-03-05,1,21
2022-03-05,2,11
2022-03-05,3,16
2022-03-05,4,12
2022-03-05,5,9
2022-03-05,6,24
2022-03-05,7,43
2022-03-05,8,48
2022-03-05,9,90
2022-03-05,10,100
2022-03-05,11,148
2022-03-05,12,99
2022-03-05,13,153
2022-03-05,14,142
2022-03-05,15,109
2022-03-05,16,71
2022-03-05,17,76
2022-03-05,18,88
2022-03-05,19,91
2022-03-05,20,79
2022-03-05,21,57
2022-03-05,22,58
2022-03-05,23,49
2022-03-06,0,38
2022-03-06,1,23
2022-03-06,2,9
2022-03-06,3,17
2022-03-06,4,8
2022-03-06,5,7
2022-03-06,6,15
2022-03-06,7,25
2022-03-06,8,25
2022-03-06,9,66
2022-03-06,10,79
2022-03-06,11,77
2022-03-06,12,100
2022-03-06,13,134
2022-03-06,14,102
2022-03-06,15,98
2022-03-06,16,61
2022-03-06,17,65
2022-03-06,18,75
2022-03-06,19,90
2022-03-06,20,70
2022-03-06,21,34
2022-03-06,22,34
2022-03-06,23,26
2022-03-07,0,25
2022-03-07,1,3
2022-03-07,2,2
2022-03-07,3,3
2022-03-07,4,6
2022-03-07,5,15
2022-03-07,6,33
