date,time,flow
2022-03-01,0,27
2022-03-01,1,20
2022-03-01,2,14
2022-03-01,3,10
2022-03-01,4,17
2022-03-01,5,51
2022-03-01,6,75
2022-03-01,7,192
2022-03-01,8,250
2022-03-01,9,202
2022-03-01,10,190
2022-03-01,11,191
2022-03-01,12,212
2022-03-01,13,254
2022-03-01,14,251
2022-03-01,15,200
2022-03-01,16,194
2022-03-01,17,243
2022-03-01,18,226
2022-03-01,19,169
2022-03-01,20,159
2022-03-01,21,129
2022-03-01,22,136
2022-03-01,23,150
2022-03-02,0,44
2022-03-02,1,43
2022-03-02,2,15
2022-03-02,3,10
2022-03-02,4,31
2022-03-02,5,43
2022-03-02,6,86
2022-03-02,7,158
2022-03-02,8,170
2022-03-02,9,191
2022-03-02,10,178
2022-03-02,11,159
2022-03-02,12,207
2022-03-02,13,200
2022-03-02,14,207
2022-03-02,15,199
2022-03-02,16,201
2022-03-02,17,178
2022-03-02,18,177
2022-03-02,19,232
2022-03-02,20,158
2022-03-02,21,126
2022-03-02,22,254
2022-03-02,23,94
2022-03-03,0,54
2022-03-03,1,15
2022-03-03,2,20
2022-03-03,3,28
2022-03-03,4,30
2022-03-03,5,45
2022-03-03,6,67
2022-03-03,7,159
2022-03-03,8,122
2022-03-03,9,234
2022-03-03,10,103
2022-03-03,11,0
2022-03-03,12,0
2022-03-03,13,0
2022-03-03,14,0
2022-03-03,15,0
2022-03-03,16,0
2022-03-03,17,0
2022-03-03,18,0
2022-03-03,19,42
2022-03-03,20,158
2022-03-03,21,136
2022-03-03,22,132
2022-03-03,23,94
2022-03-04,0,38
2022-03-04,1,44
2022-03-04,2,33
2022-03-04,3,11
2022-03-04,4,23
2022-03-04,5,37
2022-03-04,6,86
2022-03-04,7,150
2022-03-04,8,107
2022-03-04,9,219
2022-03-04,10,203
2022-03-04,11,223
2022-03-04,12,250
2022-03-04,13,260
2022-03-04,14,269
2022-03-04,15,279
2022-03-04,16,180
2022-03-04,17,215
2022-03-04,18,211
2022-03-04,19,209
2022-03-04,20,186
2022-03-04,21,180
2022-03-04,22,138
2022-03-04,23,158
2022-03-05,0,74
2022-03-05,1,53
2022-03-05,2,65
2022-03-05,3,47
2022-03-05,4,44
2022-03-05,5,35
2022-03-05,6,39
2022-03-05,7,120
2022-03-05,8,89
2022-03-05,9,125
2022-03-05,10,170
2022-03-05,11,197
2022-03-05,12,259
2022-03-05,13,267
2022-03-05,14,289
2022-03-05,15,264
2022-03-05,16,158
2022-03-05,17,206
2022-03-05,18,215
2022-03-05,19,207
2022-03-05,20,187
2022-03-05,21,153
2022-03-05,22,152
2022-03-05,23,148
2022-03-06,0,118
2022-03-06,1,85
2022-03-06,2,52
2022-03-06,3,58
2022-03-06,4,38
2022-03-06,5,37
2022-03-06,6,60
2022-03-06,7,61
2022-03-06,8,54
2022-03-06,9,79
2022-03-06,10,144
2022-03-06,11,181
2022-03-06,12,237
2022-03-06,13,232
2022-03-06,14,237
2022-03-06,15,227
2022-03-06,16,150
2022-03-06,17,172
2022-03-06,18,198
2022-03-06,19,180
2022-03-06,20,164
2022-03-06,21,93
2022-03-06,22,79
2022-03-06,23,97
2022-03-07,0,42
2022-03-07,1,35
2022-03-07,2,16
2022-03-07,3,14
2022-03-07,4,25
2022-03-07,5,44
2022-03-07,6,74
2022-03-07,7,159
2022-03-07,8,161
2022-03-07,9,180
2022-03-07,10,185
2022-03-07,11,176
2022-03-07,12,211
2022-03-07,13,250
2022-03-07,14,237
2022-03-07,15,250
2022-03-07,16,181
2022-03-07,17,229
2022-03-07,18,202
2022-03-07,19,157
2022-03-07,20,135
2022-03-07,21,159
2022-03-07,22,179
2022-03-07,23,182
2022-03-08,0,81
2022-03-08,1,66
2022-03-08,2,58
2022-03-08,3,43
2022-03-08,4,49
2022-03-08,5,46
2022-03-08,6,82
2022-03-08,7,152
2022-03-08,8,160
2022-03-08,9,201
2022-03-08,10,198
2022-03-08,11,208
2022-03-08,12,219
2022-03-08,13,260
2022-03-08,14,234
2022-03-08,15,233
2022-03-08,16,218
2022-03-08,17,203
2022-03-08,18,196
