date,time,flow
2022-03-01,0,31
2022-03-01,1,16
2022-03-01,2,8
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,4
2022-03-01,6,16
2022-03-01,7,35
2022-03-01,8,52
2022-03-01,9,71
2022-03-01,10,67
2022-03-01,11,62
2022-03-01,12,76
2022-03-01,13,76
2022-03-01,14,71
2022-03-01,15,80
2022-03-01,16,105
2022-03-01,17,112
2022-03-01,18,112
2022-03-01,19,84
2022-03-01,20,66
2022-03-01,21,52
2022-03-01,22,48
2022-03-01,23,40
2022-03-02,0,31
2022-03-02,1,16
2022-03-02,2,8
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,4
2022-03-02,6,16
2022-03-02,7,36
2022-03-02,8,49
2022-03-02,9,67
2022-03-02,10,62
2022-03-02,11,62
2022-03-02,12,67
2022-03-02,13,76
2022-03-02,14,76
2022-03-02,15,80
2022-03-02,16,102
2022-03-02,17,113
2022-03-02,18,101
2022-03-02,19,88
2022-03-02,20,67
2022-03-02,21,57
2022-03-02,22,76
2022-03-02,23,40
2022-03-03,0,45
2022-03-03,1,16
2022-03-03,2,8
2022-03-03,3,16
2022-03-03,4,10
2022-03-03,5,4
2022-03-03,6,16
2022-03-03,7,36
2022-03-03,8,52
2022-03-03,9,62
2022-03-03,10,53
2022-03-03,11,62
2022-03-03,12,72
2022-03-03,13,72
2022-03-03,14,72
2022-03-03,15,80
2022-03-03,16,103
2022-03-03,17,113
2022-03-03,18,107
2022-03-03,19,79
2022-03-03,20,67
2022-03-03,21,52
2022-03-03,22,57
2022-03-03,23,44
2022-03-04,0,36
2022-03-04,1,21
2022-03-04,2,12
2022-03-04,3,16
2022-03-04,4,12
2022-03-04,5,4
2022-03-04,6,16
2022-03-04,7,40
2022-03-04,8,58
2022-03-04,9,67
2022-03-04,10,67
2022-03-04,11,72
2022-03-04,12,84
2022-03-04,13,76
2022-03-04,14,88
2022-03-04,15,108
2022-03-04,16,105
2022-03-04,17,111
2022-03-04,18,113
2022-03-04,19,104
2022-03-04,20,99
2022-03-04,21,72
2022-03-04,22,80
2022-03-04,23,84
2022-03-05,0,62
2022-03-05,1,52
2022-03-05,2,40
2022-03-05,3,40
2022-03-05,4,21
2022-03-05,5,12
2022-03-05,6,12
2022-03-05,7,16
2022-03-05,8,26
2022-03-05,9,44
2022-03-05,10,53
2022-03-05,11,80
2022-03-05,12,80
2022-03-05,13,88
2022-03-05,14,96
2022-03-05,15,109
2022-03-05,16,105
2022-03-05,17,96
2022-03-05,18,99
2022-03-05,19,101
2022-03-05,20,96
2022-03-05,21,72
2022-03-05,22,71
2022-03-05,23,76
2022-03-06,0,71
2022-03-06,1,35
2022-03-06,2,40
2022-03-06,3,27
2022-03-06,4,31
2022-03-06,5,12
2022-03-06,6,16
2022-03-06,7,16
2022-03-06,8,12
2022-03-06,9,12
2022-03-06,10,31
2022-03-06,11,40
2022-03-06,12,67
2022-03-06,13,76
2022-03-06,14,54
2022-03-06,15,80
2022-03-06,16,70
2022-03-06,17,62
2022-03-06,18,71
2022-03-06,19,72
2022-03-06,20,60
2022-03-06,21,39
2022-03-06,22,48
2022-03-06,23,40
2022-03-07,0,31
2022-03-07,1,21
2022-03-07,2,8
2022-03-07,3,4
2022-03-07,4,12
2022-03-07,5,4
2022-03-07,6,21
2022-03-07,7,39
2022-03-07,8,52
2022-03-07,9,67
2022-03-07,10,57
2022-03-07,11,62
2022-03-07,12,71
2022-03-07,13,76
2022-03-07,14,80
2022-03-07,15,76
2022-03-07,16,92
2022-03-07,17,113
2022-03-07,18,95
2022-03-07,19,76
2022-03-07,20,67
2022-03-07,21,48
2022-03-07,22,44
2022-03-07,23,44
2022-03-08,0,31
2022-03-08,1,12
2022-03-08,2,12
2022-03-08,3,0
2022-03-08,4,12
2022-03-08,5,4
2022-03-08,6,16
2022-03-08,7,48
2022-03-08,8,52
2022-03-08,9,72
2022-03-08,10,72
2022-03-08,11,62
2022-03-08,12,76
2022-03-08,13,76
2022-03-08,14,67
2022-03-08,15,80
2022-03-08,16,102
2022-03-08,17,114
2022-03-08,18,104
2022-03-08,19,80
2022-03-08,20,57
2022-03-08,21,52
2022-03-08,22,48
2022-03-08,23,44
2022-03-09,0,31
2022-03-09,1,16
2022-03-09,2,4
2022-03-09,3,8
2022-03-09,4,2
2022-03-09,5,8
2022-03-09,6,16
2022-03-09,7,36
2022-03-09,8,48
2022-03-09,9,62
2022-03-09,10,62
2022-03-09,11,67
2022-03-09,12,67
2022-03-09,13,76
2022-03-09,14,72
2022-03-09,15,76
2022-03-09,16,105
2022-03-09,17,99
2022-03-09,18,101
2022-03-09,19,84
2022-03-09,20,58
2022-03-09,21,57
2022-03-09,22,52
2022-03-09,23,36
2022-03-10,0,22
2022-03-10,1,21
2022-03-10,2,8
2022-03-10,3,16
2022-03-10,4,4
2022-03-10,5,4
2022-03-10,6,16
2022-03-10,7,45
2022-03-10,8,39
2022-03-10,9,67
2022-03-10,10,57
2022-03-10,11,62
2022-03-10,12,72
2022-03-10,13,80
2022-03-10,14,72
2022-03-10,15,80
2022-03-10,16,104
2022-03-10,17,112
2022-03-10,18,110
2022-03-10,19,99
2022-03-10,20,80
2022-03-10,21,71
2022-03-10,22,76
2022-03-10,23,62
2022-03-11,0,49
2022-03-11,1,21
2022-03-11,2,16
2022-03-11,3,16
2022-03-11,4,12
2022-03-11,5,8
2022-03-11,6,16
2022-03-11,7,40
2022-03-11,8,53
2022-03-11,9,67
2022-03-11,10,72
2022-03-11,11,72
2022-03-11,12,80
2022-03-11,13,84
2022-03-11,14,88
2022-03-11,15,100
2022-03-11,16,109
2022-03-11,17,102
2022-03-11,18,111
2022-03-11,19,100
2022-03-11,20,88
2022-03-11,21,67
2022-03-11,22,76
2022-03-11,23,75
2022-03-12,0,67
2022-03-12,1,40
2022-03-12,2,36
2022-03-12,3,40
2022-03-12,4,21
2022-03-12,5,16
2022-03-12,6,12
2022-03-12,7,16
2022-03-12,8,17
2022-03-12,9,26
2022-03-12,10,48
2022-03-12,11,76
2022-03-12,12,75
2022-03-12,13,76
2022-03-12,14,88
2022-03-12,15,96
2022-03-12,16,109
2022-03-12,17,96
2022-03-12,18,92
2022-03-12,19,96
2022-03-12,20,84
2022-03-12,21,54
2022-03-12,22,49
2022-03-12,23,61
2022-03-13,0,84
2022-03-13,1,62
2022-03-13,2,40
2022-03-13,3,36
2022-03-13,4,31
2022-03-13,5,12
2022-03-13,6,16
2022-03-13,7,16
2022-03-13,8,16
2022-03-13,9,16
2022-03-13,10,36
2022-03-13,11,40
2022-03-13,12,67
2022-03-13,13,76
2022-03-13,14,72
2022-03-13,15,84
2022-03-13,16,92
2022-03-13,17,80
2022-03-13,18,84
2022-03-13,19,76
2022-03-13,20,62
2022-03-13,21,52
2022-03-13,22,52
2022-03-13,23,40
2022-03-14,0,40
2022-03-14,1,12
2022-03-14,2,16
2022-03-14,3,8
2022-03-14,4,12
2022-03-14,5,8
2022-03-14,6,21
2022-03-14,7,44
2022-03-14,8,39
2022-03-14,9,72
2022-03-14,10,49
2022-03-14,11,67
2022-03-14,12,71
2022-03-14,13,72
2022-03-14,14,58
2022-03-14,15,80
2022-03-14,16,95
2022-03-14,17,153
2022-03-14,18,120
2022-03-14,19,76
2022-03-14,20,62
2022-03-14,21,35
2022-03-14,22,44
2022-03-14,23,36
2022-03-15,0,26
2022-03-15,1,12
2022-03-15,2,4
2022-03-15,3,0
2022-03-15,4,4
2022-03-15,5,4
2022-03-15,6,21
2022-03-15,7,39
2022-03-15,8,52
2022-03-15,9,71
2022-03-15,10,72
2022-03-15,11,62
2022-03-15,12,71
2022-03-15,13,76
2022-03-15,14,67
2022-03-15,15,80
2022-03-15,16,100
2022-03-15,17,116
2022-03-15,18,103
2022-03-15,19,84
2022-03-15,20,62
2022-03-15,21,57
2022-03-15,22,57
2022-03-15,23,44
2022-03-16,0,36
2022-03-16,1,16
2022-03-16,2,8
2022-03-16,3,12
2022-03-16,4,4
2022-03-16,5,4
2022-03-16,6,21
2022-03-16,7,40
2022-03-16,8,58
2022-03-16,9,62
2022-03-16,10,62
2022-03-16,11,67
2022-03-16,12,72
2022-03-16,13,80
2022-03-16,14,76
2022-03-16,15,88
2022-03-16,16,100
2022-03-16,17,113
2022-03-16,18,98
2022-03-16,19,84
2022-03-16,20,66
2022-03-16,21,62
2022-03-16,22,57
2022-03-16,23,40
2022-03-17,0,44
2022-03-17,1,12
2022-03-17,2,8
2022-03-17,3,16
2022-03-17,4,12
2022-03-17,5,4
2022-03-17,6,16
2022-03-17,7,36
2022-03-17,8,52
2022-03-17,9,72
2022-03-17,10,57
2022-03-17,11,62
2022-03-17,12,72
2022-03-17,13,80
2022-03-17,14,84
2022-03-17,15,80
2022-03-17,16,102
2022-03-17,17,112
2022-03-17,18,110
2022-03-17,19,91
2022-03-17,20,67
2022-03-17,21,67
2022-03-17,22,72
2022-03-17,23,44
2022-03-18,0,40
2022-03-18,1,21
2022-03-18,2,16
2022-03-18,3,16
2022-03-18,4,12
2022-03-18,5,4
2022-03-18,6,16
2022-03-18,7,40
2022-03-18,8,53
2022-03-18,9,67
2022-03-18,10,72
2022-03-18,11,72
2022-03-18,12,80
2022-03-18,13,80
2022-03-18,14,92
2022-03-18,15,106
2022-03-18,16,104
2022-03-18,17,109
2022-03-18,18,112
2022-03-18,19,100
2022-03-18,20,92
2022-03-18,21,62
2022-03-18,22,76
2022-03-18,23,62
2022-03-19,0,57
2022-03-19,1,44
2022-03-19,2,36
2022-03-19,3,36
2022-03-19,4,16
2022-03-19,5,16
2022-03-19,6,16
2022-03-19,7,16
2022-03-19,8,31
2022-03-19,9,44
2022-03-19,10,53
2022-03-19,11,84
2022-03-19,12,88
2022-03-19,13,92
2022-03-19,14,96
2022-03-19,15,116
2022-03-19,16,95
2022-03-19,17,102
2022-03-19,18,100
2022-03-19,19,96
2022-03-19,20,80
2022-03-19,21,62
2022-03-19,22,67
2022-03-19,23,57
2022-03-20,0,54
2022-03-20,1,48
2022-03-20,2,40
2022-03-20,3,36
2022-03-20,4,31
2022-03-20,5,12
2022-03-20,6,12
2022-03-20,7,16
2022-03-20,8,16
2022-03-20,9,21
2022-03-20,10,31
2022-03-20,11,40
2022-03-20,12,57
2022-03-20,13,72
2022-03-20,14,67
2022-03-20,15,76
2022-03-20,16,84
2022-03-20,17,80
2022-03-20,18,80
2022-03-20,19,72
2022-03-20,20,57
2022-03-20,21,48
2022-03-20,22,52
2022-03-20,23,40
2022-03-21,0,35
2022-03-21,1,16
2022-03-21,2,8
2022-03-21,3,8
2022-03-21,4,8
2022-03-21,5,8
2022-03-21,6,21
2022-03-21,7,35
2022-03-21,8,57
2022-03-21,9,62
2022-03-21,10,62
2022-03-21,11,67
2022-03-21,12,73
2022-03-21,13,76
2022-03-21,14,80
2022-03-21,15,76
2022-03-21,16,96
2022-03-21,17,114
2022-03-21,18,101
2022-03-21,19,76
2022-03-21,20,67
2022-03-21,21,48
2022-03-21,22,44
2022-03-21,23,36
2022-03-22,0,31
2022-03-22,1,16
2022-03-22,2,8
2022-03-22,3,0
2022-03-22,4,8
2022-03-22,5,4
2022-03-22,6,16
2022-03-22,7,48
2022-03-22,8,52
2022-03-22,9,72
2022-03-22,10,72
2022-03-22,11,62
2022-03-22,12,76
2022-03-22,13,67
2022-03-22,14,72
2022-03-22,15,84
2022-03-22,16,88
2022-03-22,17,107
2022-03-22,18,118
2022-03-22,19,84
2022-03-22,20,58
2022-03-22,21,52
2022-03-22,22,48
2022-03-22,23,40
2022-03-23,0,31
2022-03-23,1,21
2022-03-23,2,8
2022-03-23,3,0
2022-03-23,4,2
2022-03-23,5,4
2022-03-23,6,16
2022-03-23,7,36
2022-03-23,8,48
2022-03-23,9,57
2022-03-23,10,62
2022-03-23,11,62
2022-03-23,12,67
2022-03-23,13,76
2022-03-23,14,72
2022-03-23,15,80
2022-03-23,16,105
2022-03-23,17,106
2022-03-23,18,107
2022-03-23,19,84
2022-03-23,20,58
2022-03-23,21,57
2022-03-23,22,48
2022-03-23,23,40
2022-03-24,0,35
2022-03-24,1,16
2022-03-24,2,8
2022-03-24,3,16
2022-03-24,4,12
2022-03-24,5,4
2022-03-24,6,16
2022-03-24,7,36
2022-03-24,8,52
2022-03-24,9,62
2022-03-24,10,62
2022-03-24,11,67
2022-03-24,12,70
2022-03-24,13,76
2022-03-24,14,76
2022-03-24,15,80
2022-03-24,16,109
2022-03-24,17,102
2022-03-24,18,113
2022-03-24,19,98
2022-03-24,20,71
2022-03-24,21,62
2022-03-24,22,72
2022-03-24,23,48
2022-03-25,0,40
2022-03-25,1,21
2022-03-25,2,12
2022-03-25,3,16
2022-03-25,4,8
2022-03-25,5,4
2022-03-25,6,16
2022-03-25,7,40
2022-03-25,8,48
2022-03-25,9,67
2022-03-25,10,62
2022-03-25,11,72
2022-03-25,12,80
2022-03-25,13,80
2022-03-25,14,88
2022-03-25,15,105
2022-03-25,16,106
2022-03-25,17,105
2022-03-25,18,114
2022-03-25,19,96
2022-03-25,20,100
2022-03-25,21,72
2022-03-25,22,80
