date,time,flow
2022-03-01,0,29
2022-03-01,1,10
2022-03-01,2,7
2022-03-01,3,6
2022-03-01,4,3
2022-03-01,5,14
2022-03-01,6,27
2022-03-01,7,68
2022-03-01,8,96
2022-03-01,9,109
2022-03-01,10,92
2022-03-01,11,71
2022-03-01,12,132
2022-03-01,13,103
2022-03-01,14,105
2022-03-01,15,96
2022-03-01,16,87
2022-03-01,17,104
2022-03-01,18,121
2022-03-01,19,76
2022-03-01,20,61
2022-03-01,21,48
2022-03-01,22,35
2022-03-01,23,28
2022-03-02,0,22
2022-03-02,1,17
2022-03-02,2,4
2022-03-02,3,4
2022-03-02,4,7
2022-03-02,5,12
2022-03-02,6,24
2022-03-02,7,58
2022-03-02,8,94
2022-03-02,9,111
2022-03-02,10,117
2022-03-02,11,92
2022-03-02,12,103
2022-03-02,13,126
2022-03-02,14,106
2022-03-02,15,98
2022-03-02,16,94
2022-03-02,17,96
2022-03-02,18,107
2022-03-02,19,139
2022-03-02,20,81
2022-03-02,21,49
2022-03-02,22,50
2022-03-02,23,23
2022-03-03,0,24
2022-03-03,1,6
2022-03-03,2,9
2022-03-03,3,3
2022-03-03,4,8
2022-03-03,5,9
2022-03-03,6,18
2022-03-03,7,57
2022-03-03,8,132
2022-03-03,9,104
2022-03-03,10,105
2022-03-03,11,94
2022-03-03,12,122
2022-03-03,13,98
2022-03-03,14,120
2022-03-03,15,89
2022-03-03,16,90
2022-03-03,17,91
2022-03-03,18,94
2022-03-03,19,88
2022-03-03,20,58
2022-03-03,21,44
2022-03-03,22,54
2022-03-03,23,35
2022-03-04,0,29
2022-03-04,1,9
2022-03-04,2,8
2022-03-04,3,9
2022-03-04,4,9
2022-03-04,5,12
2022-03-04,6,27
2022-03-04,7,64
2022-03-04,8,80
2022-03-04,9,124
2022-03-04,10,103
2022-03-04,11,109
2022-03-04,12,98
2022-03-04,13,99
2022-03-04,14,90
2022-03-04,15,98
2022-03-04,16,99
2022-03-04,17,96
2022-03-04,18,114
2022-03-04,19,115
2022-03-04,20,79
2022-03-04,21,60
2022-03-04,22,86
2022-03-04,23,53
2022-03-05,0,33
2022-03-05,1,27
2022-03-05,2,20
2022-03-05,3,14
2022-03-05,4,15
2022-03-05,5,9
2022-03-05,6,29
2022-03-05,7,22
2022-03-05,8,40
2022-03-05,9,54
2022-03-05,10,72
2022-03-05,11,62
2022-03-05,12,104
2022-03-05,13,79
2022-03-05,14,79
2022-03-05,15,88
2022-03-05,16,79
2022-03-05,17,75
2022-03-05,18,95
2022-03-05,19,93
2022-03-05,20,69
2022-03-05,21,58
2022-03-05,22,58
2022-03-05,23,41
2022-03-06,0,59
2022-03-06,1,22
2022-03-06,2,20
2022-03-06,3,24
2022-03-06,4,15
2022-03-06,5,13
2022-03-06,6,14
2022-03-06,7,22
2022-03-06,8,25
2022-03-06,9,35
2022-03-06,10,67
2022-03-06,11,69
2022-03-06,12,83
2022-03-06,13,70
2022-03-06,14,91
2022-03-06,15,76
2022-03-06,16,69
2022-03-06,17,79
2022-03-06,18,79
2022-03-06,19,57
2022-03-06,20,55
2022-03-06,21,47
2022-03-06,22,29
2022-03-06,23,35
2022-03-07,0,21
2022-03-07,1,21
2022-03-07,2,4
2022-03-07,3,7
2022-03-07,4,6
2022-03-07,5,9
2022-03-07,6,17
2022-03-07,7,63
2022-03-07,8,61
2022-03-07,9,122
2022-03-07,10,84
2022-03-07,11,92
2022-03-07,12,94
2022-03-07,13,93
2022-03-07,14,93
2022-03-07,15,116
2022-03-07,16,91
2022-03-07,17,95
2022-03-07,18,110
2022-03-07,19,74
2022-03-07,20,56
2022-03-07,21,36
2022-03-07,22,46
2022-03-07,23,26
2022-03-08,0,44
2022-03-08,1,16
2022-03-08,2,7
2022-03-08,3,12
2022-03-08,4,2
2022-03-08,5,13
2022-03-08,6,20
2022-03-08,7,53
2022-03-08,8,84
2022-03-08,9,110
2022-03-08,10,112
2022-03-08,11,106
2022-03-08,12,107
2022-03-08,13,99
2022-03-08,14,104
2022-03-08,15,88
2022-03-08,16,81
2022-03-08,17,80
2022-03-08,18,95
2022-03-08,19,77
2022-03-08,20,54
2022-03-08,21,43
2022-03-08,22,41
