date,time,flow
2022-03-01,0,21
2022-03-01,1,16
2022-03-01,2,16
2022-03-01,3,12
2022-03-01,4,16
2022-03-01,5,21
2022-03-01,6,32
2022-03-01,7,79
2022-03-01,8,148
2022-03-01,9,92
2022-03-01,10,76
2022-03-01,11,80
2022-03-01,12,122
2022-03-01,13,88
2022-03-01,14,89
2022-03-01,15,92
2022-03-01,16,108
2022-03-01,17,97
2022-03-01,18,76
2022-03-01,19,66
2022-03-01,20,52
2022-03-01,21,40
2022-03-01,22,36
2022-03-01,23,24
2022-03-02,0,21
2022-03-02,1,16
2022-03-02,2,16
2022-03-02,3,16
2022-03-02,4,16
2022-03-02,5,20
2022-03-02,6,35
2022-03-02,7,100
2022-03-02,8,167
2022-03-02,9,119
2022-03-02,10,92
2022-03-02,11,88
2022-03-02,12,88
2022-03-02,13,96
2022-03-02,14,100
2022-03-02,15,109
2022-03-02,16,114
2022-03-02,17,101
2022-03-02,18,89
2022-03-02,19,84
2022-03-02,20,53
2022-03-02,21,44
2022-03-02,22,52
2022-03-02,23,32
2022-03-03,0,29
2022-03-03,1,16
2022-03-03,2,16
2022-03-03,3,16
2022-03-03,4,16
2022-03-03,5,21
2022-03-03,6,36
2022-03-03,7,92
2022-03-03,8,144
2022-03-03,9,109
2022-03-03,10,40
2022-03-03,11,0
2022-03-03,12,0
2022-03-03,13,0
2022-03-03,14,0
2022-03-03,15,0
2022-03-03,16,0
2022-03-03,17,0
2022-03-03,18,0
2022-03-03,19,0
2022-03-03,20,0
2022-03-03,21,0
2022-03-03,22,0
2022-03-03,23,0
2022-03-04,0,23
2022-03-04,1,18
2022-03-04,2,12
2022-03-04,3,16
2022-03-04,4,16
2022-03-04,5,25
2022-03-04,6,40
2022-03-04,7,97
2022-03-04,8,138
2022-03-04,9,93
2022-03-04,10,84
2022-03-04,11,88
2022-03-04,12,89
2022-03-04,13,100
2022-03-04,14,111
2022-03-04,15,99
2022-03-04,16,106
2022-03-04,17,96
2022-03-04,18,92
2022-03-04,19,88
2022-03-04,20,71
2022-03-04,21,49
2022-03-04,22,49
2022-03-04,23,48
2022-03-05,0,40
2022-03-05,1,23
2022-03-05,2,27
2022-03-05,3,24
2022-03-05,4,17
2022-03-05,5,20
2022-03-05,6,21
2022-03-05,7,48
2022-03-05,8,56
2022-03-05,9,76
2022-03-05,10,84
2022-03-05,11,96
2022-03-05,12,92
2022-03-05,13,106
2022-03-05,14,116
2022-03-05,15,105
2022-03-05,16,88
2022-03-05,17,88
2022-03-05,18,80
2022-03-05,19,71
2022-03-05,20,63
2022-03-05,21,52
2022-03-05,22,44
2022-03-05,23,44
2022-03-06,0,36
2022-03-06,1,36
2022-03-06,2,25
2022-03-06,3,25
2022-03-06,4,26
2022-03-06,5,21
2022-03-06,6,29
2022-03-06,7,27
2022-03-06,8,36
2022-03-06,9,56
2022-03-06,10,61
2022-03-06,11,70
2022-03-06,12,84
2022-03-06,13,84
2022-03-06,14,92
