date,time,flow
2022-03-01,0,2
2022-03-01,1,1
2022-03-01,2,3
2022-03-01,3,2
2022-03-01,4,4
2022-03-01,5,5
2022-03-01,6,10
2022-03-01,7,35
2022-03-01,8,95
2022-03-01,9,78
2022-03-01,10,37
2022-03-01,11,36
2022-03-01,12,38
2022-03-01,13,37
2022-03-01,14,50
2022-03-01,15,56
2022-03-01,16,62
2022-03-01,17,93
2022-03-01,18,56
2022-03-01,19,29
2022-03-01,20,26
2022-03-01,21,25
2022-03-01,22,10
2022-03-01,23,7
2022-03-02,0,3
2022-03-02,1,12
2022-03-02,2,5
2022-03-02,3,3
2022-03-02,4,2
2022-03-02,5,6
2022-03-02,6,11
2022-03-02,7,32
2022-03-02,8,86
2022-03-02,9,59
2022-03-02,10,46
2022-03-02,11,39
2022-03-02,12,44
2022-03-02,13,40
2022-03-02,14,55
2022-03-02,15,48
2022-03-02,16,64
2022-03-02,17,94
2022-03-02,18,64
2022-03-02,19,55
2022-03-02,20,31
2022-03-02,21,18
2022-03-02,22,15
2022-03-02,23,4
2022-03-03,0,10
2022-03-03,1,3
2022-03-03,2,3
2022-03-03,3,1
2022-03-03,4,2
2022-03-03,5,4
2022-03-03,6,11
2022-03-03,7,28
2022-03-03,8,85
2022-03-03,9,74
2022-03-03,10,43
2022-03-03,11,40
2022-03-03,12,42
2022-03-03,13,43
2022-03-03,14,43
2022-03-03,15,56
2022-03-03,16,71
2022-03-03,17,90
2022-03-03,18,58
2022-03-03,19,31
2022-03-03,20,23
2022-03-03,21,24
2022-03-03,22,16
2022-03-03,23,5
2022-03-04,0,5
2022-03-04,1,0
2022-03-04,2,4
2022-03-04,3,1
2022-03-04,4,0
2022-03-04,5,4
2022-03-04,6,12
2022-03-04,7,33
2022-03-04,8,76
2022-03-04,9,80
2022-03-04,10,56
2022-03-04,11,45
2022-03-04,12,35
2022-03-04,13,51
2022-03-04,14,60
2022-03-04,15,77
2022-03-04,16,66
2022-03-04,17,78
2022-03-04,18,61
2022-03-04,19,43
2022-03-04,20,34
2022-03-04,21,19
2022-03-04,22,25
2022-03-04,23,19
2022-03-05,0,6
2022-03-05,1,10
2022-03-05,2,5
2022-03-05,3,8
2022-03-05,4,5
2022-03-05,5,4
2022-03-05,6,5
2022-03-05,7,11
2022-03-05,8,23
2022-03-05,9,43
2022-03-05,10,37
2022-03-05,11,46
2022-03-05,12,50
2022-03-05,13,50
2022-03-05,14,74
2022-03-05,15,63
2022-03-05,16,53
2022-03-05,17,79
2022-03-05,18,50
2022-03-05,19,50
2022-03-05,20,36
2022-03-05,21,22
2022-03-05,22,18
2022-03-05,23,13
2022-03-06,0,20
2022-03-06,1,6
2022-03-06,2,13
2022-03-06,3,12
2022-03-06,4,4
2022-03-06,5,4
2022-03-06,6,4
2022-03-06,7,6
2022-03-06,8,12
2022-03-06,9,26
2022-03-06,10,38
2022-03-06,11,33
2022-03-06,12,55
2022-03-06,13,53
2022-03-06,14,57
2022-03-06,15,53
2022-03-06,16,47
2022-03-06,17,48
2022-03-06,18,37
2022-03-06,19,39
2022-03-06,20,24
2022-03-06,21,11
2022-03-06,22,15
2022-03-06,23,11
2022-03-07,0,2
2022-03-07,1,0
2022-03-07,2,3
2022-03-07,3,0
2022-03-07,4,3
2022-03-07,5,3
2022-03-07,6,9
2022-03-07,7,26
2022-03-07,8,70
2022-03-07,9,55
2022-03-07,10,27
2022-03-07,11,40
2022-03-07,12,51
2022-03-07,13,43
2022-03-07,14,55
