date,time,flow
2022-03-01,0,7
2022-03-01,1,6
2022-03-01,2,5
2022-03-01,3,1
2022-03-01,4,5
2022-03-01,5,9
2022-03-01,6,8
2022-03-01,7,39
2022-03-01,8,132
2022-03-01,9,101
2022-03-01,10,77
2022-03-01,11,84
2022-03-01,12,82
2022-03-01,13,87
2022-03-01,14,87
2022-03-01,15,89
2022-03-01,16,83
2022-03-01,17,108
2022-03-01,18,100
2022-03-01,19,59
2022-03-01,20,36
2022-03-01,21,37
2022-03-01,22,16
2022-03-01,23,16
2022-03-02,0,3
2022-03-02,1,16
2022-03-02,2,2
2022-03-02,3,3
2022-03-02,4,1
2022-03-02,5,9
2022-03-02,6,13
2022-03-02,7,29
2022-03-02,8,108
2022-03-02,9,99
2022-03-02,10,100
2022-03-02,11,82
2022-03-02,12,100
2022-03-02,13,97
2022-03-02,14,86
2022-03-02,15,99
2022-03-02,16,97
2022-03-02,17,125
2022-03-02,18,124
2022-03-02,19,92
2022-03-02,20,47
2022-03-02,21,38
2022-03-02,22,27
2022-03-02,23,13
2022-03-03,0,13
2022-03-03,1,11
2022-03-03,2,3
2022-03-03,3,2
2022-03-03,4,2
2022-03-03,5,4
2022-03-03,6,12
2022-03-03,7,31
2022-03-03,8,122
2022-03-03,9,95
2022-03-03,10,84
2022-03-03,11,82
2022-03-03,12,90
2022-03-03,13,89
2022-03-03,14,94
2022-03-03,15,95
2022-03-03,16,102
2022-03-03,17,114
2022-03-03,18,108
2022-03-03,19,75
2022-03-03,20,37
2022-03-03,21,27
2022-03-03,22,27
2022-03-03,23,11
2022-03-04,0,10
2022-03-04,1,17
2022-03-04,2,5
2022-03-04,3,2
2022-03-04,4,3
2022-03-04,5,7
2022-03-04,6,13
2022-03-04,7,29
2022-03-04,8,100
2022-03-04,9,101
2022-03-04,10,84
2022-03-04,11,100
2022-03-04,12,95
2022-03-04,13,116
2022-03-04,14,115
2022-03-04,15,116
2022-03-04,16,123
2022-03-04,17,126
2022-03-04,18,101
2022-03-04,19,92
2022-03-04,20,56
2022-03-04,21,28
2022-03-04,22,29
2022-03-04,23,29
2022-03-05,0,21
2022-03-05,1,10
2022-03-05,2,7
2022-03-05,3,12
2022-03-05,4,8
2022-03-05,5,4
2022-03-05,6,7
2022-03-05,7,11
2022-03-05,8,30
2022-03-05,9,70
2022-03-05,10,84
2022-03-05,11,83
2022-03-05,12,123
2022-03-05,13,111
2022-03-05,14,128
2022-03-05,15,121
2022-03-05,16,101
2022-03-05,17,110
2022-03-05,18,98
2022-03-05,19,81
2022-03-05,20,61
2022-03-05,21,37
2022-03-05,22,30
2022-03-05,23,28
2022-03-06,0,27
2022-03-06,1,20
2022-03-06,2,17
2022-03-06,3,19
2022-03-06,4,10
2022-03-06,5,7
2022-03-06,6,8
2022-03-06,7,7
2022-03-06,8,17
2022-03-06,9,36
2022-03-06,10,57
2022-03-06,11,73
2022-03-06,12,71
2022-03-06,13,93
2022-03-06,14,101
2022-03-06,15,86
2022-03-06,16,82
2022-03-06,17,98
2022-03-06,18,62
2022-03-06,19,74
2022-03-06,20,43
2022-03-06,21,30
2022-03-06,22,26
2022-03-06,23,18
2022-03-07,0,6
2022-03-07,1,4
2022-03-07,2,3
2022-03-07,3,2
2022-03-07,4,4
2022-03-07,5,3
2022-03-07,6,10
2022-03-07,7,31
2022-03-07,8,93
2022-03-07,9,102
2022-03-07,10,75
2022-03-07,11,70
2022-03-07,12,84
2022-03-07,13,91
2022-03-07,14,94
2022-03-07,15,76
2022-03-07,16,81
2022-03-07,17,108
2022-03-07,18,102
2022-03-07,19,61
2022-03-07,20,45
2022-03-07,21,32
2022-03-07,22,21
2022-03-07,23,14
2022-03-08,0,12
2022-03-08,1,12
2022-03-08,2,10
2022-03-08,3,6
2022-03-08,4,5
2022-03-08,5,1
2022-03-08,6,11
2022-03-08,7,41
2022-03-08,8,96
2022-03-08,9,98
2022-03-08,10,82
2022-03-08,11,79
2022-03-08,12,81
2022-03-08,13,98
2022-03-08,14,80
2022-03-08,15,70
2022-03-08,16,88
2022-03-08,17,106
2022-03-08,18,90
2022-03-08,19,62
2022-03-08,20,36
2022-03-08,21,30
2022-03-08,22,21
2022-03-08,23,13
2022-03-09,0,9
2022-03-09,1,16
2022-03-09,2,9
2022-03-09,3,2
2022-03-09,4,3
2022-03-09,5,5
2022-03-09,6,14
2022-03-09,7,35
2022-03-09,8,115
2022-03-09,9,114
2022-03-09,10,92
2022-03-09,11,91
2022-03-09,12,68
2022-03-09,13,86
2022-03-09,14,103
2022-03-09,15,99
2022-03-09,16,106
2022-03-09,17,171
2022-03-09,18,98
2022-03-09,19,67
2022-03-09,20,49
2022-03-09,21,30
2022-03-09,22,17
2022-03-09,23,9
2022-03-10,0,7
2022-03-10,1,11
2022-03-10,2,2
2022-03-10,3,1
2022-03-10,4,3
2022-03-10,5,4
2022-03-10,6,15
2022-03-10,7,39
2022-03-10,8,107
2022-03-10,9,103
2022-03-10,10,84
2022-03-10,11,86
2022-03-10,12,108
2022-03-10,13,97
2022-03-10,14,98
2022-03-10,15,104
2022-03-10,16,108
2022-03-10,17,108
2022-03-10,18,121
2022-03-10,19,77
2022-03-10,20,42
2022-03-10,21,33
2022-03-10,22,15
2022-03-10,23,23
2022-03-11,0,8
2022-03-11,1,13
2022-03-11,2,3
2022-03-11,3,1
2022-03-11,4,6
2022-03-11,5,5
2022-03-11,6,15
2022-03-11,7,34
2022-03-11,8,89
2022-03-11,9,95
2022-03-11,10,94
2022-03-11,11,94
2022-03-11,12,93
2022-03-11,13,122
2022-03-11,14,118
2022-03-11,15,133
2022-03-11,16,123
2022-03-11,17,149
2022-03-11,18,122
2022-03-11,19,93
2022-03-11,20,47
2022-03-11,21,33
2022-03-11,22,27
2022-03-11,23,29
2022-03-12,0,22
2022-03-12,1,17
2022-03-12,2,7
2022-03-12,3,11
2022-03-12,4,10
2022-03-12,5,4
2022-03-12,6,7
2022-03-12,7,15
2022-03-12,8,34
2022-03-12,9,78
2022-03-12,10,78
2022-03-12,11,91
2022-03-12,12,146
2022-03-12,13,119
2022-03-12,14,107
2022-03-12,15,87
2022-03-12,16,97
2022-03-12,17,78
2022-03-12,18,74
2022-03-12,19,82
2022-03-12,20,42
2022-03-12,21,33
2022-03-12,22,29
2022-03-12,23,35
2022-03-13,0,27
2022-03-13,1,15
2022-03-13,2,14
2022-03-13,3,13
2022-03-13,4,6
2022-03-13,5,6
2022-03-13,6,4
2022-03-13,7,7
2022-03-13,8,18
2022-03-13,9,32
2022-03-13,10,60
2022-03-13,11,73
2022-03-13,12,85
2022-03-13,13,92
2022-03-13,14,96
2022-03-13,15,74
2022-03-13,16,79
2022-03-13,17,67
2022-03-13,18,65
2022-03-13,19,51
2022-03-13,20,43
2022-03-13,21,28
2022-03-13,22,21
2022-03-13,23,9
2022-03-14,0,11
2022-03-14,1,6
2022-03-14,2,4
2022-03-14,3,1
2022-03-14,4,2
2022-03-14,5,9
2022-03-14,6,18
2022-03-14,7,39
2022-03-14,8,80
2022-03-14,9,83
2022-03-14,10,80
2022-03-14,11,84
2022-03-14,12,83
2022-03-14,13,81
2022-03-14,14,87
2022-03-14,15,98
2022-03-14,16,114
2022-03-14,17,116
2022-03-14,18,80
2022-03-14,19,59
2022-03-14,20,31
2022-03-14,21,28
2022-03-14,22,25
2022-03-14,23,11
2022-03-15,0,7
2022-03-15,1,11
2022-03-15,2,3
2022-03-15,3,7
2022-03-15,4,1
2022-03-15,5,6
2022-03-15,6,8
2022-03-15,7,36
2022-03-15,8,121
2022-03-15,9,102
2022-03-15,10,77
2022-03-15,11,83
2022-03-15,12,76
2022-03-15,13,110
2022-03-15,14,93
2022-03-15,15,84
2022-03-15,16,102
2022-03-15,17,117
2022-03-15,18,83
2022-03-15,19,64
2022-03-15,20,38
2022-03-15,21,30
2022-03-15,22,24
2022-03-15,23,15
2022-03-16,0,6
2022-03-16,1,12
2022-03-16,2,4
2022-03-16,3,2
2022-03-16,4,2
2022-03-16,5,2
2022-03-16,6,15
2022-03-16,7,35
2022-03-16,8,109
2022-03-16,9,119
2022-03-16,10,94
2022-03-16,11,79
2022-03-16,12,88
2022-03-16,13,100
2022-03-16,14,90
2022-03-16,15,94
2022-03-16,16,99
2022-03-16,17,101
2022-03-16,18,92
2022-03-16,19,72
2022-03-16,20,45
2022-03-16,21,30
2022-03-16,22,25
2022-03-16,23,14
2022-03-17,0,5
2022-03-17,1,15
2022-03-17,2,2
2022-03-17,3,2
2022-03-17,4,4
2022-03-17,5,11
2022-03-17,6,11
2022-03-17,7,38
2022-03-17,8,107
2022-03-17,9,134
2022-03-17,10,98
2022-03-17,11,89
2022-03-17,12,83
2022-03-17,13,97
2022-03-17,14,93
2022-03-17,15,105
2022-03-17,16,105
2022-03-17,17,130
2022-03-17,18,94
2022-03-17,19,73
2022-03-17,20,47
2022-03-17,21,24
2022-03-17,22,31
2022-03-17,23,18
2022-03-18,0,15
2022-03-18,1,12
2022-03-18,2,2
2022-03-18,3,1
2022-03-18,4,2
2022-03-18,5,6
2022-03-18,6,13
2022-03-18,7,37
2022-03-18,8,99
2022-03-18,9,126
2022-03-18,10,89
2022-03-18,11,98
2022-03-18,12,128
2022-03-18,13,104
2022-03-18,14,98
2022-03-18,15,106
2022-03-18,16,95
2022-03-18,17,120
2022-03-18,18,105
2022-03-18,19,95
2022-03-18,20,73
2022-03-18,21,30
2022-03-18,22,36
2022-03-18,23,28
2022-03-19,0,19
2022-03-19,1,13
2022-03-19,2,10
2022-03-19,3,10
2022-03-19,4,7
2022-03-19,5,4
2022-03-19,6,16
2022-03-19,7,16
2022-03-19,8,26
2022-03-19,9,62
2022-03-19,10,84
2022-03-19,11,88
2022-03-19,12,119
2022-03-19,13,119
2022-03-19,14,114
2022-03-19,15,100
2022-03-19,16,88
2022-03-19,17,94
2022-03-19,18,85
2022-03-19,19,82
2022-03-19,20,54
2022-03-19,21,39
2022-03-19,22,32
2022-03-19,23,31
2022-03-20,0,32
2022-03-20,1,22
2022-03-20,2,18
2022-03-20,3,11
2022-03-20,4,9
2022-03-20,5,3
2022-03-20,6,7
2022-03-20,7,5
2022-03-20,8,32
2022-03-20,9,39
2022-03-20,10,56
2022-03-20,11,59
2022-03-20,12,96
2022-03-20,13,91
2022-03-20,14,107
2022-03-20,15,84
2022-03-20,16,87
2022-03-20,17,87
2022-03-20,18,95
2022-03-20,19,54
2022-03-20,20,35
2022-03-20,21,29
2022-03-20,22,18
2022-03-20,23,11
2022-03-21,0,17
2022-03-21,1,1
2022-03-21,2,1
2022-03-21,3,3
2022-03-21,4,1
2022-03-21,5,8
2022-03-21,6,16
2022-03-21,7,31
2022-03-21,8,146
2022-03-21,9,174
2022-03-21,10,82
2022-03-21,11,80
2022-03-21,12,91
2022-03-21,13,96
2022-03-21,14,87
2022-03-21,15,93
2022-03-21,16,96
2022-03-21,17,120
2022-03-21,18,92
2022-03-21,19,60
2022-03-21,20,44
2022-03-21,21,28
2022-03-21,22,24
2022-03-21,23,18
2022-03-22,0,7
2022-03-22,1,7
2022-03-22,2,0
2022-03-22,3,1
2022-03-22,4,0
2022-03-22,5,5
2022-03-22,6,17
2022-03-22,7,28
2022-03-22,8,75
2022-03-22,9,92
2022-03-22,10,70
2022-03-22,11,77
2022-03-22,12,72
2022-03-22,13,86
2022-03-22,14,91
2022-03-22,15,73
2022-03-22,16,81
2022-03-22,17,99
2022-03-22,18,79
2022-03-22,19,61
2022-03-22,20,40
2022-03-22,21,27
2022-03-22,22,22
2022-03-22,23,8
2022-03-23,0,13
2022-03-23,1,14
2022-03-23,2,5
2022-03-23,3,3
2022-03-23,4,1
2022-03-23,5,6
2022-03-23,6,14
2022-03-23,7,36
2022-03-23,8,89
2022-03-23,9,76
2022-03-23,10,89
2022-03-23,11,77
2022-03-23,12,89
2022-03-23,13,83
2022-03-23,14,83
2022-03-23,15,80
2022-03-23,16,75
2022-03-23,17,100
2022-03-23,18,73
2022-03-23,19,75
2022-03-23,20,55
2022-03-23,21,34
2022-03-23,22,21
2022-03-23,23,9
2022-03-24,0,5
2022-03-24,1,3
2022-03-24,2,4
2022-03-24,3,2
2022-03-24,4,3
2022-03-24,5,4
2022-03-24,6,13
2022-03-24,7,36
2022-03-24,8,77
2022-03-24,9,96
2022-03-24,10,77
2022-03-24,11,99
2022-03-24,12,88
2022-03-24,13,90
2022-03-24,14,91
2022-03-24,15,94
2022-03-24,16,92
2022-03-24,17,96
2022-03-24,18,83
2022-03-24,19,71
2022-03-24,20,38
2022-03-24,21,30
2022-03-24,22,28
2022-03-24,23,17
2022-03-25,0,8
2022-03-25,1,17
2022-03-25,2,3
2022-03-25,3,2
2022-03-25,4,6
2022-03-25,5,2
2022-03-25,6,8
2022-03-25,7,37
2022-03-25,8,69
2022-03-25,9,89
2022-03-25,10,96
2022-03-25,11,86
2022-03-25,12,104
2022-03-25,13,89
2022-03-25,14,94
2022-03-25,15,95
2022-03-25,16,102
2022-03-25,17,90
2022-03-25,18,65
2022-03-25,19,85
2022-03-25,20,52
2022-03-25,21,45
2022-03-25,22,23
2022-03-25,23,21
2022-03-26,0,19
2022-03-26,1,16
2022-03-26,2,12
2022-03-26,3,15
2022-03-26,4,6
2022-03-26,5,4
2022-03-26,6,10
2022-03-26,7,17
2022-03-26,8,38
2022-03-26,9,62
2022-03-26,10,97
2022-03-26,11,92
2022-03-26,12,87
2022-03-26,13,104
2022-03-26,14,126
2022-03-26,15,98
2022-03-26,16,93
2022-03-26,17,100
2022-03-26,18,79
2022-03-26,19,80
2022-03-26,20,49
2022-03-26,21,41
2022-03-26,22,26
2022-03-26,23,56
2022-03-27,0,13
2022-03-27,1,17
2022-03-27,2,14
2022-03-27,3,17
2022-03-27,4,10
2022-03-27,5,10
2022-03-27,6,11
2022-03-27,7,12
2022-03-27,8,36
2022-03-27,9,58
2022-03-27,10,75
2022-03-27,11,66
2022-03-27,12,85
2022-03-27,13,83
2022-03-27,14,59
2022-03-27,15,81
2022-03-27,16,78
