date,time,flow
2022-03-01,0,3
2022-03-01,1,4
2022-03-01,2,2
2022-03-01,3,3
2022-03-01,4,6
2022-03-01,5,0
2022-03-01,6,9
2022-03-01,7,34
2022-03-01,8,64
2022-03-01,9,62
2022-03-01,10,47
2022-03-01,11,45
2022-03-01,12,46
2022-03-01,13,37
2022-03-01,14,46
2022-03-01,15,50
2022-03-01,16,57
2022-03-01,17,63
2022-03-01,18,59
2022-03-01,19,56
2022-03-01,20,30
2022-03-01,21,18
2022-03-01,22,24
2022-03-01,23,16
2022-03-02,0,12
2022-03-02,1,1
2022-03-02,2,5
2022-03-02,3,3
2022-03-02,4,4
2022-03-02,5,5
2022-03-02,6,4
2022-03-02,7,36
2022-03-02,8,47
2022-03-02,9,48
2022-03-02,10,42
2022-03-02,11,52
2022-03-02,12,55
2022-03-02,13,45
2022-03-02,14,60
2022-03-02,15,53
2022-03-02,16,51
2022-03-02,17,56
2022-03-02,18,65
2022-03-02,19,34
2022-03-02,20,28
2022-03-02,21,21
2022-03-02,22,24
2022-03-02,23,22
2022-03-03,0,10
2022-03-03,1,6
2022-03-03,2,2
2022-03-03,3,3
2022-03-03,4,2
2022-03-03,5,4
2022-03-03,6,9
2022-03-03,7,29
2022-03-03,8,52
2022-03-03,9,63
2022-03-03,10,43
2022-03-03,11,38
2022-03-03,12,50
2022-03-03,13,48
2022-03-03,14,45
2022-03-03,15,63
2022-03-03,16,71
2022-03-03,17,86
2022-03-03,18,71
2022-03-03,19,54
2022-03-03,20,39
2022-03-03,21,28
2022-03-03,22,34
2022-03-03,23,43
2022-03-04,0,11
2022-03-04,1,5
2022-03-04,2,1
2022-03-04,3,5
2022-03-04,4,6
2022-03-04,5,4
2022-03-04,6,8
2022-03-04,7,23
2022-03-04,8,39
2022-03-04,9,50
2022-03-04,10,62
2022-03-04,11,50
2022-03-04,12,58
2022-03-04,13,58
2022-03-04,14,57
2022-03-04,15,62
2022-03-04,16,63
2022-03-04,17,76
2022-03-04,18,68
2022-03-04,19,73
2022-03-04,20,41
