date,time,flow
2022-03-01,0,14
2022-03-01,1,11
2022-03-01,2,8
2022-03-01,3,1
2022-03-01,4,5
2022-03-01,5,6
2022-03-01,6,20
2022-03-01,7,46
2022-03-01,8,104
2022-03-01,9,97
2022-03-01,10,106
2022-03-01,11,100
2022-03-01,12,104
2022-03-01,13,134
2022-03-01,14,99
2022-03-01,15,105
2022-03-01,16,112
2022-03-01,17,147
2022-03-01,18,167
2022-03-01,19,99
2022-03-01,20,71
2022-03-01,21,37
2022-03-01,22,41
2022-03-01,23,24
2022-03-02,0,17
2022-03-02,1,5
2022-03-02,2,10
2022-03-02,3,7
2022-03-02,4,7
2022-03-02,5,3
2022-03-02,6,24
2022-03-02,7,116
2022-03-02,8,109
2022-03-02,9,129
2022-03-02,10,136
2022-03-02,11,82
2022-03-02,12,168
2022-03-02,13,107
2022-03-02,14,163
2022-03-02,15,115
2022-03-02,16,132
2022-03-02,17,143
2022-03-02,18,125
2022-03-02,19,102
2022-03-02,20,64
2022-03-02,21,66
2022-03-02,22,70
2022-03-02,23,33
2022-03-03,0,10
2022-03-03,1,15
2022-03-03,2,4
2022-03-03,3,6
2022-03-03,4,4
2022-03-03,5,6
2022-03-03,6,23
2022-03-03,7,82
2022-03-03,8,114
2022-03-03,9,101
2022-03-03,10,124
2022-03-03,11,116
2022-03-03,12,107
2022-03-03,13,112
2022-03-03,14,105
2022-03-03,15,114
2022-03-03,16,128
2022-03-03,17,173
2022-03-03,18,168
2022-03-03,19,142
2022-03-03,20,78
2022-03-03,21,58
2022-03-03,22,54
2022-03-03,23,37
2022-03-04,0,29
2022-03-04,1,17
2022-03-04,2,7
2022-03-04,3,4
2022-03-04,4,8
2022-03-04,5,7
2022-03-04,6,17
2022-03-04,7,51
2022-03-04,8,151
2022-03-04,9,130
2022-03-04,10,100
2022-03-04,11,125
2022-03-04,12,133
2022-03-04,13,186
2022-03-04,14,155
2022-03-04,15,165
2022-03-04,16,123
2022-03-04,17,162
2022-03-04,18,129
2022-03-04,19,149
2022-03-04,20,96
2022-03-04,21,101
2022-03-04,22,79
2022-03-04,23,69
2022-03-05,0,45
2022-03-05,1,40
2022-03-05,2,21
2022-03-05,3,13
2022-03-05,4,11
2022-03-05,5,6
2022-03-05,6,14
2022-03-05,7,25
2022-03-05,8,40
2022-03-05,9,67
2022-03-05,10,81
2022-03-05,11,103
2022-03-05,12,142
2022-03-05,13,128
2022-03-05,14,161
2022-03-05,15,210
2022-03-05,16,136
2022-03-05,17,106
2022-03-05,18,127
2022-03-05,19,180
2022-03-05,20,107
2022-03-05,21,89
2022-03-05,22,61
2022-03-05,23,43
2022-03-06,0,50
2022-03-06,1,20
2022-03-06,2,21
2022-03-06,3,13
2022-03-06,4,14
2022-03-06,5,12
2022-03-06,6,21
2022-03-06,7,22
2022-03-06,8,21
2022-03-06,9,52
2022-03-06,10,62
2022-03-06,11,99
2022-03-06,12,91
2022-03-06,13,134
2022-03-06,14,92
2022-03-06,15,122
2022-03-06,16,108
2022-03-06,17,124
2022-03-06,18,116
2022-03-06,19,98
2022-03-06,20,96
2022-03-06,21,44
2022-03-06,22,43
2022-03-06,23,30
2022-03-07,0,21
2022-03-07,1,20
2022-03-07,2,7
2022-03-07,3,5
2022-03-07,4,0
2022-03-07,5,3
2022-03-07,6,16
2022-03-07,7,41
2022-03-07,8,116
2022-03-07,9,98
2022-03-07,10,106
2022-03-07,11,88
2022-03-07,12,110
2022-03-07,13,163
2022-03-07,14,115
2022-03-07,15,128
2022-03-07,16,116
2022-03-07,17,149
2022-03-07,18,127
2022-03-07,19,99
2022-03-07,20,64
2022-03-07,21,64
2022-03-07,22,39
2022-03-07,23,36
2022-03-08,0,15
2022-03-08,1,16
2022-03-08,2,10
2022-03-08,3,7
2022-03-08,4,6
2022-03-08,5,7
2022-03-08,6,21
2022-03-08,7,51
2022-03-08,8,138
2022-03-08,9,103
2022-03-08,10,91
2022-03-08,11,83
2022-03-08,12,100
2022-03-08,13,124
2022-03-08,14,111
2022-03-08,15,128
2022-03-08,16,115
2022-03-08,17,150
2022-03-08,18,159
2022-03-08,19,99
2022-03-08,20,61
2022-03-08,21,64
2022-03-08,22,45
2022-03-08,23,32
2022-03-09,0,26
2022-03-09,1,14
2022-03-09,2,9
2022-03-09,3,7
2022-03-09,4,8
2022-03-09,5,3
2022-03-09,6,21
2022-03-09,7,49
2022-03-09,8,114
2022-03-09,9,129
2022-03-09,10,120
2022-03-09,11,85
2022-03-09,12,108
2022-03-09,13,110
2022-03-09,14,137
2022-03-09,15,148
2022-03-09,16,116
2022-03-09,17,151
2022-03-09,18,148
2022-03-09,19,135
2022-03-09,20,88
2022-03-09,21,65
2022-03-09,22,68
2022-03-09,23,62
2022-03-10,0,28
2022-03-10,1,17
2022-03-10,2,6
2022-03-10,3,7
2022-03-10,4,2
2022-03-10,5,10
2022-03-10,6,20
2022-03-10,7,48
2022-03-10,8,102
2022-03-10,9,133
2022-03-10,10,125
2022-03-10,11,116
2022-03-10,12,117
2022-03-10,13,115
2022-03-10,14,119
2022-03-10,15,115
2022-03-10,16,123
2022-03-10,17,139
2022-03-10,18,157
2022-03-10,19,146
2022-03-10,20,83
2022-03-10,21,55
2022-03-10,22,78
2022-03-10,23,47
2022-03-11,0,35
2022-03-11,1,5
2022-03-11,2,10
2022-03-11,3,9
