date,time,flow
2022-03-01,0,21
2022-03-01,1,21
2022-03-01,2,16
2022-03-01,3,12
2022-03-01,4,14
2022-03-01,5,16
2022-03-01,6,21
2022-03-01,7,70
2022-03-01,8,130
2022-03-01,9,127
2022-03-01,10,128
2022-03-01,11,127
2022-03-01,12,129
2022-03-01,13,128
2022-03-01,14,129
2022-03-01,15,130
2022-03-01,16,148
2022-03-01,17,145
2022-03-01,18,155
2022-03-01,19,133
2022-03-01,20,73
2022-03-01,21,63
2022-03-01,22,52
2022-03-01,23,19
2022-03-02,0,5
2022-03-02,1,10
2022-03-02,2,6
2022-03-02,3,0
2022-03-02,4,1
2022-03-02,5,4
2022-03-02,6,20
2022-03-02,7,67
2022-03-02,8,139
2022-03-02,9,148
2022-03-02,10,145
2022-03-02,11,140
2022-03-02,12,140
2022-03-02,13,149
2022-03-02,14,139
2022-03-02,15,147
2022-03-02,16,137
2022-03-02,17,165
2022-03-02,18,155
2022-03-02,19,142
2022-03-02,20,95
2022-03-02,21,42
2022-03-02,22,67
2022-03-02,23,18
2022-03-03,0,12
2022-03-03,1,12
2022-03-03,2,9
2022-03-03,3,5
2022-03-03,4,4
2022-03-03,5,5
2022-03-03,6,10
2022-03-03,7,68
2022-03-03,8,130
2022-03-03,9,141
2022-03-03,10,108
2022-03-03,11,161
2022-03-03,12,133
2022-03-03,13,146
2022-03-03,14,149
2022-03-03,15,154
2022-03-03,16,157
2022-03-03,17,151
2022-03-03,18,169
2022-03-03,19,125
2022-03-03,20,81
2022-03-03,21,82
2022-03-03,22,35
2022-03-03,23,20
2022-03-04,0,15
2022-03-04,1,12
2022-03-04,2,5
2022-03-04,3,1
2022-03-04,4,2
2022-03-04,5,3
2022-03-04,6,17
2022-03-04,7,62
2022-03-04,8,129
2022-03-04,9,150
2022-03-04,10,127
2022-03-04,11,148
2022-03-04,12,133
2022-03-04,13,158
2022-03-04,14,168
2022-03-04,15,151
2022-03-04,16,143
2022-03-04,17,137
2022-03-04,18,138
2022-03-04,19,129
2022-03-04,20,114
2022-03-04,21,77
2022-03-04,22,53
2022-03-04,23,55
2022-03-05,0,23
2022-03-05,1,23
2022-03-05,2,10
2022-03-05,3,6
2022-03-05,4,3
2022-03-05,5,5
2022-03-05,6,14
2022-03-05,7,24
2022-03-05,8,43
2022-03-05,9,71
2022-03-05,10,138
2022-03-05,11,142
2022-03-05,12,156
2022-03-05,13,159
2022-03-05,14,152
2022-03-05,15,148
2022-03-05,16,153
2022-03-05,17,145
2022-03-05,18,137
2022-03-05,19,144
2022-03-05,20,89
2022-03-05,21,57
2022-03-05,22,54
2022-03-05,23,25
2022-03-06,0,32
2022-03-06,1,25
2022-03-06,2,10
2022-03-06,3,10
2022-03-06,4,12
2022-03-06,5,4
2022-03-06,6,9
2022-03-06,7,19
2022-03-06,8,20
2022-03-06,9,62
2022-03-06,10,91
2022-03-06,11,131
2022-03-06,12,131
2022-03-06,13,121
2022-03-06,14,148
2022-03-06,15,140
2022-03-06,16,129
2022-03-06,17,132
2022-03-06,18,97
2022-03-06,19,106
2022-03-06,20,64
2022-03-06,21,50
2022-03-06,22,36
2022-03-06,23,17
2022-03-07,0,6
2022-03-07,1,5
2022-03-07,2,7
2022-03-07,3,3
2022-03-07,4,2
2022-03-07,5,1
2022-03-07,6,13
2022-03-07,7,56
2022-03-07,8,144
2022-03-07,9,133
2022-03-07,10,128
2022-03-07,11,130
2022-03-07,12,124
2022-03-07,13,108
2022-03-07,14,147
2022-03-07,15,142
2022-03-07,16,143
2022-03-07,17,124
2022-03-07,18,125
2022-03-07,19,102
2022-03-07,20,101
2022-03-07,21,67
2022-03-07,22,27
2022-03-07,23,24
2022-03-08,0,16
2022-03-08,1,16
2022-03-08,2,9
2022-03-08,3,2
2022-03-08,4,2
2022-03-08,5,5
2022-03-08,6,15
2022-03-08,7,70
2022-03-08,8,160
2022-03-08,9,136
2022-03-08,10,129
2022-03-08,11,126
2022-03-08,12,117
2022-03-08,13,119
2022-03-08,14,128
2022-03-08,15,146
2022-03-08,16,156
2022-03-08,17,153
2022-03-08,18,127
2022-03-08,19,153
2022-03-08,20,94
2022-03-08,21,101
2022-03-08,22,26
2022-03-08,23,18
2022-03-09,0,5
2022-03-09,1,4
2022-03-09,2,7
2022-03-09,3,3
2022-03-09,4,2
2022-03-09,5,5
2022-03-09,6,13
2022-03-09,7,56
2022-03-09,8,135
2022-03-09,9,133
2022-03-09,10,127
2022-03-09,11,152
2022-03-09,12,137
2022-03-09,13,144
2022-03-09,14,155
2022-03-09,15,141
2022-03-09,16,160
2022-03-09,17,146
2022-03-09,18,146
2022-03-09,19,113
2022-03-09,20,95
2022-03-09,21,60
2022-03-09,22,70
2022-03-09,23,21
2022-03-10,0,13
2022-03-10,1,12
2022-03-10,2,7
2022-03-10,3,6
2022-03-10,4,2
2022-03-10,5,2
2022-03-10,6,17
2022-03-10,7,66
2022-03-10,8,126
2022-03-10,9,144
2022-03-10,10,118
2022-03-10,11,133
2022-03-10,12,134
2022-03-10,13,136
2022-03-10,14,139
2022-03-10,15,154
2022-03-10,16,139
2022-03-10,17,166
2022-03-10,18,150
2022-03-10,19,132
2022-03-10,20,78
2022-03-10,21,74
2022-03-10,22,77
2022-03-10,23,27
2022-03-11,0,18
2022-03-11,1,5
2022-03-11,2,0
2022-03-11,3,4
2022-03-11,4,1
2022-03-11,5,3
2022-03-11,6,28
2022-03-11,7,52
2022-03-11,8,138
2022-03-11,9,163
2022-03-11,10,132
2022-03-11,11,139
2022-03-11,12,155
2022-03-11,13,141
2022-03-11,14,156
2022-03-11,15,164
2022-03-11,16,123
2022-03-11,17,154
2022-03-11,18,154
2022-03-11,19,114
2022-03-11,20,73
2022-03-11,21,72
2022-03-11,22,61
2022-03-11,23,44
2022-03-12,0,30
2022-03-12,1,25
2022-03-12,2,12
2022-03-12,3,3
2022-03-12,4,3
2022-03-12,5,1
2022-03-12,6,9
2022-03-12,7,24
2022-03-12,8,40
2022-03-12,9,98
2022-03-12,10,123
2022-03-12,11,131
2022-03-12,12,158
2022-03-12,13,169
2022-03-12,14,154
2022-03-12,15,125
2022-03-12,16,139
2022-03-12,17,115
2022-03-12,18,114
2022-03-12,19,117
2022-03-12,20,73
2022-03-12,21,56
2022-03-12,22,54
2022-03-12,23,30
2022-03-13,0,30
2022-03-13,1,11
2022-03-13,2,12
2022-03-13,3,5
2022-03-13,4,1
2022-03-13,5,4
2022-03-13,6,4
2022-03-13,7,16
2022-03-13,8,22
2022-03-13,9,56
2022-03-13,10,103
2022-03-13,11,106
2022-03-13,12,151
2022-03-13,13,153
2022-03-13,14,146
2022-03-13,15,122
2022-03-13,16,120
2022-03-13,17,122
2022-03-13,18,98
2022-03-13,19,108
2022-03-13,20,57
2022-03-13,21,46
2022-03-13,22,25
2022-03-13,23,14
2022-03-14,0,5
2022-03-14,1,5
2022-03-14,2,2
2022-03-14,3,0
