date,time,flow
2022-03-01,0,4
2022-03-01,1,1
2022-03-01,2,0
2022-03-01,3,1
2022-03-01,4,1
2022-03-01,5,2
2022-03-01,6,14
2022-03-01,7,54
2022-03-01,8,131
2022-03-01,9,104
2022-03-01,10,61
2022-03-01,11,41
2022-03-01,12,60
2022-03-01,13,60
2022-03-01,14,90
2022-03-01,15,77
2022-03-01,16,103
2022-03-01,17,104
2022-03-01,18,55
2022-03-01,19,43
2022-03-01,20,38
2022-03-01,21,23
2022-03-01,22,13
2022-03-01,23,13
2022-03-02,0,7
2022-03-02,1,4
2022-03-02,2,0
2022-03-02,3,2
2022-03-02,4,1
2022-03-02,5,4
2022-03-02,6,8
2022-03-02,7,67
2022-03-02,8,119
2022-03-02,9,98
2022-03-02,10,43
2022-03-02,11,50
2022-03-02,12,69
2022-03-02,13,67
2022-03-02,14,70
2022-03-02,15,71
2022-03-02,16,106
2022-03-02,17,72
2022-03-02,18,41
2022-03-02,19,43
2022-03-02,20,28
2022-03-02,21,14
2022-03-02,22,14
2022-03-02,23,9
2022-03-03,0,4
2022-03-03,1,0
2022-03-03,2,8
2022-03-03,3,0
2022-03-03,4,0
2022-03-03,5,7
2022-03-03,6,9
2022-03-03,7,60
2022-03-03,8,113
2022-03-03,9,71
2022-03-03,10,48
2022-03-03,11,45
2022-03-03,12,55
2022-03-03,13,50
2022-03-03,14,58
2022-03-03,15,72
2022-03-03,16,94
2022-03-03,17,70
2022-03-03,18,51
2022-03-03,19,45
2022-03-03,20,28
2022-03-03,21,19
2022-03-03,22,20
2022-03-03,23,10
2022-03-04,0,12
2022-03-04,1,0
2022-03-04,2,1
2022-03-04,3,1
2022-03-04,4,0
2022-03-04,5,0
2022-03-04,6,9
2022-03-04,7,47
2022-03-04,8,151
2022-03-04,9,71
2022-03-04,10,57
2022-03-04,11,106
2022-03-04,12,71
2022-03-04,13,47
2022-03-04,14,63
2022-03-04,15,85
2022-03-04,16,82
2022-03-04,17,79
2022-03-04,18,52
2022-03-04,19,36
2022-03-04,20,34
2022-03-04,21,21
2022-03-04,22,16
2022-03-04,23,12
2022-03-05,0,14
2022-03-05,1,4
2022-03-05,2,2
2022-03-05,3,3
2022-03-05,4,3
2022-03-05,5,0
2022-03-05,6,4
2022-03-05,7,16
2022-03-05,8,31
2022-03-05,9,47
2022-03-05,10,62
2022-03-05,11,62
2022-03-05,12,52
2022-03-05,13,80
2022-03-05,14,96
2022-03-05,15,49
2022-03-05,16,41
2022-03-05,17,65
2022-03-05,18,51
2022-03-05,19,37
2022-03-05,20,18
2022-03-05,21,17
2022-03-05,22,17
2022-03-05,23,11
2022-03-06,0,6
2022-03-06,1,10
2022-03-06,2,5
2022-03-06,3,4
2022-03-06,4,5
2022-03-06,5,1
2022-03-06,6,9
2022-03-06,7,12
2022-03-06,8,18
2022-03-06,9,31
2022-03-06,10,48
2022-03-06,11,59
2022-03-06,12,37
2022-03-06,13,68
2022-03-06,14,57
2022-03-06,15,39
2022-03-06,16,51
2022-03-06,17,45
2022-03-06,18,23
2022-03-06,19,45
2022-03-06,20,84
2022-03-06,21,22
2022-03-06,22,8
2022-03-06,23,12
2022-03-07,0,0
2022-03-07,1,4
2022-03-07,2,0
2022-03-07,3,1
2022-03-07,4,2
2022-03-07,5,5
2022-03-07,6,11
2022-03-07,7,70
2022-03-07,8,154
2022-03-07,9,134
2022-03-07,10,52
2022-03-07,11,47
2022-03-07,12,52
2022-03-07,13,88
2022-03-07,14,73
2022-03-07,15,73
2022-03-07,16,78
2022-03-07,17,84
2022-03-07,18,55
2022-03-07,19,42
2022-03-07,20,21
2022-03-07,21,17
2022-03-07,22,16
2022-03-07,23,7
2022-03-08,0,3
2022-03-08,1,0
2022-03-08,2,0
2022-03-08,3,0
2022-03-08,4,0
2022-03-08,5,5
2022-03-08,6,17
2022-03-08,7,52
2022-03-08,8,101
2022-03-08,9,84
2022-03-08,10,54
2022-03-08,11,56
2022-03-08,12,49
2022-03-08,13,53
2022-03-08,14,70
2022-03-08,15,104
2022-03-08,16,101
2022-03-08,17,74
2022-03-08,18,59
2022-03-08,19,37
