date,time,flow
2022-03-01,0,21
2022-03-01,1,47
2022-03-01,2,2
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,13
2022-03-01,6,23
2022-03-01,7,60
2022-03-01,8,106
2022-03-01,9,143
2022-03-01,10,75
2022-03-01,11,73
2022-03-01,12,75
2022-03-01,13,95
2022-03-01,14,161
2022-03-01,15,138
2022-03-01,16,142
2022-03-01,17,88
2022-03-01,18,98
2022-03-01,19,77
2022-03-01,20,56
2022-03-01,21,47
2022-03-01,22,35
2022-03-01,23,19
2022-03-02,0,89
2022-03-02,1,187
2022-03-02,2,8
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,16
2022-03-02,6,22
2022-03-02,7,51
2022-03-02,8,142
2022-03-02,9,93
2022-03-02,10,77
2022-03-02,11,84
2022-03-02,12,110
2022-03-02,13,74
2022-03-02,14,98
2022-03-02,15,166
2022-03-02,16,190
2022-03-02,17,108
2022-03-02,18,98
2022-03-02,19,73
2022-03-02,20,93
2022-03-02,21,47
2022-03-02,22,52
2022-03-02,23,24
2022-03-03,0,16
2022-03-03,1,18
2022-03-03,2,18
2022-03-03,3,1
2022-03-03,4,20
2022-03-03,5,4
2022-03-03,6,20
2022-03-03,7,54
2022-03-03,8,101
2022-03-03,9,98
2022-03-03,10,147
2022-03-03,11,103
2022-03-03,12,111
2022-03-03,13,116
2022-03-03,14,150
2022-03-03,15,91
2022-03-03,16,104
2022-03-03,17,104
2022-03-03,18,88
2022-03-03,19,66
2022-03-03,20,48
2022-03-03,21,68
2022-03-03,22,30
2022-03-03,23,42
2022-03-04,0,20
2022-03-04,1,14
2022-03-04,2,21
2022-03-04,3,4
2022-03-04,4,26
2022-03-04,5,22
2022-03-04,6,18
2022-03-04,7,135
2022-03-04,8,69
2022-03-04,9,110
2022-03-04,10,80
2022-03-04,11,94
2022-03-04,12,79
2022-03-04,13,110
2022-03-04,14,116
2022-03-04,15,184
2022-03-04,16,97
2022-03-04,17,106
2022-03-04,18,101
2022-03-04,19,89
2022-03-04,20,50
2022-03-04,21,44
2022-03-04,22,54
2022-03-04,23,43
2022-03-05,0,23
2022-03-05,1,31
2022-03-05,2,8
2022-03-05,3,6
2022-03-05,4,5
2022-03-05,5,8
2022-03-05,6,3
2022-03-05,7,30
2022-03-05,8,36
2022-03-05,9,58
2022-03-05,10,84
2022-03-05,11,84
2022-03-05,12,92
2022-03-05,13,145
2022-03-05,14,130
2022-03-05,15,95
2022-03-05,16,86
2022-03-05,17,78
2022-03-05,18,84
2022-03-05,19,63
2022-03-05,20,86
2022-03-05,21,38
2022-03-05,22,46
2022-03-05,23,27
2022-03-06,0,29
2022-03-06,1,16
2022-03-06,2,17
2022-03-06,3,20
2022-03-06,4,8
2022-03-06,5,7
2022-03-06,6,34
2022-03-06,7,26
2022-03-06,8,21
2022-03-06,9,72
2022-03-06,10,58
2022-03-06,11,64
2022-03-06,12,113
2022-03-06,13,142
2022-03-06,14,92
2022-03-06,15,68
2022-03-06,16,145
2022-03-06,17,60
2022-03-06,18,83
2022-03-06,19,77
2022-03-06,20,40
2022-03-06,21,49
2022-03-06,22,27
2022-03-06,23,17
2022-03-07,0,14
2022-03-07,1,21
2022-03-07,2,4
2022-03-07,3,0
2022-03-07,4,3
2022-03-07,5,4
2022-03-07,6,14
2022-03-07,7,90
2022-03-07,8,87
2022-03-07,9,93
2022-03-07,10,114
2022-03-07,11,120
2022-03-07,12,82
2022-03-07,13,70
2022-03-07,14,100
2022-03-07,15,87
2022-03-07,16,117
